date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付費用（增加）減少,預收款項增加（減少）
2013-05-08,1,2013,-36980.0,,-172054,-2771,2447.0,,-23205,98976,,-97270.0,0.0,-117276.0,,-3986.0,2146.0,,0,-9339,4363,13635,-978,,,,-2028,,,,,,6791,-16995,-530,,358649.0,,-4749,,-430289,-66078,166881,0.0,,822.0,-60285,4830,,-26205,1289,-1356,10284,,,2013年01月01日至2013年03月31日,1966732,1813985,-152747,219053,,-15469,-16257,,0.0,,-85286.0,-90628,219053,,142989,-341319,-198330,8.0,0.0,-8.0,-10831.0,37837.0,,-235310,1051,1813985,-9496,-1079,,
2013-08-07,2,2013,-85013.0,0.0,-89637,-33537,2525.0,,-13026,166921,0.0,-117321.0,0.0,-82950.0,,-7046.0,-1688.0,,2767,-22056,5667,12149,-1525,-4712.0,,-235009.0,-7152,,,,,,13730,-68492,193320,,921698.0,,-11707,,21056,-217929,190341,0.0,,800.0,-328776,9268,,-72437,2961,-1376,20805,786.0,,2013年01月01日至2013年06月30日,1966732,2827676,860944,392609,,1269890,1299979,,0.0,,-83897.0,-92319,392609,,932226,60157,992383,8.0,0.0,-8.0,-10831.0,37837.0,,907370,-730,2827676,-50894,-344,,
2013-10-30,3,2013,-128763.0,0.0,-69449,-20266,2420.0,,575,107955,0.0,-157417.0,,-73189.0,,-7046.0,-328.0,0.0,12071,-36506,6335,1074,-4069,-6394.0,,-235009.0,-8803,,,,,,40653,12598,2710,,1155525.0,,-10495,,3900,-20299,124241,,,2243.0,-339428,13692,,-118171,4719,-1396,37201,34714.0,,2013年01月01日至2013年09月30日,1966732,2720809,754077,564991,,1659075,1705001,-474305.0,0.0,,-83897.0,-566644,564991,,1103358,165415,1268773,41.0,0.0,-36.0,-10831.0,37837.0,,1140010,9651,2720809,-83127,-36,,
2014-03-20,4,2013,-164155.0,0.0,52760,-1100,2367.0,,-31062,-228132,,-572962.0,,42693.0,,-7046.0,0.0,41.0,16094,-56544,6352,12851,-30269,-12394.0,,-235008.0,-8815,,,,,,36163,-14459,11337,,1458979.0,,-11707,,64895,43625,366673,-25.0,,-6632.0,-711853,18209,,-128385,6461,-1413,50777,56959.0,,2013年01月01日至2013年12月31日,1966732,2963614,996882,748589,,2261739,2348305,-474305.0,0.0,0.0,-83091.0,-565855,748589,-15310.0,1436712,327159,1763871,1981.0,0.0,-165.0,-10831.0,37837.0,,1599716,-22504,2963614,-86566,-36,,
2014-05-07,1,2014,-55399.0,,-218544,284,-645.0,,20940,7356,,-28789.0,,-183467.0,,0.0,,310.0,3143,-17613,10,9233,-20140,-36350.0,,,-2382,,,,,,16901,59522,137591,-307155.0,,,168,,-3570,-160570,208884,25.0,,1797.0,-31969,5125,,-42821,1668,-10,13462,,,2014年01月01日至2014年03月31日,2963614,2919292,-44322,170910,,-20770,7595,,,,-806.0,-816,170910,,6886,-114802,-107916,0.0,41920.0,0.0,-4911.0,0.0,,-163315,-2400,2919292,-28365,0,,314967.0
2014-08-06,2,2014,-113781.0,,-91343,631,-354.0,,3643,93146,,0.0,121369.0,-308543.0,20.0,0.0,0.0,619.0,3368,-35452,59,-8763,-21360,-72933.0,,0.0,-7493,,,,,,35186,-47810,7486,-55084.0,,,0,,-119420,138417,464559,25.0,,3589.0,63046,10142,-20000.0,-89600,4000,-59,30835,604.0,,2014年01月01日至2014年06月30日,2963614,3289726,326112,343276,,271119,328918,,,749.0,0.0,710,343276,,-184224,283647,99423,320.0,41920.0,233.0,-4911.0,0.0,,-14358,-4705,3289726,-88634,-1620,,
2014-11-11,3,2014,-170096.0,,-61379,947,-142.0,,16590,85584,0.0,0.0,154866.0,-414786.0,,0.0,0.0,389.0,6942,-58903,87,6256,-36569,-80353.0,,0.0,-8899,,,,0.0,19731.0,37374,-41389,61868,-411643.0,,,2,553.0,-215130,291267,419687,,,5371.0,219467,15160,-20000.0,-133099,6251,-87,51077,124976.0,,2014年01月01日至2014年09月30日,2963614,2823062,-140552,580374,,67717,154580,-433099.0,,,-806.0,-433992,580374,,-440499,184801,-255698,408.0,44918.0,145.0,-5159.0,0.0,,-425794,-10472,2823062,-137940,-1520,,
2015-03-24,4,2014,-223891.0,,4971,-2736,-1202.0,,7546,118487,0.0,0.0,225845.0,-1100614.0,,0.0,-79.0,0.0,11625,-84719,122,43346,-51668,-111146.0,,0.0,-9672,4856.0,,,0.0,25106.0,34588,-18899,40579,-784536.0,,,0,,-285996,221250,-63779,25.0,,277.0,371727,20113,-20000.0,-161274,8321,-122,75602,149768.0,,2014年度,2963614,1560457,-1403157,857530,,-1384203,-1235772,-433099.0,,,-806.0,-434027,857530,-15869.0,-769434,-1099977,-1869411,419.0,67552.0,134.0,-6100.0,0.0,,-2093302,-19372,1560457,-148431,-1100,,
2015-05-05,1,2015,,,-189817,-209,1299.0,,12291,-24319,0.0,-66002.0,,209848.0,,,,194.0,3937,-19605,313,-2745,-5548,-9000.0,,,-2129,414.0,3521.0,0.0,-3411.0,0.0,51527,-49889,17502,-683667.0,,299976.0,8739,,189215,14153,-128074,0.0,,,-65885,4837,22461.0,-33047,2211,-313,20011,,-42301.0,2015年01月01日至2015年03月31日,1560457,1354577,-205880,157772,1499.0,-440434,-436544,,,,0.0,303184,157772,,-887916,335901,-552015,,0.0,,0.0,,,-594316,-4574,1354577,-3890,-1361,0.0,0.0
2015-08-11,2,2015,,,-111434,123067,-118252.0,,-7424,16881,,-136657.0,0.0,665521.0,0.0,,,489.0,7875,-35779,1289,-26085,-13829,-109000.0,-14715.0,-4131.0,-4129,411.0,4018.0,,,24979.0,50237,40974,-23993,-887742.0,,499812.0,2,,-97673,-59147,-255575,0.0,,,-252465,9739,22461.0,-60837,4438,-1289,44458,368.0,-74254.0,2015年01月01日至2015年06月30日,1560457,1376714,-183743,307090,3007.0,-407734,-412547,,,320000.0,-320000.0,502541,307090,,-992903,347520,-645383,8.0,0.0,-8.0,0.0,4152.0,-21.0,-719637,-6293,1376714,-39645,-1361,,
