date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他非流動資產增加,其他項目,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券減少,應付票據－關係人增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,除列按攤銷後成本衡量金融資產淨損失（利益）,非控制權益變動,非金融資產減損損失,預付投資款減少,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少
2013-04-30,1,2013,2418196.0,,-7467437,118698,-16167,-35954,16538,-469407,24789,,,,680,-19886,63736,1462,-1990239,,,,,0.0,0,,,-90000,,,,-3624.0,,425362,,-595176.0,0,,0.0,-646148.0,,,995660,403531,,,-3334.0,-1827789,2479111,-4272.0,-27163,,-50837,102917,-65749.0,16692,,,2013年01月01日至2013年03月31日,20032838,20071929,-87777,39091,907900,,4022474,4072847,,-160423.0,,-2157056,907900,,,-1020662,1767413,746751,6064000,35410,,0.0,,20932,,,,,,,,3164947,-32,20071929,-1316,,,,1980.0,,,-35350,,129984.0,
2013-08-09,2,2013,4920350.0,,-9769687,245107,-8608,45788,-2796,-416312,58146,,,,1378,-48307,124916,40061,-3145234,-163.0,,-48430.0,-403697.0,,-1078,-6224.0,,-187972,,,0.0,-4320.0,,311158,0.0,-656320.0,0,,0.0,-215204.0,,,945684,428302,,,-6828.0,-3268855,5013652,-11634.0,-995,,-94429,206044,-128508.0,47689,,,2013年01月01日至2013年06月30日,20032838,22549701,-137193,2516863,1916341,,7577444,8185468,,147490.0,,-1831787,1916341,14616.0,,-410529,1759306,1348777,8444750,17490,,0.0,263691.0,28853,,,,,,0.0,,6269127,2950,22549701,-527205,,,170.0,1980.0,,,-25981,,57732.0,
2013-11-08,3,2013,7591311.0,,-9798958,-10631,-19195,50396,-34327,-430180,-38264,,,0.0,2080,-68430,186132,7589,-5598327,-163.0,,-80430.0,-403697.0,,-6078,-3224.0,,-187972,,,0.0,-2252.0,,-118623,0.0,-656320.0,311607,0.0,0.0,,,,740349,343943,,,-10378.0,-5769043,7538604,-20304.0,-8258,,-147560,309020,-189171.0,66440,42823.0,,2013年01月01日至2013年09月30日,20032838,21254904,-88367,1222066,2593150,,10177563,10897098,-2292440.0,,-193055.0,-3194043,2593150,29392.0,-193.0,-177059,889696,712637,9744750,16197,0.0,25709.0,263872.0,28890,-9055.0,,,,,0.0,,8303948,2022,21254904,-596804,,,850.0,1980.0,,,-45520,-25553.0,,
2014-03-13,4,2014,9090168.0,,-11299989,367305,43098,-33924,46835,-782334,-64453,-2897961.0,0.0,-110494.0,2826,-84294,192667,77096,-11266646,0.0,0.0,-101000.0,-403778.0,,-37742,0.0,,5252,148580.0,,-4378.0,105333.0,,-64265,30562.0,0.0,-253937,-128173.0,0.0,,23053.0,,540116,-190357,,,-18766.0,-9237096,8836085,-18327.0,0,565913.0,-166531,108620,-262334.0,90243,964.0,,2014年度,20574782,17560164,-233024,-3014618,4755818,,9992239,10384405,-1528293.0,17257.0,0.0,-3846857,4755818,37694.0,-964.0,-3680785,219204,-3461581,9446476,377905,0.0,0.0,79296.0,272272,20215.0,200000.0,990502.0,,,6224.0,,5628587,8310,17560164,-220075,2112.0,,2674.0,-649563.0,207884.0,,-14748,0.0,212545.0,
2014-03-14,4,2013,9981590.0,,-10302312,-269943,-18735,238587,15962,-284977,55861,5959968.0,0.0,,2777,-95303,252136,15424,-9232227,-163.0,-48000.0,-121270.0,-403697.0,,-6078,-3224.0,,-187972,,,4692.0,-3845.0,,-75213,0.0,-656320.0,-10112,127017.0,0.0,,,,-64368,528357,,,-13931.0,-9120378,9945791,2789.0,-2245,,-163150,335625,-254714.0,93313,42823.0,,2013年01月01日至2013年12月31日,20032838,20574782,-166649,541944,-2786097,,12651990,13356714,-2292440.0,18213.0,0.0,-3005092,-2786097,44169.0,-193.0,5498383,662838,6161221,10402750,102677,0.0,25709.0,455138.0,24661,-9055.0,0.0,,,,0.0,,16142811,6307,20574782,-543323,,,1530.0,-179675.0,,,-34103,0.0,69002.0,
2014-05-09,1,2014,2036916.0,,-125000,133919,-3061,-108858,-16985,-212549,701,-1504749.0,,,2852,-19680,67550,29688,-2043744,,,-10000.0,-202255.0,0.0,0,,,4755,,,-36.0,-2715.0,,45785,,0.0,-127224,,0.0,-529611.0,,,479946,-477795,,,-8068.0,-2194531,2209410,-21262.0,-1659,,-67606,26278,-67675.0,24195,,,2014年01月01日至2014年03月31日,20574782,19199783,-157821,-1374999,935780,,563460,608594,,-148580.0,,226384,935780,14008.0,,-2272605,-91497,-2364102,500000,57470,,0.0,,-40695,,,,,,,,-327186,0,19199783,-1654,,,717.0,0.0,,,-12632,,3861.0,
2014-08-08,2,2014,4345007.0,,-6542760,308412,-652,-108595,47702,484253,-48749,-1861867.0,,,2812,-46720,134763,-20202,-4603960,0.0,,-41000.0,-202255.0,,-6700,0.0,,19261,,,-4378.0,0.0,84203.0,-104804,0.0,0.0,-127062,,0.0,98034.0,,,-313833,-537750,,,-11575.0,-4303378,4406900,-24151.0,-3221,,-97528,52668,-135753.0,51240,,,2014年01月01日至2014年06月30日,20574782,18807805,-82696,-1766977,2246020,,4074315,4374197,,-770574.0,,-1517712,2246020,21845.0,,-1135972,-1080858,-2216830,5800000,152610,,0.0,0.0,-64835,,200000.0,,,,6224.0,,2128177,-1364,18807805,-215369,,,1349.0,0.0,,,-11608,,104688.0,
2014-11-05,3,2014,6645287.0,0.0,-10566942,496531,527,-66923,36768,-1649211,-237268,-3236528.0,,-110494.0,2106,-65871,145486,11500,-8241440,0.0,,-75100.0,-403778.0,,-37062,0.0,,19261,,,-4378.0,107241.0,,-77967,30562.0,0.0,-114892,-127878.0,0.0,,,,-223208,-345637,0.0,0.0,-15094.0,-6486803,6678903,-10652.0,-143,565913.0,-131894,80310,,71668,,,2014年01月01日至2014年09月30日,20574782,16953531,-158887,-3621251,3625941,,4350063,4700241,0.0,,120729.0,-1496011,3625941,29770.0,-964.0,-4658005,-912982,-5570987,8954580,161753,,0.0,0.0,-70417,0.0,200000.0,990502.0,20215.0,,6224.0,,1074300,-808,16953531,-219227,,,1985.0,0.0,207884.0,0.0,1396,,205312.0,0.0
2015-03-08,4,2015,,,-8793065,16358,-41969,50725,-12143,651617,-72670,-839322.0,0.0,0.0,2884,-82980,199391,161647,-6758666,0.0,-7144.0,0.0,-502659.0,,-5514,,-500460.0,0,542921.0,,2000.0,32786.0,,-154398,0.0,0.0,266306,-302.0,0.0,,-9230.0,,-439026,-686921,,,,-7234192,8709459,-4424.0,104756,0.0,-126015,111944,-258771.0,81369,0.0,8598920.0,2015年度,17560164,19729637,-354751,2169473,5807598,-15109.0,12739224,13229584,-2318396.0,-785381.0,0.0,-3497206,5807598,33269.0,0.0,62959,-1239893,-1176934,8773333,297283,0.0,0.0,0.0,108870,0.0,200000.0,0.0,,,,0.0,7421986,29804,19729637,-312958,-2402.0,,2135.0,-909388.0,0.0,,-30216,0.0,7298.0,
2015-05-05,1,2015,,,-5117703,62480,-47032,-152427,-17584,-438122,16493,-560351.0,,,2905,-17121,47084,-50825,-1804489,,,0.0,-200917.0,0.0,-355,,,4288,83395.0,,2000.0,43557.0,,16713,,0.0,-303,,0.0,-339606.0,0.0,-2067.0,412933,410879,,,,-2339295,2076967,0.0,-15100,,-32866,28232,-65590.0,17014,,2107069.0,2015年01月01日至2015年03月31日,17560164,17418377,53702,-141787,1146564,-3672.0,2579969,2629208,,252739.0,,-331636,1146564,15160.0,,-1326791,702366,-624425,4450000,79366,,0.0,,-59286,,,,,,,,1482644,-185,17418377,-663,-9774.0,,683.0,0.0,,,30459,,-459362.0,
