date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動負債增加,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分按攤銷後成本衡量之金融資產,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,除列按攤銷後成本衡量金融資產淨損失（利益）,非控制權益變動,非金融資產減損損失,預付設備款增加
2013-05-14,1,2013,107987.0,13910,,-322,-120787,-7484,-24182,-82441,0.0,-16093,6188,-785,7031,27157,-97096,,-60867,,-933,,,3271,-1941,-1086,-22081,0.0,-10016.0,-14452,5078,-16106,-32172,99347,93125,-3920,2823,-7559,,,,2013年01月01日至2013年03月31日,4043092,4216178,173086,265010,211941,225417,,-50000,-33840,265010,,-138666,-8914,-147580,990,123470,-81,-7876,,4447.0,,-39593,42836,4216178,-5917,2196,349.0,,28439,-556,
2013-08-13,2,2013,191703.0,23685,,-568,173175,-136304,-16995,-113352,,5926,13800,-2674,14959,-18143,-175687,,-397853,,-3174,,,5061,-3288,-4261,-82106,240023.0,,-25725,-178675,3120,-290400,160570,93123,-3897,4843,-12569,2674.0,,,2013年01月01日至2013年06月30日,4043092,4261885,218793,707944,480920,639254,,-218000,46416,707944,,75956,-336349,-260393,1056,251526,-48,-9211,,1447.0,,-68690,27607,4261885,-145765,3456,5878.0,,28249,-1034,
2013-11-13,3,2013,254346.0,37506,,-1051,18100,35313,8097,-22974,,-10180,19980,-3821,24145,31852,-354943,,-1085153,,-3233,,,5541,-3346,-135831,-1117,539721.0,,-39998,-195490,-30123,-852222,240218,103667,-3843,8788,-24145,3821.0,,,2013年01月01日至2013年09月30日,4043092,3975056,-68036,1044588,823286,1062339,-683738.0,49213,-70952,1044588,,8843,-245438,-236595,1056,549457,62,-51629,,9447.0,,17751,23761,3975056,-214908,5748,9690.0,,28249,-533,
2014-03-27,4,2013,433826.0,48290,,-1175,91461,-5538,2087,5276,,-47723,45368,-5845,33369,-17775,-468998,0.0,-1382653,0.0,-4027,,,4814,-4531,-44520,-25606,689135.0,,14748,-28817,-20662,-1109826,364245,103667,-11030,10717,-33369,5845.0,,,2013年01月01日至2013年12月31日,4043092,4387609,344517,1305567,1645178,1898407,-683738.0,-201000,-173060,1305567,,149608,9406,159014,1731,736330,276,-39459,,1379.0,,592840,66918,4387609,-219860,2120,30786.0,,28249,-1535,
2014-05-12,1,2014,59281.0,0,,-454,-155208,-472539,103,-56421,,-30233,7764,-808,7389,3022,-102204,,-209100,,-312,,,5483,1891,-20589,16163,,-115380.0,-48004,27663,-6869,-165963,89877,0,1125,2999,-7389,808.0,,,2014年01月01日至2014年03月31日,4387609,3796128,-591481,330744,-305597,-292468,,-9000,-122943,330744,,-153738,-528755,-682493,985,174093,9,-53552,,0.0,,-623212,33208,3796128,-5740,-898,0.0,,0,-107,
2014-08-12,2,2014,8267.0,23886,,-744,-87306,-124586,3210,-53870,,-29566,15386,-2690,16095,5648,-201769,-15000.0,-351316,,-884,0.0,,3899,1081,6906,-13897,,-649416.0,-40215,40421,7783,-349569,176614,-47669,-1947,5766,-16095,2690.0,1850.0,,2014年01月01日至2014年06月30日,4387609,3796009,-591600,768279,335400,479664,,66000,-583079,768279,-129807.0,-125867,-171015,-296882,3687,216853,293,-66287,,,,-288615,12341,3796009,-128169,-8670,0.0,,0,-385,
2014-11-13,3,2014,-54772.0,34882,3604.0,-4003,-60894,-175329,4835,-73888,,-34578,22607,-3658,22726,2789,-318808,-18604.0,-650876,,-2297,-9025.0,,4593,1458,3864,6741,,-399438.0,-34877,27743,22565,-186950,267814,-36731,-2551,6930,-22726,3658.0,182056.0,,2014年01月01日至2014年09月30日,4387609,3587805,-799804,1212033,580417,823516,-683738.0,-119000,-1196060,1212033,-193199.0,-101969,-231776,-333745,3902,630190,-320,-167087,,,,-388517,-17774,3587805,-220373,-8563,-3418.0,,8661,-646,-11054.0
2015-03-26,4,2014,72186.0,36172,3604.0,-8202,77137,-76906,6728,-55933,,-43256,35641,-5842,30518,3843,-433458,-18604.0,-951482,,-4123,,,5033,1031,-46001,44936,-349281.0,,-23357,41229,24050,-529019,361166,-32055,-3267,8155,-30518,5842.0,196814.0,,2014年度,4387609,4217430,-170179,1410447,1193206,1446712,-683738.0,159500,-838209,1410447,-195905.0,109695,-145616,-35921,3352,697560,2450,-164984,,-9068.0,,36265,4251,4217430,-222988,-3240,2793.0,,42481,-332,-12372.0
2015-05-11,1,2015,,8550,,-74,-163256,14381,5407,-45551,,4098,7305,-814,6043,-739,-152864,,-5232,,-809,,,639,896,18976,-21014,,-288.0,8437,-16010,-44216,-122269,93368,52,750,1257,-6043,814.0,784.0,90742.0,2015年01月01日至2015年03月31日,4217430,3708467,-508963,292756,167311,174618,,-568500,-553266,292756,,-136512,-72368,-208880,391,23454,15,-13359,,,-7000.0,-118138,33914,3708467,-1264,-4317,,,14700,-145,5545.0
2015-08-11,2,2015,,18080,,-148,-96674,71206,-1520,-33874,,18788,19267,-3087,12043,-2863,-260742,0.0,-5232,,-4297,,,2316,3021,15066,485,,-100140.0,-24729,-29587,10132,-165112,190428,53,-367,2587,-12043,3087.0,13464.0,45484.0,2015年01月01日至2015年06月30日,4217430,3833372,-384058,712453,419984,671484,,-553500,-636067,712453,-150457.0,-119449,32996,-86453,391,55312,72,-26637,,,-13000.0,-40969,2989,3833372,-239457,-1993,,,14700,1312,9037.0
