date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付設備款增加
2013-05-13,1,2013,41877.0,,-27879,21151,10789.0,,,4841,11200,,,,,-2641,0.0,143,-4745,1021,10814,-8127,,-1350,,0.0,-1800.0,,-2077.0,,-152258,312461,-21182,132.0,-8747,45075,634,2219,-1021,4745,,,2013年01月01日至2013年03月31日,3657102,4031004,-2448.0,,373902,209937,,403653,400280,,-30018.0,,-31818,209937,,289555,-141089,148466,1089,,-22,,,0.0,,190343,4031004,-351,0.0,,,-6430
2013-08-12,2,2013,103498.0,,9981,27063,9962.0,,,16008,95442,,,,,-3478,0.0,20493,-11376,2060,8265,-22845,,-1350,,0.0,-1801.0,,-2503.0,,-392564,493666,-158322,931.0,-46139,89408,1178,4510,-2060,11376,,,2013年01月01日至2013年06月30日,3657102,4230153,,-2874.0,573051,450863,,644064,646566,,-31338.0,,-33139,450863,,520586,-428381,92205,1814,,99,,,0.0,,195703,4230153,-11818,0.0,,,-27739
2013-11-12,3,2013,165111.0,,-9938,54799,8041.0,,,-2668,-517305,,,,,-8614,0.0,41681,-16979,3224,7087,-56976,,-1350,-597.0,0.0,-1801.0,,-1642.0,,-269590,359806,-203498,1739.0,-38901,132307,1189,7273,-3224,16979,,,2013年01月01日至2013年09月30日,3657102,3351945,,-3253.0,-305157,673643,,176292,252099,-412996.0,-34838.0,,-449635,673643,,348939,-935594,-586655,10065,31131.0,-663,,332.0,0.0,,-421544,3351945,-89562,0.0,,,-18959
2014-03-18,4,2013,239051.0,,70597,68788,12556.0,,,11025,-594925,400.0,,,,-7783,0.0,75269,-25170,4391,15268,-36291,,0,-2496.0,0.0,-600.0,,-5355.0,,-221004,469072,-150065,362.0,-47623,174105,2321,10447,-4391,25170,,,2013年01月01日至2013年12月31日,3657102,3899836,,-4053.0,242734,896005,,711701,789306,-412996.0,,-25176.0,-436612,896005,,551456,-897206,-345750,10279,31131.0,1409,,332.0,0.0,,-106699,3899836,-98384,0.0,2160.0,0.0,-49664
2014-05-12,1,2014,49484.0,,-12629,-656,,2766.0,-3000.0,33710,-16508,-1462.0,,,,0,,11918,-7495,1249,2216,-5688,,0,-1459.0,5868.0,0.0,,-218.0,,-57438,-204152,102997,584.0,-15875,41046,0,3218,-1249,7495,,,2014年01月01日至2014年03月31日,3899836,4005844,,-788.0,106008,210176,,109667,104106,0.0,10000.0,,10000,210176,,-183949,28395,-155554,40,0.0,9,,0.0,0.0,,-106070,4005844,-685,-5541.0,,,-8316
2014-08-12,2,2014,12956.0,,16427,-20430,3861.0,,-3000.0,50417,123014,-1462.0,,,,-7735,,-49129,-19878,2260,21907,-15775,,0,,5868.0,,0.0,1487.0,,-1704,-61752,12366,725.0,-78652,79733,0,6388,-2260,19878,,,2014年01月01日至2014年06月30日,3899836,4211531,7.0,,311695,248272,,315078,378829,0.0,687774.0,-706900.0,53362,248272,,4355,113246,117601,142,0.0,426,,0.0,0.0,,130557,4211531,-81369,-12719.0,72488.0,,-57632
2014-11-12,3,2014,70460.0,,-29173,6102,,2473.0,,75647,12228,-399.0,-3000.0,-103085.0,,-3450,,-18266,-30571,2945,20163,-34086,,0,,5868.0,,-751.0,-5134.0,,-278008,419630,36309,883.0,-239557,119313,0,9209,-2945,30571,,,2014年01月01日至2014年09月30日,3899836,3856300,,0.0,-43536,444621,,625119,758300,-508302.0,,-9696.0,-449261,444621,,466588,-223369,243219,2459,0.0,279,,0.0,0.0,,313679,3856300,-160807,-18317.0,72488.0,,-98734
2015-03-20,4,2014,101746.0,7000.0,18070,-31067,,3860.0,,59619,-8867,0.0,,-284682.0,,-7875,,-23937,-39541,4947,8100,-92977,,0,-1459.0,5868.0,-560.0,,-7844.0,,-244026,580832,-131338,924.0,-607999,161006,0,11888,-4947,39541,,,2014年度,3899836,3790947,,0.0,-108889,717429,,934741,1063322,-508302.0,-4357.0,,-443731,717429,,659445,-415298,244147,5845,0.0,-168,,0.0,0.0,,345893,3790947,-163175,-18317.0,69488.0,,-229867
2015-05-12,1,2015,,,54250,3081,,712.0,0.0,54128,25417,-399.0,,,68488.0,-439,,-20600,-7971,-964,-1447,-31000,,-49979,0.0,0.0,,-151.0,,1206.0,50026,413979,-719967,,-12691,47815,0,2369,964,7971,,20640.0,2015年01月01日至2015年03月31日,3790947,3771797,,0.0,-19150,88760,232.0,-1573,-9853,0.0,,-3288.0,-3439,88760,,522190,-641443,-119253,509,0.0,-9,,0.0,,0.0,-98613,3771797,-655,0.0,,,-2188
2015-08-12,2,2015,,,1895,-24825,,1182.0,0.0,71456,27670,,,,77796.0,-46389,,-44116,-13900,1863,-10140,-57576,,-49979,0.0,0.0,,-150.0,,1065.0,-656161,1122040,-933515,,-102455,92190,2736,4497,-1863,13900,,43297.0,2015年01月01日至2015年06月30日,3790947,3530302,0.0,,-260645,217576,309.0,-140217,-130258,0.0,,-7683.0,-7833,217576,,1195700,-1586831,-391131,504,,27,,,,,-347834,3530302,-21996,0.0,0.0,,-29058
