date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動負債減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少
2013-04-25,1,2013,87700.0,-1957.0,,-16145,-5266,6041,-6332,344,-527,,,75777.0,0.0,-242.0,-2215,-5498,10466,15069,-124683,-2306,5582,504.0,,,,86132,,,111240,-1073,37841,-230572,1431.0,-51343,55210,-3217,1392,9902,-9798,5708,,2013年01月01日至2013年03月31日,2571347,3313138,741791,208688,,266244,276793,,35022.0,0.0,511821,208688,1214.0,101838,-121433,-19595,478252.0,111,,-173,,68105,,3313138,-6459,8726,,3094.0,,,508
2013-07-24,2,2013,180161.0,-1957.0,,80285,7806,44170,-14810,686,-1639,0.0,,69484.0,,,2735,-11084,20190,29726,-239020,-2397,23168,504.0,0.0,-1199.0,,65809,0.0,,442016,40113,-312128,-218825,2877.0,-172571,112219,-7172,3020,13421,-20954,10225,,2013年01月01日至2013年06月30日,2571347,3561061,989714,522034,,731217,860763,,29207.0,,401342,522034,1921.0,610147,-451579,158568,373588.0,561,,-458,-34.0,338729,,3561061,-118817,8700,,6363.0,,,29380
2013-10-24,3,2013,287007.0,-1957.0,,85310,-26911,6620,-3524,1030,-4278,0.0,,60597.0,,,30136,-17645,30882,19073,-307822,-2927,32239,11334.0,0.0,-2414.0,,-107579,0.0,,744892,39892,-798816,-334819,4317.0,-251986,169665,-5109,4601,20255,-29174,16012,,2013年01月01日至2013年09月30日,2571347,3201953,630606,906886,,605951,831034,-303901.0,197293.0,,257568,906886,2697.0,882061,-1244920,-362859,354799.0,580,,-405,-7.0,-75852,,3201953,-211921,5487,0.0,9102.0,,,36116
2014-02-20,4,2013,446634.0,-16608.0,,189818,-14255,-1287,5688,-231,-7004,,,65892.0,,,40888,-24558,43008,30380,-444741,-12992,74214,22287.0,0.0,-699.0,,39843,0.0,,424526,-1043,-826065,-429049,5762.0,-369059,227627,-5072,-275,28726,-41827,21635,,2013年01月01日至2013年12月31日,2571347,3529280,957933,1278677,,880324,1114804,-303901.0,,-202227.0,416288,1278677,3473.0,617545,-1228052,-610507,916737.0,865,35910.0,-485,-12348.0,-163873,12.0,3529280,-214288,4989,0.0,61363.0,,-13294.0,7862
2014-04-24,1,2014,97235.0,0.0,,-86910,27957,-1090,-726,0,-2536,,,936.0,0.0,-7692.0,-4422,-6008,24011,2467,-85497,-1887,13019,2310.0,,,,-68728,,,-362289,-14,40740,385062,1682.0,-94110,58684,-843,1955,10350,-22768,6526,,2014年01月01日至2014年03月31日,3529280,4038957,509677,233064,,195317,222607,,175698.0,0.0,406003,233064,548.0,-448621,340929,-107692,227995.0,30,,-8,,-10457,,4038957,-11048,551,,-1445.0,,,-39997
2014-07-29,2,2014,184841.0,0.0,,1249,34032,16430,-3492,0,-4619,,,3448.0,,,-32201,-13606,40120,-11278,-143375,-3515,57481,6070.0,,-8048.0,,-31596,,,69192,29044,-673346,155774,3387.0,-151101,118648,-123,4558,19477,-38981,16589,,2014年01月01日至2014年06月30日,3529280,3748849,219569,520087,,150888,290742,,31104.0,,231060,520087,548.0,119302,-533488,-414186,193886.0,389,,37,-124.0,-229345,,3748849,-117462,-7207,,-2890.0,,,-10118
2014-10-23,3,2014,327618.0,0.0,-458951.0,-6580,24807,-404,-2489,1282,-4979,0.0,,1147.0,,,-45637,-19542,54204,9163,-230699,-7324,127167,12841.0,,-46659.0,,-140351,,,366276,154496,-877607,12375,5088.0,-282612,179273,-1980,7108,28963,-52108,21725,,2014年01月01日至2014年09月30日,3529280,3289447,-239833,877140,,463412,705512,-509941.0,526255.0,,-429796,877140,548.0,520158,-1019404,-499246,0.0,923,,306,-124.0,-171628,,3289447,-211717,-324,,-4324.0,,,-29180
2015-02-26,4,2014,569681.0,0.0,-377158.0,13063,-98013,11527,-57,66,-11965,,-32210.0,0.0,,,-5402,-25230,67252,40078,-293636,-14191,238375,12930.0,,-28373.0,,36409,,-98744.0,167177,205394,-860576,128853,6788.0,-367480,242242,-6740,8507,39911,-65379,27895,,2014年度,3529280,3406445,-122835,1107183,,1009220,1263916,-509941.0,168260.0,0.0,-804653,1107183,548.0,404015,-816963,-412948,0.0,930,0.0,313,-124.0,156733,0.0,3406445,-217212,9033,,-5744.0,,0.0,-4874
2015-04-28,1,2015,,,,-130168,-248945,-12806,1857,32,-3232,,,26456.0,,,4891,-7297,13571,-9695,-93702,-4124,-11588,0.0,,0.0,17750.0,-289483,,,28138,-122116,813683,-17069,,-53620,66187,-4000,1894,10801,-12866,6869,68013.0,2015年01月01日至2015年03月31日,3406445,3922934,516489,157511,1796.0,187490,204814,,0.0,-88335.0,392314,157511,0.0,-235124,214414,-20710,480649.0,0,,0,,47303,,3922934,-11327,-9047,,-1399.0,,,-38397
2015-07-28,2,2015,,,,-93030,-18320,-12607,2000,31,-4438,,,30371.0,,,-12436,-15955,25280,-25217,-153426,-3708,20768,100.0,,0.0,20244.0,-340541,,,177647,-179059,740278,-310183,,-106289,134167,2085,4449,20729,-26760,15751,162501.0,2015年01月01日至2015年06月30日,3406445,3800020,393575,344921,3599.0,380326,518048,,0.0,-284265.0,144755,344921,334.0,-103419,114045,10626,428920.0,230,,-190,0.0,173127,,3800020,-126713,-11863,,-2782.0,,,43164
2015-10-27,3,2015,,,-233286.0,-56545,-64344,-11228,-1857,-19,-4639,,,-63100.0,,,-22808,-22621,42798,24657,-379674,-4028,30341,513.0,,0.0,12033.0,-279942,,,247163,-205373,-265297,234432,,-434152,200982,2270,5655,30675,-45043,21688,248636.0,2015年01月01日至2015年09月30日,3406445,2269708,-1136737,709834,5229.0,321307,563539,-605849.0,0.0,-209927.0,-1048549,709834,0.0,-20773,-374158,-394931,,617,,-156,0.0,-146295,,2269708,-218877,-12066,,-4164.0,,,5219
2016-02-24,4,2015,,,-132574.0,-25936,-131679,-9682,-11627,-19,-2232,,-87480.0,,,,-68105,-28117,68999,-12921,-487898,-9286,31230,513.0,,0.0,23424.0,-121530,,0.0,261462,-153843,181105,31129,,-559626,265557,2678,5673,38901,-71513,26547,302550.0,2015年度,3406445,2729235,-677210,867270,6540.0,971041,1233247,-605849.0,0.0,-337794.0,-1075704,867270,0.0,78522,-15095,63427,,1614,,-190,0.0,365977,,2729235,-217240,-5937,,,-5461.0,,37061
2016-04-28,1,2016,,,-134298.0,-73378,15711,21087,14651,0,-3170,,-8871.0,0.0,,,11087,-4428,31510,-11172,-164379,-5853,-22990,,,-1011.0,0.0,-172874,,,15059,61500,548798,-107862,,-179794,66231,-13661,0,9848,-28919,6263,120816.0,2016年01月01日至2016年03月31日,2729235,3678669,949434,151766,1764.0,515157,547307,,759541.0,0.0,625243,151766,,26032,248693,274725,0.0,320,,-195,,395541,,3678669,-9494,31050,,,-1297.0,,-32900
2016-07-28,2,2016,,,-386583.0,-35737,209696,8459,11726,-1,-3713,,,113186.0,,,11359,-9457,53762,-50523,-260452,-12362,-38670,0.0,,-2969.0,0.0,-66476,,,51219,53159,860744,-301075,,-162286,131591,-13544,0,18199,-50244,11297,175248.0,2016年01月01日至2016年06月30日,2729235,3643645,914410,312020,3569.0,1121846,1240427,,391956.0,0.0,5373,312020,0.0,80668,672491,753159,0.0,311,,-193,,928407,,3643645,-79634,11252,,,-2595.0,,-24867
2016-10-27,3,2016,,,-411785.0,-99791,204492,63124,8887,-1,-7978,,0.0,81277.0,,,9919,-13103,72240,-90604,-341084,-14107,-101491,0.0,,-6992.0,0.0,-25904,,,-40440,68563,1036665,-673190,,-280366,199283,-7721,0,26414,-70692,16190,196918.0,2016年01月01日至2016年09月30日,2729235,2848411,119176,463038,5368.0,957607,1167799,-403936.0,348260.0,0.0,-467461,463038,,-3177,511020,507843,,540,,-419,,704761,,2848411,-155690,3143,,2039.0,-1107.0,,-24231
