date,season,year,不影響現金流量之收益費損項目合計,交割結算基金增加,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,備供出售金融資產（增加）減少,償還公司債,償還金融債券,其他借款增加,其他投資活動,其他籌資活動,其他負債增加（減少）,其他資產（增加）減少,其他金融負債增加（減少）,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產及設備,取得以成本衡量之金融資產,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,員工福利負債準備增加（減少）,因合併產生之現金流入,央行及同業融資增加,央行及同業融資減少,央行及銀行同業存款增加（減少）,存入保證金增加,存出保證金增加,存放央行及拆借金融同業（增加）減少,存款及匯款增加（減少）,應付商業本票增加,應付商業本票減少,應付款項增加（減少）,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業保證金增加,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,發行金融債券,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產及設備,處分以成本衡量之金融資產,處分及報廢不動產及設備損失（利益）,處分子公司,處分投資性不動產,處分投資損失（利益）,處分採用權益法之投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,貼現及放款（增加）減少,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,附買回票券及債券負債增加（減少）,附賣回票券及債券投資（增加）減少,非控制權益變動,非金融資產減損迴轉利益
2013-05-24,1,2013,-10373945.0,-2503.0,,0.0,15927973,,-11700000.0,98590,-1247.0,,71376,3199035,7071865,-2870311,1004693,-12138187,4648792,232850,-172453,,-470.0,-21322,-674987,503,-199073.0,,,-6474545.0,226445,751057.0,-1479541.0,-1535551,2181454,,-7000.0,-3086125,15065953,-1676898,293774,-15987289.0,-7476,79072,-4209719,12413021,,,2013年01月01日至2013年03月31日,107625114,101863330,433248.0,-5761784,7095332,635.0,13013659,4996440,,,,,47126462,2977770,-17331395,7095332,21671,,15441139,-7166086,8275053,3,,211.0,,,-988870,,,-2098892,-4794,-14300666,51759098,-186083,-3184003,1941030,-3126036,80150,12363994,-8606260.0,,
2013-08-29,2,2013,-18683219.0,,,,45428033,,-11700000.0,66954,-3404.0,,303283,-1933278,8117277,-13101764,2870673,-24635207,9350056,312961,-376427,,-470.0,-60401,-848273,889,-237176.0,,,4578437.0,-1867025,,,-3605560,31208415,,-7000.0,-974797,8193475,-438949,590638,-15783072.0,-14690,152680,-9659173,24681336,22595.0,,2013年01月01日至2013年06月30日,107625114,116857481,242568.0,9232367,14726592,,11540075,-3246981,,,0.0,4879000.0,53338109,6936868,-2181720,14726592,45716,,13057868,-12348222,709646,1753,,,0.0,,-2792808,0.0,,-17973573,-25493,-37517669,56582504,-257702,-806210,5971613,-3792336,147764,-22660406,,,
2013-11-21,3,2013,-30172501.0,,575628.0,,7102975,0.0,-11700000.0,1051780,,0.0,751624,1314499,12901459,-21714794,-994052,-37446325,14209353,235920,-614893,,-470.0,-80907,-1072236,69161,,,25824829.0,,-4115644,,,3555888,60928256,,-7000.0,-4965127,6967470,-94789,884339,-15749341.0,-15499,227736,-14032575,37767863,545914.0,,2013年01月01日至2013年09月30日,107625114,124783522,-56585.0,17158408,20961280,,292183,-23293672,,-2833671.0,0.0,4879000.0,74525800,7992973,16725094,20961280,77820,-524901.0,66228228,-80310679,-14082451,2322,,,0.0,23531.0,-2781635,0.0,,-44254952,-271326,-45252824,42264749,-695347,-5313314,-11320131,-2828280,147764,6312300,-5214421.0,-559005.0,
2014-03-27,4,2013,-43140570.0,,656652.0,,22799549,0.0,-11700000.0,1707319,,0.0,747831,422370,17768159,-33384319,32487,-50532658,19252887,351249,-953057,,-124757.0,-127951,-546409,249331,,,26966053.0,,-3198813,,,-8022402,110930172,,-7000.0,-7647627,-1446237,-505071,1178241,-56292882.0,-1565,302723,-19737249,50575411,554231.0,,2013年01月01日至2013年12月31日,107625114,101748195,579861.0,-5876919,25403452,,-24425124,-54829286,,-2833671.0,0.0,4879000.0,31508420,8722822,18702027,25403452,105484,-508512.0,77832862,-114925030,-37092168,6731,,,0.0,37311.0,-2758603,0.0,,-80232738,-370784,-57953631,61516953,-988231,-21794604,19700128,-10480790,236284,-18601472,-747606.0,-559005.0,
2014-05-22,1,2014,-10917278.0,,0.0,,3144577,,0.0,534011,,,372640,-10934306,11529045,-43181011,-103662,-13839605,5504574,77670,-393066,,0.0,-494549,-722209,70682,,145448.0,,14170392.0,-678598,,,-2127675,25692968,,119553.0,686276,5735403,-742161,305608,46024029.0,-5971,88639,-4355208,13477063,2198.0,,2014年01月01日至2014年03月31日,101748195,98188304,1423329.0,-3559891,8438961,,-19299307,-28492626,1509269.0,,,,37004689,4287435,16403907,8438961,126495,-2198.0,40352895,-66367204,-26014309,6,,,,,-70526,,,-36931587,-109513,-76471619,56896180,69266,-2343284,10695792,-3621752,0,5203361,747606.0,,
2014-08-22,2,2014,-21230543.0,,2333.0,,-28752347,,0.0,2118802,,,416075,-12343043,19871512,-57146211,-58505,-28280179,11328166,-219296,-673378,,0.0,-616116,-1231341,116033,,145448.0,29940032.0,,1544256,,,3099027,43921349,410687.0,0.0,2634972,-9521933,-1140319,600707,44389908.0,-12580,190017,-10937359,27240437,107773.0,,2014年01月01日至2014年06月30日,101748195,98939710,343334.0,-2808485,15681169,,-58022578,-73686583,5988154.0,,,18000000.0,45080139,354313,56573708,15681169,172747,-91338.0,87535815,-155673024,-68137209,1394,,,,,-89789,,,-89367752,-48808,-112393572,53505258,-746846,-6721069,16247541,-4107835,9425,25917528,747606.0,,-3372.0
2014-11-27,3,2014,-31722711.0,,38657.0,,-44811704,,-5000000.0,3439939,,,707556,-6357526,16567945,-45937094,238580,-43310090,17201694,149737,-890541,,-133.0,-661163,-1357275,167562,,145448.0,31154135.0,,477922,,,2957933,82067704,1359926.0,0.0,5903146,-15175343,-1366300,905980,44180090.0,-18387,294053,-15842254,43004200,596636.0,,2014年01月01日至2014年09月30日,101748195,112278078,107160.0,10529883,22690834,,-35381636,-59908893,5988154.0,-4392824.0,,18000000.0,51626790,1125030,47128082,22690834,202898,-551569.0,133849327,-184726343,-50877016,1432,,,,0.0,-175891,,,-82599727,-70913,-146356887,59526258,-3231325,-8948109,26026582,-5265917,9425,37144076,747606.0,-3588810.0,-3372.0
2015-03-27,4,2014,-28770189.0,,39439.0,,-38800066,,-5000000.0,3898166,-107063045.0,,1162935,-15163238,20611162,-43184173,13471266,-55785260,22087679,318491,-1151162,,-133.0,-720408,-750255,278880,,145448.0,21435703.0,,-14448879,,,-788598,152413086,499389.0,,12229031,-15264995,-108664929,1171127,45590001.0,-131470,390611,-20376775,54592691,599663.0,,2014年度,101748195,24758204,,-76989991,13168412,,-5762211,-36968181,5988154.0,-4392824.0,,18000000.0,1395592,273345,37118658,13168412,207221,-552955.0,204377573,-225743977,-21366404,1432,,,,83500.0,-962327,,,-50136593,-63580,-177604489,23089267,-3609609,-4776472,18723975,-7938189,25735,37250290,747606.0,-3588810.0,-3372.0
2015-05-21,1,2015,,,,,-26377134,,,1110827,,,12106,3026223,-237163,2874632,55887,-7206513,2870049,-25726,-240335,,,-63188,-76491,37144,,0.0,13981248.0,,-1069616,,,2707440,21058100,229769.0,,-5235792,6927414,-303523,164406,0.0,-660667,62589,-2635647,7034273,2278.0,-6763944.0,2015年01月01日至2015年03月31日,24758204,21020128,,-3738076,5099548,,-18767815,-23159065,0.0,,,,2744695,231025,15358988,5099548,7175,-2278.0,17217322,-38711991,-21494669,0,,,,,-93025,,,-28258613,-2050,-15122586,18044408,-9654,-4885370,-12747980,-1894533,9457,7577107,0.0,,
2015-08-27,2,2015,,,14989.0,,-22841688,,,1552652,,,-253523,6613226,1870573,75744,1611932,-14507150,5736744,-39545,-426753,,,-149698,56454,53507,,0.0,7338848.0,,-1080178,,,2210351,19386264,423595.0,,-2290973,-2873743,-561462,336244,0.0,-1363398,102840,-5855736,14755867,89884.0,-11532331.0,2015年01月01日至2015年06月30日,24758204,17080783,,-7677421,9550150,,-25545016,-33646319,0.0,,,9100000.0,2464243,4998,18468602,9550150,18447,-64284.0,11838052,-43502190,-31664138,0,,,,,-262489,,,-43196469,-9871,-21205599,14611542,-888712,-12895443,-5480481,-3207128,9457,7111203,0.0,,0.0
