date,season,year,不影響現金流量之收益費損項目合計,交割結算基金增加,交割結算基金減少,以成本衡量之金融資產減資退回股款,備供出售金融資產（增加）減少,償還金融債券,其他各項負債準備淨變動,其他符合國際會計準則第七號現金及約當現金定義之項目,其他負債增加,其他資產增加,其他資產減少,其他金融負債增加（減少）,其他金融資產（增加）減少,出售及攤銷不良債權之損失,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產及設備,取得以成本衡量之金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得持有至到期日金融資產,取得無形資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,員工福利負債準備增加（減少）,央行及銀行同業存款增加（減少）,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存放央行及拆借金融同業（增加）減少,存款及匯款增加（減少）,應付商業本票增加,應付商業本票減少,應付款項增加（減少）,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產到期還本,持有至到期日金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,無活絡市場之債務商品投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,發行金融債券,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產及設備,處分以成本衡量之金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產及設備損失（利益）,處分承受擔保品,處分承受擔保品損失（利益）,處分投資損失（利益）,處分無形資產,調整項目合計,貼現及放款（增加）減少,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,附買回票券及債券負債增加（減少）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-08,1,2013,-1191609.0,,1228.0,,1435279,,0.0,,26367,-7648,,-25174,1468913,,-2281776,834715,-25865,-614444,,,,-192313.0,-8236,-14103723.0,-50563,-14912,-98771,89670,,0,105199.0,,6846625,19926.0,0.0,276688,551761,-5582944,395327,1569.0,,186,11481,-828047,2242150,1578,,2013年01月01日至2013年03月31日,106817341,94296312,-12521029,797962,8472840.0,-7048183,-8440064,,,0.0,73501977,11427060,135963,797962,-1578,3719976,-11766393,-8046417,130787,0.0,579847.0,-3030,51315,-1569,23159,635.0,-9238026,-12548999,9367275,-23800,82842,-2673347,-168824,,,-3347322,,50863.0,
2013-08-23,2,2013,-2543061.0,,1228.0,8130.0,1548964,0.0,0.0,,51829,0,14517.0,-238802,-2370201,,-4552290,1677799,304472,-1268433,,,,-196038.0,-14718,-22160483.0,-14668,-20420,-260509,113929,,0,165626.0,2561222.0,12717177,430096.0,,-325847,617564,-4845266,801194,206552.0,,182,22261,-1775796,4512884,18985,,2013年01月01日至2013年06月30日,93538427,79255733,-14282694,1703039,16886596.0,-10337754,-13018017,,,0.0,54900000,15025002,595854,1703039,-31110,9748496,-21926491,-12177995,299077,211.0,1043959.0,-4859,168510,-11672,76962,,-14721056,-22783519,9330731,-75810,101845,-1500521,-382035,0.0,-68595.0,-2224948,,0.0,-56230.0
2013-11-06,3,2013,-3692596.0,,1228.0,33130.0,2622306,0.0,,,72253,-35966,,-37854,-2491640,,-6898676,2532034,162773,-1715104,0.0,0.0,,-201909.0,-25025,-27641901.0,46947,-29120,-1090650,106662,,0,170644.0,858261.0,23736885,2600126.0,0.0,-1497501,98276,-3902673,1208534,609629.0,,239,32600,-2561892,6911599,83346,,2013年01月01日至2013年09月30日,93538427,80141325,-13397102,2518146,22809896.0,-12255201,-16545303,-181042.0,,0.0,55000000,18111747,2597999,2518146,-82816,17769107,-33139960,-15370853,467998,211.0,1461937.0,2048,162559,-10358,113654,,-19063449,-31681745,7029578,-142951,173061,-2545418,-516615,0.0,-68595.0,-3485714,,0.0,-51592.0
2014-03-19,4,2013,-5062068.0,,1228.0,35319.0,2206520,-800000.0,0.0,,83155,0,17181.0,-104533,-3197525,,-9239639,3399120,251127,-2249136,0.0,0.0,,-217883.0,-36649,-29391008.0,-95868,-25319,-1107571,66354,,0,179974.0,-3495138.0,27523515,1000022.0,,-2282445,528115,-4369514,1618132,614805.0,,196,42654,-3515599,9243507,86272,,2013年01月01日至2013年12月31日,93538427,82564182,-10974245,3408358,24850343.0,-10024347,-15692651,-181042.0,,3000000.0,54100000,20237019,3168489,3408358,-85742,20595288,-34634229,-14038941,663444,211.0,1000102.0,10037,162555,-10353,121477,,-19101009,-28249753,8227163,-145876,298333,-2426448,-701895,0.0,-68594.0,-3706692,,0.0,-51593.0
2014-05-07,1,2014,-1139719.0,-845.0,0.0,,-645516,,,,-7772,-856,,-44898,3303766,,-2353385,891761,176393,-643916,,,,-1984.0,-2393,-551666.0,-35306,63,4187355,0,-11000.0,-135,0.0,2062105.0,8300092,0.0,-140016.0,-671083,474306,-251390,406655,200673.0,,2259,9579,-811503,2368528,2696,,2014年01月01日至2014年03月31日,82564182,85301278,2737096,880648,509702.0,2970881,1436094,,,,57900000,17929638,-158788,880648,-2696,16868040,-15172875,1695165,192230,8884.0,38916.0,-2391,0,0,1614,0.0,555446,-12040689,9471640,-24934,-215197,-8326847,-57809,,,5311708,,0.0,
2014-08-20,2,2014,-2531174.0,-845.0,0.0,0.0,-2596737,0.0,0.0,0.0,19730,0,35763.0,31650,-1117542,65897.0,-4757042,1817970,-11552,-1296804,,,,-47719.0,-9202,-540907.0,-283143,1565,3034566,0,-23654.0,0,24299.0,3610382.0,11368027,0.0,-129867.0,-282792,-44958,3062527,807547,205140.0,,3739,18552,-1807688,4812303,13126,,2014年01月01日至2014年06月30日,82564182,81132231,-1431951,1891668,3881951.0,-4331390,-7288268,,,0.0,56900000,17035858,-151536,1891668,-26227,21189777,-27838539,-6648762,427586,8884.0,374381.0,-3163,0,0,-14534,,-9179936,-18289656,7196373,-60863,-438754,-9400028,-160770,0.0,0.0,7475515,-17745.0,0.0,0.0
2014-11-12,3,2014,-3860208.0,-845.0,0.0,18411.0,-2137447,0.0,,,77218,0,1199.0,-1224,1784394,65897.0,-7201042,2761233,153089,-1869722,0.0,0.0,-975216.0,-148557.0,-14299,-2497971.0,-434731,1807,561083,11002,,-61161,0.0,2522734.0,18877501,499610.0,0.0,413414,-273099,3165086,1204995,260266.0,,6940,26905,-2626442,7203502,86282,,2014年01月01日至2014年09月30日,82564182,86589657,4025475,2864140,7185046.0,146177,-4415173,-8962.0,,0.0,57700000,20937594,561123,2864140,-85014,29564088,-32983193,-3419105,624592,8884.0,634459.0,-9593,0,0,-29307,,-7279313,-24723512,7952063,-101992,-650094,-10156263,-166491,0.0,0.0,10361601,-17745.0,0.0,0.0
2015-03-18,4,2014,-5280984.0,-845.0,0.0,18411.0,-4957962,0.0,0.0,,41000,0,64351.0,-182930,-2691160,65897.0,-9675323,3730345,502267,-2591118,-6000.0,0.0,-929569.0,-361555.0,-22316,-5686328.0,-494806,129,1433686,10381,,-75616,0.0,-386401.0,31767822,519120.0,,1335606,-727754,990192,1599068,264962.0,,6791,35304,-3706634,9721290,97168,,2014年度,82564182,86061535,3497353,3737796,9274723.0,1461100,-4430773,-8962.0,,0.0,50100000,26371487,543794,3737796,-94819,39907410,-42794995,-2887585,909030,8884.0,123178.0,-19553,0,0,-112978,,-8168569,-27579651,9590048,-219951,-1655522,-6452067,-321564,654.0,0.0,7208619,-17745.0,0.0,0.0
2015-05-13,1,2015,,-557.0,,,-764492,,,,-8306,-590924,,-5079,-1017367,,-2512603,976157,-116150,-67189,,,,,-2887,,-27231,-2718,-1275955,2478,0.0,-139171,,2629017.0,6928259,,-39098.0,-1703985,707851,-779191,395279,,-486180.0,156,8433,-898290,2471392,3242,-1087723.0,2015年01月01日至2015年03月31日,86061535,76124877,-9936658,857912,,-9571022,-11138943,,574631.0,,49000000,18982830,529705,857912,-3242,3425178,-14334310,-10909132,37,,,-2351,21500,-7060,-8000,,-11996855,-15615419,8142047,-8423,-509482,212280,107179,,,-5862,,,-14440.0
2015-08-26,2,2015,,0.0,24443.0,,-2444399,,,,8822,-1231176,,6841,-2276513,0.0,-5054932,1992608,-213710,-95758,,,,,-74336,,-22923,-2625,2646638,92200,0.0,-98330,0.0,973084.0,13772907,180675.0,0.0,-1954659,-210528,-1453600,808610,,-1236367.0,195,20350,-2001457,5005510,18605,-2526953.0,2015年01月01日至2015年06月30日,86061535,82481015,-3580520,1640180,,-4954039,-7971146,,559132.0,2200000.0,49125456,24865797,3040829,1640180,-18155,15055998,-22140371,-7084373,57,,,-12065,21500,-7060,-71900,,-9611326,-12370731,8489762,-5551,-399458,-4574917,-147241,,,986354,0.0,,-14440.0
2015-11-11,3,2015,,-557.0,,,-8778453,,,,63446,-1656850,,5986,-4809546,0.0,-7668303,3016631,451815,-198537,,,0.0,,-117484,,-71574,-2531,-2346675,121859,,-149736,,-2024561.0,19660311,163365.0,,2421474,131252,-2100644,1234913,,-2138137.0,253,34110,-2885534,7572576,234172,-3903562.0,2015年01月01日至2015年09月30日,86061535,78708487,-7353048,2670063,,-8196178,-13076211,-637242.0,607246.0,2200000.0,48320023,19401017,2491959,2670063,-229361,18253598,-30096310,-11842712,770,,,-17585,21750,-6593,-68051,,-15746274,-19681719,10987447,-41181,-383464,7204854,-232845,120000.0,,-1101503,-26715.0,,-15157.0
