date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,支付之股利,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預收款項增加（減少）
2013-05-24,1,2013,,-14220.0,-25849,-34757,2335,1455,6493,,-1865.0,,,-2525,3868,17126,-5398,,0.0,0.0,-106.0,,-26241,0.0,,,-27,0.0,-80398,154684,-1416,-248,115800,2686,-21030,5978,9835,,283,-4025,,1705,,2013年01月01日至2013年03月31日,419029,663616,244587,52290,240071,255667,,,7261.0,0.0,-18588,52290,,195624,21973,217597,,0.0,11509.0,,459,-748.0,0.0,,,203377,2166,663616,-13276,849,,,,-2048,73740
2013-08-07,2,2013,,9749.0,-68365,-25353,5906,-2893,2977,,-1217.0,,,-6507,7445,34034,-9693,,0.0,-537.0,-3143.0,,-12688,0.0,,,-127,0.0,-78972,255163,629,-102,5235,-6557,13034,-1948,19792,,695,-8053,0.0,12810,,2013年01月01日至2013年06月30日,419029,561280,142251,115888,304074,336287,,-153876.0,0.0,-1668.0,-193909,115888,,287476,-76826,210650,30000.0,4.0,11548.0,,543,-753.0,0.0,,,220399,11366,561280,-36970,1222,,,,-17232,48666
2013-10-31,3,2013,,16796.0,-81715,-37288,8050,-2145,5282,,-113.0,,,-12036,11339,26302,-11998,,0.0,-697.0,0.0,,-15289,0.0,,,-15,0.0,-3469,206025,16438,-433,-49328,-8771,37834,8705,29686,,1028,-11526,,18697,,2013年01月01日至2013年09月30日,419029,634884,215855,175920,327659,371495,,-153876.0,58780.0,,-146811,175920,,189111,-10332,178779,30000.0,5546.0,11451.0,0.0,1395,-754.0,0.0,4418.0,,195575,13226,634884,-51007,1427,,,,183,-6712
2014-03-26,4,2013,,66133.0,-127499,-93,12734,-3636,13512,0.0,,,,-19336,14671,40117,-9764,,0.0,-982.0,0.0,,-9473,0.0,,,-195,0.0,118006,97444,22684,-370,-316478,-26551,49069,9806,40798,0.0,1372,-15226,,31779,,2013年01月01日至2013年12月31日,419029,645827,226798,179894,161203,209949,230850.0,-153876.0,,36197.0,15672,179894,5983.0,104877,-140955,-36078,30000.0,5716.0,11504.0,,1421,-753.0,0.0,3527.0,,30055,12521,645827,-65299,1213,,,30237.0,8753,-23673
2014-05-12,1,2014,,3893.0,-30207,-38987,-1009,6616,-1016,,,-6229.0,,-9353,3126,-2822,-4296,,,,-100.0,,1417,,,,-9,,-114947,154488,615,0,-153408,-2411,-12730,-10002,6580,,379,-2941,,12974,,2014年01月01日至2014年03月31日,645827,596434,-49393,75721,-8913,-10337,,,,2551.0,-27656,75721,,203154,-293105,-89951,0.0,632.0,0.0,,118,0.0,,,,-86058,26,596434,-8609,1626,,,,-7584,80396
2014-08-13,2,2014,,24629.0,-60414,-29232,-14493,179,1556,,,,,-19439,6566,-18012,-6419,,,0.0,-10.0,,55414,,,,0,647.0,-57543,170775,6143,-45,-131473,8468,-11054,533,13145,,678,-6398,,22311,,2014年01月01日至2014年06月30日,645827,640288,-5539,178161,29452,30280,,0.0,42902.0,0.0,-17512,178161,,42396,-214906,-172510,0.0,6315.0,0.0,,-31429,0.0,,,,-147881,2442,640288,-16741,-306,,,,-10367,-107866
2014-11-07,3,2014,,90862.0,-90621,-39278,-7561,554,2666,,,,,-29060,10383,3419,-9977,,,0.0,-94.0,,119760,,,,1265,,8205,116761,-3020,-63,-277170,10483,5891,2083,20101,,977,-9960,,30692,,2014年01月01日至2014年09月30日,645827,621245,-24582,226880,3908,7982,,-138491.0,195120.0,,-33992,226880,,-47986,-261774,-309760,0.0,6309.0,4580.0,,-30787,-75.0,,0.0,,-218898,-11437,621245,-24806,-437,,,,-4288,-111503
2015-03-25,4,2014,,170824.0,-121384,-13633,-16784,545,2850,,,-507.0,,-39592,13101,27908,-14421,-8000.0,,-430.0,,,195905,,,,0,961.0,135216,95789,-7815,444,-422772,-4299,5731,-8344,29864,9891.0,1275,-13215,,49831,,2014年度,645827,713975,68148,306950,92802,84768,0.0,-138491.0,195657.0,,-44218,306950,0.0,-106828,-286178,-393006,20000.0,4997.0,4580.0,,-29280,34.0,,4476.0,,-222182,-14529,713975,-28582,-483,,,0.0,3989,-167629
2015-05-13,1,2015,,,-33540,-34889,-2406,-547,-1755,,,0.0,3.0,-13458,4709,-4772,-1352,,,-220.0,,0.0,23446,,2522.0,,0,70.0,-21432,-2970,8424,-3,21330,12504,1202,-1499,8813,,128,-4732,,13201,23638.0,2015年01月01日至2015年03月31日,713975,903228,189253,45372,-3196,-9969,,,0.0,-100262.0,198720,45372,,-78468,-511,-78979,330000.0,0.0,,,0,,,,,-55341,3433,903228,-1696,0,,,,-9954,-51916
2015-08-11,2,2015,,,-85414,-16670,497,300,-1115,,,507.0,,-24708,9191,-23449,-23477,,,-220.0,,0.0,26919,,2474.0,,0,52.0,-44038,72606,-1916,-507,-1351,-79,-484,-23138,20117,,265,-9086,,17151,20624.0,2015年01月01日至2015年06月30日,713975,840972,126997,154776,33334,52797,,0.0,-126810.0,0.0,140250,154776,,-65644,-56959,-122603,350000.0,0.0,0.0,,0,-10779.0,,,,-101979,-2302,840972,-27528,-381,,,,-10389,-117155
