date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產減少,其他非流動負債增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付款項增加,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,非金融資產減損損失,預付款項（增加）減少
2013-05-13,1,2013,2124452.0,,,-2729966,-238014,294476,43543,393.0,,-15129,7077,,0,-41614,108810,166429,-1962776,-82988,0.0,-454.0,-110617,-10253,-48935,30340,-3302.0,,527581,0.0,,-2624157,-173060,,,-19507.0,41411,2420941,5041,-101885,-1560.0,-2007037,1970645,,54430,20963,-111078,39613,,,2013年01月01日至2013年03月31日,27531243,25195779,30616,-2335464,673843,,2723468,2863984,,,-865572.0,-3218324,673843,,,-2951837,3017526,65689,250000,151872,,4404,4415,-1194,,,2190141,25195779,-69051,5543,20773,,116381,,-113892
2013-08-13,2,2013,4464732.0,,,-4712541,253617,-68605,-13545,393.0,,-81027,10537,,0,-88115,225660,258262,-4014108,-82988,0.0,,-66337,-33893,-25523,44528,-23327.0,,494734,-175452.0,,-1442552,-43587,,,-19498.0,29803,921140,-10607,70178,-4936.0,-4163830,3950552,,4518,26417,-259968,79707,,,2013年01月01日至2013年06月30日,27531243,26489802,-22378,-1041441,1053073,,4974117,5585222,,839687.0,,-2109990,1053073,,,-1221200,1288617,67417,1550000,121162,88057.0,12519,18453,-52575,,,4532149,26489802,-430844,-16713,180793,,187834,263643.0,-37589
2013-11-12,3,2013,6525013.0,0.0,,-6661434,84502,-7490,-37486,393.0,,-79157,-122455,,-6639,-138302,326969,325093,-7453224,-90988,0.0,,-66337,-48503,-27842,37665,-17240.0,,492396,-167037.0,,-2031168,-69857,,,-19484.0,30802,715482,25820,220500,-6650.0,-7701841,6005101,,95800,40948,-337586,138951,,,2013年01月01日至2013年09月30日,27024937,24456120,-136194,-2568817,1476402,,6371995,7206813,-1692467.0,,46260.0,-1564064,1476402,,,-2029857,1235255,-794602,6696433,160110,88057.0,15776,17085,-53637,,-25514.0,5730411,24456120,-636183,-23026,237577,,28963,212687.0,-132689
2014-03-27,4,2013,8708516.0,3002.0,,-10256558,-455702,-106518,-8381,393.0,,-87564,123554,24622.0,-10801,-193090,445549,412893,-10349204,-103185,0.0,,-125337,-67156,-55544,45849,-24972.0,,816085,-183947.0,,-2672419,-294029,,,-19480.0,16569,2608769,20455,192034,-8387.0,-10088313,7987287,0.0,141868,56110,-443929,201072,,,2013年01月01日至2013年12月31日,27024937,23776830,-153688,-3248107,1213143,,9002241,9918103,-1692467.0,,-739538.0,-2574928,1213143,,,-3422349,3418793,-3556,9931383,213263,98353.0,21856,32922,-57167,305460.0,-159897.0,8704960,23776830,-673005,-19142,288659,,131261,405450.0,-24861
2014-05-07,1,2014,2213483.0,0.0,,-3033871,-344048,212696,61668,0.0,,4780,22023,,-1605,-58269,104733,104447,-2607121,0,0.0,,0,-13557,-54130,-4689,5735.0,,-274853,0.0,,-416152,50907,16802.0,,0.0,39608,100144,-4667,-98025,-1534.0,-2544914,2013141,,-3392,14732,-90361,52185,,,2014年01月01日至2014年03月31日,23776830,21241745,144623,-2535085,84530,,1403258,1491672,0.0,,-281041.0,-1497876,84530,,,-609551,-196790,-806341,1745594,33528,0.0,14478,-2945,-5569,,29804.0,1407142,21241745,-50238,-11697,35114,0.0,59329,8943.0,-136865
2014-08-12,2,2014,4231172.0,0.0,,-5322825,-76105,156276,41985,0.0,,20060,9871,,-3166,-117767,219102,-117475,-5423322,-61049,0.0,,0,-36226,-71053,-2823,1463.0,,-1016673,0.0,-161561.0,441241,110738,,,0.0,20599,-858334,2531,-104855,-3738.0,-5395333,3998724,,-12299,30600,-191782,115423,,,2014年01月01日至2014年06月30日,23776830,21025272,105563,-2751558,356570,,2835451,3019541,,,1266199.0,-74201,356570,,,534720,-2102921,-1568201,4167875,85089,0.0,28841,2785,-11791,,29804.0,2662971,21025272,-107731,1918,49809,,-21066,8943.0,-301926
2014-11-07,3,2014,6383647.0,2400.0,,-10493940,50865,280219,49627,0.0,,-32588,16974,,-4740,-165697,332038,91987,-7418380,-61049,0.0,,-35375,-63656,-48247,-23907,-9385.0,,-1332152,0.0,-161561.0,1089601,106151,,,0.0,56029,-2332300,-17280,-77562,-5435.0,-7428273,5960174,,95161,48247,-361124,171787,,,2014年01月01日至2014年09月30日,23776830,20885110,44086,-2891720,942751,,4397782,4788649,-923164.0,,3061409.0,46784,942751,1976.0,,1346838,-3884587,-2537749,8578878,104928,0.0,35270,9524,-14737,,29804.0,3845898,20885110,-201530,-1840,88955,,9069,8943.0,-372924
2015-03-26,4,2014,8628517.0,2400.0,,-13206124,1242587,231433,27357,0.0,2032.0,-29577,199710,0.0,-6591,-217699,458493,755080,-10279293,-88752,0.0,,-231689,-92035,-70264,-34090,5986.0,,-1049200,0.0,-346289.0,467372,76347,,,0.0,15862,-2233568,-29160,-205918,-9859.0,-10282024,7993464,,139443,69930,-473212,211704,31649.0,,2014年度,23776830,21797543,-3553,-1979287,404687,,6623144,7128807,-923164.0,,1530747.0,924513,404687,5611.0,-31649.0,1821698,-3726095,-1904397,13944699,116841,0.0,51508,16023,-22573,33300.0,12069.0,6724120,21797543,-275804,-2939,268797,,-41266,19955.0,-410105
2015-05-14,1,2015,,0.0,,-2792719,-380538,56985,-18234,0.0,1809.0,10150,83778,,-1634,-51519,114128,-229768,-2261903,-4491,0.0,,-62475,-21878,3549,5299,,1277.0,410478,0.0,-17191.0,-1517590,-66845,0.0,,0.0,43344,2369017,6950,42912,,-1943978,2018824,,42085,20656,-117899,45277,,1949143.0,2015年01月01日至2015年03月31日,21797543,23807926,-104878,2010383,-751104,-1720.0,2123974,2255458,0.0,1385679.0,,2060155,-751104,3635.0,,-1939774,2997193,1057419,3520900,285244,0.0,36470,-123332,-19776,,0.0,3006562,23807926,-58862,14857,32548,,-41813,0.0,100701
2015-08-12,2,2015,,,,-4618604,-121125,48208,-30036,,1591.0,21569,103755,,-3240,-98363,248039,-462140,-4763770,-15649,,,-62475,-56873,117077,7286,-199.0,,556309,,-286665.0,-267235,-69850,,,,19580,561658,-18555,23125,,-4408944,4021169,,69350,42312,-258224,114805,,4168240.0,2015年01月01日至2015年06月30日,21797543,22235350,-133903,437807,-1097784,-3546.0,3504928,3854960,,,1769300.0,1803963,-1097784,7271.0,,-470621,1255125,784504,4930850,291889,,94378,-120476,-55209,,0.0,4952744,22235350,-206613,8945,65268,,1796,0.0,62811
