date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得投資性不動產,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,存貨（增加）減少,已實現銷貨損失（利益）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,按攤銷後成本衡量之金融資產到期還本,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務商品投資到期還本,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動
2013-05-13,1,2013,-327435.0,,-2804,-661636,-162542,0.0,,,-3396,11790,3.0,,-6905,,,-26885,7246,15478,-147970,,,,-271.0,,0.0,,-167524.0,,2746423,,-626614.0,-19656,,18751.0,,246147,-684001,194239,-145876.0,34952,148996,,-39378,,,-404354,21731,-9423,26767,59066,,2013年01月01日至2013年03月31日,7439054,8404373,-6951,18389.0,965319,571764,,,,1093083,1099829,,,-184721,-178194,571764,,-1457178,2312678,855500,,8899,1270.0,178639.0,82981.0,-419.0,,,492.0,0.0,,,,528065,8404373,-6746,-85680,,
2013-08-08,2,2013,-339760.0,,-5609,-599722,-180666,,0.0,,223,-173631,909.0,,-12836,,,-56292,16786,86600,-377362,,,,-271.0,,0.0,,-167687.0,,3120687,,13869.0,-34925,,-19921.0,,263253,-709590,307797,-130128.0,2229027,309899,-239676.0,-199715,,0.0,-790233,46087,-18450,54695,196531,,2013年01月01日至2013年06月30日,7171323,11516794,-14869,11587.0,4345471,1488158,,,,2359640,2586174,,,-286725,-329796,1488158,,-990359,2428135,1437776,,9244,2186.0,2328749.0,195778.0,4164.0,,,318.0,0.0,0.0,0.0,,1098016,11516794,-226534,132793,,
2013-11-12,3,2013,-296430.0,,-8414,-207880,-74152,,0.0,,-79826,-239531,1014.0,,-46302,,,-91338,24123,10887,-630536,-11128.0,,,-271.0,,0.0,-129200.0,-216553.0,,2714209,,-137814.0,-202762,,-19540.0,,29443,-97844,222382,-115232.0,2604996,466691,-239676.0,6455,,67059.0,-975149,68409,-24465,96691,809547,,2013年01月01日至2013年09月30日,7171323,11334117,-4068,-1619.0,4162794,2131482,,,,3181344,3412824,-1245646.0,,-270862,-1634433,2131482,,-983190,2560962,1577772,,34072,13932.0,2423977.0,193708.0,9057.0,,,586.0,0.0,0.0,0.0,,1281342,11334117,-231480,88579,118299.0,-66520.0
2014-03-24,4,2013,-513272.0,,-11218,-435277,-83475,,0.0,0.0,1234317,-459140,1246.0,,-118861,,0.0,-126559,28024,139118,-1132653,-11128.0,2341257.0,-25039.0,,,0.0,-129199.0,-363794.0,,1675654,-27927.0,345390.0,104601,,-89754.0,,140628,-389920,114654,-111112.0,2217280,628439,-262475.0,-130470,,219375.0,-1360568,104194,-30651,131991,1024225,,2013年01月01日至2013年12月31日,7171323,10947278,-28172,,3775955,3065948,,,,4072985,4296051,-2491292.0,,-15280,-2653428,3065948,,875444,867931,1743375,,35411,11128.0,,209528.0,,,16913.0,39225.0,0.0,0.0,0.0,,1230103,10947278,-223066,73669,139490.0,8560.0
2014-05-12,1,2014,-100594.0,,-1506,-278897,56875,,,,-51727,193287,168.0,,20421,,,-40103,9343,7694,-302715,,,,0.0,,-164982.0,-50295.0,-29192.0,,1341400,,,-221844,,-54697.0,-568753.0,-95802,-231065,88940,-12014.0,-516624,153520,,-25348,,,-258655,22023,-10174,40480,34144,,2014年01月01日至2014年03月31日,10947278,11306268,19025,32585.0,358990,1065171,,,,1136575,1159629,,,-202446,-268655,1065171,,-1133235,1328287,195052,,7373,20174.0,-146687.0,54655.0,564.0,,,8566.0,,,,,94458,11306268,-23054,-47462,,
2014-08-08,2,2014,-104589.0,,-3013,135922,137831,,,,-80845,310432,307.0,,-7081,,-4603.0,-77458,16201,3451,-565263,,,,0.0,-192076.0,-164982.0,-52505.0,,,1345474,,-181159.0,22874,,-54644.0,,-441902,-507924,-19757,552.0,-670170,326223,0.0,44415,-62404.0,,-429057,43974,-17032,75712,163697,,2014年01月01日至2014年06月30日,10947278,12309083,-28937,36815.0,1361805,1951486,,,,2386844,2612810,,,-263759,-358320,1951486,-14189.0,-102656,868569,765913,,19161,20759.0,,,1903.0,984.0,,10147.0,,,,93828.0,661324,12309083,-225966,-57046,71438.0,-20179.0
2014-11-10,3,2014,-85362.0,,-4520,97775,120920,,,,-105630,273265,494.0,,-42565,,-4603.0,-116385,22447,1340,-762364,0.0,,,0.0,,-622789.0,-52505.0,-826544.0,,1457255,,-712861.0,-296210,,-219518.0,,-181448,-132113,-3626,14358.0,-1225699,498608,,74941,,103371.0,-623811,65606,-23278,113185,761631,,2014年01月01日至2014年09月30日,10947278,10650116,594,11337.0,-297162,2765974,,141748.0,,3044475,3287238,-1522456.0,,-262902,-2117278,2765974,-33510.0,-1002568,1609194,606626,,26412,20759.0,-193803.0,106781.0,9807.0,984.0,,10147.0,,,,,521264,10650116,-242763,2963,71438.0,-85098.0
2015-03-24,4,2014,-212767.0,,0,383375,54127,,,,9660,469056,676.0,,0,22923.0,-4603.0,-154425,21313,51768,-1275175,-24769.0,-189286.0,-288.0,-686.0,,-729750.0,-92650.0,-980584.0,,47588,-8606.0,-416547.0,15764,,-219618.0,,90504,71695,-34819,8105.0,-1398313,727754,0.0,295858,,103371.0,-978415,88082,-22102,143867,1061068,,2014年度,10947278,11211609,-42757,,264331,3239899,,291748.0,,3747191,4021498,-1522456.0,,-331393,-2136315,3239899,-47546.0,357,994009,994366,43974.0,34317,53361.0,,102000.0,11354.0,984.0,,-4862.0,80948.0,16279.0,,,781599,11211609,-274307,34535,129130.0,-85108.0
2015-05-11,1,2015,,,0,-444415,-32798,,,,-116337,-49542,0.0,-804.0,-31044,0.0,,-49661,5700,2793,-279610,,,-16250.0,,,0.0,0.0,,0.0,1598058,,-350013.0,-76075,,-62.0,,-391471,-413789,-19976,,144958,192544,,80825,,,-242105,23542,-5706,45072,31689,-43283.0,2015年01月01日至2015年03月31日,11211609,12196643,13060,38268.0,985034,1216399,-54154.0,,9363.0,888067,903429,,,-20706,-50784,1216399,,-1040994,771307,-269687,,21367,0.0,348085.0,36.0,-2454.0,,,0.0,,,,,-312970,12196643,-15362,-22177,,-7256.0
2015-08-10,2,2015,,,-4545,-362619,18231,,,,-68605,-125542,0.0,-723.0,-68094,,0.0,-107097,16005,-1816,-520773,,0.0,-16250.0,,,-197393.0,0.0,,-628373.0,1671328,,-30572.0,57793,59.0,0.0,,-537542,-284628,66357,,-556116,415089,,239697,,,-534317,47896,-16005,100914,147648,-144112.0,2015年01月01日至2015年06月30日,11211609,13146056,58183,26899.0,1934447,2387189,-51153.0,,9362.0,2537349,2835822,,29009.0,0,-44970,2387189,-7315.0,-455156,1047901,592745,,44108,23098.0,533322.0,36.0,-5714.0,0.0,,-8074.0,29.0,,,,448633,13146056,-298473,-47344,1677.0,-36515.0
