date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款增加,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存貨（增加）減少,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分待出售非流動資產損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付費用（增加）減少,預收款項增加－處分資產
2013-05-15,1,2013,176026.0,,-29406,-49525,,19779,,,37840,52960.0,,4395,,85203,23786,10346,,-232938.0,,,3698.0,-18652.0,0.0,-14162,66820,62424,-1300348,,,0.0,-640.0,,,-157729,,,132153,46984,,,-17050,-383695,412331,32736,,-1464374,151093,-19958,-9909,6619,-41675,14162,,,2013年01月01日至2013年03月31日,7477222,8023272,546050,133267,-53126,-12551,,848047.0,,2001126,133267,,227890,-549734,-321844,1182485,2857,10037.0,,,10.0,,,,,-4609.0,,,-145818,8023272,-13062,-1184,,,,,,,-499440.0,,,
2013-08-13,2,2013,413368.0,,-524005,16614,,-42119,0.0,,54351,,59340.0,-11688,,-33127,37497,22597,,-247269.0,,-69473.0,,,,-37473,156611,169048,-1977026,0.0,,0.0,-1424.0,0.0,0.0,-97851,,,19579,-880,99960.0,,138007,286912,768544,61420,,-2222524,304011,-84903,-16512,13102,-352980,37473,,,2013年01月01日至2013年06月30日,7477222,7144919,-332303,268467,735172,1153428,,47426.0,,986001,268467,,120671,350922,471593,1362620,3291,10037.0,,,,,,,86.0,-4663.0,0.0,,884961,7144919,-102749,-1794,,,0.0,,,,-663360.0,,,
2013-11-12,3,2013,624837.0,,-917752,213842,,-17411,0.0,,75437,,64248.0,-2179,,506899,-37805,-14218,,-340480.0,,,31586.0,,,-56848,245132,33549,-2271027,0.0,,0.0,-1653.0,-6168.0,0.0,-1048466,,,192188,1697,199903.0,,-19097,204730,1201394,101059,,-2591338,449471,-84903,-18242,17822,-602276,56848,14182.0,,2013年01月01日至2013年09月30日,7477222,5947184,-1530038,534958,765949,1477236,,,-634920.0,261802,534958,0.0,863900,-546459,317441,1586368,3638,10959.0,,,,,28203.0,,1212.0,-4877.0,0.0,,942278,5947184,-165859,-2665,,,0.0,,,-102791.0,-955726.0,0.0,,
2014-03-28,4,2013,960208.0,,-1388173,223141,344664.0,-34059,,,116047,,3373.0,4556,,119267,-132724,-28856,,-789632.0,,,27978.0,-11866.0,,-79096,349324,204542,-2479871,0.0,,0.0,-2072.0,-43804.0,0.0,-1176067,,,-152289,1238,199853.0,,11148,-101293,1371262,124666,,-3318124,653663,-164958,-78451,19457,-762299,79096,11300.0,,2013年01月01日至2013年12月31日,7477222,6139908,-1337314,598166,39274,946194,-173895.0,485209.0,,1736994,598166,-1693.0,139590,-751770,-612180,2236657,4104,21620.0,0.0,,,,,,7438.0,-7497.0,0.0,,348028,6139908,-235017,-1456,30000.0,,32679.0,124189.0,0.0,-103624.0,-793259.0,,,
2014-05-14,1,2014,213807.0,,-62522,-76719,174451.0,2959,,,-19559,,9081.0,15264,,-145849,14184,-3968,,-271500.0,,,6293.0,,,-17238,134605,-10194,-745222,,,,-494.0,-9081.0,,-878760,,,-522166,-1696,,-199891.0,-30623,-623345,756103,-102369,,-997920,171429,150375,-66901,1659,-79437,17238,,,2014年01月01日至2014年03月31日,6139908,4920602,-1219306,142412,-2080404,-1940831,,1706739.0,,1869212,142412,,-778062,-1518988,-2297050,276636,3922,0.0,,,,,,,108.0,0.0,,,-2083243,4920602,-77374,-774,,,-26201.0,,,,-830881.0,,,
2014-08-13,2,2014,637681.0,,-1263074,-36243,172078.0,103284,,,-55673,,112093.0,18672,,413009,2708,8652,,-448083.0,,-74330.0,,,,-33604,280672,-40890,-1220201,,,,-646.0,-14031.0,,-1585666,,,-268495,-3326,,-99891.0,-30820,-294222,734528,-127569,,-1843200,339634,150375,-90955,3314,-391939,33604,,,2014年01月01日至2014年06月30日,6139908,5642254,-497654,80271,-1356147,-829348,,3419992.0,,2742583,80271,,186061,-1733361,-1547300,539679,4054,0.0,,,44.0,,,,,0.0,,,-909619,5642254,-168464,-1965,,,-26201.0,154572.0,,-216087.0,-576514.0,,,
2014-11-13,3,2014,971980.0,742.0,-1480119,-188198,129015.0,55044,,,-43750,,71250.0,62601,,469681,463597,44599,,-1443423.0,,-64931.0,,,,-57151,458008,114834,-1694313,,,,-27142.0,-14031.0,,-1455601,10374.0,,890983,4471,74.0,,-29200,-290777,-131307,-124322,,-3370711,526112,50374,-98675,5157,-460219,57151,29736.0,,2014年01月01日至2014年09月30日,6139908,5329083,-810825,-14728,-347932,279750,,3620692.0,,2792984,-14728,-1372.0,1247380,-1924882,-677502,539149,7106,0.0,,,223.0,59.0,,,,0.0,,,294478,5329083,-254350,-863,,,-26201.0,154572.0,,-220059.0,,,-455697.0,
2015-03-30,4,2014,1995923.0,742.0,-2285764,180769,441140.0,62781,,,-41836,,59490.0,64416,,-3074,90999,37458,,-2400502.0,,-77451.0,,120787.0,,-97936,685194,167639,-2223179,,,-228581.0,-27849.0,-30084.0,,46820,10374.0,-47271.0,1060919,2703,99.0,,-30208,-296573,-131307,-63492,,-4919659,749337,150493,-144489,8123,-1031494,97936,30562.0,,2014年度,6139908,7347539,1207631,-1017618,308294,1512996,0.0,5757067.0,,5651357,-1017618,-1372.0,1311348,-776657,534691,1801913,23061,0.0,,,-328.0,59.0,,,,-493.0,,,2530614,7347539,-301706,880,15108.0,,-26201.0,691196.0,,-45449.0,,,-596177.0,
2015-05-15,1,2015,,,-1331316,-109600,0.0,-48831,,,21187,-214087.0,,3635,-156587.0,312926,-315968,541,,,209086.0,,8528.0,-28998.0,,-26319,238209,-30577,-337017,,,,0.0,0.0,133553.0,343375,,,-712626,-6108,,-100000.0,-918,552648,531985,176523,,-344422,282604,0,-8658,3024,-189181,26319,,424039.0,2015年01月01日至2015年03月31日,7347539,6051599,-1295940,-132557,1419314,1636530,,,-1071457.0,-2340255,-132557,,-564616,1909664,1345048,187960,12102,,,,-5101.0,,,,,,,,1769087,6051599,-54354,-2047,,,-25442.0,,-28675.0,,,,596279.0,
2015-08-14,2,2015,,,-2440915,153927,0.0,-66503,,-136401.0,159970,-251110.0,,-85165,-254115.0,-45583,-9206,-3508,,-114168.0,,,22941.0,-35803.0,,-55887,460997,-361972,-445438,,,,-76.0,-9354.0,133553.0,-56515,,,-411082,179034,,-424234.0,-866,839826,333019,219374,,-780855,554886,-72960,-15904,5968,-339915,55887,,723802.0,2015年01月01日至2015年06月30日,7347539,4126051,-3221488,-8754,1395748,1795289,,,-1172777.0,-3474409,-8754,,-194581,1274822,1080241,620520,19462,,,,-12040.0,104187.0,,-138963.0,,,,,1804043,4126051,-115513,-2177,,,-57003.0,,-27921.0,0.0,,,-53521.0,140310.0
2015-11-13,3,2015,,593.0,-3000534,249800,1317107.0,-76186,,-52855.0,44447,-142226.0,0.0,-83193,-283912.0,173298,-564107,6051,,0.0,84250.0,-32402.0,,-35803.0,,-80670,605578,36840,-476408,,,,-77.0,-9432.0,133553.0,182450,0.0,,-1424500,-7508,0.0,-424234.0,51400,840692,560593,110094,,-249513,813700,-62656,-39602,9005,-631088,80670,28364.0,700918.0,2015年01月01日至2015年09月30日,7347539,4054402,-3293137,234857,317298,1023369,,0.0,-1945551.0,-3397762,234857,-2166.0,-1027645,1115239,87594,712453,64904,,,,-22297.0,493021.0,,,,-508226.0,,,788512,4054402,-184017,-1026,,,-57003.0,0.0,-28143.0,-37954.0,,,86919.0,
2016-03-31,4,2015,,593.0,-3882518,125411,1317107.0,-71810,,,3697,-247700.0,0.0,28250,-283912.0,153593,-494184,5066,,-185562.0,,0.0,95478.0,-40253.0,,-116128,700083,-180901,-543664,,-161179.0,0.0,-77.0,-4070.0,133553.0,642170,0.0,0.0,-1451903,49134,0.0,-424234.0,1823,167135,1253377,7081,,-634845,987375,-12629,-44971,15921,-627749,116128,30144.0,947153.0,2015年度,7347539,4486331,-2861208,37904,1227399,1939608,,0.0,-1602076.0,-3272861,37904,-2166.0,-1188686,2143237,954551,1415474,64604,,,,-15911.0,493021.0,,,,-363.0,,-529907.0,1901704,4486331,-230732,-2310,,19946.0,-96614.0,,-20093.0,0.0,,,548340.0,
2016-05-13,1,2016,,,-621640,-67411,,29863,,,101510,0.0,1476.0,-6371,0.0,233539,-3321,575188,,,183600.0,,100481.0,-1446.0,,-18435,60288,-61813,-102067,,,,,-994.0,0.0,-499534,,,125615,-91986,,0.0,25643,-38675,-104052,202784,-9954.0,185177,162617,63,-17713,4937,-92935,18435,,188425.0,2016年01月01日至2016年03月31日,4486331,4432579,-53752,222786,524313,652750,,,-443172.0,-701429,222786,,830451,-588912,241539,363383,1687,,,,779.0,,,,,,,,429964,4432579,-53937,-28,,,0.0,,-1580.0,,,,-231362.0,
