date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,呆帳費用提列（轉列收入）數,員工執行認股權,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,預付款項（增加）減少,預付費用（增加）減少
2013-05-06,1,2013,8060.0,-1719.0,-6060,-1038,-781,,,,,-4717.0,-6342.0,,,,,,4918.0,,,3549,-5751,,-135,,,,902,,,851,,3251,-13517,,-648,-452.0,-5751,4390,,15965,,-1113,0.0,-388,272,,,2013年01月01日至2013年03月31日,143442,127320,,-16122,17655,,13000,13129,,,,-26920.0,-26920,19374,,-8165,-4421,-12586,,0,0,-4526,127320,-13,,,,
2013-08-14,2,2013,15251.0,-2795.0,1966,958,-422,,0.0,,-9172.0,-4080.0,12242.0,,,,,,5254.0,,,1438,-25134,,-300,,,,747,,0.0,-3022,,-683,4478,,-3050,-1238.0,27048,8994,,15543,,-3534,0.0,-688,435,1272.0,,2013年01月01日至2013年06月30日,143442,201683,,58241,30994,,56203,60512,,0.0,,-26448.0,-26448,33789,,-6099,20366,14267,,52182,2804,29518,201683,-5328,2033.0,,,
2013-11-11,3,2013,40429.0,,10941,-1708,-1320,,0.0,,,-6832.0,3582.0,,,,,,18039.0,,,-1598,-33107,,-286,38019.0,,,-6760,,0.0,-3089,,-702,7768,,-2257,-2323.0,29318,22890,0.0,18226,,-4639,168.0,-983,957,2700.0,,2013年01月01日至2013年09月30日,143442,535607,,392165,35280,,83104,91235,309372.0,0.0,,-66050.0,281341,35280,,-3713,19239,15526,,62425,5519,55955,535607,-10805,-1262.0,,,
2014-03-30,4,2013,45775.0,,12643,1825,-1793,,,,,-6143.0,12552.0,,,,,,11064.0,,,-2236,-47833,,142,38367.0,-1150.0,,-785,,0.0,33923,,-185,-74679,-280.0,-1510,-2770.0,16444,29877,,16026,,-5628,,-1153,1471,2341.0,,2013年01月01日至2013年12月31日,143442,583837,,440395,64095,,90520,98694,309372.0,0.0,,-12072.0,335667,64095,,39293,-50469,-11176,,65427,9114,34599,583837,-10833,1206.0,0.0,,
2014-05-14,1,2014,6980.0,,337,-2426,170,280.0,,,,-719.0,-2567.0,,,,,,,-559.0,491.0,4885,-4924,,294,,,50.0,1948,,,-6553,-23147.0,-566,-75783,,3235,-702.0,-3524,7574,,144,,-1002,,-413,436,0.0,,2014年01月01日至2014年03月31日,583837,553808,,-30029,20131,,-79223,-79238,,,47833.0,,47833,20131,0.0,-33776,-72573,-106349,,1350,92,-99369,553808,-8,90.0,,,
2014-08-13,2,2014,11795.0,,2520,2124,-37,280.0,,,,-854.0,-10966.0,0.0,-133280.0,,,,,-2643.0,2297.0,2209,-7450,,356,,-2476.0,,-4725,,,4111,-27861.0,-355,72405,,2478,-3306.0,-139044,14940,,-2015,1062.0,-3399,,-2118,2155,0.0,,2014年01月01日至2014年06月30日,583837,558209,,-25628,25392,,66217,70986,,,44990.0,,44990,25392,0.0,-23621,57420,33799,,3100,283,45594,558209,-4806,-39.0,,,
2014-11-13,3,2014,17574.0,,7849,-329,-108,-63996.0,,1407.0,-36199.0,,,,-138523.0,,-1106.0,,,-2711.0,2315.0,4601,-12784,,-419,0.0,-86294.0,,3033,,,-833,-27760.0,-346,80085,-9051.0,2442,-3306.0,-234546,22034,,-15638,1062.0,-5340,,-2068,2642,2260.0,,2014年01月01日至2014年09月30日,583837,502986,,-80851,38201,,-14100,-6975,0.0,,163194.0,0.0,163194,38201,-136.0,-23318,-39432,-62750,,3099,283,-45176,502986,-9959,1548.0,,,
2015-03-30,4,2014,21689.0,,4594,-7168,-170,280.0,,,,-9860.0,-41194.0,,-205783.0,,,,,-3813.0,3448.0,2359,-12213,,-351,0.0,-3923.0,,-2082,,0.0,-2371,,-29049,44790,,332,-986.0,-217757,29119,,877,1062.0,-6510,228.0,-3448,3426,5299.0,,2014年度,583837,550283,,-33554,58578,,33515,38260,0.0,0.0,,148329.0,148329,58578,-136.0,-44840,2833,-42007,,3100,283,-20318,550283,-10022,-579.0,,,
2015-05-12,1,2015,,,-7555,5539,-311,0.0,,,-515.0,794.0,2018.0,,,157002.0,,,,-561.0,663.0,868,-11492,,150,,,,-416,,,-1739,-85.0,-50,-21396,,3170,,145515,7172,,8717,,-830,58.0,-663,532,225.0,4756.0,2015年01月01日至2015年03月31日,550283,568479,,18196,-3696,0.0,-78542,-78636,,,-49645.0,,-49645,-3696,-225.0,-3096,-76600,-79696,,5,16,-74940,568479,0,-1687.0,,-67867.0,
2015-08-11,2,2015,,,-3634,-30669,471,0.0,,,,4987.0,17969.0,0.0,0.0,69842.0,,,,-1189.0,1419.0,-3768,-39294,,251,,41937.0,,1210,1526.0,,-17589,0.0,179,-83042,,23025,,74011,15200,,8717,0.0,-2745,116.0,-1419,1655,225.0,9695.0,2015年01月01日至2015年06月30日,550283,476466,,-73817,-6148,0.0,-92968,-91788,,,-51092.0,,-51092,-6148,-225.0,-46726,-48609,-95335,,0,-1205,-85640,476466,-1641,-1927.0,,-16959.0,
