date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票處分,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-07,1,2013,239342.0,,,,-1033518,983,1585,-31003,,,-14741.0,11313,,,-4605,4819,759,-223034,-12000.0,,-21933,-96784,,,,1590,2382,-34723.0,,-70335,,,-4803,-683,29981,-17452,-7979,-16147,7703,-40364,13263.0,-163254,224180,,,5292,28990,-4727,4687,1367,,2013年01月01日至2013年03月31日,3892053,2975113,-916940,571527,,-334578,-333288,,,-444251.0,-419867,571527,-1367,-961403,-182754,-1144157,0.0,1510,,225771,-716,,,-8469,,0.0,,,,,-904815,32,2975113,-1250,-9985.0,,-387.0,,-33591,,,80173
2013-08-14,2,2013,545264.0,,,,-1044088,1000,10037,-1316,,39520.0,-39155.0,17309,,,-10495,9383,6589,-496704,-12000.0,-97073.0,-21934,-294176,,,,3444,10106,-41570.0,,-120198,,,17996,-4744,79959,14934,-5935,-63112,13199,3940,23538.0,-749989,450136,,,5601,54238,-9352,10516,5764,,2013年01月01日至2013年06月30日,3892053,3149404,-742649,1163327,,318880,536655,,0.0,-441779.0,-318129,1163327,-5764,-936851,-235085,-1171936,0.0,4506,,293221,-1290,,,-6683,20000.0,0.0,,,,,-626672,0,3149404,-218939,31097.0,16452.0,-855.0,,-68598,-88177.0,,45476
2013-11-13,3,2013,623061.0,,,,-1210957,-25694,9649,-109617,,51300.0,-52081.0,19726,,,-15237,15134,4146,-873105,-12000.0,-196652.0,-304829,-261197,,0.0,,4087,19809,-33657.0,,-79481,,,-52009,421,69998,-58896,-6839,-12240,8821,847,38892.0,-1289523,673173,,,-22381,79158,-15214,15318,58643,,2013年01月01日至2013年09月30日,3892053,2806966,-1085087,1796336,,500234,923758,-1511399.0,,1077187.0,-299944,1796336,-17910,-1209364,-286275,-1495639,0.0,7282,0.0,358564,-2252,,,-6900,20000.0,0.0,,,,,-872578,-294,2806966,-423628,-108903.0,26452.0,-1360.0,,-68911,-20217.0,,63830
2014-03-27,4,2013,976018.0,,,,-714842,-48627,24182,-794752,,,370.0,-65249,,0.0,-20022,21547,14537,-1407893,-12000.0,-289299.0,-22046,-303524,,0.0,,3320,17503,0.0,-45528.0,-60418,,,22948,10780,39973,-85804,6026,-29211,10802,-20695,44320.0,-2478076,894275,-20447.0,,-125439,111967,-21667,20107,62442,,2013年01月01日至2013年12月31日,3892053,2901636,-990417,2415787,,1266326,1682647,-1511399.0,,1603393.0,206796,2415787,-21731,-679663,-1029495,-1709158,0.0,9565,2602.0,360978,-3835,,,-6900,20000.0,0.0,,,3000.0,,-733140,-294,2901636,-414761,,125374.0,-2538.0,51300.0,-66147,-791494.0,,19047
2014-05-14,1,2014,179694.0,,,,-514506,2466,66319,676160,,,-17918.0,-9671,,,-3609,6334,588,-283356,-2000.0,-40000.0,-551,-40000,,,,1063,5166,11964.0,,-93455,,,3674,-14457,30010,53409,3127,17294,-5097,5112,20860.0,-298299,223897,,,-16068,25201,-6000,3639,4719,,2014年01月01日至2014年03月31日,2901636,3562508,660872,604284,,1048088,1054761,,,-127808.0,-89505,604284,-4719,-301313,572096,270783,,912,3058.0,64218,-90,,,-416,,,,,,,450477,0,3562508,-4312,-54985.0,3917.0,-831.0,,-30384,,10326.0,83388
2014-08-13,2,2014,450928.0,,,,-258814,-28611,72042,645471,,0.0,-34648.0,33053,,,-8300,12521,-3780,-542846,-2000.0,-150000.0,-551,-125223,,,,1916,17425,8460.0,,-136570,,,-22861,-8067,-5,44437,749,-55633,-52937,19357,28694.0,-716523,450954,-54583.0,,-44081,49260,-11893,8330,6569,,2014年01月01日至2014年06月30日,2901636,3759276,857640,1230650,,1702514,1925955,,,-142740.0,-124571,1230650,-6569,-65776,310153,244377,,2234,,79808,-260,,,-7272,3058.0,,,,,,695305,-246,3759276,-219878,,3917.0,-1158.0,,-26341,,5563.0,79039
2014-11-12,3,2014,624208.0,,,,-496479,-21873,64644,695243,,24886.0,-45743.0,7500,,,-11671,18951,-5003,-898364,-2000.0,-180000.0,-8896,-125223,,0.0,,2879,29263,23556.0,,-88796,,,41314,-6033,12,89254,4704,-129982,-51485,10135,41721.0,-899899,679960,,,-84070,71308,-18495,11701,32483,,2014年01月01日至2014年09月30日,2901636,3792116,890480,1891539,,2247085,2678620,-42634.0,,-467934.0,-451703,1891539,-24157,-153355,316228,162873,0.0,33785,3058.0,272884,5112,,,-7799,0.0,0.0,,,,,787081,-843,3792116,-424741,-34392.0,9917.0,-1830.0,,-97014,-12939.0,,113067
2015-03-24,4,2014,875259.0,,,,622002,-14910,83851,716364,,,-40303.0,-59702,,0.0,-16567,25866,-2921,-1368538,-2000.0,-283000.0,-8896,-125223,,0.0,,10142,28452,0.0,-25621.0,-70341,,,115181,-11633,4991,145783,6181,-55843,-64106,16668,40361.0,-1478001,918940,-4169.0,,-137070,93460,-25377,16597,33235,,2014年度,2901636,3942981,1041345,2564453,,4465007,4897817,-1555852.0,,-483152.0,-1942740,2564453,-24910,1019785,438320,1458105,26779.0,36531,3058.0,353542,4204,,,-12105,0.0,0.0,,,0.0,,2333364,-990,3942981,-424030,,16667.0,-3368.0,29861.0,-85343,8916.0,,25230
2015-05-14,1,2015,,,,-23749.0,-1091963,4360,-12960,-34696,,,-26238.0,33046,,,-1398,6558,-3978,-291835,0.0,-65000.0,0,0,,,,1784,9675,7380.0,,53979,,,-100455,-3952,-4969,-29176,-3379,28606,-16368,-7936,,-183938,244859,,,-6797,21171,-6228,1398,0,230795.0,2015年01月01日至2015年03月31日,3942981,4086528,143547,637139,4140.0,-373973,-367594,,,727858.0,705436,637139,0,-1115360,-120168,-1235528,,11860,0.0,137298,-7176,,,-64298,,,,,,,-1004733,0,4086528,-1549,0.0,36515.0,-423.0,,-148113,,9551.0,119006
2015-08-13,2,2015,,10549.0,11790.0,-23330.0,-1065335,11458,-14687,21376,,0.0,,20222,,,-211220,13033,-3213,-577932,0.0,-176545.0,-390,-150049,-43817.0,,,6125,20269,2072.0,,147604,,26816.0,-134185,3954,25026,-88936,-231,-82552,33096,14827,,-332221,496319,427392.0,,7197,62221,-12968,211220,7000,390226.0,2015年01月01日至2015年06月30日,3942981,4730890,787909,1305037,5941.0,713832,815909,,,360961.0,409511,1305037,-7000,-1202195,322841,-879354,,49663,1724.0,519340,-14076,,,-972,,,,,,,-489128,-165,4730890,-300329,,38710.0,-111.0,,-250360,,-5848.0,91218
