date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他營業資產（增加）減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,存入保證金增加,存入保證金減少,存出保證金減少,對子公司之收購（扣除所取得之現金）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付投資款增加,預付款項（增加）減少
2013-05-13,1,2013,,37706.0,-5029,-1863,,672,,,660.0,-841,34,,-15913,,0.0,,,,0.0,,,,9,-232,-196.0,-15253,41629,2674,,-5042,3464,-34,879,,,2013年01月01日至2013年03月31日,536645,607712,,71067,57839,,86320,85556,,,0,57839,,-4553,-5436,-9989,,,,,,,,27717,607712,-81,-1538,0.0,,-6024.0
2013-08-12,2,2013,,78549.0,4201,988,,-472,,,-287.0,-1959,48,0.0,-26557,,0.0,-9607.0,,,-672.0,4991.0,,,5263,-345,-230.0,-31460,84130,11069,,-9267,6924,-48,1969,,,2013年01月01日至2013年06月30日,536645,668550,0.0,131905,98132,,168159,194270,,,-4794,98132,,3499,14090,17589,,,,,,,,96138,668550,-28032,-1327,-4122.0,,-2885.0
2013-11-11,3,2013,,120593.0,-11480,-9043,,-384,,,-287.0,-2968,238,0.0,-42301,,0.0,-14487.0,,,328.0,4691.0,,,2071,-98,-256.0,-52384,126591,13011,,-11695,10364,-238,3007,309.0,,2013年01月01日至2013年09月30日,536645,516637,0.0,-20008,140537,,215659,249425,-179489.0,,-183283,140537,-309.0,-12120,415,-11705,,,,,,,,108888,516637,-36844,-1628,-4122.0,,-5526.0
2014-03-26,4,2013,140.0,165386.0,765,3009,824.0,-865,,-287.0,,-4054,239,0.0,-59557,,0.0,-37842.0,,729.0,,3611.0,,0.0,11472,-174,-131.0,-92956,170035,11063,,-11600,13805,-239,4081,309.0,,2013年01月01日至2013年12月31日,536645,573845,0.0,37200,172096,,313038,356036,-179489.0,,-182882,172096,-309.0,-231,18785,18554,295.0,,,,-824.0,,,183940,573845,-47149,-2046,-4122.0,,-6585.0
2014-04-29,1,2014,0.0,31782.0,-1192,2771,0.0,-266,,-77.0,,-1125,0,0.0,-27380,,0.0,-2778.0,,199.0,,8.0,,0.0,-174,343,-23.0,-26164,34512,-1043,,-868,3441,0,992,0.0,,2014年01月01日至2014年03月31日,573845,628046,0.0,54201,45313,,80166,79265,0.0,,199,45313,0.0,-1481,3651,2170,0.0,,,,0.0,4063.0,-4063.0,33952,628046,-91,-115,0.0,,1754.0
2014-08-11,2,2014,0.0,46012.0,-3154,5183,0.0,-353,,-166.0,,-2420,21,0.0,-44909,,0.0,27956.0,,130.0,,1299.0,,0.0,-3658,472,-43.0,-11757,49164,-3831,,-3458,6848,-21,2372,0.0,,2014年01月01日至2014年06月30日,573845,697649,0.0,123804,87968,,135431,133316,,,130,87968,0.0,-3550,2886,-664,0.0,,,,0.0,4063.0,-4063.0,45348,697649,-236,-80,0.0,,4720.0
2014-11-12,3,2014,0.0,60294.0,-10277,13298,0.0,-365,,-242.0,,-3931,219,0.0,-61300,,0.0,25472.0,,-1102.0,,940.0,,0.0,-4984,472,-64.0,-61067,64914,11270,,-6889,10214,-219,3517,275.0,,2014年01月01日至2014年09月30日,573845,523629,0.0,-50216,137478,,205249,210362,-193296.0,,-194398,137478,-275.0,-10706,23296,12590,0.0,,,,0.0,4063.0,-4063.0,72884,523629,-8686,105,0.0,-30000.0,3240.0
2015-03-26,4,2014,0.0,74313.0,1779,14107,0.0,-332,-2181.0,-278.0,,-5346,349,0.0,-77924,,0.0,-6525.0,,-1099.0,,-21079.0,,0.0,-15510,862,-22.0,-131743,81625,14233,0.0,-11545,13557,-349,4667,275.0,,2014年度,573845,504160,0.0,-69685,171554,,256453,258538,-193296.0,,-194395,171554,-275.0,1425,11246,12671,0.0,-30000.0,,,0.0,4063.0,-4063.0,86984,504160,-6678,11,,,-265.0
2015-05-11,1,2015,0.0,,-7790,0,0.0,-3,62.0,-159.0,,-1307,8,0.0,-19873,,0.0,,-1763.0,0.0,,366.0,,0.0,10397,0,,-21429,17085,-4000,,-4808,3345,-8,1254,524.0,13687.0,2015年01月01日至2015年03月31日,504160,547029,0.0,42869,49912,114.0,64298,62651,,,0,49912,-524.0,-7679,6731,-948,0.0,,,,0.0,0.0,0.0,12739,547029,-123,-112,0.0,,272.0
2015-08-14,2,2015,0.0,,-4208,0,0.0,-18,2567.0,-265.0,,-2867,39,0.0,-29968,,0.0,,-802.0,0.0,,366.0,,0.0,6362,-156,,-30669,34677,-1885,,-8929,6703,-39,2419,524.0,28898.0,2015年01月01日至2015年06月30日,504160,602182,0.0,98022,101412,98.0,128691,135650,,,0,101412,-524.0,-4128,9468,5340,0.0,,,,0.0,0.0,0.0,34238,602182,-9863,-201,0.0,,2580.0
2015-11-12,3,2015,,,-12432,-256,0.0,-29,,-266.0,,-4158,287,0.0,-35958,,-1100.0,,1776.0,,-3.0,346.0,,0.0,1232,-92,,-34900,52435,-9509,,-20250,10131,-287,3520,743.0,37388.0,2015年01月01日至2015年09月30日,504160,494284,0.0,-9876,146776,-75.0,163096,166522,-138069.0,,-138072,146776,-743.0,-12536,-5106,-17642,302.0,,,-180.0,0.0,0.0,0.0,19746,494284,-7402,-134,0.0,,3519.0
