date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,預付投資款增加
2014-03-31,4,2013,257183.0,-502085,-16715,-14712,634997.0,1752,-42158,370189.0,,-2167.0,,-62940,0,-10243,86751,47446,-575577,-5552.0,-16388,7185.0,,,,-462967,0.0,171750,-241400,-112372,2850,437091,246981,0.0,,6324,-87976,10243,,2013年01月01日至2013年12月31日,529388,550200,-2654,20812,466915,-159521,10126,259584.0,-355860.0,2652843,-2365871,-304204,466915,-84613,-629359,-713972,0,15201.0,-3503,-456789,550200,-91914,,12855,
2014-08-14,2,2014,384767.0,-99660,-21282,-7758,177244.0,-1962,9509,,-32088.0,,1872.0,176730,-52308,2300,46219,-8405,-429320,0.0,14254,-1479.0,,,,-48152,,95542,69370,-170205,-2717,-334600,134641,,,4619,-43746,-2300,,2014年01月01日至2014年06月30日,550200,372925,1671,-177275,155488,342984,462600,,-178467.0,2815641,-3014339,-177254,155488,141668,-219323,-77655,301050,0.0,13,307112,372925,-73570,,4320,
2014-11-11,3,2014,625043.0,-439928,-20728,2712,177244.0,1868,21421,,-124730.0,,-1533.0,321609,-52293,-4496,68012,668,-553499,-1687.0,13765,-1476.0,,,,-309575,,21602,142415,-27988,-8255,-556462,209658,,,7940,-66580,4496,,2014年01月01日至2014年09月30日,550200,343969,917,-206231,183691,483361,632206,0.0,-178467.0,4432044,-4546129,-133798,183691,145157,-321685,-176528,600158,36.0,2453,448515,343969,-86761,,5185,
2015-03-27,4,2014,674398.0,-777664,-18213,7122,177244.0,-2121,37549,-58950.0,,-1799.0,,268144,-52337,-5746,86171,28022,-705370,-1687.0,11893,-1485.0,,,,-249805,,-93919,76462,-46520,1303,-651450,297336,,,10188,-85077,5746,,2014年度,550200,541684,1841,-8516,251759,464053,638015,418600.0,-178467.0,5868567,-6068173,150859,251759,-37791,-250351,-288142,889481,120.0,2659,386256,541684,-94631,,1912,-8671.0
2015-05-14,1,2015,,0,10056,35022,,2490,-11947,-74205.0,,-17473.0,,57524,-77726,-1834,19949,-10444,-126968,,16,0.0,,,,38302,,29600,1828,-285535,-8164,-296372,77299,,-370.0,2908,-19421,1834,158992.0,2015年01月01日至2015年03月31日,541684,491360,-182,-50324,77997,20358,48271,,,1467400,-1332140,236134,77997,43974,-232692,-188718,100874,,5,-29726,491360,-10326,,3307,
2015-08-11,2,2015,,-315230,18021,16275,0.0,935,10850,,-288530.0,,966.0,172132,-85435,3327,44338,713,-399729,,664,0.0,,,,-145707,,124622,44773,-279021,-13531,-771207,155794,,,5681,-43887,-3327,391164.0,2015年01月01日至2015年06月30日,541684,555647,-83,13963,130036,216932,298417,,0.0,3226770,-2812707,567525,130036,188351,-411134,-222783,468692,1521.0,518,168381,555647,-34271,,8793,
2015-11-13,3,2015,,-597436,76504,35217,0.0,943,15596,-114928.0,,0.0,727.0,257974,-85435,-6155,69465,-16801,-656707,0.0,1646,,0.0,-297.0,20.0,-310289,-14892.0,150271,56033,-254696,-21822,-854845,237768,,,8455,-68590,6155,590551.0,2015年01月01日至2015年09月30日,541684,765922,3673,224238,239903,451768,578211,,-100433.0,5385611,-4821123,644116,239903,283751,-535994,-252243,792389,1775.0,524,338308,765922,-64008,,17201,
2016-03-09,4,2015,,-1206082,21900,34056,0.0,11775,51512,-92519.0,,0.0,645.0,362181,-85435,-8426,95650,-38448,-970507,0.0,6465,,0.0,-706.0,531.0,-506364,-43200.0,136668,20916,-74745,-42784,-1145195,333649,,,11231,-95254,8426,813578.0,2015年度,541684,570860,-5588,29176,296279,595166,762791,0.0,-100433.0,7875636,-7311132,617653,296279,191259,-538325,-347066,1402864,2796.0,1215,466512,570860,-80797,,17201,0.0
2016-05-13,1,2016,,-351316,-35728,-2453,,-2983,-33574,0.0,795.0,0.0,470.0,93685,0,-1493,28634,-11374,-187723,-198.0,24865,,,,,53327,,-58464,-16008,-238132,28304,-179560,94019,,0.0,2684,-27002,1493,242508.0,2016年01月01日至2016年03月31日,570860,516388,1467,-54472,155971,54081,92768,,,2163355,-2061088,82381,155971,-113183,-192528,-305711,331430,7096.0,-1353,-63203,516388,-13178,,0,
2016-08-12,2,2016,,-867768,12655,4393,,-8589,-16130,-36554.0,,-1334.0,0.0,172367,0,-3656,56613,-35831,-285462,-198.0,31128,,,,-736.0,-16326,,-17769,29473,-382393,42456,-324094,191627,,,6147,-55925,3656,455612.0,2016年01月01日至2016年06月30日,570860,529030,927,-41830,329515,303710,432897,,,4813831,-4760517,14385,329515,15770,-368000,-352230,828839,190.0,459,103382,529030,-76918,,0,
2016-11-11,3,2016,,-1204210,-25489,3762,,-11609,-9664,0.0,35184.0,-828.0,0.0,244941,0,-5290,86013,-58306,-358134,-5019.0,9242,,,-1350.0,1014.0,-49647,0.0,-75687,63980,-360340,31812,-328537,290988,,0.0,9453,-85435,5290,637899.0,2016年01月01日至2016年09月30日,570860,575927,-600,5067,480037,478615,685054,,-98978.0,7215255,-7145554,-86705,480037,-48805,-384077,-432882,1146782,596.0,238,205017,575927,-126294,0.0,2914,
