date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他項目,其他預付款項增加,利息收入,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-08,1,2013,-13971.0,10075,-133.0,-6615,-1358,7017,367,152.0,,-8993,4544,-1063,,-45.0,-417385.0,,,,,,-12806,938,-11436,-12,-4221,-1692,-698,,68.0,-339727,4960,214,8993,,2013年01月01日至2013年03月31日,1961270,1769251,-8817,-192019,199393,,143164,160659,,,199393,,-5748,-19015,-24763,,69876.0,0.0,,-1787.0,,,-38734,,1769251,-17495,,300,,-470.0,-3890
2013-08-09,2,2013,-18461.0,35045,124.0,-347,-251,4729,1686,304.0,,-19023,4543,-3603,,-45.0,-568935.0,,,,,,-17926,18475,-7949,8,-22851,-1435,-2483,,136.0,-482555,9870,391,19023,,2013年01月01日至2013年06月30日,1961270,1776551,-8816,-184719,415422,,293293,398958,,,415422,,42310,-40313,1997,0.0,69876.0,0.0,,-1787.0,,,-16464,,1776551,-105665,,600,,-557.0,-3278
2013-11-06,3,2013,5269.0,23989,121.0,-8629,-1248,6973,-331,1054.0,,-28192,-18467,-2748,,-45.0,-142191.0,,,,,,-235,-17642,-10039,17,-51141,141,-3942,,,-50218,14328,509,28192,,2013年01月01日至2013年09月30日,1961270,1549117,18557,-412153,615496,,356332,546108,-700000.0,-699800.0,615496,,-18028,-56629,-74657,0.0,69876.0,0.0,3803.0,-1787.0,,,-69388,,1549117,-189776,-3603.0,800,204.0,-2971.0,-13226
2014-03-26,4,2013,223.0,977,94.0,-7530,130,11717,32,1223.0,0.0,-36681,-25173,-3770,,-45.0,-455130.0,,2000.0,,-1613.0,,7089,-54976,-14945,638,56911,144,600,,,-357625,18632,607,36681,,2013年01月01日至2013年12月31日,1961270,1375257,17686,-586013,649543,,496585,687333,-700000.0,-699800.0,649543,,-31636,69203,37567,0.0,69876.0,0.0,3803.0,-1787.0,,,37790,54835.0,1375257,-190748,-3603.0,-1457,272.0,-3656.0,-18389
2014-05-07,1,2014,-6626.0,-4345,-338.0,3038,-1646,-5061,660,0.0,,-9804,4082,-480,,0.0,-1304050.0,,,,,3680.0,28542,-29993,-5171,16,33935,-4614,-5989,,-61.0,-285949,4189,86,9804,,2014年01月01日至2014年03月31日,1375257,1200409,-1097,-174848,106200,,107019,107999,,,106200,,-41426,49851,8425,,0.0,,,0.0,1004450.0,,1799,,1200409,-980,,0,,-13.0,112
2014-08-06,2,2014,-3177.0,7271,-259.0,7497,1718,-8119,2215,0.0,,-18853,-1655,-1046,-240000.0,0.0,-1412950.0,,,,,5293.0,31398,-13799,-3026,16,-36812,-585,-12523,,-122.0,269528,8078,168,18853,,2014年01月01日至2014年06月30日,1375257,1751363,7430,376106,169546,,108233,137146,,,169546,,-10079,-19144,-29223,,0.0,,,0.0,1897420.0,,-32400,,1751363,-28913,,0,,-257.0,-1878
2014-11-12,3,2014,-10459.0,24321,-305.0,-59,-1555,-2782,1131,0.0,,-24455,7877,-1427,-320000.0,-185.0,-1606360.0,,,10.0,,5293.0,20089,13976,-6185,25,-56368,88,-15532,,-182.0,1343076,11740,251,24455,,2014年01月01日至2014年09月30日,1375257,803740,-3758,-571517,259257,,72057,167159,-2000000.0,-1994527.0,259257,,-27075,-54564,-81639,,320107.0,,9755.0,-107.0,2920470.0,,-92098,-54616.0,803740,-95102,-4292.0,5870,,-408.0,-2554
2015-03-18,4,2014,-27787.0,685,-343.0,1820,162,-2953,515,,,-28315,24649,-1770,-320000.0,-185.0,-2093285.0,,0.0,10.0,5293.0,,27361,-651,-4727,63,-95511,-738,-1556,,,1306977,15017,283,28315,,2014年度,1375257,816356,-29519,-558901,364559,,104000,199488,-2000000.0,-1994527.0,364559,,-65464,-71820,-137284,,320107.0,,9755.0,-107.0,3368582.0,,-165071,-54616.0,816356,-95488,-4292.0,14854,-243.0,-595.0,-6037
2015-04-29,1,2015,,1835,,-3320,-1916,-23314,-2274,,,-2980,-16406,-161,,,,-879040.0,,,,0.0,-69544,21790,-4036,7,33515,-2141,-2754,,,-86789,3115,23,2980,19363.0,2015年01月01日至2015年03月31日,816356,710344,13891,-106012,33582,-68.0,-2817,11281,,,33582,,25894,-67558,-41664,,,,,,,791705.0,-22301,,710344,-14098,,5314,,1.0,8282
2015-08-05,2,2015,,12683,,5732,-1554,-3490,-4263,-36143.0,,-6101,-25255,-245,0.0,,,-732690.0,,,,0.0,-50134,-17609,-2682,-693,73415,-3835,-5404,,,-157792,5935,46,6101,-4698.0,2015年01月01日至2015年06月30日,816356,676330,26000,-140026,77658,-136.0,43021,64171,,,77658,251.0,-25073,16284,-8789,,,,,,,573305.0,-13487,-14000.0,676330,-21150,,5314,,0.0,-1082
