date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,其他應付款增加（減少）,其他應收款增加,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,57915.0,,-91539,,8177,,-130884,4435.0,,,,,9410.0,,1207.0,,-6490,,1422,-11122,,-21000.0,-3085,-6615,,,,,127732,,,83162,-179897,12807,171517,1078,,-34000,66906,-6653,36,2577,,7406,,,2013年01月01日至2013年03月31日,2825758,2974837,149079,244538,,157247,147235,,,24410,244538,,,-306351,151133,-155218,,,1095,,,,,-97303,,2974837,2606,671,,15000.0,,-265.0,,-155153.0,,
2013-08-09,2,2013,127971.0,,-8810,,19787,,-411,-2606.0,,,,17558.0,,,,,-12994,,1168,-68684,,-21000.0,-3141,-3349,7355.0,,-2442.0,,244226,,,57298,-105131,66814,110577,-44,-2561.0,-69962,132990,-2643,4477,4692,,12462,,,2013年01月01日至2013年06月30日,2825758,3153471,327713,356439,,704677,775395,-334926.0,,-308170,356439,,,-16615,307600,290985,7747.0,,1547,,,,,418956,,3153471,-83180,608,,19401.0,,0.0,,-61697.0,,-23814.0
2013-11-08,3,2013,192142.0,,77457,,-20093,,-65198,,-34825.0,-4596.0,,41535.0,,,,,-20917,0.0,-6332,-187251,,-106680.0,-4370,9469,1702.0,,1774.0,,407816,42510.0,,-463736,-177715,-25413,255202,8298,-3706.0,-205961,194114,1165,15256,6756,0.0,22107,,,2013年01月01日至2013年09月30日,2825758,2773220,-52538,542107,,458618,578316,-334926.0,,-298863,542107,,,-790717,634784,-155933,6347.0,,15227,,,-21815.0,174.0,36209,,2773220,-141805,-1792,,34361.0,0.0,-4156.0,0.0,-13008.0,,-97581.0
2014-03-07,4,2013,323069.0,,-30470,,52564,-2910.0,-34158,0.0,-41636.0,-6425.0,-12008.0,0.0,,,,,-27517,0.0,-11557,-256405,,-106680.0,-8852,-5962,1584.0,,,5747.0,19043,42510.0,,-121369,-141126,-15286,309155,2626,-4780.0,-307914,270686,-239,15133,8941,0.0,28087,,,2013年01月01日至2013年12月31日,2825758,3053867,228109,614889,,846561,961247,-334926.0,,-298981,614889,,,-378849,402138,23289,30510.0,,61192,,,-21815.0,174.0,346358,,3053867,-142773,-1326,,34361.0,23737.0,,,25414.0,,9976.0
2014-05-07,1,2014,64031.0,,-157030,0.0,-21953,,-602,,-6481.0,-839.0,,15669.0,,,,,-6644,,4133,-83878,,0.0,-6960,690,0.0,-808.0,-1686.0,0.0,183936,,,-792158,-26238,1916,19788,4847,-1185.0,-76761,69156,6758,-1790,2540,,6918,,,2014年01月01日至2014年03月31日,3053867,2232078,-821789,193628,,-765953,-771969,0.0,,16792,193628,,,-1094150,64522,-1029628,94.0,,594,,,,,-965597,,2232078,-902,-515,,17600.0,,0.0,,-128015.0,,-112372.0
2014-08-08,2,2014,143445.0,,-89726,,-20525,,-7793,,-13630.0,-1196.0,,29645.0,,,,,-12734,,723,-141877,,0.0,-7150,2346,0.0,-4493.0,-1804.0,,241879,,,-606328,7633,1613,51713,6427,-2293.0,-106220,137422,8500,-3860,9676,,12817,,,2014年01月01日至2014年06月30日,3053867,2443934,-609933,238582,,-182617,-97188,-334926.0,,-321819,238582,,,-750184,270969,-479215,14966.0,,-2089,,,,,-335770,,2443934,-98246,-576,,17600.0,13260.0,,,,-15829.0,-39660.0
2014-11-05,3,2014,209639.0,,-29705,,-71660,-774.0,-1291,,-20709.0,-1482.0,,46487.0,,,,,-18983,,1496,-318137,,0.0,-14918,1590,0.0,-4207.0,-4940.0,0.0,599414,0.0,,-440109,-4189,7364,126119,6918,-3416.0,-271566,203033,4671,-3986,14016,,18829,2398.0,,2014年01月01日至2014年09月30日,3053867,2980202,-73665,328957,,508038,649733,-334926.0,,-311633,328957,,,-526098,637235,111137,20716.0,,1314,,,0.0,0.0,320776,,2980202,-162922,-605,,27500.0,13260.0,,,-26745.0,,-34043.0
2015-03-27,4,2014,490745.0,-404653.0,19027,,22078,-166042.0,-21300,,-25237.0,-13517.0,-58997.0,,,,,,-24826,,2894,-1746054,,0.0,-15547,-1843,-830.0,,1220.0,,293350,0.0,,-309191,-6432,9192,119879,-8118,-4485.0,-1969071,269548,5496,-2207,18147,,25479,2398.0,,2014年度,3053867,1233938,-1819929,89652,,454504,589648,-334926.0,,-308256,494305,,,-393951,403202,9251,16349.0,,41006,,,0.0,0.0,499996,-1946.0,1233938,-163021,-883,,27500.0,191803.0,,,-15966.0,,-53579.0
2015-05-08,1,2015,,-7537.0,-124575,,2689,,-302,,-28722.0,-4748.0,-6756.0,0.0,,,,,-3149,,1826,-88643,,,-5524,8754,6677.0,0.0,0.0,1569.0,297927,-1237.0,,-515849,-36995,-15054,19675,3740,,36704,63255,765,1852,2472,,2700,,75396.0,2015年01月01日至2015年03月31日,1233938,984319,-249619,171430,-946.0,-297926,-300283,,3100.0,9777,178967,,,-766642,219533,-547109,53.0,,2641,137242.0,,,,-471713,,984319,-343,-429,,0.0,,,,-100515.0,,-44199.0
2015-08-07,2,2015,,-7537.0,-60527,,1129,,-7636,,-35895.0,-5037.0,-62501.0,0.0,,-561.0,,75847.0,-6089,84.0,-2573,-164335,,,-6811,6747,7878.0,0.0,0.0,6362.0,12571,-1237.0,,245923,-17320,-18784,9575,3374,,-91766,117676,765,5651,5071,-36.0,5410,,236343.0,2015年01月01日至2015年06月30日,1233938,1674713,440775,146919,-2035.0,503336,555338,0.0,23900.0,31778,154456,,,165821,6255,172076,75.0,,6384,137242.0,,,,408419,-2905.0,1674713,-57376,-69,,0.0,25041.0,,,-16122.0,,65000.0
