date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,備供出售金融資產減資退回股款,償還長期借款,其他各項負債準備淨變動,其他應收款增加,其他應收款減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他資產增加,其他資產減少,其他金融資產增加,其他金融資產（增加）減少,其他項目,再保險合約資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,各項保險負債淨變動,呆帳費用提列（轉列收入）數,員工執行認股權,員工福利負債準備增加（減少）,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票處分,庫藏股票買回成本,應付佣金增加（減少）,應付保險賠款與給付增加（減少）,應付再保往來款項增加（減少）,應付款項增加（減少）,應付短期票券增加,應付短期票券減少,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資損失（利益）,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,貼現及放款（增加）減少,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量之金融資產（增加）減少,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付投資款減少,預付款項（增加）減少,預收款項增加（減少）
2013-05-03,1,2013,6068130.0,0.0,,,-335933,91360,,4359.0,,1395863,13968,-226140,,,-4345,,,-1490592,,55894,-2744611,61205,-160464,-562649,0,-29863615,,-840,0.0,0.0,-530.0,-11073403.0,,9465102,19105,,2673,86163,,0.0,904921.0,-1036,,,-158511,-22276,-43486,-22599,,0.0,1792660,-13196863,175321,,319,6568,,2250236,5322.0,,2013年01月01日至2013年03月31日,30401507,27534603,-2060486,-2866904,1001180,10417843,8224425,,,,,70207,-40000.0,72580,1001180,,655749,499366,1155115,310427,50493,3510,17954561,-3322.0,,,,,,-683122,0.0,0.0,,9413175.0,,7223245,317093,27534603,-47315,-127060,1723554,17500,,0.0,-363.0,-22500.0,,-61561.0,-269775
2013-08-13,2,2013,11672279.0,86204.0,,,-1172657,30407,0.0,,,2395334,3239,-80112,,,-619,,,-990795,0.0,19022,-5693562,124093,-150282,-770469,0,-45966009,-20029.0,-4696,0.0,0.0,-4658.0,-37812688.0,,18450982,36305,,6273,124339,,,9274.0,2726,,,-190059,-20571,27456,-28704,,0.0,522735,-28515271,363449,,23191,13356,,4352191,115235.0,,2013年01月01日至2013年06月30日,30401507,20356815,-2430562,-10044692,832413,18357542,14052692,0.0,,,0.0,242874,,263319,832413,,1746487,-198487,1548000,1110778,83324,2800,36105574,-2376.0,,1236.0,,8070.0,,-1300391,0.0,0.0,,19768651.0,,13220279,569359,20356815,-134549,-259951,2048833,19158,,,-11840.0,,,-64822.0,-363130
2013-11-13,3,2013,18052797.0,117267.0,,,-1318531,23225,,0.0,,1030026,12907,-104384,,,-1277,,,-1000408,10023.0,10275,-8732556,184306,-217925,-989649,0,-54482222,,-5431,0.0,0.0,-23417.0,-60258969.0,,29651536,41422,,9375,181406,,-283548.0,0.0,1882,,,-101085,11769,22694,22989,,0.0,834726,-32257982,555522,,34769,21405,,7087309,909027.0,,2013年01月01日至2013年09月30日,30401507,26089787,-1114508,-4311720,1633495,28079586,20116257,,,-144603.0,0.0,320242,,84601,1633495,,792735,-362770,429965,1250778,137921,19420,51018836,,,,,7563.0,,-2708923,0.0,-3990.0,,32485524.0,,18482762,-118295,26089787,9415,5261,68404,35662,0.0,,-13500.0,,,-109118.0,-98649
2014-03-12,4,2013,28519758.0,124467.0,,,-1634775,-6457,,,,-43965,6636,100852,,,-37793,,,-999171,31129.0,24191,-11856735,247317,270425,-1175757,-18024,-60956141,,-6740,0.0,0.0,,-87506756.0,,43052048,39308,,12429,187668,,,18292.0,13621,,,54687,-3377,71168,-4107,,0.0,1576570,-45100803,748598,,60501,30019,-299267.0,10072926,959546.0,,2013年01月01日至2013年12月31日,30401507,27003890,-2456565,-3397617,939042,40920499,30247747,,,-112643.0,0.0,160611,,512262,939042,,430,788517,788947,1911401,209049,19420,65196780,,,,,7563.0,,-3647969,0.0,-3990.0,,39030683.0,,29308705,-139129,27003890,-60453,265603,1755353,540701,0.0,,-13500.0,-5846.0,,40196.0,-187257
2014-05-12,1,2014,8207599.0,,,,-682831,83706,,0.0,,865134,-6362,345310,,,-40,,,137677,-8492.0,-43224,-3241225,50348,57780,-206026,-15000,-6083971,,-1009,,,,-27846864.0,,13911454,11609,,1942,15043,,,4939.0,-7155,,,-122362,-10711,-35708,4206,,,-373230,-5477684,193956,,4218,8810,-41241.0,2672165,8714.0,,2014年01月01日至2014年03月31日,27003890,36556969,-1198501,9553079,566231,15137503,12599607,,,,,100674,,-164520,566231,,1695760,2130017,3825777,402594,131713,3438,12407406,0.0,,-5846.0,,93555.0,-41747.0,-827906,,,,16028329.0,,12033376,2011261,36556969,-101742,489249,-787164,54379,,,,5846.0,,-78199.0,647949
2014-08-13,2,2014,18857297.0,115002.0,,,-1315770,-68107,,,,1061135,-5226,335236,,,0,2387.0,,137694,5.0,-44123,-6531372,100951,21120,-384770,-15000,-13533456,0.0,-3305,,,-1559.0,-62756407.0,,28867466,19727,,4254,58975,,5234.0,,-5439,,,-142602,-28814,-32753,117513,,,-1043534,-21442394,388587,,20079,17658,-75323.0,5492443,179180.0,,2014年01月01日至2014年06月30日,27003890,32577084,227899,5573194,470523,27106235,21826144,,,,,112104,,-111767,470523,,1851490,646834,2498324,1032924,176374,7332,28947034,0.0,,2477.0,,148816.0,-40050.0,-2086075,,,,25853390.0,,21355621,1089201,32577084,-316209,580777,-2102732,56693,,,-15909.0,,-3466.0,-62516.0,537521
2014-11-13,3,2014,27394445.0,117771.0,,2257.0,-1526371,139473,,,,3929905,-2964,-478525,,,-23873,,,65265,34.0,-78467,-10135454,157909,133630,-604514,-15000,-28593945,,-570,,-727752.0,-2107.0,-91130535.0,,41975911,34643,,6182,108046,-621.0,0.0,7117.0,3403,,,-105529,-27691,-75834,60718,,,-1470350,-35191203,585383,272000.0,59438,27121,,8208359,980088.0,,2014年01月01日至2014年09月30日,27003890,33971346,-1483912,6967456,2211843,41891706,33038477,392798.0,-340000.0,-332804.0,,291640,,133323,2211843,,3102777,329412,3432189,1540635,238152,7512,46085550,,,10082.0,,174168.0,-40659.0,-4082534,,0.0,,39364351.0,,30826634,875643,33971346,-222164,965304,117827,56693,,,-27510.0,,-361785.0,-28422.0,-206449
2015-03-23,4,2014,33607754.0,132806.0,,2257.0,-3796661,352088,,,5838.0,185879,5532,-393462,,,-53479,,,119262,144.0,-128140,-14071144,210725,154341,-844836,-102867,-36900436,,-9103,,-804777.0,-26947.0,-130729053.0,,53195819,140095,,8024,188139,,,3060.0,12221,,,-58445,-14086,8791,-6103,,,-561163,-45239298,787620,272000.0,98057,36254,-147702.0,11557317,1031889.0,,2014年度,27003890,27969223,-5586176,965333,2001955,45589496,34598341,464049.0,-340000.0,-332804.0,,657477,,460794,2001955,,-461126,-550242,-1011368,3620594,313967,7513,61844765,,,22366.0,,540950.0,-284109.0,-4944740,,0.0,,60504191.0,,32596386,-1415117,27969223,-418460,1444804,2867395,780573,,5000.0,-2213.0,-427036.0,,-27641.0,-191724
2015-05-12,1,2015,,,,,-816606,-87405,,,,2162793,-8848,621028,,,0,154.0,,11201,-6840.0,52307,-3899345,51656,-57160,-157267,-50000,-18399659,,-6659,-50476.0,,-3603.0,,-29970796.0,9754624,21172,,1900,35461,,,12421.0,1200,,,-73346,-5467,35425,19714,,,-1239162,359606,194006,,13480,6766,-28778.0,3151372,19935.0,113196.0,2015年01月01日至2015年03月31日,27969223,34238077,816419,6268854,1382039,5806196,2769546,,,,,240722,,160212,1382039,,3528455,-2254144,1274311,700635,75803,761,17756025,,,-43.0,,0.0,0.0,-1224369,,,40.0,,31128466.0,1387507,-269986,34238077,-85944,-703171,-5528066,1101,,,,4501.0,,-97685.0,766408
2015-08-12,2,2015,,266042.0,,,-1446966,-214273,,,,5625799,1804,-281,,,-47542,0.0,,100877,556.0,179234,-7856106,120541,-17796,-490552,-230000,-39419222,,0,-50476.0,,-1428.0,,-61672392.0,20567001,41454,,1742,175559,,-5336.0,0.0,1800,,,-128563,-4591,-144664,136986,,,-6314318,-14944648,388718,,38822,13995,-74233.0,6584028,190358.0,6763375.0,2015年01月01日至2015年06月30日,27969223,27615820,1858640,-353403,1355976,13948314,7405538,,-5747.0,,,486720,,660727,1355976,,5456098,-6169911,-713813,1451161,167016,761,33266453,,,1994.0,,0.0,0.0,-2286726,,,40.0,,53272028.0,6049562,877015,27615820,-157377,-852956,-5894361,1885,,,-18805.0,,0.0,-163367.0,-30330
