date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他投資活動,其他流動負債增加（減少）,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產（增加）減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分無形資產損失（利益）,處分避險之衍生金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,非金融資產減損損失,預付設備款增加,預收款項增加－處分資產
2013-05-14,1,2013,42426.0,,-90211,,12857,-4581,4594,,-488625,1609.0,,-6833,8993,37704,-52467,,-14662,,-6007,565430,-539040,,,-863,126798,-22,12046.0,-73136,44924,0.0,,1785,-5513,6430,,2013年01月01日至2013年03月31日,3216582,3345779,129197,451025,,78504,91834,,,,68125.0,,86125,451025,,-609792,208175,-401617,,0,,,,,,,-359191,3345779,-14247,-8052,,,18000.0,,,
2013-08-09,2,2013,93015.0,,19467,,5773,-5834,-25728,,-695745,386.0,,-14759,17857,53271,-98804,,-16994,,-8629,-294574,458497,,,2932,63754,0,26420.0,-124427,95189,0.0,,4435,-11284,14402,,2013年01月01日至2013年06月30日,3216582,3460816,244234,812951,,314673,460928,,,,-17283.0,,717,812951,,507255,-952293,-445038,,0,,,,,,,-352023,3460816,-149373,-10093,,,18000.0,,,
2013-11-12,3,2013,152106.0,,-85682,,4981,5842,-42408,,-1153380,-836.0,,-21039,26232,29618,-167326,,-17014,-549.0,4838,13666,-103677,,,-1181,47959,-22,34864.0,-291354,142153,0.0,,7242,-17108,20866,,2013年01月01日至2013年09月30日,3216582,2032395,-1184187,1275148,,-115400,148216,,,0.0,-1029427.0,204676.0,-807051,1275148,,-144853,-1134185,-1279038,,2310,,,,,,,-1126932,2032395,-267374,-1097,,,17700.0,,-114162.0,
2014-03-26,4,2013,202313.0,,79471,,50792,23328,-33391,,-419474,1495.0,-71656.0,-24124,36438,41770,-3166541,-133129.0,-24409,,-10926,-482847,161629,7628.0,,296,56936,-11408,-17175.0,-3404425,192955,9528.0,866.0,10027,-24620,24566,,2013年01月01日至2013年12月31日,3216582,1018069,-2198513,1646309,,993342,1273935,,-1029427.0,0.0,,-17473.0,170800,1646309,,305969,-880656,-574687,1200000.0,2236,-1161.0,,,,,,-372374,1018069,-280539,-14073,-110.0,,17700.0,,,
2014-05-08,1,2014,89791.0,-1200000.0,-1289,,-30822,12345,5696,,-852288,2535.0,-29166.0,-3471,12601,25345,-64542,,-184,,-953,838310,-502309,15068.0,300000.0,-7792,-172335,11408,12339.0,-93663,57148,96793.0,5668.0,2990,-9624,3440,,2014年01月01日至2014年03月31日,1018069,1485753,467684,595049,,98237,109964,,,,,1337765.0,437765,595049,,-502460,-72416,-574876,,1182,,,,6109.0,,,-485085,1485753,-5543,4597,1614.0,,0.0,,,
2014-08-11,2,2014,159243.0,-1200000.0,74966,,-50071,-24677,26144,,-968289,2330.0,,-7569,23127,-3424,-178766,-91050.0,-13405,,-2555,-255636,460257,63248.0,499795.0,-400,-92515,11222,16164.0,-326758,116913,97910.0,14360.0,6146,-18246,7560,,2014年01月01日至2014年06月30日,1018069,1891309,873240,1029906,,375579,547472,,,,,1526299.0,827843,1029906,,539487,-1181164,-641677,,-42966,,,,6149.0,,,-482434,1891309,-161207,-2213,,,1749.0,,,1984.0
2014-11-10,3,2014,357749.0,-1200000.0,-46158,,-31114,-27290,-42628,,-423278,2363.0,,-10250,30907,29862,-306821,-91050.0,-18170,,-5504,-42499,192285,36096.0,,764,-1281848,11293,24183.0,-451954,178092,87910.0,17773.0,9551,-25615,10291,,2014年01月01日至2014年09月30日,1018069,1005670,-12399,1609200,,111705,424665,2115000.0,,,-1310744.0,709683.0,297988,1609200,101212.0,148766,-1691050,-1542284,,-32390,,,,6149.0,11646.0,,-1184535,1005670,-297636,10306,,,-15951.0,,,1981.0
2015-03-25,4,2014,433392.0,-1200000.0,141438,,-55777,42751,18895,,-171385,0.0,-66669.0,-13595,37024,98785,-402972,-91050.0,-18103,,-8123,127198,-43069,58481.0,,-6524,-1046074,10856,25220.0,-548563,246944,98430.0,23580.0,12969,-30169,13292,,2014年度,1018069,1648409,630340,2094872,,1391812,1728704,2115000.0,,,,100001.0,-311694,2094872,101212.0,162520,-962080,-799560,0.0,38354,0.0,4091.0,,5628.0,,-1310744.0,-366168,1648409,-320015,5787,9752.0,,-15951.0,,,
2015-05-11,1,2015,,0.0,-75711,,34400,21608,-13379,,-1232914,3501.0,,-2365,7550,-12796,-77885,,-1157,,-5304,678768,-267581,-17379.0,0.0,-3594,359496,185,,-82356,69093,0.0,-743.0,3471,-6012,2457,76351.0,2015年01月01日至2015年03月31日,1648409,2248414,600005,782926,4343.0,306588,347519,,,,,388569.0,388569,782926,,-303914,-207844,-511758,,1947,,,,0.0,,,-435407,2248414,-37376,-865,-3291.0,,,,,43.0
2015-08-11,2,2015,,0.0,-12001,,15989,1716,-56836,,-1204721,503.0,,-7073,11515,-27556,-216290,0.0,-1157,,-8094,-492069,464569,8446.0,0.0,398,583017,414,,-293854,143695,0.0,5884.0,6886,-8656,7160,156120.0,2015年01月01日至2015年06月30日,1648409,2605638,957229,1329194,-3310.0,568429,790926,,,,,691318.0,710210,1329194,,475807,-1170195,-694388,,-86092,,,17280.0,0.0,,,-538268,2605638,-221001,294,-5584.0,,18892.0,,,499.0
