date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他借款增加,其他應付款增加（減少）,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融負債減少,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,遞延借項（增加）減少,金融資產重分類淨損失（利益）,預付設備款增加
2013-05-02,1,2013,10886.0,-1069,,1449,1225,-2965,1992,,,-4911,12,-245,1082,15439,-4702,,,-18789,,-7935,65130,-7412,9724,325,-1149,245,,2013年01月01日至2013年03月31日,259542,271919,12377,7681,50697,52538,,,-45290.0,-46347,7681,-9451,43422,33971,,,,,44857,271919,-937,,,-3935.0
2013-08-09,2,2013,22418.0,-1762,,1049,-4467,11811,1114,0.0,,-2156,-6,-737,2544,24218,-17441,,,-32661,,-12097,11452,-30266,20055,656,-2569,737,,2013年01月01日至2013年06月30日,259542,219561,-39981,36608,30188,37538,,,-62353.0,-64121,36608,763,-22251,-21488,,,-100.0,,930,219561,-5518,0.0,,-8358.0
2013-11-08,3,2013,35433.0,-4762,,8528,-2984,-10816,7282,0.0,,-2647,-6,-1023,3239,17307,-31448,0.0,,-31909,,-57255,67402,-44925,31845,955,-3400,1023,,2013年01月01日至2013年09月30日,259542,252706,-6836,51498,59585,67516,,,-34035.0,-38803,51498,-59543,40128,-19415,231.0,,417.0,,16018,252706,-5554,0.0,,-10724.0
2014-03-21,4,2013,48914.0,-7762,0.0,-194,10897,4175,1304,,,4692,194,-1388,4267,25486,-39909,0.0,0.0,-54490,-710.0,-23575,34209,-29331,44616,1195,-4435,1388,,2013年01月01日至2013年12月31日,259542,277213,17671,55964,59207,70999,,,-29413.0,-37691,55964,-19594,-14285,-33879,,,,,15035,277213,-8745,,224.0,-319.0
2014-05-09,1,2014,12177.0,-3000,,-1172,5508,11694,2134,,,-1514,-31,-660,769,-1102,-6550,,,-22556,-19410.0,6701,16862,-4286,11932,240,-776,660,,2014年01月01日至2014年03月31日,277213,286294,9081,21866,46076,46192,,,-9166.0,-31607,21866,17223,-5074,12149,,,,,24326,286294,0,,-104.0,-3244.0
2014-08-07,2,2014,24652.0,-6000,,15299,7239,-6556,2461,,,-2827,66,-1096,1744,-12163,-19131,,,-34449,-19410.0,59382,-81523,-12795,23632,476,-1732,1096,,2014年01月01日至2014年06月30日,277213,248398,-28815,48560,25890,24999,,,-4403.0,-29747,48560,68125,-116338,-48213,,,-104.0,,-23561,248398,1527,,,-903.0
2014-11-03,3,2014,42039.0,-9000,,18445,8242,1275,-1909,,,-3804,167,-1495,2599,3854,-25844,,5056.0,-61267,-19410.0,4880,-20452,-19894,35271,713,-2573,1495,,2014年01月01日至2014年09月30日,277213,275780,-1433,61457,44105,40664,-21352.0,,20097.0,-29498,61457,24600,-87432,-62832,105.0,,-105.0,,-20793,275780,4519,,,-2397.0
2015-03-24,4,2014,68681.0,-12000,,31458,2369,3735,4255,,,-10635,328,-2214,3520,25720,-31448,,19507.0,-105418,-45393.0,48395,-69359,-30047,47006,967,-3473,2214,,2014年度,277213,307499,30286,87834,58267,58946,-21352.0,,54763.0,-23654,87834,83588,-181157,-97569,,,-105.0,,-28888,307499,580,,,-968.0
2015-05-05,1,2015,,-3000,,-9048,14944,14886,-18224,,,9591,-207,-767,922,-6826,-8669,,6860.0,-33140,0.0,7350,-3935,4819,11289,287,-924,767,18591.0,2015年01月01日至2015年03月31日,307499,258968,-48531,3696,-11660,-10233,,,-31657.0,-34864,3696,13188,-45708,-32520,,,0.0,,-13929,258968,-1270,,,-1456.0
2015-08-12,2,2015,,-6000,,-18571,14552,-3665,-14501,,,54,-95,-1322,1961,-18405,-18110,,6860.0,-23219,0.0,14447,-39634,-6178,24396,552,-1965,1322,32447.0,2015年01月01日至2015年06月30日,307499,241466,-66033,28960,-32001,-23682,,,-3354.0,-9449,28960,-7789,-77300,-85089,,,0.0,,-52642,241466,-7676,,,-2620.0
