date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款增加,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得子公司股權,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務商品投資到期還本,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分無形資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,長期應收租賃款增加,長期應收租賃款減少,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）,預收款項增加－處分資產
2013-05-09,1,2013,54269.0,-136000,-1766,-39501.0,,,,-1591,-930,-22943,,0.0,,,,-7383.0,0.0,-1260,-203,6273,17127,-12416,,0.0,0.0,,,,-1188,,,-238,,,-121107,,0.0,17746,1261.0,-27.0,,-29621,,64090,-27779.0,5938,-10603.0,-3065.0,-16248,46052,0.0,0.0,-5893,2071,-5388,,,,2013年01月01日至2013年03月31日,251881,199419,,-52462,4832,,2645.0,,-76657,-71269,,,,1658663,-1587581,23316,4832,,,-16375,-113995,-130370,128000,906,-634,,,,-76101,199419,0,,,,,9051,,,,,
2013-08-08,2,2013,93866.0,-16000,14513,-37396.0,,,,-4701,-10456,-15744,,,,,,,7879.0,-3353,-570,11762,12482,-61355,0.0,0.0,0.0,,-2271.0,,-6634,,58.0,-238,-1457.0,,-54376,,0.0,-14189,-5084.0,19977.0,,-13718,,88269,4555.0,4123,-8416.0,-3730.0,-53656,96451,0.0,0.0,-15140,3866,-11527,569.0,,,2013年01月01日至2013年06月30日,251881,179310,-1435.0,-72571,8513,,2458.0,,67163,83425,,,,3497147,-3562108,-98560,8513,,,-32664,13710,-18954,0,1090,-132,,,,74912,179310,-5304,,,,,9051,,,,,
2013-11-04,3,2013,170797.0,-24000,36938,-40982.0,,,,-1979,-18938,-22463,,0.0,,,,,-5116.0,-2397,-711,18586,19761,-97633,-19991.0,0.0,0.0,,-2271.0,,-4335,,58.0,-368,-1395.0,,-239879,,0.0,60011,15628.0,29948.0,,-64540,,5979,3253.0,11635,-9188.0,-4347.0,-122716,128199,0.0,0.0,-16455,4699,-17841,710.0,8208.0,,2013年01月01日至2013年09月30日,251881,185153,2608.0,-66728,-16639,,2600.0,,-137733,-121257,,-43379.0,,5335663,-5082980,173960,-16639,,-132.0,24752,-300167,-275415,0,1090,-132,,,,-104618,185153,-7553,,,,,40867,,-47525.0,,,
2014-03-24,4,2013,235145.0,-32000,77954,-21949.0,-3645.0,,,2686,-19728,-16491,,0.0,,,,,-1916.0,-685,-842,25523,36844,-136736,-19991.0,0.0,0.0,,-2500.0,,-1255,,0.0,-274,-958.0,,-193018,,0.0,86561,17375.0,29993.0,,-37859,-19191.0,-73397,-9153.0,-12106,2807.0,2076.0,-271753,168094,0.0,0.0,-22767,5496,-24053,841.0,8208.0,,2013年01月01日至2013年12月31日,251881,500341,-2388.0,248460,-33037,,2752.0,,-19641,593,,-43379.0,,8413967,-7843348,503010,-33037,,-132.0,103543,-305058,-201515,0,4410,19541,,,,33630,500341,-5230,,,,,44560,,-6386.0,-116814.0,,
2014-05-02,1,2014,60464.0,-8000,-42146,16261.0,,,,-10698,5277,-6829,11052.0,,,,,,2199.0,-128,-208,8544,-3148,-67906,,-2400.0,,,-220.0,,333,,,-19,-27.0,,-96090,,,-24410,9387.0,-38.0,,-3778,,62855,3537.0,28285,2067.0,-821.0,-50621,44919,,,-4941,1677,-8935,206.0,,,2014年01月01日至2014年03月31日,500341,219654,-388.0,-280687,4210,,5500.0,,-10063,-1054,,,,2101527,-2324186,-216855,4210,,,-45439,-20289,-65728,0,11037,-187,,,,-5264,219654,-280,,,,,10843,,-3416.0,-1204.0,,
2014-08-04,2,2014,122532.0,-16000,-40663,-6890.0,,,,-20163,11048,-8061,,,,,,,8974.0,-514,-422,15783,-41628,-171966,-20000.0,-2400.0,,-500.0,-2000.0,,-2273,,274.0,0,-2134.0,,-195773,,,-19684,-13282.0,0.0,,7362,,98052,-5315.0,11612,2360.0,-1589.0,100167,92984,,,-9543,3836,-17000,424.0,,,2014年01月01日至2014年06月30日,500341,548173,3048.0,47832,31602,,5577.0,,-58163,-32156,,,,4688611,-4744855,47456,31602,,,-45976,-140314,-186290,41000,48793,-4938,,,,-63758,548173,-9431,,,,87716.0,24571,-49597.0,-23026.0,,10832.0,283020.0
2014-11-03,3,2014,157612.0,-26050,-30992,16476.0,,-19351.0,,-5021,20325,-14374,172356.0,,,,,-55820.0,,-2390,-1104,25344,-38127,-225191,-20000.0,-2400.0,,-500.0,-3000.0,,-1681,,290.0,0,-2209.0,1870.0,-218375,,,-14373,-1207.0,29940.0,,4024,,30118,-6066.0,-129970,-2325.0,-1974.0,-92697,144493,,,-16944,5490,-25226,1105.0,485.0,,2014年01月01日至2014年09月30日,500341,538162,-1416.0,37821,40043,,5909.0,,-48115,-11682,,0.0,,7294584,-7218654,216760,40043,,-485.0,158917,-368254,-209337,41000,48812,-4538,,,,-51725,538162,-12797,,,,100925.0,10843,-129369.0,-22241.0,,10758.0,286801.0
2015-03-16,4,2014,-607787.0,-36100,6637,1276.0,-53048.0,-19351.0,-477834.0,280757,-2978,-8636,188884.0,,,,76761.0,-66330.0,,-15557,-1557,33770,5558,-357244,-20000.0,-27290.0,,-1108.0,-6635.0,,7678,101140.0,459.0,0,-2209.0,7247.0,-193203,,,44371,80060.0,29983.0,-15008.0,-116,-21036.0,-84039,-744.0,-65326,0.0,-8260.0,-295622,204462,735.0,,-16944,7575,-28720,3096.0,589.0,,2014年度,500341,902261,-4602.0,401920,898583,,9804.0,,409059,446960,,0.0,,11022697,-10948461,282925,898583,,-589.0,235249,-79085,156164,60667,261219,-3606,622451.0,-850475.0,142911.0,-451623,902261,-12866,,,,137292.0,32058,-509034.0,-7894.0,,,
2015-05-05,1,2015,,-11050,-109093,0.0,-31938.0,,,-1799,11507,-461,-158641.0,,,,,-126667.0,891.0,-3255,-1344,9878,6503,-64302,,0.0,,-19694.0,,-18833.0,-1868,,,-303,-8.0,,-70007,,,-13893,0.0,,-43.0,17219,,76617,0.0,-14806,0.0,,-58317,63663,-207.0,,0,944,-10864,1357.0,,80322.0,2015年01月01日至2015年03月31日,902261,530157,5408.0,-372104,100177,-668.0,,17001.0,-126560,-116874,,,,1873694,-2095028,-193730,100177,,,-285714,-11659,-297373,39000,6351,-573,146944.0,,,-217051,530157,-179,,,,,7469,,-1203.0,,,
2015-08-05,2,2015,,-24050,-229522,,,82833.0,,29367,18984,-21990,-164066.0,,-40241.0,,,-348166.0,1360.0,-2230,-2650,20761,-24519,-90670,0.0,0.0,,-19694.0,,-19399.0,1127,,400.0,-410,-1862.0,,-115174,83456.0,,-60096,0.0,-90018.0,,10280,,127684,0.0,-83724,0.0,,-321317,127677,-844.0,,0,2292,-20843,2664.0,,140903.0,2015年01月01日至2015年06月30日,902261,432737,2917.0,-469524,252783,-2377.0,,27380.0,-135953,-105845,,-13692.0,445000.0,4419537,-4929791,12265,252783,,,-427641,-71890,-499531,39000,23031,2910,146944.0,-27337.0,,-358628,432737,-11929,-832.0,,,0.0,16268,0.0,-8053.0,,,0.0
