date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付公司債匯率影響數,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款增加,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,逾期未領股利及董監酬勞轉列其他收入,遞延貸項增加（減少）,非控制權益變動,預付投資款減少,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-06,1,2013,1719003.0,,-318226,-392590,,,56954,,67247,-5664,-298.0,-406,-48680,-2736.0,-36516,162049,-76987,-2038624,,-996.0,,-96853.0,,52308.0,-456024,225186,552542,,,17203,,-478837,109346,696.0,-1945285,1263768,-24271.0,0.0,105718,2082,-117455,36832,,,2013年01月01日至2013年03月31日,7047843,6291661,-756182,-1032202,,-489485,-315906,,,,972404.0,0.0,1755575,-1032202,,,630542,-1633249,-1002707,1198250,11262,0.0,-548,,,0.0,716296,,6291661,-92956,,,244794,0.0,0.0,-809938,0.0,30765.0,165219
2013-08-12,2,2013,3422881.0,,-1621429,924092,,,70504,-94990.0,120980,-6014,-298.0,-1255,-94560,,-50658,356381,-144327,-4904709,,-9250.0,,-97103.0,,50028.0,-865426,278453,-187904,,,92454,,-292120,-200374,1400.0,-5159312,2616339,-30545.0,,220603,4327,-188541,50974,,,2013年01月01日至2013年06月30日,7047843,6172104,-875739,-1925144,,369637,596974,,-50.0,,1809935.0,,4058263,-1925144,,,1465133,-2365896,-900763,3942410,15544,0.0,-2564,,,0.0,2522118,,6172104,-89770,,,303565,24500.0,0.0,-976651,-215935.0,,241389
2013-11-11,3,2013,4992505.0,,-1840098,984819,,,52418,-107521.0,126974,-5270,-298.0,-1410,-90565,,-72236,545983,-114378,-7605220,,-10417.0,,-97104.0,,47600.0,-1814375,156395,1398843,0.0,,335311,,-441398,-790073,2101.0,-7649105,4097049,-29656.0,,271418,6685,-293796,72552,10463.0,,2013年01月01日至2013年09月30日,7047843,5736134,-1311709,-2331763,,1578074,1880173,,-234945.0,,0.0,-1499686.0,4873700,-2331763,,-10463.0,3655310,-4435879,-780569,8521033,26453,0.0,-2326,,,0.0,4211936,,5736134,-91318,,,302326,24500.0,0.0,-1345206,,,534890
2014-03-24,4,2013,6851435.0,-941679.0,-2619145,795662,,,-938530,-110297.0,-29764,-14703,-1.0,-1035030,19631,,-89944,666587,-214791,-9958164,0.0,-4412.0,25980.0,0.0,,22164.0,-925001,217893,176869,0.0,,94451,,-705662,-1274405,736.0,-9893808,5717680,-29745.0,,346152,8396,-343567,90260,10463.0,,2013年01月01日至2013年12月31日,7047843,4938635,-2109208,-420815,,1661104,1996299,,-236794.0,,428221.0,,6338287,-420815,,-10463.0,1839081,-6273402,-4434321,9657204,30957,125944.0,13,,,-25269.0,2417114,20390.0,4938635,-92351,,,447560,24500.0,0.0,-1399702,,,383313
2014-05-12,1,2014,2042260.0,,-204012,26714,,,-47440,130434.0,-2854,8550,7.0,-16246,-4910,,-21751,235752,-83524,-1696958,-39434.0,0.0,,-122627.0,,42563.0,-984277,205639,486907,,,356582,,-276394,515045,776.0,-1537596,1305704,,,429775,2714,-158914,20085,,,2014年01月01日至2014年03月31日,4938635,7761955,2823320,-1453153,,311997,489410,,-767.0,2982226.0,,-635662.0,4132443,-1453153,,,1058443,-1158140,-99697,2113285,10038,15761.0,-1842,,,-133474.0,1942563,,7761955,-38584,19743.0,,-10211,,,-352468,,,200522
2014-08-11,2,2014,3554537.0,,-712395,-138263,,,-7983,123223.0,-6042,11725,7032.0,536299,-17193,,-46618,502065,42484,-4321310,-39434.0,-1339.0,,-122427.0,,41551.0,183051,-9184,408390,,,754144,,-1023186,841780,-3508.0,-4088232,2583107,,,795980,5408,-346934,45336,,,2014年01月01日至2014年06月30日,4938635,6954704,2016069,-1925435,,2517499,2888004,,-1240.0,2982226.0,,-715131.0,3544318,-1925435,,,899294,359608,1258902,2113285,18388,90689.0,-2454,,,-147755.0,4813439,,6954704,-68907,-126012.0,,-10480,0.0,,-164885,0.0,,-111979
2014-11-10,3,2014,3344348.0,-8047614.0,-7512777,-123035,,,-89430,119004.0,-18147,-18267,7169.0,528695,-105530,,-61330,732989,-99607,-5876223,-39434.0,-1803.0,,-136137.0,,40715.0,748223,74047,802268,600000.0,,468608,,-1618142,486002,-5229.0,-3416264,3960634,,,1035524,7865,-559355,61330,9661.0,,2014年01月01日至2014年09月30日,4938635,5373528,434893,-812074,,2882888,3457223,,-238252.0,2982226.0,1119573.0,0.0,1067876,-812074,,-9661.0,1295429,-370480,924949,12228219,42964,90689.0,-4831,2207824.0,-2122247.0,-147755.0,4269297,,5373528,-85971,-120887.0,,85167,72638.0,,-302031,,,78628
2015-03-23,4,2014,3099752.0,-8047614.0,-5848845,-790745,,,497808,-3594.0,-14035,-29409,-297.0,-14200,-132985,,-87605,754423,-452538,-7185461,-39433.0,-1814.0,39132.0,,-9488.0,0.0,1174682,190945,1669360,600000.0,,56404,,-1422079,113964,-5875.0,-2904211,5276723,,,1170515,9890,-574405,87460,9661.0,,2014年度,4938635,6510559,1571924,-166381,,3497150,4083858,,-238484.0,2982226.0,1615323.0,,1431523,-166381,,-9661.0,1127874,22613,1150487,10232147,46353,90689.0,119602,4198537.0,-4090563.0,-147755.0,4250239,0.0,6510559,-109424,-85584.0,-1178.0,161373,97638.0,,-165168,,,51689
2015-05-11,1,2015,,,-1862354,26057,,,408289,0.0,39613,38827,0.0,-3708,-28798,,-24858,213408,104085,-1057233,0.0,,,-181631.0,,57495.0,-718098,-32919,265529,600000.0,,417776,,43102,558918,,-995615,1449245,,,221345,1723,-221612,24715,,1782043.0,2015年01月01日至2015年03月31日,6510559,4137346,-2373213,-1350186,-19573.0,859459,1107957,,-14.0,0.0,,-945768.0,-2341142,-1350186,,,757088,-80988,676100,0,4123,0.0,-2043,,,0.0,2458143,,4137346,-51601,-43858.0,,-10820,48625.0,,-379520,,,38506
2015-08-10,2,2015,,,-5516971,-267504,,,946095,-24385.0,41464,-10572,1831.0,-513931,-73694,,-47195,422729,105534,-1361437,0.0,-55942.0,,-181401.0,-32957.0,0.0,-558526,-74643,146411,1600000.0,,418338,,116663,434981,,-1464130,2887462,,-39813.0,204873,3377,-471942,47219,,3365917.0,2015年01月01日至2015年06月30日,6510559,3634099,-2876460,-2092678,-21334.0,1439619,1960868,,-4369.0,0.0,,-333708.0,-2957483,-2092678,,,290315,397314,687629,1400000,10591,0.0,640,,,0.0,4053546,,3634099,-96526,-31326.0,,-19076,78966.0,,96111,,,-9815
