date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少
2013-05-14,1,2013,260959.0,,,-7524799,-445354,-841865,,297141,-4201,-2566.0,-40214.0,,367433.0,,,,,-21798.0,-5254,176586,898411,-784226,-61092,,,55746,,,-3084425,0.0,3320826,,,-334279.0,166511,-502440,-54679,-796880.0,,,-467315,55725,,32970,-18431,28201,-179985,,7272,,,2013年01月01日至2013年03月31日,8872178,7729821,-1142357,1274868,,-1236006,-1008026,,,59444654,-59375724,-337447,1274868,,3336558,-5880411,-2543853,7452701,2565,,14396,2403,-6391.0,-14113,,-2282894,7729821,-55267,1894,,,,,-588677
2013-08-13,2,2013,525543.0,,,-2725406,-314173,-417846,0.0,142110,-10394,-25657.0,,,665252.0,,,,513.0,-24902.0,-11338,355351,1117010,-921376,-61092,,-37501.0,204522,-108066.0,,-5677118,0.0,5905029,,152361.0,,-166445,-6088216,-211860,,-442818.0,,-151490,111892,,38098,-18210,59492,-353154,,12474,30915.0,,2013年01月01日至2013年06月30日,8872178,8426736,-445442,2977656,,-4494756,-3768880,,,176700464,-173297851,3083794,2977656,,5540864,-12812943,-7272079,2254226,9048,1463.0,14306,3156,-6391.0,-149576,292354.0,-6746536,8426736,-416111,-4844,,0.0,,,-2789
2013-11-12,3,2013,1074271.0,0.0,,-3182405,68692,-287685,-333910.0,20929,-7431,-11326.0,,,640651.0,,,,-15498.0,50660.0,-16588,557994,556005,-1065652,-89260,,-119904.0,408343,-77847.0,,-6889294,0.0,7848608,-5756.0,311095.0,,-293692,-9313656,-90562,-760540.0,,,-411419,170563,,38749,-27260,82361,-556442,,21068,39433.0,,2013年01月01日至2013年09月30日,8872178,8310171,-562007,4578669,,-6132968,-4935857,-3973703.0,,254905468,-246330186,5426375,4578669,-8518.0,7627455,-18216252,-10588797,3696106,14359,1463.0,14306,8390,-6391.0,-159427,292354.0,-9514526,8310171,-701170,7753,,0.0,,0.0,-571923
2014-03-25,4,2013,1462068.0,984.0,,-10325735,-79290,-423301,-394919.0,104527,-71741,-31106.0,,,1051139.0,,,,-45510.0,81417.0,-22292,786926,832769,-1147503,-105739,,-119904.0,483254,-38365.0,,-1751309,0.0,4962212,-4125.0,878216.0,,112073,-11344677,-118862,-1133091.0,,,-80381,233829,0.0,38567,-38257,124938,-785612,,31183,45595.0,,2013年01月01日至2013年12月31日,8872178,9458603,586425,5806385,,-4709343,-2924639,-3973703.0,,354070024,-346895016,4543380,5806385,-8869.0,5064291,-15257383,-10193092,10790339,17507,2990.0,58908,13044,-6391.0,-176226,292354.0,-8731024,9458603,-1075870,-15696,,-745.0,,-40851.0,-58050
2014-05-13,1,2014,310964.0,0.0,,-1235349,143530,-411178,-83525.0,102694,-10708,30018.0,,,-380973.0,,,,70043.0,0.0,-4528,252352,922009,-27097,0,,0.0,11357,-102284.0,,-6240422,0.0,2064682,-6873.0,69776.0,,-154624,1494692,-1189,122306.0,,,-269079,67939,,-23398,-2092,30179,-242740,0.0,7304,0.0,,2014年01月01日至2014年03月31日,9458603,10078211,619608,1732185,,-1709278,-1408859,,,371029283,-369634226,1675956,1732185,,2179427,-5631435,-3452008,1446472,7168,0.0,164064,1579,0.0,-87703,0.0,-3141044,10078211,-64983,26851,15030.0,0.0,,0.0,-478013
2014-08-12,2,2014,658262.0,,,-3252321,317535,295338,-120807.0,31921,-39917,,,,200345.0,76975.0,,,67885.0,,-9711,515946,-26023,-43423,0,-19107.0,0.0,29813,15511.0,,-7089902,,2211239,2256.0,80367.0,,-106712,-1038901,69573,-587593.0,,-6839.0,397233,120644,,-12407,-7963,59913,-476477,,39764,35150.0,,2014年01月01日至2014年06月30日,9458603,9644501,185898,3611916,,-3688972,-2972748,,,730793534,-727333750,3503660,3611916,,2449400,-9692326,-7242926,3138855,9688,0.0,166334,1861,0.0,-79248,0.0,-6584664,9644501,-314661,9909,17098.0,,,,-1167710
2014-11-11,3,2014,1096701.0,,,-8079684,721122,132720,165025.0,306184,-53037,7917.0,,,33058.0,56710.0,0.0,0.0,80215.0,0.0,-15798,782411,690763,-67245,-16500,-19107.0,0.0,106239,-7081.0,,-12681604,,7832284,-7288.0,107829.0,,50127,-8181067,22989,-304965.0,,,221215,179416,,-10988,-7775,105228,-770276,,56898,45887.0,,2014年01月01日至2014年09月30日,9458603,10669510,1210907,5468377,,-7411004,-6289153,-3808131.0,6000000.0,1070962586,-1065840665,7709933,5468377,-14392.0,8910346,-21764577,-12854231,8311288,9963,37726.0,170186,1726,0.0,-86657,0.0,-11757530,10669510,-454360,29005,,0.0,17298.0,,-853650
2015-03-30,4,2014,1444346.0,0.0,,-11401464,997361,-672952,230127.0,68128,-67029,-26821.0,,,-77826.0,65360.0,-5262.0,,64244.0,34203.0,-26515,1044921,2772789,-103446,-59953,-24071.0,0.0,114623,-55899.0,,-12317018,0.0,2854874,-9194.0,-792153.0,,-17645,-10308825,-4481,-333441.0,0.0,,262847,239793,0.0,-43110,-30401,141605,-1034613,,63807,68208.0,,2014年度,9458603,11184859,1726256,7104755,,-13452896,-11506014,-3808131.0,6000000.0,1533596388,-1527268240,12143516,7104755,-18315.0,3866703,-23921818,-20055115,15759591,310450,37726.0,174622,-106962,0.0,-52023,0.0,-18610769,11184859,-1044284,61506,,-2573.0,41911.0,-3000.0,-405089
2015-05-12,1,2015,,0.0,,-4133810,-431994,-1048077,66360.0,-63133,-4046,0.0,,,96495.0,14002.0,,,3702.0,19710.0,-7323,275774,-612344,-47360,-50000,-4972.0,-3000.0,21314,0.0,50507.0,-7789481,0.0,4017292,-1183.0,0.0,-44618.0,148444,9356799,44690,616114.0,,,95932,55567,0.0,-5197,-6457,42549,-289866,,15524,30245.0,332450.0,2015年01月01日至2015年03月31日,11184859,9284281,-1900578,1754735,,5981154,6237200,,,214092665,-220495724,-7365320,1754735,-27020.0,3669426,480589,4150015,3193747,15,24500.0,48045,15,0.0,-36070,0.0,4482465,9284281,-11949,-5609,0.0,8418.0,,-22000.0,-756573
2015-08-14,2,2015,,,,-8339556,-486780,-1199930,66360.0,211542,-2415,,,-138643.0,0.0,0.0,-40888.0,,7040.0,39488.0,-16540,542829,-1487217,-69573,-75000,-9912.0,-3000.0,210850,,88023.0,-7639228,-56400.0,4557471,-2058.0,0.0,-779455.0,246009,2116195,-10484,-625881.0,,,-142305,121525,,16046,-10905,71786,-557815,,39958,28097.0,821052.0,2015年01月01日至2015年06月30日,11184859,8500599,-2684260,3608886,,97560,1276315,,,433115081,-432496917,-1152298,3608886,-31495.0,4526184,-7679807,-3153623,7381019,459,29201.0,85500,842,,-83532,,-2332571,8500599,-688995,-27071,3275.0,8418.0,,,-400470
