date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分持有至到期日金融資產,處分採用權益法之投資損失（利益）,處分無形資產損失（利益）,處分無活絡市場之債券投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付款項（增加）減少
2013-05-13,1,2013,728816.0,,,-78385,-2582,60200,-14515,,-252630,0.0,,-108422,-677482,169017,3705,-2139130,,,,,,-580,-37651.0,,184194,244722,,-9786,0.0,-112641,,91658,,3085851,,31813.0,-150184,,-508331.0,389.0,-2180146,1153492,-5378.0,-148066,0.0,-6064,1140,-156843,723902,,,2013年01月01日至2013年03月31日,1349503,1495061,-27748,145558,528352,,704242,160428,,,-1712816,,1617757,528352,100297,-1197037,-1096740,,7001,1829,,,,,0.0,-367924,,1495061,-23245,,,38860,-8088
2013-08-08,2,2013,1118226.0,,,42129,16441,-15913,-69008,,8671,0.0,-849701.0,-51647,-1720113,298665,23744,-4072530,,,,,,-1886,-189707.0,,266574,458961,,-8772,,1119198,,41008,-13802.0,661145,,,-2085976,120920.0,,790.0,-4263828,2329720,-5751.0,-58159,0.0,-12875,2208,-281312,1736181,,,2013年01月01日至2013年06月30日,1349503,979449,-51498,-370054,1089786,,1599108,403229,,0.0,1150816,,2270922,1089786,-9268,-1795515,-1804783,,9067,3194,,,,,0.0,-686557,-57729.0,979449,-258990,,,53998,2099
2013-11-11,3,2013,1699174.0,,0.0,48485,-27572,554993,-89859,,4057,0.0,-1394331.0,-69612,-2619485,456221,14751,-5883660,,8600.0,,,,-2840,-282850.0,,381461,133400,,-4632,,1203467,,322950,,63005280,-59629651.0,30252.0,33354,,-3271250.0,1291.0,-6141543,3516310,,-58020,,-14754,3203,-455264,2634931,9973.0,,2013年01月01日至2013年09月30日,1349503,1233197,-37320,-116306,1593052,,2249844,492006,-817648.0,0.0,33119262,-32050001.0,3760642,1593052,957904,-3758124,-2800220,,13866,3700,,,,,,-1101046,-67.0,1233197,-421829,-10468.0,,89918,-157970
2014-03-24,4,2013,2309761.0,,200000.0,275702,-11236,105865,-104382,53246.0,4407,0.0,-1875854.0,-67879,-3556846,618759,22172,-7569393,,10000.0,,-10000.0,,-7511,-214676.0,,656943,679136,,-5101,,2394961,,28788,-270197.0,5643379,,,-5844240,149726.0,,1405.0,-7767259,4679151,,-42301,,-22654,4484,-613200,3584337,9974.0,,2013年01月01日至2013年12月31日,1349503,1282527,-136626,-66976,1971365,,1092568,-1429814,-707400.0,0.0,880676,,6585543,1971365,194809,-5905749,-5710940,,19448,4470,,,,,,-3401179,,1282527,-448755,,-110248.0,129959,-576830
2014-05-09,1,2014,459603.0,,,55596,-105752,184846,-50398,914.0,3750,0.0,-341370.0,6550,-1015112,165187,12267,-1894717,,,,,-39427.0,-2810,44227.0,,131177,-60834,,-1815,,728191,,-36705,1098410.0,3250801,,,-3522890,-153408.0,,3766.0,-1888368,1147509,-1460.0,4169,,-4566,1291,-169264,1013708,,,2014年01月01日至2014年03月31日,1282527,2207904,6123,925377,558818,,-656803,-1491910,,,207443,,3458281,558818,1305367,-3815698,-2510331,,6174,521,11.0,,,797.0,,-2050728,,2207904,-9337,,60860.0,20126,-377990
2014-08-04,2,2014,864514.0,-1000000.0,,369009,-97251,182649,-125467,932.0,2868,,-2078676.0,15393,-2095206,346031,545,-4054760,,,,,-39427.0,-15729,6444.0,,252077,357267,,-1337,,969538,,23013,1030500.0,5737070,,,-6878874,-206207.0,,-229.0,-4094837,2286570,-2731.0,48569,,-9396,2775,-350831,2110960,,,2014年01月01日至2014年06月30日,1282527,1453258,16716,170731,1173038,,-3896766,-5428057,,1500000.0,1107575,,8161789,1173038,1603143,-9068752,-7465609,399006.0,9972,262,11.0,,,,,-6601095,,1453258,-228838,,60860.0,49292,-703252
2014-11-10,3,2014,1384155.0,-1000000.0,,135338,-213227,109959,-69063,1628.0,-25,0.0,-2812243.0,-9867,-3218032,541706,6302,-6017222,,0.0,,,-39427.0,-34169,104219.0,,497414,580696,,-20589,,986106,,67469,662267.0,9987548,,,-10531542,-62122.0,,-46.0,-5984221,3445479,-3813.0,33932,,-14201,4628,-545449,3230619,10786.0,,2014年01月01日至2014年09月30日,1282527,1596291,72437,313764,1726023,,-7105458,-9397876,-1346634.0,1500000.0,3015990,,13397141,1726023,972802,-13480856,-12508054,598670.0,12181,527,11.0,,,,,-11123899,,1596291,-392752,,60860.0,64064,-812672
2015-03-23,4,2014,1863029.0,-2000000.0,,256971,-124072,119178,-21365,17898.0,-1010,0.0,-3986292.0,-1366,-4365713,752729,46525,-8043498,,,,0.0,-39427.0,-75244,136036.0,,842774,795084,,-45368,,3676780,,-43145,29835.0,9112697,,,-12044008,-147682.0,,-1411.0,-8039886,4616580,-3846.0,20067,,-13928,7289,-734104,4389969,10786.0,,2014年度,1282527,1699802,-70772,417275,2154268,,-6044694,-9274565,-1346634.0,3000000.0,4236476,,14455330,2154268,375480,-13667342,-13291862,596836.0,16829,1571,11.0,0.0,,,,-11428833,,1699802,-425994,,60860.0,93865,-1039760
2015-05-11,1,2015,,,,-321202,17785,167314,20913,16320.0,-79,0.0,-449501.0,-8187,-1510420,212201,-20721,-2089702,,,,,0.0,-8916,,36891.0,219019,104677,0.0,-14028,,-256016,,-33841,554085.0,1152534,,,-1797955,-170362.0,,,-2072928,1148934,31.0,-15039,,-6582,2186,-192202,1474077,,51339.0,2015年01月01日至2015年03月31日,1699802,2507774,-21954,807972,624107,118.0,-407271,-1662874,,,1751666,,3308892,624107,382825,-2721145,-2338320,300015.0,2827,-132,0.0,,,0.0,,-2286981,,2507774,-26272,,0.0,16274,-70891
2015-08-10,2,2015,,0.0,,-169176,-6652,73460,13278,16852.0,-78,0.0,-1417605.0,-31553,-3068457,432844,-28371,-4221079,,,,,0.0,-10118,,-198826.0,430760,271597,,-17282,,-279761,,-9131,950181.0,5329793,,,-4880898,-353170.0,,,-4432655,2299535,204.0,-44937,,-12047,4223,-446754,3007187,7853.0,60375.0,2015年01月01日至2015年06月30日,1699802,2795791,-40131,1095989,1313163,-10760.0,-2314147,-4619376,,0.0,1969177,,7871162,1313163,851630,-6844544,-5992914,300595.0,6797,98,0.0,,,,,-5932539,,2795791,-255204,,0.0,45103,125279
