date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,員工購買庫藏股,存貨（增加）減少,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付款項（增加）減少
2013-05-14,1,2013,131292.0,0.0,-490000.0,-30000,-155682,,,-28859,30255,-306415,559,-51516.0,,,,,,2239,-5291,7007,23164,-321905,-1099,25070.0,,,278842,,,-458991,-8112,681205,-2503,-288272,128078,,138,5361,7046,5291,,2013年01月01日至2013年03月31日,1531997,1374465,-157532,177078,306703,302343,,,198107,,-199127,177078,,-591971,585944,-6027,100000.0,9662,0.0,-4848,-1415,,,125265,,1374465,-7977,23,22766.0,,15190
2013-08-12,2,2013,285624.0,0.0,-490000.0,-73560,47353,,,-27128,-70707,15592,1739,-9864.0,-62739.0,0.0,,,0.0,2800,-7597,14243,87003,-585259,-1195,40088.0,0.0,,310324,,,-515480,-4317,514234,-3377,-572342,272057,,624,9336,-13879,7597,,2013年01月01日至2013年06月30日,1531997,1692366,160369,152401,662871,712478,,,812241,-577345.0,-17163,152401,,-541412,815865,274453,275000.0,36763,0.0,-4294,-1587,,,560077,,1692366,-43325,42,36501.0,,16084
2013-11-13,3,2013,469508.0,0.0,-490000.0,-73560,-83166,,,-11413,-66242,-4488,1571,,-100524.0,,,-3832.0,0.0,972,-14286,25512,57968,-696596,-1201,50119.0,0.0,,219232,,0.0,581814,-5238,-602811,5781,-704234,427340,,1437,16222,-25303,14286,,2013年01月01日至2013年09月30日,1531997,1540267,8270,175596,692030,774048,,,312998,-89369.0,-37494,175596,,428739,-299795,128944,275000.0,47800,,6484,-536,,,598452,,1540267,-71001,-2456,27437.0,8819.0,93904
2014-03-28,4,2013,711908.0,0.0,0.0,-1143375,-433796,,,17249,7080,50474,-371,,,0.0,,-38523.0,0.0,972,-16135,31707,-34497,-758422,-11112,,0.0,23280.0,191353,242.0,0.0,832086,-5915,-902479,3963,-760642,587872,80134.0,1529,21764,-95349,16970,,2013年01月01日至2013年12月31日,1531997,1550128,18131,198368,593742,769230,,-54055.0,117919,0.0,219528,198368,,399084,-540130,-141046,1232503.0,47415,,89269,-2134,,,570862,0.0,1550128,-97109,-2936,43014.0,0.0,19176
2014-05-14,1,2014,209318.0,0.0,0.0,-99088,-58036,,,21078,-15310,-105705,-5,,,0.0,,-14306.0,0.0,5958,-2873,12070,-7241,-48274,-15361,20017.0,0.0,,-42054,,0.0,-469523,-6083,56185,-1338,-52043,176424,,320,3231,-19881,13941,,2014年01月01日至2014年03月31日,1550128,1294777,-255351,81395,-338658,-303730,,,241679,0.0,142591,81395,,-548957,-45486,-594443,0.0,5881,,316,-268,,,-385125,,1294777,-28988,198,,13942.0,26348
2014-08-13,2,2014,384153.0,0.0,0.0,-261188,-105785,,,-5481,31494,-11488,378,,,0.0,,-21407.0,0.0,4744,-9405,22818,-49118,-94475,-50514,40022.0,0.0,,-59325,,0.0,-293584,1203,-261416,905,-111909,351691,,1262,6379,-31078,19747,,2014年01月01日至2014年06月30日,1550128,1174947,-375181,302774,-18671,45913,,,65705,0.0,-195483,302774,,-366294,-274720,-641014,0.0,14465,,11554,-768,,,-256861,,1174947,-53253,-4122,,0.0,62085
2014-11-12,3,2014,590466.0,,0.0,-309725,46392,,,-36145,35975,-11485,386,,,-148024.0,,0.0,-29697.0,0,-11590,33842,-44310,-155921,-53072,,0.0,,-226094,,-5279.0,-117424,-1498,-473122,2766,-329184,531254,59919.0,2968,10072,-70475,60128,,2014年01月01日至2014年09月30日,1550128,1612875,62747,671028,510039,621347,,,241206,0.0,-73798,671028,,-36169,-603978,-640147,0.0,17841,39689.0,32956,-9197,,,-49681,,1612875,-100961,161,,0.0,80183
2015-03-27,4,2014,780099.0,,,-587538,-148003,76387.0,,58389,18370,-104416,-2293,,-152775.0,,,,-59938.0,0,-15385,41755,1731,-292751,-62887,,-14797.0,24367.0,-183163,602.0,-5279.0,-165699,-5,123449,2534,-500460,718291,70633.0,6111,14830,-53031,17278,,2014年度,1550128,2343111,792983,986756,1275201,1540054,,-54287.0,562259,0.0,16511,986756,2431.0,-297630,70829,-226801,0.0,28202,39689.0,36891,-9197,,,553298,,2343111,-229100,-831,,0.0,103403
2015-05-13,1,2015,,,,-218850,-86378,-5046.0,,3471,-24954,-11674,326,,,151485.0,,0.0,11286.0,0,-4427,7817,-25359,-80890,-1615,,0.0,0.0,32876,5950.0,-64224.0,-526498,-2279,514408,2391,80521,201169,-62981.0,731,4757,-8659,3337,215019.0,2015年01月01日至2015年03月31日,2343111,2224723,-118388,164891,177240,232254,,0.0,-68620,0.0,-350790,164891,0.0,-639783,492127,-147656,0.0,255,0.0,6110,0,,,67363,,2224723,-49692,-1138,,0.0,13636
2015-08-13,2,2015,,,,-250900,-4938,-19886.0,,-21329,14127,-16891,497,,,-51271.0,5333.0,,-25770.0,0,-10608,11533,-122331,-197363,-16346,,-6152.0,0.0,-65488,10849.0,-64224.0,-315877,-6999,383844,1860,-272282,408046,,1292,9926,-13542,9891,432254.0,2015年01月01日至2015年06月30日,2343111,2188066,-155045,304815,607508,708045,,,-43779,0.0,-367940,304815,0.0,-313190,284166,-29024,0.0,4554,0.0,20126,1445,13914.0,,403230,,2188066,-96886,-3354,,0.0,-3163
2015-11-11,3,2015,,,,-425900,78352,,-25885.0,28999,77417,-27038,331,,,0.0,10337.0,,-86415.0,0,-16227,16363,123874,-329258,-16616,,-6152.0,,-195576,10849.0,-122121.0,-51865,-6994,-487346,1743,-413742,634416,,1292,14800,-25146,14968,670808.0,2015年01月01日至2015年09月30日,2343111,2199199,-143912,701412,650319,814444,,-54477.0,113171,,-504363,701412,0.0,97241,-655017,-557776,,4633,0.0,24909,0,13914.0,1445.0,113032,,2199199,-153947,-38,,0.0,13864
