date,season,year,不影響現金流量之收益費損項目合計,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,呆帳費用提列（轉列收入）數,員工執行認股權,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅
2013-05-13,1,2013,8009.0,15205,-4690,,,,,135,,,2962,-171,0.0,0.0,341,,200.0,-12320,4145,2224,642,15126,1935,,,,2013年01月01日至2013年03月31日,477369,544164,66795,37307,48366,50522,,,341,37307,3389,19350,-14144,5206,,15097.0,,2550.0,13215,544164,-2156
2013-08-09,2,2013,9719.0,15992,-221,,,,,233,-963.0,,4673,-776,0.0,,1796,-98.0,0.0,-17283,15219,-1536,1170,14223,3755,,963.0,,2013年01月01日至2013年06月30日,477369,589229,111860,74665,91168,97725,,,1796,74665,4144,31211,-17870,13341,,15097.0,,2550.0,23060,589229,-7520
2013-11-12,3,2013,15961.0,20967,387,,,,,2747,-1316.0,,3896,-3829,0.0,50.0,5739,,290.0,-7203,5011,-10841,1527,11558,5561,,1316.0,,2013年01月01日至2013年09月30日,477369,528945,51576,116531,132009,142340,-101626.0,,-95887,116531,6369,25978,-16130,9848,,15097.0,,2550.0,25809,528945,-11647
2014-03-24,4,2013,21821.0,6284,-15013,,2178.0,,,4614,-1890.0,,5934,-4076,0.0,,8910,,,-7376,19438,-3834,1817,13198,7485,,1890.0,,2013年01月01日至2013年12月31日,477369,584182,106813,175194,180397,198331,-101626.0,,-92716,175194,9062,25722,-24406,1316,,15096.0,,2550.0,23137,584182,-19824
2014-05-12,1,2014,-1178.0,15738,290,,751.0,,,-4058,-795.0,,35,-687,,,10182,,0.0,10292,-1880,13185,-991,64,1932,,795.0,,2014年01月01日至2014年03月31日,584182,682965,98783,52330,88502,87786,,,10182,52330,1743,13858,22776,36634,,0.0,,0.0,35456,682965,-79
2014-08-08,2,2014,10417.0,23888,-30092,,,-26.0,,4699,-2200.0,,-1795,-885,,314.0,21879,0.0,751.0,-10094,11204,9319,-1549,-160,3684,,2200.0,,2014年01月01日至2014年06月30日,584182,723427,139245,115105,119321,128198,,,21879,115105,3920,35092,-32416,2676,,0.0,,0.0,13093,723427,-11077
2014-11-10,3,2014,17596.0,30617,-35634,,,,,8709,-3018.0,,-33,-3343,,406.0,33439,,751.0,-17415,4425,-50911,-519,-797,5209,,3018.0,,2014年01月01日至2014年09月30日,584182,586425,2243,161599,94084,109758,-124450.0,,-91011,161599,6290,35042,-104479,-69437,1795.0,0.0,,0.0,-51841,586425,-18692
2015-03-26,4,2014,27226.0,20631,-140224,,496.0,-581.0,,10991,,,2777,-3763,,,33712,,,22771,-13183,-64214,-499,-1886,6737,,4021.0,,2014年度,584182,563653,-20529,231481,69318,83989,-124450.0,,-90738,231481,9498,7448,-182166,-174718,1962.0,0.0,,0.0,-147492,563653,-18692
2015-05-12,1,2015,,12136,-11013,,496.0,-20.0,,403,-1731.0,,-1499,-177,,219.0,1036,,,-1575,19630,-16442,341,365,1518,,1731.0,2759.0,2015年01月01日至2015年03月31日,563653,609402,45749,38453,45847,44289,,,1036,38453,2350,31766,-28689,3077,66.0,,,,5836,609402,-173
2015-08-12,2,2015,,23455,2996,-50611.0,0.0,0.0,56.0,3074,-2784.0,,-2703,-1053,,407.0,15762,,,-34978,60272,-43181,32,-51339,3026,,2784.0,8925.0,2015年01月01日至2015年06月30日,563653,703487,139834,132291,128344,149812,,49770.0,65532,132291,5202,83727,-75131,8596,269.0,,,,17521,703487,-24252
2015-11-10,3,2015,,28790,1135,-54936.0,0.0,-479.0,,4293,-3594.0,,780,-1358,,407.0,19571,,,-30864,-13079,6732,-349,-56658,4556,,3594.0,13848.0,2015年01月01日至2015年09月30日,563653,575121,11468,224226,197499,230439,-165814.0,16090.0,-130153,224226,7980,15711,-23346,-7635,115.0,,206.0,,6213,575121,-36534
2016-03-29,4,2015,,23771,293,-42143.0,0.0,-478.0,,864,-4752.0,121.0,-2080,-1783,,,20375,,,-17165,1916,28661,-730,-44290,6084,-121.0,4752.0,13539.0,2015年度,563653,662844,99191,272761,291000,323046,-165814.0,,-145439,272761,11222,25687,11059,36746,114.0,,,,50285,662844,-36677
2016-05-12,1,2016,,19440,-6740,-459.0,0.0,-22.0,,451,-2072.0,,-163,-7586,,0.0,890,,,7623,33495,-52353,1256,-8067,1545,,2072.0,2133.0,2016年01月01日至2016年03月31日,662844,763506,100662,68129,74783,72983,,33219.0,34109,68129,2209,52935,-50214,2721,0.0,,,,4854,763506,-272
2016-08-11,2,2016,,19495,10312,0.0,25089.0,-1720.0,0.0,909,-3357.0,,-2059,-16022,,0.0,18313,,,-1763,14771,-8603,248,7347,3079,,3357.0,5911.0,2016年01月01日至2016年06月30日,662844,903730,240886,149992,167506,190363,,49779.0,68092,149992,5280,34266,194,34460,0.0,,,,40371,903730,-26214
