date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他借款增加,其他借款減少,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,處分避險之衍生金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,避險之衍生金融資產（增加）減少,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-13,1,2013,11079998.0,14403,,-19187445,,-6603355.0,-1218208,-918136,113763,265332,-2040979,-1355536,,42582,,,474864.0,1740867,-92806,663015,261237,-15849843,-1524327,-1147120,-5214.0,-44122,-8105185,-3303,-14488.0,,-21708,0.0,478271,0.0,-7809.0,0.0,0.0,403377,,,986741.0,17130937,404748,,-905693,,-965750,166140,,-44783.0,-25451302,7386962,-477059,,-38250,62361,-647547,90908,6775,,2013年01月01日至2013年03月31日,16959256,14050456,-2908800,5678653,,14624963,14650878,-2668,0.0,36345421,-21292156,7656302,5678653,-1803.0,249122,-2356895,-2107773,1738421,95323,1156629,707842,16900,,-230594,72800.0,0.0,,,,,8972225,-396516,16091435,-25915,-75862,,,,132112,1657017,
2013-08-09,2,2013,18564571.0,25734,,-23520372,,-5066526.0,212288,-615911,116461,-135954,-2964610,-2226598,0.0,0,-28750.0,-868658.0,,2271004,-217161,1324971,429880,-32138926,-2855370,-2131658,-5241.0,-102016,-9147368,-16688,-14580.0,,-26368,0.0,-6872652,32973.0,-15618.0,0.0,0.0,-514281,,,2050286.0,12204852,310461,,-527186,,-292086,12762,,-56839.0,-45847533,14758180,-414618,,-234233,150070,-1305334,185738,53297,,2013年01月01日至2013年06月30日,16959256,10002785,-6956471,12210303,,22351269,22728976,-4731,0.0,166942680,-146087043,16109913,12210303,-56333.0,781121,-8827019,-8045898,15219667,108894,1844009,1353134,27276,,-412585,82159.0,0.0,,,,,10518673,-1337255,12967395,-377707,-4760,18626.0,,,-2244530,973760,
2013-11-08,3,2013,26571280.0,58127,,-39915439,,-5518129.0,-23735,-1102270,693820,316210,-1070335,-1238769,0.0,0,-50206.0,-507283.0,,3820499,-333098,2100388,-843849,-48189474,-5570070,-3787311,-6560.0,-102271,-9317350,-16432,-14616.0,,-37751,,-5201286,32973.0,-403930.0,0.0,0.0,1500792,,,1170438.0,14092737,463802,,876378,,-195343,111596,,-51724.0,-61208643,22558842,-72407,0.0,-265106,212947,-2252616,310654,395379,,2013年01月01日至2013年09月30日,16959256,15320878,-1638378,18038629,,39984051,41124055,-6164936,19900000.0,217051970,-208369909,20430063,18038629,-336325.0,1781268,-5267122,-3485854,33674554,111586,2675004,3913157,69813,,-482934,82364.0,0.0,,,,,23085426,-1972125,16391213,-1140004,-108779,,,,-2017963,-261037,
2014-03-21,4,2013,37122637.0,64500,-11275000.0,-48495770,3098302.0,,894106,515700,695626,-709282,-3159397,273317,,-55213,,,-1363882.0,4245200,-472294,2985370,910729,-60718197,-10341835,-5331769,-11309.0,-102112,-9403092,-236845,-14593.0,,-71422,,-5894599,,-404495.0,281372.0,0.0,185274,,,2161444.0,2106870,721208,,538565,,123196,-311119,,-48508.0,-79171814,31345401,-215872,0.0,-281422,293117,-3650011,467105,431184,,2013年01月01日至2013年12月31日,16959256,10541442,-6417814,23209052,,54242203,55493911,-5976436,19894618.0,299839209,-300050470,17601068,23209052,-364527.0,1115633,-5953411,-4837778,63921305,132927,3137250,4713063,111761,,-674749,82236.0,0.0,,29330.0,,-907670.0,32284859,-3493517,13700839,-1251708,-225006,,192985.0,,-2037708,371296,
2014-05-09,1,2014,10186512.0,0,,-22272725,-7264691.0,,-2189731,-34436,328412,19140,-1488918,-1178836,,-28987,,,500731.0,1513082,-118316,918561,379008,-8250095,-3066706,-1599184,0.0,0,-45714,-35093,-9690.0,,-50304,,2548734,,0.0,,-5034.0,533356,106519.0,-25232.0,,4264621,-595303,-756.0,-1786524,-313944.0,-42059,60997,121261.0,-118570.0,-11781942,8559973,-51750,,-256007,89153,-690416,112979,224954,,2014年01月01日至2014年03月31日,10541442,15334076,4792634,5073092,,13029996,13116771,-2205,22900000.0,58047397,-58217153,3165572,5073092,-130.0,-2664252,521419,-2142833,6404511,6586,798964,799619,65018,89.0,-305675,0.0,,-71563.0,9758.0,,,8043679,-702947,16822994,-86775,-79419,,,,30254,-128165,
2014-08-13,2,2014,19548149.0,44163,,-37412397,-8865322.0,,2110871,758172,-518823,-470272,-1015705,-391361,,-1945,,,166546.0,1373617,-268101,1908501,10075,-16141809,-5327299,-4313558,0.0,0,-141934,-48275,-15822.0,,27726,,5381999,,0.0,,-122627.0,829918,587588.0,-315890.0,,-4174723,-169425,-756.0,-673088,-507925.0,-54941,243290,319749.0,-141134.0,-22438144,17316033,-168524,11550.0,-321963,189382,-1443236,258931,276437,,2014年01月01日至2014年06月30日,10541442,23507247,12965805,11693814,,35216364,37857475,-3191,34900000.0,104435442,-96007521,177510,11693814,-39903.0,1787052,4828460,6615512,11385271,12162,1188558,1945994,97156,89.0,-486800,0.0,,-72249.0,9758.0,,0.0,26163661,-595297,24522952,-2641111,-135241,0.0,,,-2512241,-12283,
2014-11-12,3,2014,31942832.0,44163,,-48095861,-17860503.0,,-150683,1003941,-166721,-602548,-1896998,-4667,,171548,,,41816.0,3890589,-397737,2851980,240284,-25462566,-6373547,-5657989,0.0,0,-282859,-62643,-19853.0,,34111,,5799621,,0.0,,-198602.0,-1265789,677897.0,-274996.0,,5957715,105917,-756.0,-731984,-634599.0,279724,-4589,235297.0,-172244.0,-29901743,26345375,-30936,11550.0,-622293,301002,-2699202,404819,904006,,2014年01月01日至2014年09月30日,10541442,15049042,4507600,20265387,,50611760,54046092,-10572788,34900000.0,150840516,-144979710,-16442701,20265387,-338260.0,-3476054,5313927,1837873,18497636,16058,2158202,5191197,137673,89.0,-640881,0.0,,-72934.0,9758.0,,-853388.0,33780705,-2228679,16946040,-3434332,-74501,,,,-2403450,562819,
2015-03-27,4,2014,47012981.0,53438,-3500000.0,-61918263,0.0,-14862621.0,559896,748434,-43294,-83485,-2972356,-292737,,223170,,,211931.0,6704916,-511164,3787776,881293,-30970004,-7237912,-6714162,0.0,0,-942591,-71234,-39155.0,,76382,,603865,-771678.0,0.0,0.0,-198602.0,-2639859,532251.0,-415411.0,,-10674204,369365,-668.0,-701378,-214259.0,-4012,-45546,444860.0,-223652.0,-35652168,35354714,-107934,11550.0,-617995,368943,-3808487,508355,956331,,2014年度,10541442,10659657,118215,28576234,,64453244,68678636,-10709909,34900000.0,205793710,-203954160,-29564154,28576234,-379552.0,-7551124,640545,-6910579,41533502,99390,2995987,6448991,214424,89.0,-740942,0.0,,-73327.0,24861.0,,,40102402,-5689752,13632013,-4225392,-127501,,930366.0,,-2388290,2102323,
2015-05-08,1,2015,,85426,,-14557393,-2936668.0,,-846725,242521,-166666,-178227,-3095786,1218651,,-6160,,,-74873.0,2787873,-119104,908457,-334335,-6523592,-466613,-1634092,,-30216,-29249,-13910,,-45441.0,-3218,,-4319093,,,13324.0,0.0,782590,-502050.0,-811659.0,,4968295,-535575,1909.0,1562467,-82163.0,-900504,-59550,-185862.0,,-5466067,9011144,53081,,-186108,78356,-1042092,124905,62,13837467.0,2015年01月01日至2015年03月31日,10659657,12411400,1751743,6039319,-3869.0,10621045,11168420,-2457,0.0,56703068,-51643585,-3068900,6039319,,-4841036,-3867330,-8708366,5515155,1771,427787,1496535,6335,0.0,-68613,,,-685.0,,0.0,,5129101,-2758991,15507186,-547375,-95135,,,,-80387,1514947,
2015-08-12,2,2015,,85426,,-31975392,-2937698.0,,3952093,-242207,-697973,867186,-2001972,1308451,,155199,,,-738172.0,2417174,-224172,1819770,-1105339,-12970008,-1689132,-3298241,-237422.0,-30216,-29249,-112099,,-45441.0,-20257,,-336425,,,13325.0,0.0,-631668,-298525.0,-1581290.0,,13433438,-895110,-88.0,755722,67342.0,-1571942,-41708,-107647.0,,-12714372,17946555,271880,0.0,-200832,164607,-1844718,234815,160044,22595930.0,2015年01月01日至2015年06月30日,10659657,17680694,7021037,10606583,8343.0,24732592,28904305,-3627,10000000.0,111203839,-111239598,-3891844,10606583,-124703.0,-3960409,-337799,-4298208,11908221,70868,1177737,2569609,32330,0.0,-162620,,,-1206.0,,848915.0,,18297722,-3816191,19682666,-4171713,-121141,,,-1104022.0,-2604833,2154190,
