date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,利息收入,利息費用,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得子公司股權,呆帳費用提列（轉列收入）數,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付投資款增加,預收款項增加（減少）
2013-05-06,1,2013,13718.0,,-26079,,-6462.0,-15145,,0.0,,2746,-428,,,0.0,,-932.0,,-429753,-28059,189797,-1360,3695,,-26821,-1903,770,-2770,,,,2013年01月01日至2013年03月31日,237662,106495,-131167,63279,-167956,-165181,,38149,38149,63279,,39744,-281922,-242178,,,0.0,,0.0,,-228460,106495,-5,8410.0,,,100344
2013-08-09,2,2013,-3069.0,7502.0,-9750,0.0,,-27180,-6063.0,,,5987,-926,,,0.0,,-1767.0,0.0,-640621,11983,-80619,31728,7662,,-102,-3969,1540,-5894,,,,2013年01月01日至2013年06月30日,237662,154188,-83474,132703,-443020,-411638,,327818,327818,132703,,207250,-748522,-541272,,,0.0,,-5316.0,26919.0,-544341,154188,-25488,-8973.0,,,211080
2013-11-11,3,2013,14447.0,15005.0,-12387,0.0,,10311,-5832.0,,,9737,-966,,,-571.0,,-3998.0,,-411120,-275056,35890,36960,11706,,535,-3964,3059,-9625,,3337.0,,2013年01月01日至2013年09月30日,237662,146452,-91210,196723,-296668,-242491,-198529.0,368385,168498,196723,-3337.0,-89277,-364384,-453661,,,0.0,,-5316.0,26919.0,-439214,146452,-47889,3133.0,-1358.0,,203998
2014-03-31,4,2013,19853.0,15005.0,5660,0.0,-8955.0,-119352,-530.0,,-402.0,13039,-966,-8934.0,,572.0,,-4038.0,,-591039,16842,71992,27986,15493,-1730.0,-13629,-4025,3829,-13124,407.0,3337.0,,2013年01月01日至2013年12月31日,237662,140340,-97322,252715,-119223,-61945,-198529.0,193802,-6085,252715,-3337.0,317515,-652028,-334513,,0.0,0.0,,-5316.0,26919.0,-314660,140340,-47898,,-1358.0,,306228
2014-05-12,1,2014,8583.0,,-28004,,16.0,90352,197.0,,-35.0,4036,-878,,,,,-1818.0,,-230096,-242756,343367,-7690,3854,,-11701,-68,796,-3853,35.0,,,2014年01月01日至2014年03月31日,140340,200443,60103,66055,-131025,-127205,,198818,198818,66055,,-393765,191922,-201843,10.0,,,,,,-193260,200443,-2,,,-5004.0,-123218
2014-08-12,2,2014,18432.0,4502.0,-8294,,,123542,534.0,,-164.0,8204,-7232,-5004.0,,1700.0,,-142.0,,-618594,246405,-23648,-7866,8211,4340.0,14123,-277,1891,-8133,164.0,1133.0,,2014年01月01日至2014年06月30日,140340,166469,26129,144253,-140321,-113421,,174316,174316,144253,-1133.0,228471,-504577,-276106,10.0,,,,0.0,0.0,-257674,166469,-20064,,,,-14514
2014-11-05,3,2014,26518.0,4502.0,-1267,,,143943,720.0,,-188.0,12550,-10909,-5004.0,,1700.0,,-2979.0,,-390087,-543628,-83050,-13804,12917,0.0,8263,-282,3233,-12511,189.0,2836.0,,2014年01月01日至2014年09月30日,140340,207690,67350,216991,-21124,28003,-166764.0,271758,102278,216991,-2836.0,105425,-320931,-215506,586.0,,,-576.0,0.0,0.0,-188988,207690,-39641,,-2716.0,,649600
2015-03-30,4,2014,39005.0,11502.0,1667,,30.0,127341,-134.0,,-324.0,16670,-15449,-5004.0,,3671.0,,-11992.0,,-495119,-148523,64221,-20357,18025,0.0,150,-468,4843,-16541,325.0,2836.0,,2014年度,140340,356616,216276,283413,394613,447646,-166764.0,11500,-157980,283413,-2836.0,428635,-303407,125228,586.0,,,-576.0,0.0,0.0,164233,356616,-39653,,-2716.0,,575595
2015-05-12,1,2015,,,-39430,,10.0,48193,234.0,,-39.0,4116,-740,,,,,0.0,1271.0,-59181,-120517,269465,531,5027,2588.0,-51047,7,1997,-4014,39.0,,11108.0,2015年01月01日至2015年03月31日,356616,336089,-20527,69633,-38885,-34888,,17827,17827,69633,,-323059,207430,-115629,0.0,,,,,,-104521,336089,-22,,,0.0,-165944
2015-08-11,2,2015,,0.0,-21152,,60.0,77542,457.0,-13114.0,-206.0,8246,-1118,0.0,,-800.0,-87.0,2004.0,,90169,-121140,-87732,1436,9914,714.0,-9855,-69,3976,-8310,206.0,4158.0,16353.0,2015年01月01日至2015年06月30日,356616,193885,-162731,152435,-354240,-320984,,190160,190073,152435,-4158.0,-546782,57010,-489772,550.0,,,-550.0,,,-473419,193885,-29310,,,,-405721
