date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產（增加）減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付設備款減少,預收款項增加（減少）
2013-05-07,1,2013,30992.0,0.0,,-5482,-8455,332020,7500,40866,,,,-1516.0,-185,4462,1561,-1106,-21478.0,-521.0,,,0.0,,,,1000,210,30,46627,-200475,,-40000.0,18,-261882,13077,4.0,-861,5856,,,,593,1581,-4462,185,,,2013年01月01日至2013年03月31日,601166,957113,714,355947,201045,,236685.0,236685,255055,,171192,,118562,201045,,-147690,170708,23018,,20133.0,3412.0,,,-9.0,,,0.0,,,54010,25395,957113,-13908,,133,,-7358,16847.0,,,28323.0
2013-08-12,2,2013,44236.0,,,-10990,6141,262978,1831,37539,,,,-221.0,-498,8537,1541,-7043,-21478.0,-3118.0,,,0.0,,,,373,350,-561,-99471,58118,,-40000.0,16,-432616,-2323,4.0,5342,11768,,,1751.0,194,3162,-8537,498,,,2013年01月01日至2013年06月30日,601166,933519,2987,332353,406442,,,161320,306677,,221462,,164150,406442,,89892,-233893,-144001,0.0,32072.0,3442.0,0.0,,65.0,,,0.0,,,-99765,24208,933519,-136820,,-668,1469.0,-6672,16847.0,,,-426.0
2013-11-12,3,2013,30993.0,,,-18373,52665,119967,39421,-13970,,,,,-726,14115,1010,-6189,,,32817.0,,-2245.0,,,-5611.0,-4919,350,-379,47757,7747,,0.0,-3,-645941,3426,4.0,1048,17459,,,1751.0,288,4823,-14115,726,,,2013年01月01日至2013年09月30日,601166,808750,2802,207584,587355,,,56648,276986,-393899.0,567904,,148878,587355,,147399,-488761,-341362,0.0,,,0.0,,798.0,,,0.0,,3443.0,-310369,37364,808750,-206223,-23265.0,1035,1469.0,-7104,0.0,-6151.0,,10201.0
2014-03-23,4,2014,121720.0,,0.0,-22511,24568,-54163,-10935,-42531,,,12525.0,-2910.0,-1697,21464,4989,-31596,-4441.0,-4716.0,,,-1562.0,,,,2100,-140,1911,-696358,251198,,0.0,-2175,89565,-399,-841.0,-30097,24072,,,0.0,389,4435,-21464,1697,42.0,,2014年度,1354705,1205467,9311,-149238,778124,,,333943,479172,-537136.0,110655,,-458073,778124,-42.0,283214,-703886,-420672,485.0,4462.0,5776.0,-485.0,0.0,-21.0,-4776.0,,5531.0,,,-298952,36227,1205467,-123765,,-1199,1282.0,-8941,49586.0,,,-14828.0
2014-03-24,4,2013,62598.0,,15.0,-23937,43860,42076,10524,55016,,,2810.0,-7087.0,-1181,19883,1596,-12214,-23265.0,-5611.0,,0.0,-520.0,,,,-1886,350,-1862,203078,60792,0.0,-40000.0,2261,-549652,32300,-822.0,-8331,26220,,,1751.0,382,6574,-19883,1181,70.0,,2013年01月01日至2013年12月31日,601166,1354705,2121,753539,730645,,,518206,745669,-393899.0,665324,,242068,730645,-70.0,169608,-217182,-47574,0.0,35685.0,3526.0,0.0,41588.0,-282.0,,,0.0,,,15024,51880,1354705,-207580,,-1225,1469.0,-7358,7783.0,,,1113.0
2014-05-07,1,2014,29450.0,0.0,,-5590,-30449,108509,-11617,-17590,,,,-6972.0,-272,5732,1422,-3515,-3452.0,0.0,,,,-789.0,,,0,-140,1526,-99420,139142,,-40000.0,-2264,-157038,-18411,-118.0,-10017,5715,,,,0,1362,-5732,272,,,2014年01月01日至2014年03月31日,1354705,1125845,2888,-228860,208853,,147506.0,147506,153388,,-315656,,-367771,208853,,99035,-183950,-84915,,0.0,2913.0,,,0.0,,,,,,-55465,2866,1125845,-150,,42,1282.0,-6385,12701.0,,,1475.0
2014-08-08,2,2014,52484.0,,,-11205,27028,217847,-38946,-51037,,,,-7549.0,-948,10726,-477,-10673,-4441.0,-1907.0,,-4776.0,,-675.0,,,5000,-140,1524,-217377,258139,,-40000.0,-2266,-212275,-14406,287.0,-21186,11559,,,0.0,197,2457,-10726,948,,,2014年01月01日至2014年06月30日,1354705,1180129,10584,-174576,405756,,,354446,424276,,-446015,,-507359,405756,,243284,-277248,-33964,,3449.0,2914.0,,,-8.0,,0.0,,,,18520,-958,1180129,-59104,,-298,1282.0,-9999,11933.0,,,
2014-11-10,3,2014,61904.0,,,-16846,-16279,122478,3024,-13174,,-244.0,,-10089.0,-1125,15664,1824,-22241,,,4462.0,-4776.0,0.0,,,-4716.0,2000,-140,2627,-592243,792488,,,-2274,-432851,-33761,316.0,-22121,17411,,,0.0,292,3450,-15664,1125,,,2014年01月01日至2014年09月30日,1354705,980242,11209,-374463,601817,,,380571,519716,-537136.0,-171130,,-734737,601817,,805790,-949795,-144005,485.0,,,-485.0,,-440.0,,0.0,9667.0,,5776.0,-82101,20364,980242,-123481,-4441.0,2184,1282.0,-9485,10462.0,0.0,,8151.0
2015-05-07,1,2015,,0.0,,-5691,-32176,273991,-80,33152,,,,0.0,-197,6516,-791,-6754,0.0,-8480.0,,,,,5489.0,,-7482,-1050,-1373,-402724,-434906,,0.0,-89,115203,10068,,-2224,6440,,,,100,546,-6516,197,,-31.0,2015年01月01日至2015年03月31日,1205467,939751,-989,-265716,175981,0.0,-272304.0,-272304,-265786,,16592,,9603,175981,,-471426,29690,-441736,,,8697.0,,,0.0,,,,,,-441767,-1846,939751,-2,,5217,7500.0,-248,0.0,-17682.0,,-2329.0
2015-08-11,2,2015,,,,-11409,-31190,216199,-2439,39931,0.0,,,-1922.0,-841,13377,-3110,-7829,0.0,,,0.0,,,0.0,,-6182,-1050,-1326,-58742,-651441,50000.0,,-89,176687,-23568,,-10512,13132,-112.0,486.0,,204,964,-13377,841,,12525.0,2015年01月01日至2015年06月30日,1205467,1278191,1546,72724,302392,-365.0,,-124329,-29592,,181344,,210675,302392,,-695502,350993,-344509,231.0,0.0,,-185.0,,0.0,,,,334.0,,-331984,-9866,1278191,-82201,,4752,7500.0,-8210,-21742.0,,,
2015-11-11,3,2015,,,,-17153,-10790,96619,39321,35152,,,,-5218.0,-992,20338,4567,-12363,0.0,0.0,,0.0,-2300.0,,-259.0,0.0,-12201,-1050,-3609,255271,-462009,,50000.0,-87,-67040,26178,,-22454,19761,216.0,-6655.0,,305,1408,-20338,992,,56466.0,2015年01月01日至2015年09月30日,1205467,1165642,11095,-39825,546998,-542.0,,335060,499939,-572945.0,190848,0.0,-356998,546998,,-443050,339525,-103525,231.0,0.0,0.0,-185.0,,0.0,,,,72.0,0.0,-47059,-9159,1165642,-144541,0.0,6938,7500.0,-6698,2499.0,,,0.0
2016-03-21,4,2015,,,,-22920,-25932,137584,28631,69638,,,2684.0,-7605.0,-1548,27687,4352,-15850,0.0,0.0,,,-2410.0,,-1748.0,,-2092,-1050,-3764,539462,-608056,,50000.0,-39,-96669,29594,,-22852,26535,-112.0,-7214.0,,408,1938,-27687,1548,57.0,71911.0,2015年度,1205467,1349945,709,144478,715618,-1084.0,,668544,841789,-572945.0,25893,,-505566,715618,-57.0,-618135,672395,54260,240.0,0.0,0.0,594.0,,0.0,0.0,,,6680.0,,126171,-11543,1349945,-145558,,7598,7500.0,15456,-45.0,,,0.0
2016-05-03,1,2016,,,,-5790,-29277,-80280,-1194,-57949,,,1588.0,,-182,7472,-2835,-5763,,-1114.0,,,-380.0,,-1523.0,,-4994,0,100,-8140,-100127,,,117,252548,-19746,,-14245,6367,,,,105,537,-7472,182,,2222.0,2016年01月01日至2016年03月31日,1349945,1358375,-3918,8430,150523,-165.0,,78013,85717,,-112515,,-52503,150523,,-153461,86433,-67028,,,0.0,,65802.0,,,,,1480.0,,-64806,-5268,1358375,-232,,1751,1440.0,0,,-7944.0,-7227.0,-17547.0
2016-08-10,2,2016,,,,-11613,-19352,-73372,-251,-9193,,,1679.0,,-882,14034,-2186,-4587,-110000.0,,,,-380.0,,-1455.0,,-9196,0,137,123039,96358,0.0,-50000.0,36,-57169,-19338,,-51216,13316,-2523.0,3492.0,,216,1098,-14034,882,,-9752.0,2016年01月01日至2016年06月30日,1349945,1469303,-3756,119358,273256,-327.0,,221643,311306,,-16805,,-48883,273256,,80343,-32541,47802,0.0,80045.0,,0.0,65802.0,-45.0,,,,1506.0,,38050,-28928,1469303,-75629,,1354,1440.0,-36267,,-29010.0,-17364.0,35330.0
2016-11-11,3,2016,,,,-17478,-55689,-342140,2238,-29090,,,2489.0,,-1198,19798,-5423,-8875,-260000.0,,,,-2153.0,,-1322.0,,-15930,0,286,443882,441301,0.0,,-19,-223580,-8778,,-33193,20671,-2523.0,4650.0,,316,1756,-19798,1198,,-26197.0,2016年01月01日至2016年09月30日,1349945,1424120,-6721,74175,393334,-481.0,,447253,610131,-537136.0,190617,,-334462,393334,,398050,-155056,242994,0.0,260097.0,,0.0,65802.0,-97.0,,,,1498.0,,216797,-27514,1424120,-143080,,692,1440.0,-36267,,-49413.0,-23922.0,40737.0
