date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融負債增加（減少）,其他項目,利息收入,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,長期應收租賃款增加,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-09,1,2013,12762.0,-8496,1538,-16232,,172,,2427,-4515,,-4800.0,,-1382,-113839.0,,,2693,0.0,-96.0,0.0,-95011,14874,-3758,-23696,689,-124632,8090,,22,5409,,,2013年01月01日至2013年03月31日,701616,595502,-1251,-106114,134605,13398,17275,,2693,134605,4158,-134250,-130092,,,,,,,,,-117330,,595502,-3877,,320,0.0
2013-08-09,2,2013,28984.0,48003,-986,-11761,,354,,3443,-19505,,0.0,-36000.0,-7378,-60178.0,,,8067,,-331.0,,-67776,47305,5838,-222310,3575,-73392,16823,,1562,10720,,,2013年01月01日至2013年06月30日,801616,847481,-2207,45865,336592,107747,167464,,8067,336592,100160,-298272,-198112,,50000.0,64.0,,,0.0,,,-169128,,847481,-59717,,1668,0.0
2013-11-08,3,2013,31647.0,20364,-4228,-16555,,546,-14372.0,2222,-39360,,-129477.0,-36000.0,-9138,0.0,,,8913,,-62.0,0.0,-43444,-31006,-2532,-92893,3842,248995,28749,,3147,16253,11595.0,,2013年01月01日至2013年09月30日,801616,872804,5754,71188,498564,314689,363759,-503631.0,-494718,498564,-17402,-149050,-166452,,419889.0,64.0,,,-8902.0,43143.0,,-134805,,872804,-60665,,408,
2014-03-26,4,2013,34151.0,15873,-2374,-9521,-1278.0,-1051,-20558.0,3098,-47807,,-129476.0,-36000.0,-12636,-105636.0,,627.0,6915,,-753.0,0.0,-9835,-38757,-4348,-78015,3842,163523,41325,6480.0,5786,21218,19167.0,,2013年01月01日至2013年12月31日,801616,1012860,-3996,211244,673525,541339,583263,-503631.0,-496716,673525,-30884,-93529,-124413,166.0,481159.0,115.0,8026.0,-410.0,-10172.0,,,-90262,,1012860,-61091,,1267,
2014-05-06,1,2014,15256.0,-5065,-679,-18955,,-249,-5242.0,2882,-10348,0.0,,,-2283,-174434.0,,-627.0,3196,,-89.0,,-132514,134045,3577,1571,-101,-187154,13553,,1606,5469,4601.0,,2014年01月01日至2014年03月31日,1012860,966389,-2799,-46471,133830,134605,131351,,3196,133830,132264,-149999,-17735,,,90.0,,,,,,-2479,386.0,966389,-1347,,3455,
2014-08-06,2,2014,33997.0,32257,668,-5015,,-486,-10733.0,815,-21930,,,0.0,-6448,-32401.0,,-627.0,2504,,-936.0,,-106139,37986,5209,-86412,-1700,17765,27894,,2636,9272,8163.0,,2014年01月01日至2014年06月30日,1012860,1203559,4059,190699,330610,169615,242233,,2504,330610,76892,-199266,-122374,4.0,79476.0,142.0,,,,,,-88377,772.0,1203559,-80781,,1840,
2014-11-07,3,2014,39973.0,12119,-1129,-12256,,-725,-15678.0,1231,-23717,,-6000.0,0.0,-11125,-180745.0,,-627.0,5838,,-1411.0,,-117249,18923,4215,2495,-150,-137155,42882,,3018,15655,15508.0,,2014年01月01日至2014年09月30日,1012860,675839,-6381,-337021,484127,330272,432225,-537207.0,-531369,484127,35285,-127160,-91875,4.0,85839.0,142.0,,,-309.0,0.0,,-51902,1157.0,675839,-117461,0.0,1996,
2015-03-27,4,2014,70979.0,-4049,-896,-220,,-957,-22644.0,-2722,-29824,,-56000.0,0.0,-15924,-355343.0,,-627.0,3386,,-1455.0,,-119281,28383,4528,55878,-1186,-353673,56157,2984.0,4458,20727,23856.0,,2014年度,1012860,669279,-13253,-343581,606185,546635,641031,-537207.0,-533821,606185,28676,-64809,-36133,26.0,101863.0,184.0,0.0,0.0,-1333.0,,,34846,710.0,669279,-118252,,1169,27098.0
2015-05-08,1,2015,,-23978,-2690,203,,-221,-4961.0,-2030,-17299,,,,-14063,,0.0,0.0,148,,0.0,62.0,-61894,-20835,-8543,60127,1136,146055,14522,,1339,5341,5573.0,16142.0,2015年01月01日至2015年03月31日,669279,860915,269,191636,82299,47463,42352,,148,82299,-55661,-428,-56089,8.0,,-4.0,,,,,177347.0,-39947,385.0,860915,-462,,-143,
2015-08-12,2,2015,,15887,-3140,9905,,-446,-10922.0,-4461,-31368,,-20000.0,,-13651,,437796.0,0.0,1586,,5.0,,-50975,38632,-6568,-100041,109,402173,29965,,1134,9729,9439.0,27684.0,2015年01月01日至2015年06月30日,669279,1202528,-1728,533249,234675,133951,166938,,1586,234675,45581,-141002,-95421,8.0,29383.0,208.0,,,618.0,,,-67737,770.0,1202528,-42426,,-874,
