date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他借款減少,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,長期應收租賃款增加,長期應收租賃款減少,除列避險之衍生金融負債,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-03,1,2013,5896815.0,-3000000.0,,0.0,5674244,,-1000000,,,,4336261.0,,2564257.0,-5632,386409,-87353,-286135.0,0.0,,30358.0,-407083.0,,,-17959.0,-211561.0,-68373,882193,338569,-2258407,,,-3466154.0,-15401146,,9726693.0,,-4200000.0,-8937,,-1795630,,332406.0,13894.0,-1310367,5732874,-247112,773461,-1801289,71080,,,2013年01月01日至2013年03月31日,21133367,39493840,18360473,11447161,,15337458,15353569,-15.0,10000000.0,,11696011.0,3994813,11447161,,15792303,-17782710,-1990407,-7292811,86,,1457,,,3906408,39493840,-16111,-966124.0,,,,,,,,-3109109
2013-08-08,2,2013,12102742.0,-3000000.0,-16155223.0,,1650221,,-1000000,0.0,10782124.0,2224710.0,,,,-14001,103655,-300853,-143715.0,,,30358.0,-442409.0,,-1496662.0,,,-147437,1744713,137415,-4237491,,,-10417532.0,-5312846,5273914.0,,,-6000000.0,-10521,,12377551,127852.0,,28046.0,-3855141,11315274,-682363,1600986,-1613285,151840,1346114.0,,2013年01月01日至2013年06月30日,21133367,59326033,38192666,11479960,,32232195,32256255,-393.0,20000000.0,8774819.0,,9678197,11479960,,7045315,1628238,8673553,9114688,109,,1270,,,20776295,59326033,-24060,-1731040.0,,,,,,1339.0,,-7344461
2013-11-11,3,2013,19016193.0,-12000000.0,-31390036.0,,2325113,,-1000000,,,-1311032.0,0.0,3919065.0,,-17072,261657,-2030827,18452.0,,,78567.0,-446623.0,,-2875149.0,,,-303826,2595994,105184,-7706432,,,-12413976.0,-8656931,11502400.0,,,-5400000.0,-13558,,4410433,2521861.0,,42281.0,-17102472,16781560,-1403467,2444667,-2736007,286355,1625943.0,,2013年01月01日至2013年09月30日,21133367,37270445,16137078,23202888,,36157895,36206021,-2477162.0,20000000.0,17163972.0,,-3023529,23202888,,14117893,-20130953,-6013060,15340636,227,,2185,,,13003133,37270445,-48126,-1102259.0,,,,-76353.0,-1956.0,1339.0,,-15082909
2014-03-20,4,2013,25030262.0,-15000000.0,-40231195.0,,-196107,,-1000000,0.0,6948479.0,-211521.0,,,,0,2346842,-275301,-209270.0,,,1010.0,-442348.0,,-3485673.0,,,-467236,3324671,-10412,-9847785,,0.0,-12835570.0,-4382641,-2497442.0,,,-9700000.0,-13093,,-8221935,2527174.0,,56304.0,-17134782,22095153,-2050666,3348633,-3403237,449960,1634481.0,,2013年01月01日至2013年12月31日,21133367,16651735,-4481632,31015874,,39786419,39831555,-2477118.0,20000000.0,3721783.0,,-27122857,31015874,,-303496,-15911085,-16214581,21487568,316,,43634,,,8815681,16651735,-45136,-1303812.0,21637.0,,,-76354.0,-1956.0,18248.0,,-5137591
2014-05-09,1,2014,5744216.0,-3000000.0,-33754863.0,,4828287,,0,,2150217.0,-2718288.0,,,,-63114,-1496937,-723506,146805.0,,,29346.0,-27671.0,,493266.0,,,-155659,701109,130477,-1971073,,,0.0,-19365837,25170754.0,,,6300000.0,-3188,,1394201,-1019.0,,14760.0,806032,5435981,-431656,857059,-616809,166159,,,2014年01月01日至2014年03月31日,16651735,48751468,32099733,10442158,,20519046,20537480,-3.0,0.0,10862704.0,,10644178,10442158,,28513676,-24162570,4351106,30880820,1231,,28967,,,10095322,48751468,-18434,-694624.0,,,,,,3039.0,,-2894926
2014-08-05,2,2014,12774167.0,-9000000.0,-47428505.0,,-542095,,0,-991973.0,0.0,2284572.0,,,,-82133,-1739821,-46000,205105.0,,,29349.0,,-21035.0,-1171306.0,,,-313068,1449258,-62215,-3005776,,,-1162877.0,-6475232,10483787.0,,200000.0,0.0,-3664,,15566451,157.0,,29914.0,-4680532,10862407,-625675,1692623,-1689074,335406,1367288.0,,2014年01月01日至2014年06月30日,16651735,34850585,18198850,16115238,,41006344,43954145,-48.0,0.0,0.0,-6760575.0,-18064747,16115238,,8228121,6836619,15064740,46634490,1490,,29605,,,27838907,34850585,-2947801,-324022.0,,,,,,3039.0,,-4698434
2014-11-06,3,2014,18083186.0,-15000000.0,-77968434.0,,-880063,14534429.0,0,,1993828.0,1994252.0,,,,-103729,-1606639,-68108,1303726.0,,,29499.0,,-29125.0,-2658650.0,,,-438153,2188395,158782,-4309175,-23630.0,,-1162876.0,-23866775,7547596.0,,10000000.0,0.0,-6742,,19540132,-1568.0,,44807.0,-3151303,16262794,-1291176,2499010,-2507110,464405,2615093.0,,2014年01月01日至2014年09月30日,16651735,36266151,19614416,24000949,,36843668,39790732,-23814289.0,6000000.0,2114102.0,,-14236731,24000949,-758587.0,5098959,-7392362,-2293403,72434490,3932,,38970,,,15789783,36266151,-2947064,-421106.0,,,,0.0,-794.0,3039.0,,-6294021
2015-03-19,4,2014,24181485.0,-18000000.0,-81077519.0,,482612,7662991.0,0,,1812783.0,2362662.0,,,,-65625,421172,-110972,1481826.0,,,-123211.0,4833.0,0.0,-2844524.0,,,-571011,2922684,245822,-6308564,-23630.0,-500000.0,-1162876.0,-284667,2605413.0,,200000.0,0.0,-6087,,39080321,241.0,,56547.0,-5130960,21828475,-1771164,3236780,-3053028,596556,2716831.0,,2014年度,16651735,40653905,24002170,9099539,,64879961,67844575,-23814256.0,6000000.0,3550630.0,,-35992653,9099539,-758587.0,3559657,31003894,34563551,72534490,7243,764057.0,50313,-209573.0,,58745036,40653905,-2964614,-599206.0,0.0,,,0.0,-794.0,52774.0,,-11525517
2015-05-05,1,2015,,0.0,-11477376.0,,-289179,,-6975203,-1890906.0,0.0,-33654.0,,,,-20169,-2187442,-133076,0.0,,,152557.0,,-3602.0,-476366.0,0.0,,-96397,657145,118996,-1543788,-25000.0,,,25923591,-6108136.0,,0.0,,-3080,,-795178,272.0,,,-5857411,5417013,-366510,751522,-565159,96490,,6353945.0,2015年01月01日至2015年03月31日,40653905,39021925,-1631980,1301333,14354.0,29025705,29031185,0.0,,0.0,-11395027.0,-24919270,1301333,,-8573483,29949390,21375907,5497097,1417,200438.0,103,-291.0,441.0,27729852,39021925,-5480,0.0,,-2352525.0,,,,0.0,-8640.0,4987435
2015-08-06,2,2015,,-12000000.0,-14451276.0,,1601607,,-7464963,-171754.0,,-575231.0,,,,-24522,-2226646,52480,0.0,,,152557.0,,-6309.0,-541777.0,,,-213545,1239437,244808,-3142108,-25000.0,,0.0,15051926,1884470.0,,0.0,,-3082,,-10066914,357.0,,,-4129842,10788780,-800000,1456776,-1416706,216837,1501775.0,12462541.0,2015年01月01日至2015年06月30日,40653905,38847389,-1806516,30315482,28084.0,59760727,59782356,-65.0,,,-28839987.0,-57682209,30315482,0.0,1284433,15719900,17004333,6497097,1497,200438.0,24,-291.0,441.0,29466874,38847389,-21629,0.0,,-2298226.0,,,,0.0,-8640.0,11257282
2015-11-05,3,2015,,-18000000.0,-18222427.0,,2242468,0.0,-7344106,-3153468.0,0.0,314485.0,,,,-30851,-2367344,-453155,0.0,0.0,,152557.0,,-34038.0,-859017.0,,,-385632,1761369,9477,-4628400,-25000.0,-11100000.0,0.0,13837260,-4517837.0,,0.0,-3500000.0,-6156,-154904.0,2153701,-1655959.0,,,-15544221,16141010,-1297340,2105907,-2379227,378308,3401711.0,16849192.0,2015年01月01日至2015年09月30日,40653905,28239993,-12413912,40666914,40471.0,80446604,80476519,-8084813.0,0.0,0.0,-26099899.0,-77325772,40666914,-1465890.0,-4608398,27568811,22960413,6497097,1867,5201330.0,-327,-1265.0,441.0,39809605,28239993,-29915,0.0,,-4883699.0,,,-3455.0,0.0,-8640.0,13372479
2016-03-15,4,2015,,-21000000.0,-23753091.0,,1374185,0.0,-7344106,-2546741.0,0.0,441759.0,,,,-32086,-1005722,-427796,0.0,0.0,-50506.0,,0.0,-23646.0,-2252027.0,,,-557534,2251193,10343,-6811049,-25000.0,-21800000.0,0.0,28661546,-3965919.0,,0.0,-3500000.0,-13325,-207436.0,1742671,-228.0,,,-26827498,21594191,-1218529,2843160,-2473963,550143,3442171.0,23544985.0,2015年度,40653905,45648932,4995027,52712573,51674.0,119166831,119206481,-8084813.0,0.0,0.0,-27461236.0,-87354649,52712573,-1465890.0,-3559107,46508030,42948923,6497097,5461,7501921.0,439,-2786.0,441.0,66493908,45648932,-39650,0.0,,-4810226.0,,,-3455.0,109381.0,-8640.0,16090078
