date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得無形資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）,預收款項增加－處分資產
2013-05-13,1,2013,60900.0,-20273,-560,11508,-20640,13941,,545,-1906,5543,13178,-4237,,,,0.0,15000.0,,,-297,307,-969429,57361,,179448,17074,456.0,9814,17698,-252859,255,-4474,1906,,,2013年01月01日至2013年03月31日,769811,519598,16537,-250213,321407,,-645258,-640245,,,2640391,-2268338,372053,321407,,38603,-1061155,-1022552,100,0.0,-100,0.0,-961652,55,519598,-2445,-473,,,7801,,,-14189,,-10504,
2013-08-08,2,2013,77469.0,-1433,1163,-1162,4458,13941,,1086,-3766,11221,9561,-10192,,,,-4000.0,,,,-4714,4253,-517624,-67155,,284137,12936,883.0,-436,35217,-300431,510,-10293,3766,10359.0,,2013年01月01日至2013年06月30日,769811,823165,-9884,53354,438314,,-67519,-25865,,-2.0,3630079,-3518329,111748,438314,-10359.0,-26644,-515004,-541648,276,0.0,-276,0.0,-464179,111,823165,-45486,29209,,,24511,,,357,,42112,
2013-11-08,3,2013,34905.0,14480,1609,-1158,-10983,20041,,1628,-5976,15532,230,-16830,,,-88.0,-4000.0,,,-504.0,-5101,4984,-309465,-18178,,348899,8857,1342.0,-718,52699,-312358,772,-15182,5976,30291.0,,2013年01月01日至2013年09月30日,769811,940543,-32387,170732,666403,,423889,487560,0.0,0.0,5575709,-5827874,-252669,666403,-30291.0,54317,-268065,-213748,276,0.0,-276,0.0,-178843,167,940543,-84756,31408,,,1796,,,5376,,57664,
2014-03-13,4,2013,88772.0,5604,-11898,-1125,31272,20041,,1956,-11859,20718,6562,-24422,0.0,0.0,-88.0,-4000.0,,0.0,,-5655,5975,-503999,-50823,,189514,5837,1804.0,-2010,69968,-230588,1035,-20708,11859,,,2013年01月01日至2013年12月31日,769811,648540,-15595,-121271,878058,,134336,233318,-1800.0,-448903.0,8620756,-8430212,-260159,878058,,-67462,-666050,-733512,448,5691.0,-448,-580.0,-644740,-179,648540,-90133,27356,,,808,-4587.0,,-146188,,-22743,
2014-05-08,1,2014,23270.0,-17725,13353,-38,-1986,0,,331,-1773,5442,17450,-5356,-50271.0,,,-4935.0,0.0,,,-752,1292,-290358,77477,,64983,9462,521.0,-60022,17240,-46164,262,-4974,1773,,,2014年01月01日至2014年03月31日,648540,664810,2391,16270,213041,,143412,151112,,,3492561,-3577131,-84570,213041,,53355,-138554,-85199,0,,0,,-61929,54,664810,-4499,-5813,,,5190,,,112156,,-6934,
2014-08-07,2,2014,15215.0,-4980,9965,517,2246,-22355,0.0,658,-15308,10605,-7924,-14580,-50272.0,,,,,,,-1792,2332,147880,15648,70.0,-143933,7015,1059.0,-86005,34466,-94166,524,-10225,15308,,,2014年01月01日至2014年06月30日,648540,686153,-3468,37613,404601,,422912,511465,,0.0,7781024,-8072394,-291370,404601,,33847,57802,91649,662,,-627,,106864,106,686153,-93636,-13602,,,1967,,,128795,,21427,
2014-11-11,3,2014,19648.0,7547,13722,-22,5797,-17992,0.0,668,-5923,15693,12742,-21526,-50272.0,,0.0,,,,0.0,-2272,3012,93966,15512,112.0,-52970,-4976,1587.0,-137185,51885,-52842,787,-15425,5923,39757.0,,2014年01月01日至2014年09月30日,648540,649996,-3192,1456,714589,,753335,882395,,,10625085,-11250721,-627436,714589,-39757.0,18209,129949,148158,1865,,-1381,,167806,159,649996,-159315,1537,,-1800.0,-669,,-50000.0,127252,,-6686,
2015-03-18,4,2014,144021.0,3115,12756,-23,4120,-9369,0.0,1338,-9782,20755,43906,-29296,-100272.0,,-1134.0,,,,,-2445,3170,397087,66345,150.0,-15625,9875,2093.0,-134221,69796,-50271,1085,-20885,9782,,,2014年度,648540,1082818,-1569,434278,931330,,1438088,1617694,,-418297.0,13506283,-13999681,-913495,931330,,78176,464167,542343,5275,0.0,-2411,0.0,686364,-120,1082818,-168503,4961,3870.0,-1800.0,55978,0.0,,106225,-150.0,6616,
2015-05-04,1,2015,,-13585,1064,-19,-10669,-24214,,338,-1734,4018,-17093,-17096,0.0,,,,,,,-153,65,216867,-43493,-21.0,-80690,-1076,,-36412,17986,-17376,357,-4369,1734,,36417.0,2015年01月01日至2015年03月31日,1082818,961518,-1144,-121300,93891,582.0,42111,51104,,,2591278,-2701184,-109906,93891,,-67819,-11385,-79204,686,,-426,,-42787,47,961518,-6358,4225,,,12797,,,-119505,-3600.0,-11330,7900.0
2015-08-04,2,2015,,-6334,-1,-15,-7060,-23641,,672,-5791,9140,-64684,-21622,0.0,,,,,,,-4465,2735,29190,-23144,-150.0,-34541,-6288,,-41096,36024,-46735,714,-9075,5791,11357.0,19122.0,2015年01月01日至2015年06月30日,1082818,1087134,5047,4316,321164,-1796.0,189431,268067,,,4824498,-4903833,-79335,321164,-11357.0,-44313,-27906,-72219,1447,7900.0,-1167,,-53097,94,1087134,-86709,9997,,,-24157,,,37529,-3450.0,-12968,
