date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,避險之衍生金融負債增加（減少）,避險之衍生金融資產（增加）減少,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-10,1,2013,34042.0,-55341,-6067,-8668,,,179,-83,4889,1136,-5975,,,-422,,,-2762,0.0,,-673,-58979,-3525.0,-122382,,,432,58218,,52434,19753,202.0,-11738,22722,864,,637,-6077,83,,,2013年01月01日至2013年03月31日,87377,63608,8514,-23769,15958,,-95626,-89632,,82459,82459,15958,,-183156,43524,-139632,,0,194,,-105590,63608,,17,,,,-265,-20098,,-1143.0,
2013-08-07,2,2013,50899.0,-58083,-69589,4126,-23207.0,,362,-449,9355,1080,-12473,,,-2289,,,2150,,0.0,-8517,106123,-3525.0,-41669,,,-1927,268368,,41663,7071,374.0,-28464,45061,898,,1328,-10409,449,,,2013年01月01日至2013年06月30日,87377,51699,403,-35678,40625,,308932,318892,,-317226,-317226,40625,,-194101,421469,227368,,0,257,,278267,51699,,-989,,,,-6579,-6780,,-1660.0,
2013-11-08,3,2013,75268.0,-89278,-32787,6230,-23206.0,,550,-520,13923,1604,-23942,,,-2578,,,2781,3197.0,,-8702,-1349,-3525.0,-104051,,,-1428,100545,,30137,27478,562.0,-41713,67355,898,,2059,-14581,520,1750.0,,2013年01月01日至2013年09月30日,87377,115402,-1993,28025,109965,,58400,78231,,6537,9734,109965,-1750.0,-250188,143186,-107002,,0,266,,-31734,115402,-7520.0,1612,,,,-9015,-20753,,-2966.0,
2014-03-21,4,2013,99642.0,12895,49903,-2578,-23207.0,-26105.0,733,-1854,17923,3849,-27988,,-84720.0,-3992,-210.0,,5351,3197.0,,-3152,168583,-3525.0,-108799,,,-8700,253143,,123112,23847,748.0,-126108,89404,898,,2801,-18603,1854,,,2013年01月01日至2013年12月31日,87377,503048,-1537,415671,144353,,856416,883784,-39159.0,-341139,-318486,144353,,115563,524226,639789,84720.0,70,371,,739431,503048,-10619.0,-15,,,,-13535,-42779,,-2591.0,192723.0
2014-05-12,1,2014,23179.0,18945,-32217,25773,,,188,-287,3897,1714,-7890,,,-2725,,,-2310,21.0,,-323,-191245,0.0,-39199,,,-5843,-58893,,-8626,-20886,318.0,-11206,21594,15,1812.0,840,-3591,287,,,2014年01月01日至2014年03月31日,503048,323193,1136,-179855,53967,,-214440,-209614,,44056,44077,53967,,-57996,-228764,-286760,,5,-2,,-263581,323193,-1522.0,-3875,,,186.0,0,25098,,-273.0,
2014-08-11,2,2014,47897.0,-16308,-64102,42378,-23278.0,,373,-745,8625,-154,-62501,,-141200.0,-4154,,,-1641,21.0,,2154,-345087,0.0,119917,,,-6739,-21580,,-11445,-23574,639.0,-201329,43144,218,8387.0,1759,-7275,745,,,2014年01月01日至2014年06月30日,503048,281903,3698,-221145,71642,,-250635,-233635,,89752,230973,71642,,10129,-363303,-353174,141200.0,2132,-865,,-305277,281903,-10470.0,202,,,,-15040,-4213,,2240.0,
2014-11-03,3,2014,76452.0,16745,13560,34608,-23282.0,0.0,558,-1021,12762,800,-81314,-27000.0,-141200.0,-5820,,,-815,-1033.0,,1695,-187592,0.0,-53076,,,-6739,-320968,,-13204,-14438,940.0,-251322,65249,15,14678.0,2811,-13044,1021,1150.0,,2014年01月01日至2014年09月30日,503048,113851,-3014,-389197,147338,,-271542,-231924,-83539.0,49239,132867,147338,-1150.0,39461,-495175,-455714,168200.0,1565,-971,,-379262,113851,-28745.0,2524,,,,-15159,6404,,752.0,91313.0
2015-03-20,4,2014,121673.0,74791,20693,17340,-23293.0,0.0,754,-1353,17851,6841,-49433,-27000.0,-480080.0,-9662,-4565.0,,7029,-1032.0,,-762,30321,0.0,185748,,-8333.0,-6739,-482033,-73543.0,-189032,14479,1237.0,-567803,85703,14,23916.0,3946,-17353,1353,1150.0,,2014年度,503048,406531,-3014,-96517,325660,,-8999,27462,-83539.0,50935,473444,325660,-1150.0,266438,-686309,-419871,507080.0,1971,-573,,-298198,406531,-21611.0,-2650,,,,-8786,-3855,,1728.0,22334.0
2015-05-08,1,2015,,-46522,-62753,19999,,,195,-307,5251,-10220,-13493,,,-6614,,,-1872,-1721.0,,3411,-57114,,-23357,,117921.0,0,-57684,-76009.0,-36228,-351,,-16013,19958,10410,8840.0,1309,-5374,307,,24685.0,2015年01月01日至2015年03月31日,406531,136163,2915,-270368,14993,160.0,-147671,-132674,,-94743,-96464,14993,,11100,-183452,-172352,,0,0,,-147667,136163,-9930.0,-11606,,,,2,13525,,683.0,25651.0
2015-08-07,2,2015,,-73086,-33451,25736,,,385,-570,9466,-17287,-28556,,0.0,-8933,,,-832,-1722.0,,-3091,-322155,,183838,,256228.0,0,-64239,44315.0,-222519,7050,,-38342,40126,2651,19646.0,3013,-13451,570,,77934.0,2015年01月01日至2015年06月30日,406531,209091,1004,-197440,159236,170.0,54107,116677,,-194196,-195918,159236,,401102,-521595,-120493,0.0,1238,-230,,-42559,209091,-49689.0,2357,468.0,,,3569,7566,,1000.0,66935.0
2015-11-09,3,2015,,-24440,-47635,-3744,0.0,,591,-1063,14236,-3967,-35092,0.0,0.0,-11040,,,493,,-1724.0,-354,-826939,,399021,,348560.0,0,-149629,52732.0,-361803,-1212,,-28624,60038,2651,27029.0,4857,-18807,1063,0.0,93298.0,2015年01月01日至2015年09月30日,406531,90886,11291,-315645,214651,218.0,-425437,-328461,-156635.0,150742,142383,214651,0.0,645901,-1282311,-636410,150000.0,17683,-7938,,-543112,90886,-79232.0,-23174,,,,6938,5633,,179.0,-29823.0
2016-03-21,4,2015,,47229,-48623,-9325,0.0,,823,-1564,29864,5898,-67096,0.0,0.0,-11200,,2704.0,8696,,-1724.0,3184,-613926,,815970,,-5329.0,267,-654603,67390.0,-376251,-8277,,-56230,79235,2651,53244.0,6636,-29820,1564,0.0,165563.0,2015年度,406531,74523,4735,-332008,299010,320.0,-539154,-417312,-156635.0,265837,257478,299010,0.0,690178,-1572063,-881885,150000.0,18398,-8147,,-716322,74523,-93586.0,-15842,,,,7883,20278,-2220.0,,-119656.0
2016-05-09,1,2016,,-47362,15182,7323,-46.0,,127,-343,7395,11158,-17315,,,-1326,,,1286,,9560.0,-244,-400245,,-189,,-170282.0,-42,217678,,165236,3101,,-14857,19763,15842,22955.0,1826,-7823,343,,55603.0,2016年01月01日至2016年03月31日,74523,120922,13018,46399,-37328,-1503.0,-166017,-158517,,206555,216115,-37328,,-193578,16786,-176792,,189,139,3101.0,-121189,120922,-20.0,-10563,,148.0,,0,7703,,738.0,10664.0
2016-08-05,2,2016,,-52358,25067,2357,,,247,-1249,14652,-5857,-20121,,,-1971,,,3897,3735.0,,-1168,3154,,-365326,,23111.0,-267,212000,8466.0,191373,-4454,,-23656,39437,15842,30140.0,3602,-15073,1249,,87051.0,2016年01月01日至2016年06月30日,74523,116732,4507,42209,153501,-3759.0,242951,279453,,-174964,-171229,153501,,-375126,414027,38901,,488,65,3101.0,125952,116732,-22678.0,-10048,,0.0,,1801,-14711,,-3985.0,-1594.0
2016-11-04,3,2016,,-80290,1746,-99882,,,416,-1452,21088,-11734,-27734,,,-2277,,,3897,3254.0,,-1128,59803,,-479016,2426.0,6713.0,-267,456012,9518.0,150989,6955,,87964,58963,15842,49389.0,5355,-21365,1452,2600.0,48088.0,2016年01月01日至2016年09月30日,74523,102136,3109,27613,295630,-56945.0,277944,340444,-156635.0,-173180,-326561,295630,-2600.0,-597557,594283,-3274,0.0,122793,-87396,3101.0,44814,102136,-45187.0,-4359,,,,1678,-4954,,-6791.0,8076.0
