date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分投資損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少
2013-05-08,1,2013,,204752.0,,,-22051,9523,,-47382,,-8416,-5061,188.0,,0,12903.0,,,-25039.0,,,-2517,15348,-2184,-23665,-14511.0,,,0.0,,8407,-25486,0.0,303055,,0.0,-705,-3236,,-613428,,-4299,,534.0,-46017,140181,,717.0,1104,-8983,3632,,,2013年01月01日至2013年03月31日,2526818,2457939,-68879,16312,,-172112,-175524,,,,-117466,151434,16312,,301648,-698236,-396588,300000,4295,,,,13,0.0,0.0,0.0,-191836,,2457939,-220,41499,,639,,,-2580
2013-08-12,2,2013,0.0,429971.0,,,-151536,168851,,2239,-23081.0,-3737,-691,,41958.0,0,111083.0,187.0,,,444.0,,-5802,30740,1749,-334220,-14511.0,-1764.0,0.0,-34.0,-87780.0,6427,88433,0.0,101917,149.0,0.0,-1491,5089,,-700437,-1307.0,-14991,,982.0,-317868,279188,,1131.0,2175,-17914,6322,,,2013年01月01日至2013年06月30日,2526818,2291781,-235037,7194,,-73701,-9629,,,20611.0,0,154783,7194,,273251,-720045,-446794,300000,8914,,,0.0,29139,0.0,0.0,,-16823,,2291781,-70394,67474,19499.0,-37032,0.0,,-70210
2013-11-13,3,2013,0.0,684658.0,,0.0,-204186,16720,,-43969,-22558.0,-9645,-32925,,40818.0,-337163,54.0,175.0,,,-314615.0,,-9392,46538,54,-660734,-24311.0,-1764.0,0.0,-209.0,-86457.0,8839,-3471,0.0,167216,439.0,0.0,-2143,32633,45.0,-584693,-3229.0,-54769,-704.0,1453.0,-1400130,419285,,1597.0,3240,-27102,10666,15676.0,,2013年01月01日至2013年09月30日,2526818,1681485,-845333,-92811,,-62297,-1039,,0.0,544299.0,0,617040,-92811,-15676.0,208861,-801747,-592886,300000,9393,,,0.0,28866,0.0,-19.0,,91772,0.0,1681485,-71924,114923,86457.0,-34821,0.0,,-55429
2014-03-26,4,2013,,1244224.0,192.0,0.0,-1017488,65204,,-11843,-21646.0,-6259,-79878,,-97818.0,-396210,108618.0,175.0,,,-11016.0,-1933.0,-12117,63902,12799,-1223189,-24311.0,-1764.0,0.0,-208.0,-86457.0,17700,-17712,-44930.0,383407,480.0,0.0,-82576,29730,,-1135530,-457.0,-65836,,1985.0,-1655690,565018,,2448.0,6493,-43628,13481,16563.0,,2013年01月01日至2013年12月31日,2526818,1806008,-720810,-362631,,-158263,-99424,0.0,0.0,736000.0,0,1080344,-362631,-16563.0,474547,-1455564,-981017,1481000,7022,,,0.0,30087,0.0,-20.0,,263207,0.0,1806008,-72320,304124,104200.0,104679,180885.0,0.0,-122662
2014-05-13,1,2014,,25608.0,,-126624.0,-98755,29192,,-53386,-741.0,-2768,-938,,-44816.0,-30392,2745.0,-175.0,,,-8794.0,,-1690,13229,-19171,-219579,0.0,,,-1620.0,,14515,-459975,,77975,-1881.0,,-529,-45045,-45.0,-53891,-530.0,-141615,,525.0,-257000,141649,,-93.0,2181,-10961,1726,,,2014年01月01日至2014年03月31日,1806008,1549811,-256197,469497,,-181560,-183615,,,1051414.0,-1066415,201534,469497,,57953,-736673,-678720,454000,640,,,,-42,,,0.0,-653112,99.0,1549811,329,-145749,1509.0,44395,,,-25597
2014-08-13,2,2014,,54279.0,,-126624.0,-157089,237323,,-69742,-286.0,14078,30634,,-44816.0,-33165,0.0,39700.0,,,-2575.0,,-3559,29285,-14181,-342203,0.0,0.0,,-1620.0,0.0,40711,-621252,,-27974,129.0,,-774,-64302,15.0,-651178,1138.0,-248974,-713.0,1069.0,-373804,294842,,-215.0,4101,-23484,3669,,,2014年01月01日至2014年06月30日,1806008,1664588,-141420,634647,,-907944,-797684,,450000.0,2409037.0,-1830208,1154509,634647,,160338,-1646948,-1486610,532920,5759,,,,-2561,,,,-1432331,99.0,1664588,-113929,-309933,1509.0,-94153,,,-86575
2014-11-10,3,2014,,307270.0,,-126624.0,-340277,65545,,-76746,-753.0,44209,35571,,-45297.0,-32937,0.0,40421.0,,,-18689.0,,-6102,58316,-19403,-661943,0.0,0.0,,-2160.0,0.0,66893,-1141434,,344116,-2608.0,,-1168,-81818,-30.0,-361353,25.0,-358466,0.0,1571.0,-689231,448380,,-275.0,6062,-39520,5572,7820.0,,2014年01月01日至2014年09月30日,1806008,2808867,1002859,680552,,-996459,-883366,,2250000.0,2481881.0,-2578988,2707952,680552,-7820.0,370985,-2242173,-1871188,1159800,12346,,,6332.0,-9142,,-136.0,,-1563918,99.0,2808867,-118665,-250514,1509.0,-92276,,,-339017
2015-03-25,4,2014,,596537.0,0.0,-126624.0,-355362,146996,,-67843,0.0,334580,45010,,-45297.0,-34643,0.0,25145.0,,,-25068.0,-10000.0,-10049,88484,-31941,-1527723,-1708.0,0.0,,-3071.0,0.0,104482,-1790941,0.0,-230940,-2148.0,,-1500,-86346,-75.0,-547409,129.0,-712017,0.0,2315.0,-1537586,603570,,-42.0,8090,-52642,9676,10481.0,,2014年度,1806008,2027249,221241,915663,,-1674092,-1563355,,2250000.0,3522220.0,-3315782,3464860,915663,-10481.0,164382,-3239937,-3075555,1657184,15702,,,28444.0,16657,,113.0,,-2479018,99.0,2027249,-120413,-277176,5964.0,-92482,76826.0,,-166866
2015-05-12,1,2015,,,,0.0,-55295,-5980,,-4046,0.0,-5117,-21877,,0.0,-10040,4711.0,729.0,0.0,,-312.0,92536.0,-2735,36244,22120,-221777,,,,0.0,,5540,57658,,-23108,-1985.0,,-437,-7825,0.0,282739,969.0,-477728,,,-215710,148784,,0.0,1675,-18679,2271,,222130.0,2015年01月01日至2015年03月31日,2027249,1946900,-80349,148732,501.0,176763,175023,,,782126.0,-948763,-63522,148732,,-43514,-152325,-195839,177072,4,,,,5,,-948.0,11704.0,26291,1042.0,1946900,-531,-60013,0.0,-275,,,9960
2015-08-11,2,2015,,,,0.0,-82085,444550,,11364,0.0,10405,-19098,,0.0,-10235,232128.0,0.0,-8998.0,,-1495.0,92536.0,-7399,78710,16446,-300335,,,,0.0,,10933,299906,,92399,-1985.0,,-851,-3793,0.0,-570657,1214.0,-348134,0.0,,-65157,323234,,0.0,3343,-43569,6806,,514252.0,2015年01月01日至2015年06月30日,2027249,2521084,493835,263343,790.0,457978,669984,,0.0,1979454.0,-1683025,84568,263343,,542366,-649977,-107611,343264,4,,,,5,,-1010.0,14776.0,406641,1374.0,2521084,-218812,12526,0.0,-419622,,,-24572
2015-11-11,3,2015,,,,-328666.0,-108876,-34413,,-28513,0.0,-7083,-14571,,0.0,-456474,215288.0,0.0,-8031.0,,-132.0,31875.0,-11033,126324,112011,-375825,-1633.0,,,0.0,,62917,795554,,-8065,-1985.0,,178450,-5879,0.0,-1166150,1214.0,-798736,,,-974615,482727,,0.0,5340,-72552,10422,20746.0,876054.0,2015年01月01日至2015年09月30日,2027249,2303671,276422,1006419,1165.0,467630,765333,,800000.0,5043533.0,-4796225,671396,1006419,-20746.0,-56260,-1060880,-1117140,372504,618,,5724.0,,1432,,-6427.0,14776.0,-241086,7125.0,2303671,-308125,174777,21743.0,-408741,,-397703.0,150322
2016-03-29,4,2015,57.0,,321.0,-328666.0,-291396,121920,,-22895,,11771,-4070,,0.0,-15087,,0.0,-21324.0,-56968.0,,24221.0,-17267,176492,-16092,-1565285,-17842.0,,,0.0,,61580,371016,,52835,-1985.0,177438.0,0,19815,0.0,-1336577,1214.0,-1134475,,,-1612919,661962,,0.0,7096,-102876,16994,21278.0,1147064.0,2015年度,2027249,3717085,1689836,1696639,2052.0,667526,981322,,800000.0,7819714.0,-6351005,2651321,1696639,-21432.0,206408,-2068789,-1862381,916272,164,,5724.0,14776.0,1432,,-5364.0,,-715317,7125.0,3717085,-330790,197225,6308.0,33164,47629.0,,56998
2016-05-12,1,2016,2200.0,,,,-158511,39723,,87229,,-4022,-1990,,,-34,566.0,0.0,-18.0,0.0,948.0,0.0,-7362,51330,-56306,-407827,,-250000.0,,,,-6498,-248506,,165548,0.0,,-1003,-23885,,79354,0.0,-82338,,,-639668,177830,,,2569,-32450,7552,154.0,191032.0,2016年01月01日至2016年03月31日,3717085,3848720,131635,669753,276.0,845124,884415,,,2613656.0,-2519123,-17515,669753,,177640,-154010,23630,80000,0,16525.0,,0.0,0,,-15335.0,,214662,0.0,3848720,-46843,-33078,19376.0,-66,,,12241
2016-08-11,2,2016,2232.0,,,,-469674,91564,1008.0,134958,,7815,31933,,,0,4744.0,,-120.0,0.0,1222.0,-43736.0,-18042,112821,-53205,-603266,,,,,,1890,-46035,,100157,5198.0,,-2005,-20462,,220539,-64.0,-71466,,,-580545,354836,-154883.0,,5084,-71384,17857,154.0,392890.0,2016年01月01日至2016年06月30日,3717085,8279529,4562444,1161101,540.0,1394528,1868181,,3544200.0,6656154.0,-5935439,3801666,1161101,,185820,128370,314190,80000,76,16525.0,,,1189,,-15452.0,0.0,707080,0.0,8279529,-491510,-27308,19376.0,-66,,,13388
2016-11-10,3,2016,2200.0,,,0.0,-592483,-59075,2117.0,60557,,13332,16915,,,0,28942.0,,-242.0,,-55941.0,-49647.0,-28062,247565,-161011,-1350865,0.0,,,,,-8667,-603814,,20570,7065.0,,-2877,1295,,1156039,0.0,663835,,,-1354178,531217,-124833.0,,7748,-100590,26515,7069.0,63069.0,2016年01月01日至2016年09月30日,3717085,7726512,4009427,1411440,744.0,1808078,2544761,,3920000.0,10092067.0,-9200981,3716538,1411440,-6915.0,-13952,1084204,1070252,80000,92,16525.0,0.0,,1169,,-15335.0,0.0,1133321,0.0,7726512,-763198,-637580,19376.0,-478356,,0.0,-84495
