date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-14,1,2013,74683.0,0.0,,-115583.0,-97799,4900.0,,,837,,,,360,-17304,,,,,,,,,-259,7869,,-10115,-24000,,,-247,,599,,,-1966.0,425,-141947,1000.0,243768,-2685,-607671,,-32310,-2308.0,-32211,66127,475669.0,-701,536,-7769,0.0,662,750.0,,2013年01月01日至2013年03月31日,345827,400263,,54436,145880,,58730,67146,,,36000.0,0.0,27917,145880,,182795,-336212,-153417,100000,,,24327,,1.0,-327,,,,-78734,-1492,400263,-2059,,838,,2600,,,-15091,-21635.0,,1605.0,42951.0
2013-08-09,2,2013,121552.0,0.0,,-214500.0,-19562,-93.0,170.0,,-66211,,,,2265,-5544,,,,0.0,,,390.0,-15913.0,-789,15740,-14.0,-23044,-34000,0.0,,-1225,,-513,237.0,-160.0,-3284.0,1668,-29525,-30728.0,17306,-2326,-398172,,-64767,-2410.0,-29760,131000,378974.0,-1135,1112,-15811,0.0,1303,7645.0,,2013年01月01日至2013年06月30日,345827,491339,,145512,258796,,195794,237969,,,,-84000.0,-20508,258796,-6895.0,21540,-163919,-142379,280000,,53365.0,62009,0.0,13.0,-1299,,,,-20827,848,491339,-35312,0.0,231,,-1992,,,13807,-54911.0,0.0,7519.0,25249.0
2013-11-08,3,2013,197585.0,,,-846782.0,-80619,12860.0,,-11250.0,-35698,,,,1489,-6557,0.0,,,-23200.0,,0.0,391.0,-3154.0,-1058,23395,-92.0,-23975,-68000,,,-1652,,-513,237.0,-160.0,-5033.0,4696,-262975,-30544.0,86976,-600,64553,-1100.0,-22346,-4305.0,-164124,197474,681087.0,-941,1586,-23631,,1427,13101.0,,2013年01月01日至2013年09月30日,345827,971736,,625909,336176,,895297,972176,-128979.0,,486000.0,0.0,-105172,336176,-6895.0,35526,402889,438415,291700,4.0,53365.0,79062,595.0,13.0,-14112,,,,636000,3293,971736,-67776,,1195,,91202,,,-10824,-149238.0,0.0,-3251.0,29292.0
2014-03-27,4,2013,260612.0,,,-956927.0,-3594,13310.0,128.0,-11641.0,-52938,,,-74.0,381,-3731,50.0,,,-45000.0,,-5.0,0.0,-3154.0,-1668,30192,-52.0,-27367,-105000,,,-1616,,-564,237.0,-160.0,-5947.0,5494,-462238,-30525.0,202131,-2309,-52799,-1109.0,-18249,-8689.0,-316618,264530,681088.0,-1431,2038,-30522,,1559,23625.0,,2013年01月01日至2013年12月31日,345827,844304,,498477,405285,,877553,952362,-128980.0,,638833.0,0.0,-62406,405285,-17419.0,186666,99799,286465,291700,4.0,53365.0,91118,927.0,134.0,-14168,,,,547077,-547,844304,-69471,,1195,0.0,91222,,0.0,11565,-251139.0,0.0,-1766.0,-835.0
2014-05-13,1,2014,76631.0,0.0,,-138945.0,-62728,10000.0,-131.0,-64.0,-7263,,,-1.0,-469,-3445,50.0,,,,,-2.0,,,-410,8253,-8.0,-9155,-15000,,,-575,,-50,,,-330.0,478,227853,0.0,-148138,-70,-414020,-25.0,-75087,-3491.0,-127908,67850,-609081.0,691,446,-7570,,807,0.0,,2014年01月01日至2014年03月31日,844304,877890,,33586,130673,,-826592,-818599,,694553.0,369000.0,-833.0,988094,130673,,-133913,-891990,-1025903,10100,,,27572,,0.0,-72,,,,-949272,641,877890,-1230,,-77,,44283,,-4549.0,-15696,-126347.0,,4725.0,80473.0
2014-08-13,2,2014,145343.0,0.0,,-230396.0,-12967,10000.0,-131.0,-452.0,44020,-3000.0,,1.0,-347,-3080,148.0,,-5447.0,,,-1.0,0.0,0.0,-1071,17894,90.0,-14304,-14910,,,-609,,-148,0.0,0.0,-767.0,1012,195407,0.0,50149,940,-198304,739.0,-101809,-6124.0,-112595,134245,-645095.0,1037,901,-13895,,1438,7077.0,,2014年01月01日至2014年06月30日,844304,932738,,88434,193821,,-324027,-269509,,700000.0,386000.0,-381833.0,524966,193821,-7077.0,84952,-693625,-608673,10100,250.0,0.0,103751,,-201.0,-1198,,,,-463330,2723,932738,-49138,,-539,1500.0,36994,,-4549.0,8141,-179468.0,,6207.0,50709.0
2014-11-12,3,2014,223210.0,0.0,,-327744.0,-23286,20000.0,-131.0,-10841.0,18771,-3000.0,,-206.0,5731,-4810,208.0,,-5447.0,0.0,,-2.0,0.0,0.0,-1423,27345,202.0,-18676,-56910,,-89460.0,-607,,-208,0.0,0.0,-1141.0,1316,-63982,0.0,-72560,11400,-250434,732.0,-35169,-8913.0,-394969,198533,-545281.0,191,1326,-20052,,1745,10061.0,,2014年01月01日至2014年09月30日,844304,529375,,-314929,225266,,-612870,-526513,-257960.0,700000.0,1057000.0,-531833.0,692708,225266,-7077.0,-61486,-913503,-974989,20000,359.0,0.0,109758,0.0,-195.0,-1206,,,,-751779,4194,529375,-78111,,-76,6000.0,29533,,-4549.0,-32276,-332057.0,,-1056.0,22079.0
2015-03-23,4,2014,302999.0,,,-398295.0,-11778,20000.0,-131.0,-11729.0,53382,-3000.0,,-621.0,-309,763,144.0,,-5447.0,0.0,,-4.0,,0.0,-2071,37216,504.0,-35031,-72500,,-89460.0,-1058,,-208,0.0,0.0,-1606.0,1667,405607,0.0,-324127,1877,-96560,716.0,279,-12078.0,-594250,263309,0.0,8584,1777,-27050,,2347,19641.0,,2014年度,844304,1057969,,213665,254312,,498142,583202,-257960.0,700000.0,745000.0,-531833.0,309269,254312,-16658.0,-330535,356426,25891,20000,359.0,0.0,123882,0.0,-189.0,-1240,,,,328890,3797,1057969,-79998,,3920,8559.0,29533,,-47237.0,-9116,-470262.0,,1832.0,12214.0
2015-05-15,1,2015,,0.0,,-87642.0,-52743,0.0,0.0,-388.0,15423,,1000.0,-1.0,2,-3539,122.0,,,,,0.0,1.0,,-336,8678,-89.0,-18393,-14000,,,-42,,-122,,,-503.0,438,722482,0.0,25286,-1464,70380,393.0,-180065,,-199646,64386,-280035.0,1096,423,-5728,,353,,71912.0,2015年01月01日至2015年03月31日,1057969,1033681,,-24288,96969,-1779.0,615477,620878,,0.0,320000.0,-672000.0,-440030,96969,,116682,335315,451997,0,,,50108,,,-108,,,,523909,-296,1033681,-26,,-2105,,0,,-37826.0,-12426,-180429.0,,2581.0,147676.0
2015-08-12,2,2015,,0.0,,-168896.0,14861,0.0,0.0,-678.0,13435,-2000.0,3000.0,-84.0,-4443,1188,3442.0,,0.0,,,0.0,1.0,0.0,-1030,15542,16.0,-26988,-171632,,,-42,,-192,0.0,0.0,-1043.0,935,855328,670.0,-7454,-641,38996,-22073.0,-133748,,-425744,129228,-220061.0,2000,678,-9651,,1022,7484.0,133930.0,2015年01月01日至2015年06月30日,1057969,934459,,-123510,387641,-6270.0,1086909,1113056,,0.0,190000.0,-792000.0,-784691,387641,-7484.0,44056,547429,591485,0,0.0,,64349,,0.0,-13,,,,725415,142,934459,-25002,,-4799,0.0,-13117,,0.0,9627,-292994.0,,1379.0,47861.0
