date,season,year,不影響現金流量之收益費損項目合計,交割結算基金增加,交割結算基金減少,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,備供出售金融資產（增加）減少,其他各項負債準備淨變動,其他負債增加,其他負債增加（減少）,其他負債減少,其他資產增加,其他資產（增加）減少,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產及設備,取得以成本衡量之金融資產,取得無形資產,呆帳費用提列（轉列收入）數,員工福利負債準備增加（減少）,央行及同業融資增加,存入保證金減少,存出保證金增加,存出保證金減少,庫藏股票買回成本,應付商業本票增加,應付款項增加（減少）,應付款項減少,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業保證金減少,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產及設備,處分以成本衡量之金融資產,處分及報廢不動產及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,金融資產減損損失,附買回票券及債券負債增加（減少）,附賣回票券及債券投資（增加）減少,非控制權益變動
2013-05-22,1,2013,-725573.0,,,,0.0,232149,3670.0,7271.0,13591.0,,-1002.0,4600.0,,,0.0,-71188,-373150.0,-655483,292023,,-5259,,-7940,-17671,-5218,4669388,,120562.0,,-216320.0,1238272,-719907,-58742.0,584136,106361,20425,,-8603,7314,-298232,632299,,,2013年01月01日至2013年03月31日,1727485,2304294,576809,383230,,-5169421,-5756279,,670081,5639869,383230,,-3051830,-2362106,-5413936,,,4912,,,,,-6139509,,1634213,252791,,-3000812,990.0,-2340296,-110991,
2013-08-26,2,2013,-984231.0,,,,0.0,6325449,,,,,,,,,,-130792,-355869.0,-1279430,578347,,-12011,,-9883,17509,-5538,3751933,,,205546.0,-216320.0,463821,1136444,-58742.0,-2478868,183652,40438,,-20618,14955,-587336,1178731,13773.0,,2013年01月01日至2013年06月30日,1727485,2304716,577231,651261,,-3547113,-4318362,,510015,3940692,651261,-16709.0,-720728,-3264664,-3985392,,,6778,0.0,,,,-4969623,,1794701,166081,-23114.0,-6365660,30368.0,-1828520,-614793,
2013-11-20,3,2013,-953495.0,,,,0.0,10089156,,,147967.0,-58742.0,,,18843.0,,,-660297,27877.0,-1950168,858121,,-22730,,-11613,61754,-6092,5326224,-1953.0,,230412.0,-216320.0,1059003,1572031,,-2565318,196565,60156,,-36518,19600,-865349,2080409,64790.0,,2013年01月01日至2013年09月30日,1727485,1784870,57385,1047258,,-5796856,-7296885,-450536.0,200048,5657676,1047258,-30137.0,5744899,-13135547,-7390648,496.0,,5452,,,,,-8344143,,1584822,220179,404383.0,-18545544,30368.0,3607767,-1453544,
2014-03-26,4,2013,-1557839.0,,8509.0,31000.0,0.0,5862248,-37743.0,,,-58742.0,,,138826.0,,,323180,,-2603726,1114504,27366.0,-42603,-196056.0,-14093,22722,-6215,5024451,,,187911.0,-216320.0,1005304,2578485,,-4377149,114662,81609,,-142383,27409,-1110347,2213286,95096.0,,2013年01月01日至2013年12月31日,1727485,3152940,1425455,1647920,129404.0,-4019606,-5232287,-450536.0,1430095,5303033,1647920,-67219.0,5179096,-10501464,-5322368,6892.0,3698.0,511,0.0,0.0,-96.0,0.0,-6880207,,1722845,14646,42496.0,-12104943,46573.0,2425504,-204800,-1124.0
2014-05-21,1,2014,-464296.0,-7179.0,,,,-5270277,-54206.0,,-12124.0,,-57.0,20021.0,32737.0,,-71400.0,278061,,-686422,249618,-1109.0,-11731,-17702.0,-2322,16455,-530,6789376,,-10547.0,,0.0,1131821,-940888,0.0,-300920,-120938,19291,,-15954,6921,-247395,598693,,,2014年01月01日至2014年03月31日,3152940,2041955,-1110985,758020,0.0,-8907506,-9151814,,200004,7918568,758020,,-18650910,9205372,-9445538,0.0,0.0,1,,,,,-9909834,,1841951,-106990,-87192.0,14468694,,-17642913,9793,-2629.0
2014-08-27,2,2014,-793784.0,-7853.0,,,,-9247424,-53443.0,,29921.0,,-1396.0,250290.0,-34143.0,-96900.0,,26118,,-1250294,478668,-17162.0,-21460,-32180.0,-5326,16848,-1092,37360,,,3178.0,0.0,4297762,626668,0.0,-1751539,-133898,37673,,-31165,13691,-468951,1161049,75258.0,,2014年01月01日至2014年06月30日,3152940,2429259,-723681,1315843,0.0,-4316591,-4832544,-592956.0,85,3743970,1315843,-14252.0,7015600,-12370203,-5354603,28039.0,0.0,-16047,,,,,-6148387,,2429174,-251403,-134454.0,-1088807,24537.0,6528700,-558841,1804.0
2014-11-26,3,2014,-1195290.0,-7839.0,,,,-6844726,,,209072.0,,-1836.0,-551591.0,-88670.0,-96900.0,,37551,,-1943072,748462,13468.0,-34060,-33818.0,-10836,67777,-1636,-718912,,,2927.0,0.0,5352270,-460193,0.0,-526003,-139155,55775,,-48951,20939,-742208,1874768,159532.0,,2014年01月01日至2014年09月30日,3152940,2306009,-846931,1760263,15000.0,-4763450,-5976746,-592956.0,48,4042206,1760263,-104542.0,2830875,-9372594,-6541719,28207.0,0.0,-16215,,,,,-7737009,-52684.0,2305961,-78796,-84133.0,-1167606,24537.0,3309119,-320219,1804.0
2015-03-25,4,2014,-1538273.0,-8805.0,,0.0,,-8135469,,,95037.0,,-4193.0,234215.0,-109799.0,-358200.0,,82802,,-2659871,1019546,69853.0,-53417,-77264.0,-13580,80720,-3118,-1737581,,,-4853.0,0.0,5546355,-2757902,0.0,530894,-477105,74133,,-66299,28247,-1012453,2562739,168170.0,,2014年度,3152940,2501517,-651423,2072093,15000.0,-3462568,-4968347,-592956.0,20,3218397,2072093,-104812.0,-2093080,-3409087,-5502167,28207.0,0.0,-16215,,,0.0,,-7040440,-52066.0,2501497,-212677,-113639.0,3998624,106278.0,848407,-120153,2579.0
2015-05-27,1,2015,,-12651.0,,,,-5653844,750.0,,-29762.0,,-4123.0,-602098.0,164677.0,,155300.0,-287690,,-752029,272373,-22348.0,-17730,-20407.0,-1038,30247,-272,10046437,,4529.0,,,1602735,188059,,-1578014,223880,18701,-196631.0,-21242,7472,-265650,537569,,-441279.0,2015年01月01日至2015年03月31日,2501517,2484866,-16651,594805,120000.0,-11867355,-12078951,,96,11649172,594805,,-5002898,-7229579,-12232477,,,5,,,,,-12673756,,2484770,-60323,132202.0,1068728,2444.0,-5457802,19970,0.0
2015-08-26,2,2015,,-12503.0,,,,-7352489,1497.0,,20614.0,,-5317.0,28861.0,236738.0,260300.0,,-457261,,-1501418,545469,-50000.0,-43313,-23153.0,-4284,177649,-1049,7274182,,,-19705.0,,566327,274581,,-254974,272028,37274,-394913.0,-42137,14831,-518044,1302207,12023.0,-793663.0,2015年01月01日至2015年06月30日,2501517,4105899,1604382,1088143,120000.0,-6448269,-6859380,,1310057,7830623,1088143,-33272.0,-303465,-6850395,-7153860,3.0,,4000,,,,,-7947523,,2795842,-385075,125845.0,1407473,2444.0,-960194,172908,-9886.0
