date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動,預付款項（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,17842.0,-11978.0,-11353,18,,-6416,25140,4622.0,,8252,-606,6334,0,-695,-172,,,2028,,-222469,-19995,,,-2414.0,-10700,-4104,,-2085,,-427,19997,-160.0,-219.0,3755,1347,403,130,-6211,596,,2013年01月01日至2013年03月31日,66083,108836,42753,-19339,,131078,137994,,-71430.0,,-92080,-19339,324540,-185049,139491,0.0,,,,157333,108836,-1301,1982.0,,-5063,369041
2013-08-12,2,2013,30661.0,-304462.0,11616,-309,-67.0,196053,-168714,-47229.0,,18199,-1672,8463,0,-808,-344,,,741,,561507,-21193,,,-4303.0,-706700,7521,,-1070,,-297,3041,0.0,-445.0,-48347,2723,678,257,-8617,1656,,2013年01月01日至2013年06月30日,66083,114787,48704,543612,,1219246,1265875,,-111924.0,,-1122195,543612,301650,389952,691602,101.0,,31.0,,722263,114787,-39668,1982.0,150.0,-4206,112401
2013-11-11,3,2013,39741.0,-914578.0,-16357,59,-67.0,61890,183013,-31169.0,,26453,-2676,8648,0,-820,-936,,,1072,,143769,-31566,,,-3731.0,984600,5915,,-5995,,-98,-373,-6524.0,-658.0,-32891,4097,819,387,-11494,2651,,2013年01月01日至2013年09月30日,66083,100281,34198,529062,,1094859,1149729,,-1099014.0,,-1027770,529062,266013,314913,580926,101.0,,31.0,,620667,100281,-46027,1982.0,150.0,1062,250520
2014-03-17,4,2013,54049.0,-728577.0,19648,-191,-109.0,65999,143254,-31169.0,,38412,-3261,9773,0,-831,-1108,,380.0,4471,,-352572,128510,629.0,,-5296.0,1105400,-6450,,-7967,-77.0,-130,25426,,-800.0,-33116,5427,794,511,-12599,3246,,2013年01月01日至2013年12月31日,66083,86856,20773,656976,,897166,955807,-180747.0,,-1043974.0,-843277,656976,419056,-174274,244782,101.0,,31.0,,298831,86856,-49288,1982.0,150.0,17983,216816
2014-05-12,1,2014,10603.0,0.0,-12047,7062,,-14163,-121766,0.0,,8034,-329,1403,0,-188,-236,,,859,,114984,-108909,-629.0,112865.0,,-102200,-6100,,-9519,77.0,-122,4055,,-188.0,-424,1328,41,126,-1253,324,,2014年01月01日至2014年03月31日,86856,234444,147588,96939,,36821,41707,,212532.0,,111191,96939,-33653,-32182,-65835,0.0,,,,-55232,234444,-3957,0.0,,-26953,-4482
2014-08-12,2,2014,19631.0,0.0,-41955,7114,0.0,-20070,-190446,0.0,,15656,-1023,1994,0,-200,-407,,,770,,212099,-106521,-629.0,204742.0,,-294500,38340,,-90977,77.0,-1190,-26864,,-394.0,-607,2657,96,251,-2038,990,,2014年01月01日至2014年06月30日,86856,148982,62126,160673,,89394,113832,,267069.0,,-26661,160673,104918,-171390,-66472,0.0,,0.0,,-46841,148982,-23390,0.0,0.0,-81203,31405
2014-11-10,3,2014,29030.0,0.0,-51269,7201,-117.0,3626,-389829,0.0,,23177,-1697,2822,0,-212,-1580,,,172,,46998,-91356,-629.0,213782.0,,-444500,39515,,-57493,77.0,-67,-159389,,-615.0,-1909,3985,365,378,-1873,1698,,2014年01月01日至2014年09月30日,86856,133302,46446,142923,,-170869,-144277,,663552.0,,219224,142923,238455,-554685,-316230,0.0,,0.0,,-287200,133302,-26417,0.0,0.0,-2183,125401
2015-03-17,4,2014,37172.0,0.0,27424,7346,-117.0,23027,-1868531,0.0,,21296,-2629,6277,0,-223,-1753,,0.0,1123,,327416,240928,191.0,138457.0,,-629500,42404,,-166355,-23.0,457,-66477,,-949.0,-2093,5313,558,526,-4751,2628,,2014年度,86856,191867,105011,630302,,-788739,-747140,-391768.0,,1915988.0,895843,630302,332296,-1746910,-1414614,0.0,,6.0,,-1377442,191867,-39476,5825.0,0.0,19257,-139186
2015-05-11,1,2015,,,-4300,-7610,,85138,-284182,,2900.0,8240,-3086,6065,0,-428,-172,,,2076,,462176,-114657,0.0,64509.0,,145000,-25695,,-87472,0.0,81,63275,,,2300,1332,37,140,-7114,3093,12728.0,2015年01月01日至2015年03月31日,191867,219670,27803,221064,-4617.0,169226,182167,,-358299.0,,-143723,221064,-179608,127983,-51625,,,,,-38897,219670,-8920,,67500.0,-18285,-179986
2015-08-11,2,2015,,,-38096,-7,,-78634,298764,,,16243,-7000,9332,0,-439,-344,,,2069,2900.0,281135,-195942,-820.0,-66176.0,,837700,156967,,-54346,100.0,-5281,64620,,,2117,2669,151,280,-13511,7014,21675.0,2015年01月01日至2015年06月30日,191867,165307,-26560,537720,-4857.0,449618,503643,,-1502564.0,,-478295,537720,-623205,567453,-55752,,,,,-34077,165307,-47528,,184500.0,-17532,-395647
2015-11-10,3,2015,,,-33757,-3089,-94.0,-82007,142681,,,26593,-11206,11869,0,-872,-516,,,2143,4500.0,422616,-207459,-820.0,-124099.0,,810100,23675,,-31358,100.0,-10735,55885,,,3018,4006,238,420,-13898,11221,31920.0,2015年01月01日至2015年09月30日,191867,60624,-131243,670049,-5103.0,236527,303467,,-1367531.0,,-370788,670049,-962240,563738,-398502,,,,,-366582,60624,-64263,,184500.0,-12362,-532670
2016-03-16,4,2015,,,7204,214,,-83961,383406,,,41977,-15718,16208,0,-1043,-688,-108.0,,2909,4500.0,418550,-50429,-820.0,-114829.0,,1206300,39308,,-262109,100.0,81,33014,,,2661,5391,325,558,-18473,15725,48756.0,2015年度,191867,98867,-93000,657164,-4443.0,517108,585886,-284838.0,,-1721640.0,-612769,657164,-681266,561232,-120034,,,15.0,,-71278,98867,-66030,0.0,184500.0,-12024,-473296
2016-05-10,1,2016,,-186000.0,-24294,-653,,-6295,227007,,0.0,8160,-4604,6154,0,-89,-172,,,-86,,-45308,-113525,,-18952.0,,100700,-48069,23.0,19634,,-1825,9309,,,-261,1338,0,141,-7886,4611,11194.0,2016年01月01日至2016年03月31日,98867,26797,-72070,4756,-342.0,39666,44737,,-26089.0,,-111475,4756,-155199,183986,28787,,,5.0,,39981,26797,-1796,,0.0,-24178,56255
