date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損迴轉利益,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-13,1,2013,60605.0,,-13193,,,6215,,1099.0,-350.0,,,,,44378.0,,-1829,,,-273,10230,11354,-8370,-415.0,,,-30767,0.0,-22783,140652,0.0,,94031,-32956,,3599,,228.0,-126429,50155,381,-11798,99,,2013年01月01日至2013年03月31日,210359,300336,,89977,96074,,99579,107856,,,103505.0,,105473,96074,,234154,-282977,-48823,13766.0,,1982,11782,300336,-8376,,,-41.0,-236702,-131255,11337
2013-08-13,2,2013,140570.0,-111000.0,4155,,,-2509,,0.0,,,,416.0,,0.0,72075.0,5205,,,-788,19549,21256,-15846,-388.0,3000.0,,-2346,0.0,-94715,247158,0.0,-140000.0,165386,-150832,,-6533,,1155.0,-158871,99356,797,-21425,480,,2013年01月01日至2013年06月30日,210359,291645,,81286,219509,,263835,302833,410100.0,-96750.0,,-86275.0,-44934,219509,11512.0,426221,-483467,-57246,0.0,,2743,83324,291645,-39478,,,-804.0,-228878,-212366,8367
2013-11-12,3,2013,197954.0,-363111.0,18998,,,-4612,,0.0,,,,618.0,,-213.0,53967.0,10700,,,-1058,27329,23605,-79307,-417.0,2951.0,,-88,0.0,-99770,224406,60000.0,0.0,201892,-114438,,-6185,,1732.0,-275860,148988,1194,-29632,856,,2013年01月01日至2013年09月30日,210359,355634,-5086.0,145275,328925,,449117,522719,410100.0,-96750.0,0.0,-32812.0,-51587,328925,11512.0,448307,-452467,-4160,0.0,50.0,3025,193794,355634,-74458,,0.0,-1601.0,-227462,-249852,1279
2014-03-17,4,2013,269172.0,-261899.0,88428,,,-3199,,0.0,-8854.0,,,1415.0,,-421.0,87725.0,12270,,,-1553,31485,19776,-105011,-425.0,107.0,,-134,0.0,-191506,276271,0.0,-90000.0,290031,-171322,-781.0,-10384,223.0,2306.0,-387658,216227,1628,-34132,1323,,2013年01月01日至2013年12月31日,210359,398417,-6095.0,188058,482240,,692758,785668,410100.0,-96750.0,0.0,-65552.0,-136818,482240,11512.0,661010,-626754,34256,0.0,208.0,3431,303428,398417,-94233,,160.0,0.0,-240931,-369600,3974
2014-05-12,1,2014,72991.0,0.0,-49451,,,-2698,,0.0,-6365.0,,,357.0,,-2294.0,0.0,1401,-46680.0,,-599,7954,14537,-42836,0.0,,,0,3494.0,-30970,41938,50000.0,0.0,-6116,-37202,,-52,,594.0,-110687,63833,1578,-7662,500,,2014年01月01日至2014年03月31日,398417,381079,-534.0,-17338,155956,,114234,161001,0.0,0.0,0.0,-114056.0,-35422,155956,,-16010,-51936,-67946,35939.0,,20,5045,381079,-47267,-662.0,0.0,0.0,25351,-22371,-2975
2014-08-12,2,2014,151382.0,-112314.0,-48367,,,16670,,293.0,-6174.0,,,0.0,-455.0,,1030.0,9389,-46680.0,,-1318,15506,-5925,-84074,0.0,0.0,,0,2945.0,42087,18192,50000.0,0.0,-1660,-89835,628.0,-9895,0.0,1191.0,-198393,126329,3142,-15645,880,,2014年01月01日至2014年06月30日,398417,356415,-524.0,-42002,315729,,319882,418214,0.0,0.0,,-79152.0,-157566,315729,0.0,-34070,-14827,-48897,,60.0,63,102485,356415,-99212,-1205.0,,,31692,-71674,-3719
2014-11-11,3,2014,219756.0,-182590.0,-51521,,,16126,,0.0,-25238.0,,,0.0,-259.0,-22449.0,0.0,6128,0.0,,-2013,22140,5403,-101835,0.0,0.0,,0,276.0,-43366,-77357,140000.0,,42217,-120502,790.0,-19438,633.0,1797.0,-231725,191455,4743,-22588,2025,,2014年01月01日至2014年09月30日,398417,291491,-1795.0,-106926,441105,,365019,499952,0.0,-159720.0,,-20466.0,-245623,441105,0.0,-86882,-74027,-160909,,1512.0,844,58847,291491,-136958,-1746.0,,,116968,-109229,-2018
2015-03-16,4,2014,307266.0,-120285.0,-23532,,,14914,,0.0,-29509.0,,,302.0,0.0,-27324.0,0.0,20916,0.0,,-2706,23782,39199,-105801,0.0,5595.0,0.0,-79,0.0,-142112,95393,40000.0,0.0,86046,-220857,-63.0,-20063,633.0,2403.0,-370164,262196,6379,-24592,2723,,2014年度,398417,339335,-7676.0,-59082,595957,,523638,672115,0.0,-159720.0,12540.0,0.0,-251755,595957,0.0,161294,-392402,-231108,,1540.0,950,76158,339335,-151200,-2170.0,0.0,,4655,-238500,984
2015-05-12,1,2015,,0.0,-14034,,,-21021,,0.0,12271.0,,,98.0,,12549.0,0.0,3,0.0,,-736,6036,-15773,-61382,0.0,12045.0,,0,-68.0,-28904,91195,0.0,-10000.0,-76114,-80293,-65.0,-14478,,,-103512,64646,1590,-5792,939,83445.0,2015年01月01日至2015年03月31日,339335,373409,-386.0,34074,193472,562.0,36743,55864,0.0,0.0,115032.0,0.0,116616,193472,,265,-221318,-221053,17278.0,,798,-137608,373409,-20060,-551.0,0.0,0.0,-88828,-54611,-1344
2015-08-11,2,2015,,-9024.0,-17392,,,-11566,,0.0,3288.0,,,18.0,0.0,0.0,7426.0,453,0.0,,-1439,12390,-26887,-97659,0.0,12045.0,,-439,0.0,-129998,-75080,20000.0,0.0,-60118,-122506,-50.0,-9786,0.0,,-175345,127554,3170,-11783,1380,154702.0,2015年01月01日至2015年06月30日,339335,375355,-59.0,36020,415339,1124.0,90866,192316,0.0,0.0,148175.0,0.0,147386,415339,,-155280,-222445,-377725,0.0,182.0,1686,-223023,375355,-102830,-1098.0,0.0,0.0,48173,-84855,-3814
