date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款增加,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融負債增加,其他金融負債增加（減少）,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延借項（增加）減少,遞延貸項增加（減少）,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付費用（增加）減少
2013-05-14,1,2013,0.0,1812445.0,,26667,-1770977,-3728585,,-450846,871706,1356918,,7895.0,-111180,0.0,-9897,109934,-534080,,,-56051,0,0.0,-1360314,534545,3766231,-490175,,-14793141,,-2232085.0,,-37473,-96839,38496.0,,-13185288,-201838.0,-39979589,,,69869522,,770.0,-5150728,1531415,-28165.0,108396,0.0,0.0,10058,184100,-724225,1341755,0.0,,2013年01月01日至2013年03月31日,187508850,196651585,789659.0,9142735,6006650,,22257249,21668798,,,9708875.0,-19714306,-11730017,6006650,,-43314919,57164622,13849703,,42159,,12491172,0.0,,91553,,-32679,0.0,,0.0,,,15662148,-264000.0,196651585,-29079,,,-75876.0,119547.0,,,41400.0,,,,
2013-08-14,2,2013,7220.0,2514032.0,,100449,-12542769,-1142962,,95864,3468916,559730,,1730.0,-42780,0.0,-66608,97374,-1695861,,,-105020,60040,-44373.0,-3168406,1322187,4609595,-1475279,,-38320140,,-1192895.0,,-63773,263780,168206.0,6240.0,2978041,-176831.0,-48591734,,-13582.0,78469108,-2172.0,-1617.0,-10014193,3083926,-28165.0,151754,,0.0,38370,356844,-1521633,2763251,321020.0,,2013年01月01日至2013年06月30日,187508850,186047364,672421.0,-1461486,11631204,,46904356,48866868,,,6056302.0,-37540720,-42961244,11631204,-49225.0,-46886131,81607763,34721632,889767.0,139489,,30998545,0.0,,120224,,-240214,0.0,,0.0,,,37235664,-418773.0,186047364,-3525150,,,-115434.0,119547.0,0.0,,41400.0,-9669.0,-9544.0,1051299.0,
2013-11-14,3,2013,7220.0,3012797.0,,169362,-13054593,-199083,,129688,3579796,461612,,1717.0,-618757,0.0,-714653,99238,-735906,,,-142280,71725,-35162.0,-4387744,1455863,2754487,-1975136,,-47543214,,-2073915.0,,-121371,-170915,200597.0,4984.0,-16757345,-209084.0,-9336866,,-14045.0,66526586,-6754.0,-2465.0,-720900,4575901,-28165.0,125708,,0.0,44597,543043,-1636606,4263304,339185.0,,2013年01月01日至2013年09月30日,187508850,220804788,1053127.0,33295938,17783593,,60861826,61549664,,-16697814.0,21008807.0,-34147327,-29599475,17783593,-90674.0,-7237271,47990545,40753274,13084154.0,181387,,51546585,0.0,,125609,,-257082,0.0,,0.0,,,43766071,-471712.0,220804788,-3653721,,,-145974.0,119562.0,0.0,,41400.0,-11948.0,-9544.0,-1753044.0,
2014-03-28,4,2013,7219.0,2543763.0,0.0,187349,-11993659,-359652,,720358,699764,1079696,,10479.0,-433735,0.0,0,509565,97958,6996.0,,-270736,70752,-160246.0,-6330655,1913705,4702170,-2204293,-67672.0,-64256114,-2008593.0,0.0,,-191458,295346,415291.0,,11200734,-209084.0,-6372788,,,16167905,,-3787.0,-4585917,5981555,-28165.0,81076,,0.0,44795,719750,-2102364,6064044,358585.0,,2013年01月01日至2013年12月31日,187508850,207448269,,19939419,24217397,,48334098,49440018,0.0,-15913371.0,24505826.0,-38670240,-28510932,24217397,-110075.0,-6668869,29347727,22678858,13127746.0,254385,10114.0,62722736,0.0,,283339,,-287458,867132.0,,0.0,,,25222621,,207448269,-5426185,,,-170506.0,122513.0,,,63975.0,,,,
2014-05-13,1,2014,,124662.0,,1273,0,-1751812,,-339912,3274760,611766,,797.0,556523,-731.0,-593675,55154,-205398,666.0,-827.0,-97592,3914,399393.0,-2374771,713462,3473106,-829323,,-22171651,-3290149.0,0.0,,-14501,-83121,0.0,,-10603740,0.0,-29538405,-600000.0,,46696395,,-716.0,-5677999,1375343,539.0,-11248,,,-7666,181734,-663836,1860635,,,2014年01月01日至2014年03月31日,207448269,226183548,,18735279,6149816,,15802906,14964246,,-1930.0,25454346.0,-20722600,5137266,6149816,,-27458095,36147863,8689768,1007545.0,210657,,17788624,,3258910.0,-5641,,-50538,,,,360.0,-48.0,8814430,,226183548,-358139,,,1016.0,0.0,,,0.0,-23485.0,,,
2014-08-14,2,2014,2445.0,11347.0,,95003,-90555,922014,,-176364,3784841,434898,,8850.0,1469732,-5037.0,-3244413,64094,-1761447,48546.0,-825.0,-200440,7792,34313.0,-4683710,1148289,-278642,-1573604,,-36492283,-7052663.0,0.0,,-35918,212245,0.0,,-10034009,0.0,-18973221,-600000.0,,25694894,,-1500.0,-8645275,2753668,0.0,53106,,,-5737,355112,-1080283,4140663,405036.0,,2014年01月01日至2014年06月30日,207448269,206805950,,-642319,11842394,,14002744,13267913,,-1930.0,9943504.0,-15923227,-5721146,11842394,-132086.0,-12796906,14211078,1414172,899761.0,421867,,33670299,,5693506.0,67168,,-70171,,,,1485.0,-133.0,1425519,,206805950,-2730585,-138786.0,,1228.0,496552.0,,-233.0,0.0,-27822.0,0.0,,
2014-11-12,3,2014,2496.0,925077.0,,123081,-240990,2926035,,-406449,3484743,-945685,,20507.0,3761346,-5401.0,-1893022,103587,-2166652,90436.0,-823.0,-443553,11663,-67083.0,-6845538,1884163,3362944,-2575096,,-48153518,-10945884.0,0.0,,-81083,507922,0.0,0.0,-28310225,0.0,6923273,-600000.0,,14420801,,-2273.0,1812338,4119325,0.0,80216,,5822.0,-13715,522603,-1784441,6629719,160349.0,,2014年01月01日至2014年09月30日,207448269,188392816,406804.0,-19055453,17970590,,20633024,18660985,,-15920610.0,6310237.0,-35414812,-44863759,17970590,-159186.0,17093312,-17327994,-234682,897930.0,670114,122716.0,55205109,,9660424.0,172891,,-101276,,,,1978.0,-72.0,690395,,188392816,-3033588,,,188.0,524430.0,,-233.0,0.0,-28687.0,0.0,,
2015-03-30,4,2014,3784.0,2794401.0,,145398,-1060512,11156406,,-839479,8573160,-1771853,,18268.0,2900564,-2336.0,-1462244,98961,-3800764,134093.0,-473.0,-740138,14248,-75942.0,-8558623,2953837,10314197,-7310308,0.0,-71552469,-1698344.0,,,-139773,378474,0.0,,-11178443,0.0,-30606576,,,3283357,,-5043.0,-10236664,5537047,0.0,156310,,5822.0,-10498,703239,-2813439,8484544,160870.0,,2014年度,207448269,222057452,1214099.0,14609183,24361065,,5437403,5025591,,-15920609.0,59947039.0,-35526880,9094247,24361065,-159708.0,-7979003,-14150872,-22129875,1505890.0,740248,157227.0,71502730,,,410483,,-119877,0.0,,,1978.0,1073.0,-19335474,,222057452,-5420163,,,2486.0,549930.0,,-233.0,0.0,-32917.0,,,
2015-05-14,1,2015,63828.0,,,48878,-1434210,-831198,,-379760,1663812,-38792,,103.0,484265,-2551.0,-19570,869694,972327,44489.0,-11375.0,-411743,3495,,-1724348,851217,-2462049,-2587673,,-15814170,-3001860.0,,,-69826,-285530,,,-22615040,,-28033527,,,35653446,,,-2820622,1628776,0.0,-117209,,,4761,220821,-903143,1351499,13713.0,714066.0,2015年01月01日至2015年03月31日,222057452,213749600,-245907.0,-8307852,4478343,-721.0,-8610280,-8871515,,0.0,29303403.0,-22314760,5585099,4478343,-13713.0,-26718325,12654401,-14063924,0.0,176763,,15529323,,2456067.0,301497,,-75002,,,,0.0,0.0,-13349858,,213749600,-200834,-13110.0,,-956.0,,,,,776.0,,,-820571.0
2015-08-11,2,2015,70472.0,,,70477,-26084314,-2191340,,480188,-3357524,106891,,637.0,50593,-1725.0,-16625,1430008,-166761,88236.0,-11252.0,-636943,7796,,-2297954,1218871,-4277056,-3347726,,-33131806,-4454823.0,,,-144963,50048,,,-30568590,,13038987,,,2973191,,,-4653078,3213709,,-65262,,,9119,461058,-1292938,1961971,67825.0,2575616.0,2015年01月01日至2015年06月30日,222057452,196061278,-220742.0,-25996174,9440990,-1566.0,-9803792,-7120617,,0.0,25110087.0,-15875635,-7262248,9440990,-285136.0,7540579,-26677802,-19137223,9511718.0,326652,,30702186,,4542689.0,468197,,-87069,,,,0.0,140.0,-16561607,,196061278,-3420033,-25873.0,,1429.0,0.0,,0.0,,776.0,,,562541.0
