date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得子公司股權,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收款項增加,應收款項減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付款項（增加）減少,預付設備款減少,預收款項增加（減少）
2013-05-14,1,2013,,199028.0,,-1659602,,109291,0.0,,,223277,-359679,-363.0,,,-35178.0,155449.0,115291,,,-6982.0,,,-8073,66117,48166,-239649,,-73627.0,0.0,-976,,-682379,,,-62797,-110280.0,245872.0,,41483,-6065,,,-119157,194204,,,-2550,14742,-64368,5437,0.0,,2013年01月01日至2013年03月31日,1971237,2119386,148149,374370,-358941,-260510,,832326,,578081,374370,4941,,49837,-883745,-833908,1233112,8179,,-669,,-128.0,,-634880,,2119386,-39500,-69556,,,-101687,,
2013-08-14,2,2013,,558523.0,4815.0,-2931243,,89168,-31.0,0.0,,838410,-230930,,,,-90178.0,215497.0,-335785,,,-59730.0,9200.0,,-21153,132898,45820,-810107,,-376701.0,-5000.0,-1271,,-1622719,,,550392,-3430.0,,,-416191,-789,,,-711914,416541,,4900.0,6653,28612,-139354,18364,0.0,,2013年01月01日至2013年06月30日,1971237,1769360,-201877,868704,-261942,-68625,0.0,1775670,,726159,868704,7954,,1385372,-2881224,-1495852,2345449,13412,-8089.0,-838,,4057.0,,-937329,,1769360,-72327,-8112,,-87016.0,-363978,6579.0,
2013-11-14,3,2013,1193.0,728684.0,9915.0,-4392557,,113754,,2969.0,,384024,-234546,750.0,,,-350178.0,429715.0,-375065,0.0,,-118776.0,9242.0,-15720.0,-29393,188003,60043,-1013482,,,-5000.0,-1329,,-1157600,,,123643,-61786.0,,,-489355,41180,,,-425360,627196,,75232.0,18112,40089,-197285,27252,34129.0,,2013年01月01日至2013年09月30日,1971237,1895756,-75481,1339469,-194950,71349,-378370.0,1430377,,484786,1339469,11843,-29164.0,438403,-2435207,-1996804,4463222,529897,-8126.0,-13141,-144.0,534.0,,-1268120,-8228.0,1895756,-130395,-62742,,-637886.0,-333575,6579.0,
2014-03-31,4,2013,1347.0,-1736473.0,9915.0,-8907123,277193.0,88198,,6813.0,219505.0,-133241,-262458,-5260.0,-241472.0,-30.0,-726608.0,,-498438,,,-109751.0,9259.0,-947.0,-73178,249566,84717,-1442619,,,-60928.0,-3214,,-1751537,0.0,,153860,,315858.0,,-535427,48077,,,2833911,819549,,75232.0,47663,51196,-250982,71295,30305.0,,2013年01月01日至2013年12月31日,1971237,1686602,-284635,4334894,-164817,261846,-378370.0,11650247,-10399003.0,-3038446,4334894,16619,-29184.0,963956,-3300531,-2336575,5260500,4844091,-8142.0,-2751097,12216.0,4185.0,,-4073048,,1686602,-277281,-64050,,-339053.0,-388946,,671404.0
2014-05-14,1,2014,,303396.0,,-945990,,-6087,,,-181.0,137015,-115839,0.0,-745.0,,-94793.0,,2294,,,,-69116.0,-4810.0,-15167,57309,17988,-171949,,,-93748.0,-176,,-105774,,,-235350,26971.0,10048.0,,-45716,-31082,,,-428387,202669,,,18878,10711,-59745,11819,,,2014年01月01日至2014年03月31日,1686602,2445378,758776,299799,-28353,124953,,2959184,-1727695.0,1197528,299799,2322,,-71364,-406878,-478242,913109,1668,,3020,-92.0,,,-174846,,2445378,-105380,28464,,-10383.0,-104674,,
2014-08-13,2,2014,,525759.0,0.0,-2085979,,36410,,,32746.0,285891,-115583,,-278634.0,,,,-147649,,,-73691.0,0.0,-7718.0,-29868,113891,-10199,-323932,,,-93748.0,-176,,-972045,,,-159930,16368.0,10048.0,0.0,-136714,-31936,0.0,,-422003,399842,,32040.0,40860,20265,-146985,26525,44561.0,,2014年01月01日至2014年06月30日,1686602,2033282,346680,672409,-451455,-172897,,6018691,-4400600.0,1230337,672409,1264,-44561.0,142329,-1513394,-1371065,1969103,4850,,1548,-92.0,,,-845306,,2033282,-202659,30236,,-2292.0,-145877,,
2014-11-11,3,2014,64.0,764326.0,0.0,-3530838,,23440,,,,603683,-229740,3001.0,-281157.0,,-61000.0,115695.0,-279428,,,-73065.0,0.0,-15455.0,-51095,154339,18514,-421654,,,-98748.0,-368,,-1092200,,,-245574,22451.0,0.0,-29952.0,-428507,41405,,0.0,-495215,599653,,35526.0,54378,30314,-219377,39449,51358.0,,2014年01月01日至2014年09月30日,1686602,1971284,284682,943196,-263194,158174,-1157812.0,16525176,-13777094.0,1024577,943196,3498,-49295.0,402450,-1951798,-1549348,3272770,8491,,821,-92.0,,,-785022,18889.0,1971284,-292798,37104,,3484.0,13232,,
2015-03-30,4,2014,64.0,1064038.0,0.0,-3524575,-93012.0,39236,,2400.0,32982.0,78358,-189150,-5379.0,-519230.0,,0.0,646954.0,-97737,,-1281.0,-66761.0,0.0,84695.0,-62982,192663,16026,-573402,,,-98748.0,-3283,179.0,-472634,,,252513,,41.0,,-943839,-21145,,0.0,-15229,785148,,35989.0,26114,40601,-286447,48171,51341.0,,2014年度,1686602,2121818,435216,1748923,2234675,2774808,-1157812.0,20979763,-21100347.0,-1800256,1748923,4594,-49295.0,1191272,-1229425,-38153,3597971,8732,,2257,-92.0,0.0,,1025885,,2121818,-353198,40000,,-74786.0,455844,,958792.0
2015-05-14,1,2015,,,,-1784450,-181895.0,-1958,,,0.0,25276,-85386,,0.0,,0.0,834.0,-57513,57.0,,-942.0,,3552.0,-11414,36198,-17732,-117635,-40000.0,,0.0,0,,758863,,,-252293,,220022.0,,512265,-7439,,,-123081,213037,,,2554,10597,-36211,8264,,260445.0,2015年01月01日至2015年03月31日,2121818,2194733,72915,452371,797670,901019,,3400432,-3003119.0,-583942,452371,2119,,-990289,1178492,188203,596501,18162,,-542,0.0,,16500.0,448648,,2194733,-75402,4344,,-13385.0,59660,,-581377.0
2015-08-14,2,2015,,,,-3224828,-120470.0,-2105,,,0.0,3802,32291,,-155002.0,,,,-178970,95.0,,-664.0,,-199.0,-18658,68403,-56071,-288197,-40000.0,,0.0,-287,25.0,826152,,,-379962,,120175.0,,501418,26132,,,-251496,420768,,33920.0,11692,20996,-128255,12336,33923.0,472413.0,2015年01月01日至2015年06月30日,2121818,4050222,1928404,780990,1159295,1581926,,7456717,-6782308.0,1076676,780990,-494,-33923.0,-838131,1166654,328523,3723417,27232,,907,0.0,,16500.0,800936,,4050222,-340635,2896,,-61590.0,-38264,,-341501.0
2015-11-13,3,2015,0.0,,2200.0,-6006473,-112480.0,6,,,0.0,21845,-65111,,-156757.0,,,,370819,95.0,,-1077.0,,-1609.0,-24328,104412,57064,-404576,-40000.0,,0.0,-828,25.0,1304981,,-120490.0,-758564,,45972.0,0.0,507577,286849,,,-364707,629423,,31720.0,96077,31712,-193241,14981,44866.0,804680.0,2015年01月01日至2015年09月30日,2121818,2734939,613121,1490413,2504357,3116161,-590484.0,9281379,-9509084.0,-1583593,1490413,-3611,-38933.0,-1487503,2308571,821068,5593620,31354,,-72,0.0,,16500.0,1625748,,2734939,-478410,11584,,-121371.0,-96550,,-638304.0
2016-03-30,4,2015,0.0,,14700.0,-7807524,-91724.0,13413,,,32325.0,10439,191871,0.0,-619155.0,,,2393.0,73287,,-2787.0,-3362.0,,40143.0,-30732,136369,-31974,-591233,-40000.0,,-15000.0,-2452,9884.0,1934163,,-234814.0,-69193,,0.0,-239522.0,276140,-92005,,,-487256,844886,33185.0,59950.0,98158,42678,-250789,18143,44939.0,1102009.0,2015年度,2121818,2098788,-23030,2222139,3719982,4464125,-590484.0,11530114,-12874817.0,-3223782,2222139,2268,-38959.0,-1172927,2312904,1139977,7906336,38923,,14078,0.0,,16500.0,2241986,,2098788,-556436,-19857,3093.0,-291129.0,-117150,,-1022449.0
2016-05-10,1,2016,,,,-2141061,-56973.0,-6354,,,,-103691,-9835,,,,-51.0,0.0,14914,0.0,-966.0,-7228.0,,-3849.0,-5488,28286,-88531,-131744,0.0,,,-1050,16572.0,-134045,,,-92531,,0.0,-79995.0,127454,3227,,,-125171,211218,3426.0,,10306,11195,-56698,2208,81043.0,278409.0,2016年01月01日至2016年03月31日,2098788,2128329,29541,418129,527805,566744,,1494665,-1407643.0,-284562,418129,19,,-87406,-42388,-129794,1895079,14902,,878,,,0.0,148615,,2128329,-65492,9272,,-44641.0,-41175,,165789.0
2016-08-12,2,2016,,,1760.0,-4575631,-356728.0,-8856,,,,-82173,-34542,,-280909.0,,,480.0,44029,0.0,-130.0,-649.0,,-1071.0,-12242,54324,-56511,-252482,0.0,,-37162.0,-3838,16392.0,-280244,,,-25170,,49966.0,,325034,222928,,,-258616,403120,-10347.0,0.0,17131,22301,-111029,7738,29241.0,487064.0,2016年01月01日至2016年06月30日,2098788,1938232,-160556,800884,1117370,1339944,,3052459,-3011824.0,-962799,800884,18,-29241.0,-187610,239606,51996,4262107,33275,,2940,,,0.0,539060,,1938232,-148524,13392,,-458837.0,-18396,,276461.0
2016-11-14,3,2016,,,1760.0,-7346086,79033.0,-6447,,,,-55206,71667,,-645607.0,,-3967.0,,68347,0.0,-395.0,-50880.0,,-64.0,-17563,80661,-79729,-633089,0.0,,-37162.0,-3868,43132.0,-348116,,0.0,72909,,259862.0,,372981,-57442,,,-699690,592031,-29707.0,0.0,28869,33052,-165008,9764,34857.0,747201.0,2016年01月01日至2016年09月30日,2098788,2264814,166026,1492027,2072093,2462929,-809029.0,5484479,-4981802.0,-1126648,1492027,18,-32651.0,202210,21491,223701,7374353,27516,,6105,,,0.0,970902,,2264814,-270449,13611,,-462423.0,-49792,,105474.0
