date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延借項（增加）減少,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付費用（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,,641.0,-1072,42,,-694,10412,1264.0,208,-49.0,,1225.0,,,,-589.0,,,0.0,-433.0,0.0,,0.0,0.0,,,,0.0,,,,,-3307,194,536,,-92,0.0,-1395,3539,6958,23.0,,960,1002,258,60.0,-1309.0,24.0,,,2013年01月01日至2013年03月31日,85668,76627,-9041,-6571,,-6950,-6950,,,-670.0,-3051,-6571,,202,-1222,-1020,105.0,,,-51.0,,,,,,,,,-379,108.0,76627,0.0,-39,0.0,0.0,0.0,,,-17934,,,-794.0
2013-08-12,2,2013,-292.0,-873.0,-2151,-1732,0.0,-12659,10474,-1711.0,-20,-75.0,,-30149.0,262.0,,,-4062.0,-1442.0,2332.0,0.0,-434.0,,,0.0,0.0,,,,0.0,,,,,-11426,1853,-586,,-3269,,-17289,5155,46830,23.0,,-280,2030,735,86.0,-2466.0,1392.0,,,2013年01月01日至2013年06月30日,85668,58601,-27067,-8465,,-21500,-21500,,,-670.0,-5287,-8465,,-2504,-9658,-12162,473.0,,,-132.0,,,,,,,,,-13035,162.0,58601,0.0,-128,,0.0,,,,-804,,,1088.0
2013-11-12,3,2013,,38594.0,-3239,-1021,44.0,1323,10548,,142,-3906.0,-3026.0,-25979.0,517.0,,,37018.0,-2347.0,3541.0,,-1480.0,,,0.0,,,,,,,,,1715.0,-87,-1895,-6444,,1797,,-25388,6205,49592,23.0,,4439,2788,727,96.0,-3661.0,231.0,,,2013年01月01日至2013年09月30日,85668,53362,-32306,-68685,,-29175,-29175,,,-670.0,-7570,-68685,,-9776,10692,916,3973.0,,,-2979.0,,0.0,0.0,,,,,,39510,,53362,,-250,,0.0,0.0,,,-2156,,,627.0
2014-03-20,4,2013,,57382.0,-4335,529,,-196,10696,,-182,412.0,1816.0,-49254.0,444.0,,,54350.0,-3131.0,4693.0,,-23768.0,,,0.0,,,,,,,-3250.0,,319.0,18535,-1920,-5776,,-2617,,7941,6383,51467,23.0,,-16466,4050,1332,107.0,-4817.0,3003.0,,,2013年01月01日至2013年12月31日,85668,72239,-13429,-80118,,16109,16109,,,-670.0,-13072,-80118,,-8962,47807,38845,3980.0,,,-3381.0,,0.0,0.0,,,,,,96227,,72239,0.0,-638,,0.0,,,,1356,,,-812.0
2014-05-13,1,2014,-413.0,479.0,-1105,-561,,-1224,48,0.0,227,-10.0,0.0,-1793.0,249.0,,,-368.0,-37.0,1079.0,,-90.0,0.0,,0.0,0.0,,,,0.0,,,,-676.0,-3893,308,-808,,22,,1413,868,-34,-77.0,,638,901,951,50.0,-1083.0,1404.0,,,2014年01月01日至2014年03月31日,72239,41131,-31108,-5891,,-28538,-28538,,,-1020.0,-3208,-5891,,-1517,-21609,-23126,0.0,,,14.0,,,,,,,,,-22647,0.0,41131,,-1698,0.0,0.0,0.0,,,-17156,,,-705.0
2014-08-13,2,2014,,7637.0,-2220,-1424,,9,105,,123,-186.0,0.0,813.0,,,,,-122.0,2118.0,,-90.0,,,,,-1008.0,,,3069.0,-4.0,,,3244.0,2673,4653,4811,0.0,1430,,-21698,140,-1589,,,3661,1804,1251,,-2136.0,193.0,,,2014年01月01日至2014年06月30日,72239,36504,-35735,-34409,,-34016,-34233,,,-1020.0,-5380,-34409,,13690,-21151,-7461,10.0,,,-8.0,,,,,,0.0,,1505.0,176,3962.0,36504,24.0,-83,,,,,-392.0,-1418,,,135.0
2014-10-23,3,2014,,-3597.0,-3344,-105,0.0,1947,200,,191,-246.0,0.0,320.0,0.0,,,0.0,-164.0,2968.0,,-90.0,-50000.0,-20245.0,0.0,,,,,10553.0,,-348.0,-2373.0,0.0,10465,7949,2885,,-1585,,-18022,-1210,56,0.0,,3937,2602,1129,0.0,-3009.0,,,,2014年01月01日至2014年09月30日,72239,140642,68403,-32017,,-29313,-29155,133500.0,,-33020.0,93779,-32017,-108.0,13224,-6765,6459,71167.0,,,-23416.0,,0.0,0.0,,,5478.0,,,2862,3889.0,140642,-421.0,3500,,0.0,0.0,,-661.0,-275,,,0.0
2015-03-27,4,2014,,-13718.0,-4483,-1011,,-161,1122,,118,,,361.0,,,,0.0,-449.0,3546.0,,-90.0,-160000.0,,,,,,-34236.0,4050.0,,-348.0,,21614.0,14097,3896,-972,,-301,,5768,-65,-864,0.0,0.0,-95210,3347,265,0.0,-3584.0,545.0,278.0,,2014年度,72239,53051,-19188,-28128,,-16043,-16165,133500.0,,-33020.0,92065,-28128,-130.0,1621,24060,25681,71177.0,,,-23420.0,,0.0,,,,6047.0,,,11963,-109.0,53051,-423.0,-323,,0.0,,,-604.0,3802,,,0.0
2015-05-13,1,2015,0.0,,-1146,-713,,-17,5048,,-62,-83.0,,-17771.0,,,,,-33.0,561.0,,0.0,,,,,,,-8787.0,676.0,,-394.0,,1280.0,2530,3258,0,,954,,-8110,-8068,-817,0.0,,-7474,757,722,0.0,-562.0,51.0,,4880.0,2015年01月01日至2015年03月31日,53051,13072,-39979,-7046,,-29403,-29454,,,-1000.0,-3102,-7046,,3490,-30778,-27288,,,,0.0,,,,,,,33.0,,-22408,53.0,13072,,2197,,,,,,-3490,,,
2015-08-14,2,2015,,,-2297,-980,,-31,5047,,117,-211.0,0.0,0.0,,,,,-68.0,1107.0,,-440.0,,,,,,0.0,-3080.0,780.0,-591.0,,,2315.0,7850,-1063,1492,,398,,-8471,-5911,-1980,,,-24704,1503,-123,,-1115.0,93.0,,27779.0,2015年01月01日至2015年06月30日,53051,13581,-39470,-34417,-9763.0,-9763,-9555,,,-1000.0,-5003,-34417,,11,-2928,-2917,0.0,,,6.0,,,,,,,532.0,0.0,24862,47.0,13581,-301.0,8574,295.0,16000.0,,,0.0,484,-24031.0,,0.0
