date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,預付投資款增加,預付設備款增加
2013-04-26,1,2013,21054.0,,-28952,,,-10818,-6218,,,,2374,-393,2980,591,-1587,,,,-21.0,276,,,-921.0,,-27751,32459,-29978.0,,1023.0,78449,94.0,-39.0,-2555,10422,1739.0,3656,-1110,834,,2013年01月01日至2013年03月31日,306207,333272,,27065,-38935,,48959,49318,,39000.0,,-19930,-38935,22625,44574,67199,0,,,,,88253,333272,-83.0,,,,,-26.0
2013-08-09,2,2013,42166.0,,-90490,,,-10969,-2196,,,,6345,-897,6009,877,-2638,-4995.0,,0.0,-48.0,-192,,,-31.0,,-34486,78065,,-29978.0,885.0,104775,101.0,-77.0,-9734,20717,2900.0,7284,-2279,1325,,2013年01月01日至2013年06月30日,306207,359900,,53693,-91760,,85418,86504,,-61000.0,,-22868,-91760,67904,68194,136098,158600,,,,,178264,359900,-132.0,,,,0.0,-2022.0
2013-11-08,3,2013,62341.0,-200000.0,-119095,,,24908,-6325,0.0,,,9373,-1315,8555,734,-4317,-4995.0,,0.0,-604.0,-519,,,-96.0,,-33618,103642,,-30000.0,517.0,107386,113.0,-116.0,-12454,31269,4061.0,10917,-3368,1703,,2013年01月01日至2013年09月30日,306207,347684,,41477,-122288,,134727,136560,,,-91000.0,-81530,-122288,128951,67556,196507,358565,,,,,258848,347684,-168.0,,,,,-2442.0
2014-03-21,4,2013,85462.0,-200000.0,-173840,,,14544,-6358,,,,12090,-1814,9954,879,-9555,-4995.0,,0.0,-1038.0,-526,,0.0,-866.0,,-93476,125579,-30000.0,,1859.0,110178,34.0,-154.0,-24026,42293,5222.0,14592,-8086,2234,,2013年01月01日至2013年12月31日,306207,227203,,-79004,-130703,,100892,106965,,,-121500.0,-156749,-130703,141828,10378,152206,368591,,,0.0,,237668,227203,-221.0,,,3651.0,-4995.0,-2577.0
2014-04-25,1,2014,18993.0,,-8075,,,-7115,-2943,,,,1461,-180,1303,18,-728,,,,0.0,1287,,,-529.0,,60991,-31713,,0.0,-250.0,-109687,15.0,-10.0,-1257,11821,0.0,3301,-1251,216,,2014年01月01日至2014年03月31日,227203,233446,,6243,4329,,-68443,-67390,,84000.0,,75925,4329,-39088,-51624,-90712,0,,,,,-71719,233446,-18.0,,,,,0.0
2014-08-08,2,2014,40870.0,,-18950,,,-13811,-7670,0.0,,,7066,-435,2770,-213,-797,0.0,,,-75.0,1857,,,-480.0,,51635,-38468,,0.0,-883.0,-136392,26.0,-10.0,-6347,23587,0.0,6025,-2696,457,,2014年01月01日至2014年06月30日,227203,225628,,-1575,15928,,-91065,-88775,,115000.0,,96050,15928,-53172,-92401,-145573,0,,,,,-104703,225628,-51.0,,,,-4995.0,0.0
2014-11-07,3,2014,42522.0,0.0,-41048,-5797.0,-4798.0,-11565,-7456,,,,1071,-578,4312,102,-472,-4995.0,,,-78.0,-170,,,-4492.0,,-66351,103289,,0.0,-1268.0,-143824,79.0,-10.0,-10037,35747,0.0,8537,-4248,627,,2014年01月01日至2014年09月30日,227203,337091,-985.0,109888,12181,,-86629,-82998,200000.0,47500.0,0.0,206452,12181,84649,-222350,-137701,0,,,,-5540.0,-95179,337091,-10.0,128.0,,,,
2015-03-20,4,2014,56563.0,0.0,-43206,7689.0,,-11271,-21465,,-2671.0,0.0,2707,-1023,6525,459,-1965,-4995.0,,,-78.0,-330,60.0,,,-4654.0,-8231,145319,,0.0,-1291.0,-261033,-770.0,-118.0,-14363,48490,0.0,10681,-5364,949,,2014年度,227203,247407,-5235.0,20204,-30713,,-129746,-125321,200000.0,7000.0,,163854,-30713,140328,-291499,-151171,0,,,,-5540.0,-94608,247407,-10.0,288.0,0.0,,,
2015-05-08,1,2015,,,-2075,-22814.0,,444,2488,,,,2733,-301,2351,-422,-471,-4995.0,,,,-81,,,,4509.0,102272,-120960,,,,42111,,,-957,13790,,1869,-964,329,18085.0,2015年01月01日至2015年03月31日,247407,372972,-2336.0,125565,8028,0.0,29019,29654,,70000.0,,97925,8028,-143330,146871,3541,30000,,,,,21626,372972,0.0,60.0,,,,
2015-08-07,2,2015,,,-4150,-19560.0,,5702,-1708,,,,378,-695,4737,-697,-2481,-4995.0,,,0.0,-516,54.0,-60.0,,3567.0,4784,-92112,,,,75702,,,-3890,27242,,3407,-2496,720,33813.0,2015年01月01日至2015年06月30日,247407,288701,-881.0,41294,1727,-35.0,6537,8313,,13500.0,,39344,1727,-106005,78778,-27227,30000,19.0,,-19.0,,6586,288701,0.0,160.0,,,,
2015-11-06,3,2015,,,-26225,-4863.0,,579,-4827,,,,2233,-902,7264,-186,-2481,-4995.0,,,-2936.0,-686,54.0,-114.0,,708.0,-162174,37380,,,,9167,,,-9685,39565,,4665,-3823,913,44631.0,2015年01月01日至2015年09月30日,247407,263933,-7669.0,16526,8269,-70.0,-74818,-71908,0.0,63500.0,,101215,8269,33026,-157834,-124808,64000,19.0,,-19.0,0.0,-80177,263933,0.0,180.0,,,,
2016-03-25,4,2015,,,-28272,24855.0,,2746,-2381,,2646.0,,3479,-1130,10660,-758,-2363,-4995.0,,,-5156.0,6923,-33.0,,,-389.0,-69535,-26421,,,,-186477,,,-10238,51108,,5474,-5888,1234,69742.0,2015年度,247407,336153,-6933.0,88746,52884,-212.0,-139453,-134799,0.0,203500.0,,239195,52884,968,-258393,-257425,64000,19.0,,-19.0,0.0,-187683,336153,0.0,180.0,,,,
2016-05-06,1,2016,,,-27510,-41536.0,,-1763,7426,,,,649,-222,2994,-489,0,0.0,,,,-29,,,,4683.0,-95855,56207,,,,168340,,,4702,11180,,951,-2049,196,15054.0,2016年01月01日至2016年03月31日,336153,259593,-389.0,-76560,-19283,,86737,88590,,-140000.0,,-167510,-19283,12908,79911,92819,0,19.0,,,,107873,259593,,-80.0,,,,
