date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付款項（增加）減少
2014-05-15,4,2013,1241257,,979715,-781190,-653698,,-27300,1400534,,,,-209300,531287,202847,-5316293,-85029,-27772,-1188,,-1910429,5900186,-1109216,-3119958,707206,-5206256,914494,,,0,4776,-211686,224026,,2013年01月01日至2013年12月31日,4003073,3220900,-782173,2606161,4628827,4704181,2258400,,,-2631935,-407591,2606161,,4962195,-4105432,856763,2078300,,,,,2098020,3220900,-75354,,,-1900670,-529087
2015-02-26,4,2014,2897915,-454650,-792073,-187353,991926,,-8065,-22107,118,,,-110908,483154,126532,-6289299,0,-7047,-6172,,1122287,-5388001,-684527,8633217,-4458,-6190528,2403876,,-11328,49779,11160,-267456,99607,,2014年度,3220900,6656416,3435516,1614297,7952147,8446256,184469,,,-2121574,1547365,1614297,61433,-7059901,10993945,3934044,4206576,12383,-579,,,6831959,6656416,-494109,,,0,284408
2015-05-11,1,2015,,-2088331,-260597,28434,576336,,28645,19727,102,,-179791,-20918,58970,-7867,-1679814,0,-9533,-234,,200609,-3181063,-162200,3325506,-310076,-1684103,788277,,-4237,13180,3612,-38736,5184,667315,2015年01月01日至2015年03月31日,6656416,3444028,-3212388,53591,669331,816768,,-572028,,14964,-2189749,53591,4165,-3546679,3642541,95862,494382,294,-180,,,763177,3444028,-147437,,,,-165324
2015-07-30,2,2015,,-4599509,-292050,33972,430044,,9413,22851,102,,-179791,-40918,145118,-18156,-2167715,,-10403,-205,,-1208564,-2053162,-220863,3241204,-1609821,-1979364,1563743,,-13604,13180,7469,-87114,47756,1476160,2015年01月01日至2015年06月30日,6656416,5081206,-1575210,139652,-507152,-229629,2296572,-572028,,-1179,929462,139652,8236,-2522588,677147,-1845441,3892720,101203,-7864,-33013,50000,-369281,5081206,-277523,,,,-184963
2015-11-09,3,2015,,-5902058,493197,115931,506428,,29982,23287,-122,,-179791,-54718,240979,49588,-2346577,,-14564,-781,,-7366226,9286639,-208351,-4047954,-542274,-2152337,2389718,,11328,13180,11543,-167242,52532,2399027,2015年01月01日至2015年09月30日,6656416,5798404,-858012,1296271,1411095,1743405,2296572,-572028,,-1686321,-166358,1296271,10994,9717276,-11669169,-1951893,5864719,107053,-7637,-33013,50000,447134,5798404,-332310,,7772,,-253758
2016-03-07,4,2015,,-10346294,846594,260558,548011,,10846,23516,-122,,-179791,-72450,388124,-147238,-3443251,,-15201,-494,,-3713992,4246466,-101562,-6720387,-91484,-3318851,3264250,,11328,13180,15461,-271975,73116,3390005,2015年度,6656416,6354927,-301489,2733713,700104,1106235,2296572,-572028,652459,,2464496,2733713,12067,5262780,-10280263,-5017483,10705762,16979,-7417,-33013,50000,-1627478,6354927,-406131,-18178,7772,0,-337255
2016-05-06,1,2016,,-995137,-168520,8562,30301,,20096,1024,0,,0,-22170,118994,-177596,-1329027,,-951,,47,529505,-6756292,177531,9176802,-375139,-1300003,895987,,18799,0,3662,-48662,14319,1017593,2016年01月01日至2016年03月31日,6354927,10168114,3813187,407202,4034098,4243688,0,0,2300487,0,1256688,407202,1091,-6718623,9537516,2818893,0,15609,-5,0,0,3836486,10168114,-209590,20034,0,,156224
2016-08-10,2,2016,,-2135048,-364976,-94736,113239,42665,-87362,2609,-447,-25564,-153566,-44731,210750,-52141,-2139252,,-2655,,-81,1703332,-12384104,-179330,13573185,-289868,-2028165,1784071,18799,0,0,7339,-137419,40821,1816962,2016年01月01日至2016年06月30日,6354927,6835677,480750,291171,3769000,4337571,0,0,1064523,0,-1207944,291171,2154,-13092156,15321594,2229438,0,30337,10945,0,0,4046400,6835677,-568571,0,,,244661
2016-11-11,3,2016,,-2110939,-598414,-38913,135843,49294,230225,1493,88,,-153566,-59269,286106,-189054,-4119645,,-2626,,-23,250455,-6697004,1176290,6117988,-20696,-3977882,2661976,,18799,0,9938,-220542,58773,2764520,2016年01月01日至2016年09月30日,6354927,5507677,-847250,1495629,4477631,4954993,0,-928355,1786362,0,-1157945,1495629,8778,-5927728,6622572,694844,315529,36345,10878,0,0,3459364,5507677,-477362,-321,0,,118690
