date,season,year,不影響現金流量之收益費損項目合計,其他應付款－關係人增加（減少）,其他應收款增加,其他應收款減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款－關係人增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分無形資產損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付投資款減少
2013-05-08,1,2013,9913.0,,,268,83874,9883,-7671,,,22226,-27517,,,,-54558,,,-30858.0,,-111896,12834.0,-24784,17109,92,,,,2013年01月01日至2013年03月31日,745655,752191,6536,87246,,6438,6438,,0.0,0,2656,,2656,87246,,53016,-143737,-90721,2197,,383,,268,-80808,752191,,,
2013-08-07,2,2013,19550.0,,,268,304743,-30720,-16022,,,29728,-56872,,,,-65230,,,-28867.0,,-300984,575.0,-51433,33616,188,,,,2013年01月01日至2013年06月30日,745655,831257,85602,208221,,107288,107288,,0.0,0,19,,19,208221,,275876,-396359,-120483,4906,,1768,,265,-100933,831257,,,
2013-11-07,3,2013,-2705.0,,,269,398398,44783,-56036,,,22904,-101138,,,,-68010,,,-25002.0,,-263368,-38081.0,-94868,50872,280,,,,2013年01月01日至2013年09月30日,745655,752520,6865,336564,,382579,382579,,0.0,-303750,0,,-303750,336564,,373396,-324676,48720,5732,,2179,,269,46015,752520,,,
2014-02-25,4,2013,-107782.0,,,269,19121,76135,-184052,,,37543,-127218,,,,-2429,,,-34678.0,,177223,44454.0,-115452,67707,376,,,,2013年01月01日至2013年12月31日,745655,913693,168038,377653,,549697,549697,0.0,,-303750,0,,-303750,377653,,-15557,295383,279826,4239,,8187,,7258,172044,913693,,,
2014-05-12,1,2014,5297.0,,,-159042,62652,10009,-14667,,,13487,-13904,,,,-47640,,,395.0,,-79045,5942.0,-168644,19831,94,,,,2014年01月01日至2014年03月31日,913693,729264,-184429,13118,,-29272,-29272,,,0,0,,0,13118,,63047,-110734,-47687,74,,39,,4228,-42390,729264,,,
2014-08-12,2,2014,33724.0,,,-530,115365,-17732,-14599,,,5092,-29695,,-2208.0,,-61589,-158593.0,,3924.0,-425.0,-192150,-14561.0,-184726,40518,4361,,,,2014年01月01日至2014年06月30日,913693,407706,-505987,108863,,-24156,-24156,,,-303750,1978,,-302197,108863,,119289,-286032,-166743,2087,,3444,,4213,-133019,407706,,,
2014-11-11,3,2014,46916.0,,,-3635,386614,-23031,-27001,,,1815,-83782,,-3475.0,1703.0,-83790,-158593.0,,16707.0,-2030.0,-464498,-67558.0,-241837,62033,8521,,,,2014年01月01日至2014年09月30日,913693,442279,-471414,255321,,66681,66681,,,-303750,7707,,-298073,255321,,403321,-638877,-235556,4531,,1660,,3117,-188640,442279,,,
2015-03-04,4,2014,54827.0,,,-4537,226623,-75310,-48323,,,32139,-107519,,-4345.0,1673.0,-15104,-158593.0,,2978.0,-1994.0,-242675,-19954.0,-267186,84693,13321,,,,2014年度,913693,636374,-277319,317559,,248944,248944,,,-303750,14528,,-291216,317559,,229601,-353043,-123442,4807,,3463,,3001,-68615,636374,,,
2015-05-12,1,2015,,,,-71041,-232660,2673,-36019,-1222.0,5976.0,-21351,-35190,,-1706.0,0.0,-144832,54105.0,,-4048.0,-548.0,238136,0.0,-76083,50061,576,-5976.0,1222.0,20062.0,2015年01月01日至2015年03月31日,636374,862250,225876,62370,,-81307,-58299,,,0,405165,,404617,62370,,-236708,95977,-140731,415,,194,,0,-120669,862250,-18254.0,496.0,-22666.0
2015-08-07,2,2015,,,,19748,-552808,96364,-26957,-2505.0,11442.0,-55149,-112245,-15186.0,-4582.0,0.0,-97303,54105.0,,0.0,-537.0,418985,25066.0,-76507,100495,1142,-11442.0,2505.0,89347.0,2015年01月01日至2015年06月30日,636374,699376,63002,81129,,14144,60780,,,-301485,2917343,-2434807.0,180514,81129,,-552808,443112,-109696,3910,,2806,,0,-20349,699376,-37699.0,2924.0,-22257.0
