date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,預付設備款增加
2013-04-24,1,2013,,1174161.0,-1491250,-266780,0.0,-2968790.0,128770,3362.0,343852,,108410.0,440396.0,-5782,41453,127613,-412656,,-3216,817.0,389,,-9717.0,,156911,-991843,3058328,-316793,582288,114828,-53315,3425,,2013年01月01日至2013年03月31日,4054342,6623693,2569351,2444687,5266957,6043532,2160000.0,,-208775.0,,-2508426,2444687,-1266539,3691223,2424684,,386,,161,3598845,-7916,6623693,-726685,
2013-08-08,2,2013,,2411441.0,-2550000,-1191467,0.0,-2989830.0,642957,5905.0,435376,0.0,57074.0,924029.0,-16410,67733,180713,-581044,,-6326,13228.0,0,-17698.0,-21417.0,0.0,381761,-2281978,5166811,-542767,1184595,230575,-80611,13554,,2013年01月01日至2013年06月30日,4054342,7956061,3901719,3982165,7871301,9543586,2160000.0,,0.0,-210000.0,-3607528,3982165,-3482830,6632810,3149980,,8946,,7691,5561421,-9385,7956061,-1605228,
2013-11-04,3,2013,,4434724.0,-2513450,425490,0.0,-3003352.0,344637,,85549,0.0,52240.0,2257229.0,-35837,88964,79061,-816322,,-12825,,0,-45048.0,-31899.0,,-2148283,-1151177,4265163,-799337,1764233,346953,-103344,25224,,2013年01月01日至2013年09月30日,4054342,9395397,5341055,5616729,10009878,11892493,2160000.0,-339707.0,,-206990.0,-3948547,5616729,-706026,2547066,1841040,,9469,,13182,6275764,19661,9395397,-1804495,
2014-03-20,4,2013,150312.0,3049584.0,-2524305,2647057,0.0,-3003912.0,439860,,-470382,-19785.0,,-6298.0,-62373,109049,235925,-939715,,-14048,17239.0,0,-44989.0,-24134.0,,12685,-598901,948933,-987922,2365271,462459,-123301,48978,,2013年01月01日至2013年12月31日,4054342,10792712,6738370,8128081,12376810,14259999,2160000.0,-339707.0,,-1133530.0,-4886443,8128081,2151238,931096,3082334,,9760,,13925,6131918,103082,10792712,-1808866,
2014-05-07,1,2014,,608512.0,0,-2018949,,0.0,502704,,1072718,-7206.0,,4690.0,-57810,17142,197377,-63256,,-554,693.0,0,-102.0,0.0,411.0,932296,-1758031,4745471,-68017,621025,23165,-18756,34862,,2014年01月01日至2014年03月31日,10792712,16012738,5220026,1308550,5114618,5443740,0.0,,,-23850.0,-23952,1308550,-3726511,7253189,3526678,,2588,,-393,4135190,50469,16012738,-345228,
2014-07-25,2,2014,,1216920.0,-186531,-2337268,,0.0,309781,0.0,1006289,-8437.0,0.0,22628.0,-124612,33304,-27876,-127001,-50000.0,-2202,1962.0,2418,0.0,0.0,9164.0,853508,-1637675,3709212,-176106,1236479,46233,-35112,101617,,2014年01月01日至2014年06月30日,10792712,14693166,3900454,2516377,4312266,5623080,0.0,,,-23717.0,-207830,2516377,-3989007,5878790,1889783,,2370,,926,3106703,-14064,14693166,-1377319,
2014-11-07,3,2014,,1805882.0,-371886,-1556219,,0.0,-119650,,1062050,-101966.0,0.0,,-203697,49328,183820,-386617,-50000.0,-3496,1733.0,85827,0.0,0.0,12533.0,-349095,-884470,2630162,-527181,1849039,69233,-50476,170101,,2014年01月01日至2014年09月30日,10792712,12957945,2165233,4110622,5263867,6763379,0.0,-3057363.0,588149.0,0.0,-2755273,4110622,-2376592,3223467,846875,,2365,,40246,2652757,64097,12957945,-1619137,
2015-03-04,4,2014,343754.0,2782971.0,-374106,-811297,,0.0,-372854,,405700,-305494.0,,17593.0,-269384,67180,785278,-1005509,-50000.0,-10243,3802.0,78227,0.0,0.0,4058.0,-247216,-299274,1270573,-1364183,2491293,93099,-68291,240827,,2014年度,10792712,14709693,3916981,6242999,7257467,9016044,0.0,-3057363.0,591661.0,0.0,-2761581,6242999,-1066129,1056203,-9926,,3005,,35634,2773045,44442,14709693,-1931113,
2015-05-04,1,2015,,,-157300,-1241556,,,412000,,471517,-3753.0,,5270.0,-67109,17361,-171692,-1195567,,-2369,845.0,47245,0.0,,2826.0,84,-843480,3413602,-1198863,697104,24929,-18145,68477,678888.0,2015年01月01日至2015年03月31日,14709693,16587368,1877675,1012790,3358285,3786746,,,,0.0,-110055,1012790,-2202135,4297203,2095068,,0,,488,2773956,-117099,16587368,-478793,
2015-08-06,2,2015,,,-529181,-1075509,,,560090,,666620,-134309.0,,-114930.0,-127560,32541,-327949,-1763319,0.0,-2769,-3082.0,74061,,,2903.0,63467,-1068898,1496299,-1854448,1359326,48788,-34701,124705,1201944.0,2015年01月01日至2015年06月30日,14709693,15470931,761238,2333648,3398755,4071147,,,,0.0,-455120,2333648,-2250921,2786476,535555,,43046,,6861,1737499,-106514,15470931,-762396,
2015-11-05,3,2015,,,-1350750,-608278,,,359191,,833516,-371042.0,,,-182853,47703,208708,-2347819,0.0,-16075,-3264.0,82495,,-17240.0,0.0,-21581,-416740,-39663,-3621491,2091940,74621,-49675,208285,1931047.0,2015年01月01日至2015年09月30日,14709693,15553081,843388,4579632,5641055,6485977,,-2445890.0,2015133.0,,-1384884,4579632,-1156165,1131463,-24702,314128.0,43243,,-97100,1906345,-131147,15553081,-1003532,-912558.0
