date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款增加,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務商品投資到期還本,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,長期應收租賃款增加,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-14,1,2013,3351211.0,,,-29976781,-682880,-32291.0,,-559551,-72807.0,-307298.0,-475375.0,118493,-615850,664699,-267580.0,,6081,,116847,13921,-103417,321123,274841,-5547695,,-554533,-1009,-113891,-368992,,,65254,-388.0,,-261217,-3168007,,,133338.0,-190046.0,,492305.0,-900000,,,355749.0,56893.0,363927,,,-78643.0,,-5139995,3716925,18498,385265,,-1296502,587972,-223253,93265,32109,,2013年01月01日至2013年03月31日,30645166,34834800,1040.0,,4189634,4120880,,,,1993008,2151783,,,0.0,3895676,7061780,4120880,-1442,278895,-5599203,-5320308,33836481,28932,0.0,526370,212425,,,518.0,-173465.0,362174,,0.0,225,1606862.0,,-1969097,1676,34834800,-60896,6634.0,-118081,200711.0,,,,-2110331.0,-166254
2013-08-14,2,2013,6803723.0,,-400000.0,-71270647,34827,30493.0,,-501326,-382208.0,11624.0,-998813.0,464385,-424495,453620,870802.0,,-24790,,27946,-16436,-245547,705984,384232,-10635056,-100000.0,-673861,-142,-128484,-754475,,,94151,,-22242.0,-1078263,-1960385,,,656474.0,-127645.0,,271524.0,1967000,,,-1919152.0,5074.0,81,,,-236429.0,,-15396421,7402966,15066,369343,,-2385485,1187877,-670914,40328,264963,,2013年01月01日至2013年06月30日,30645166,37188540,-4836.0,-277.0,6543374,8930116,,,,8973956,10847716,,0.0,8976500.0,265740,12581607,8930116,-162456,1437293,-6323416,-4886123,72034992,53284,0.0,821481,423738,,,518.0,,521448,-206785.0,2.0,265,1865068.0,,1917600,38829,37188540,-1508137,10046.0,-4805150,1055054.0,,-1904180.0,,,-163851
2013-11-05,3,2013,10804854.0,33693.0,-1480000.0,-110044853,1543175,5406.0,,-999209,-363959.0,-4571.0,-1573184.0,162668,-508770,308031,,147568.0,-17274,,110950,-24520,-386386,1101350,688413,-17084024,-100000.0,-673861,-715,-403481,-1124950,,,165283,-40566.0,,-24889,-2576924,,,-2166544.0,-136067.0,,824912.0,543000,,,-2099363.0,84021.0,125706,,,-378577.0,,-21478036,10770907,21772,-143509,100000.0,-3014517,1803851,-1125323,306245,2326038,,2013年01月01日至2013年09月30日,30645166,36138037,-2704.0,-278.0,5492871,13217194,,,,16259274,17296636,,-14258381.0,11976500.0,7101589,10023220,13217194,-177313,941876,-7667288,-6725412,115134436,141605,72032.0,1302755,951419,,,518.0,,758092,-410837.0,0.0,865,2041599.0,,4079442,49030,36138037,-2544322,27216.0,-4837267,1108769.0,,-1544669.0,,,708070
2014-03-24,4,2013,14395479.0,33693.0,-2980000.0,-141160125,1274408,32858.0,,624521,56640.0,-31630.0,,510106,-664976,24697,-33756959.0,2399103.0,-32840,,60240,18802,-448607,1432622,-4408,-24988218,-100012.0,-893414,-1550,-568919,-1532655,,,182216,-161769.0,,2389,-2567852,-42758.0,,,,,251719.0,-1169000,-1801179.0,-30712.0,,,77900,820686.0,-125328.0,-498747.0,,-59840433,14241311,-29,-133169,100000.0,-4197698,2440269,-1398487,461392,2368646,,2013年01月01日至2013年12月31日,30645166,26645574,-87999.0,-555.0,-3999592,16508020,,,,26775077,27868657,,-14264363.0,32776500.0,2246456,29070172,16508020,-219921,-60874,-2973968,-3034842,151627266,106151,117256.0,2501734,1356800,,0.0,518.0,,854693,-538642.0,0.0,1912,805353.0,,11360637,83975,26645574,-2525131,214451.0,-4993200,2188047.0,,-974120.0,,,92030
2014-05-13,1,2014,3557636.0,,,-40656091,211164,20234.0,,-448630,81000.0,61628.0,,-328939,-1368890,112469,-1305155.0,454891.0,-56555,,23663,-11857,-109025,448025,466681,-7455005,,-22588,-5709,-891001,-251877,,,94017,64279.0,,-82751,2163008,,,-2258149.0,51199.0,465390.0,,580000,,,-936530.0,271078.0,-386168,,,-100423.0,,-10188975,3461664,2074,-503991,,-1245030,711328,-199616,46848,2504,,2014年01月01日至2014年03月31日,26645574,30283320,-5261.0,,3637746,4306009,,,,3476868,3637549,,,,847598,9883172,4306009,-1758,-1928710,-2297386,-4226096,49103941,17363,,85031,241810,-857294.0,,,,78361,-37343.0,,1326,89170.0,,-668460,4903,30283320,-10417,9740.0,-147074,0.0,,-1148891.0,,,-108632
2014-08-08,2,2014,3709896.0,,-2750000.0,-86756095,57959,19700.0,,-27718,-19000.0,71045.0,,1157136,-1091354,158817,-1031936.0,106906.0,-78849,,-64541,-9503,-205705,907016,62735,-14924264,0.0,-22588,-5994,-2126294,-436057,,,169826,34206.0,,-43079,1736494,,,422679.0,280680.0,371908.0,,-1387000,,,-1791557.0,255457.0,-962730,,,-138322.0,-3186449.0,-19429154,6933761,5869,-134406,,-2586387,1404147,-915800,153608,134424,,2014年01月01日至2014年06月30日,26645574,37077532,2404.0,-278.0,10431958,12852386,,,,14225758,15892786,,,3000000.0,-1317778,15572619,12852386,-142662,2197961,-2867457,-669496,104393285,76190,,166200,464529,-857294.0,,,,56111,-61924.0,0.0,1329,-158569.0,,3040400,61194,37077532,-1039260,19792.0,-144945,434850.0,,-922688.0,,,-199659
2014-11-11,3,2014,6415595.0,8348.0,-7250000.0,-121079684,1291931,52625.0,,-231797,-213303.0,244685.0,,-33247,-1338085,324846,-1056345.0,908089.0,-98334,,8870,-22228,-334836,1405442,682094,-21665282,0.0,-72588,-6776,-2529090,-642182,,,226338,73456.0,,-85684,1083427,0.0,,,,-207943.0,,849000,346472.0,-14131.0,,,-550245,-1980796.0,,-211562.0,-4804637.0,-26205031,10372447,43992,447422,100000.0,-3151662,2211855,-1383853,266175,4076068,,2014年01月01日至2014年09月30日,26645574,28628729,40190.0,-278.0,1983155,17904746,,,,22414436,21656707,,-14133643.0,6200000.0,1097867,5091656,17904746,-170531,1496897,-4160531,-2663634,138999063,171618,0.0,330734,681187,-857294.0,,,,53366,-73713.0,,1329,-512921.0,,3751961,84015,28628729,-2200661,34692.0,-144591,433931.0,,-1835142.0,,,-180101
2015-03-19,4,2014,8401329.0,0.0,-8750000.0,-179786649,1696316,-2688.0,,-865592,-19000.0,12069.0,,-24420,-880341,-49908,-1018143.0,1312777.0,-68468,,-242347,-20996,-482434,1934871,730489,-28367682,0.0,-127922,-11803,-2949573,-909863,-1722570.0,,283862,49909.0,,-114850,2179417,0.0,,,,-301904.0,,-455000,-3656601.0,252054.0,,,-813125,-264644.0,,-231702.0,-6222659.0,-34475376,13821978,217,67572,100000.0,-4293787,3086032,-1888711,472415,4601081,,2014年度,26645574,25985419,1025.0,-556.0,-660155,21598059,,31000.0,,27070322,26207251,,-14657589.0,8400000.0,-415188,6014410,21598059,-687663,-2199249,-1592888,-3792137,200844269,189798,8348.0,330734,879765,-857294.0,,,,37395,-57742.0,1067.0,6478,0.0,,4609192,104229,25985419,-2321714,153155.0,-145448,853126.0,,-1028244.0,,,15158
2015-05-13,1,2015,,,,-61100051,-644894,,,1645328,0.0,,,-410101,-116657,48420,-60528.0,-65396.0,-5713,,138304,-32681,-153014,646867,-35888,-6040926,,-4228,-239938,-342738,-227059,,,79104,-22806.0,,-72402,-1691704,,,,,22655.0,,1844000,1833928.0,-184830.0,,,1316085,1769072.0,,,-2478500.0,-6589035,3343717,7606,822248,,-382636,868222,-525127,163357,0,1102242.0,2015年01月01日至2015年03月31日,25985419,36595762,-27585.0,,10610343,6978106,-88291.0,,,10646141,12427336,,,2600000.0,-1245074,6589125,6978106,0,701629,3645359,4346988,64518769,15201,,56700,109406,0.0,66347.0,-983629.0,,0,-6700.0,,511,,187804.0,5449230,22825,36595762,-1419425,119160.0,-176,,,-99013.0,,,94311
2015-08-11,2,2015,,,-4650000.0,-117577155,20270,,0.0,1962196,,,,495970,-147024,227,-105750.0,647875.0,-28145,,123178,-180,-259798,1213084,-69542,-11921644,,-32209,-244552,-548960,-485665,,,160047,-17880.0,,-135863,-3080451,,-278.0,,,-27448.0,,1879000,2331456.0,-178244.0,,,1004626,254493.0,,,-3796810.0,-11915003,6854654,18515,-459903,,-1567886,1918716,-1155354,210366,406293,3683565.0,2015年01月01日至2015年06月30日,25985419,46215049,-123872.0,,20229630,13355615,-134018.0,,,15672366,19245429,,,10600000.0,1157927,16541809,13355615,-204400,2613025,-406776,2206249,124687145,64042,,212850,432451,0.0,66347.0,-983629.0,,13425,-79647.0,477.0,409,,434444.0,5889814,26190,46215049,-3034368,120704.0,-2998,490917.0,,59287.0,,,60107
