date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無形資產,處分無形資產損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,預付投資款增加,預付款項（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,85757.0,,-8502,2153,,11245,,409.0,-2230.0,,-731,1983,7831,-27730,,,,,25847,,,-76.0,648,69457,,-216238,697,147274,3973,473,596.0,-25516,50085,,,1015,633,-1646,,731,,,2013年01月01日至2013年03月31日,710794,648433,-62361,-111509,,5032,5947,,,-49632.0,-49708,-111509,6927,,-190139,221838,31699,3796,,,-2,,,,,,117456,,648433,,,,,-1901,22063.0
2013-08-12,2,2013,176799.0,,51334,-3991,,1492,-2002.0,,,2283.0,-1614,4134,29267,-45293,,,-2688.0,,61609,,,-982.0,1095,168859,,-206008,-1815,54815,-8271,-1610,1199.0,-40388,97779,,0.0,-224,1496,-4290,,1614,,,2013年01月01日至2013年06月30日,710794,658856,-51938,-200922,,536,4257,,-40371.0,,-41353,-200922,13896,,-137784,166164,28380,4215,,,-277,0.0,,,,,205179,-323.0,658856,-1045.0,,,,-41636,16337.0
2013-11-11,3,2013,262843.0,,15254,-20231,,545,-928.0,,,3483.0,-2355,5767,6897,-77010,-3615.0,,-16705.0,,91682,,,-1141.0,1182,266575,0.0,-141736,-2340,86364,2831,-1201,1808.0,-74061,146699,,0.0,489,9205,-5197,,2355,8897.0,,2013年01月01日至2013年09月30日,710794,755388,44594,-234474,,243343,247396,0.0,-130444.0,,-131585,-234474,19843,-6330.0,-110477,329504,219027,15076,3528.0,,-2256,99.0,,,,,481870,928.0,755388,-10108.0,,,,-3906,15064.0
2014-03-24,4,2013,343197.0,,14944,3873,,-4962,-12723.0,,,,-3307,6439,17915,-91308,-3615.0,-187587.0,-14961.0,,114044,77.0,1093.0,,1197,291210,0.0,-126040,-2111,245505,1528,1487,148.0,-277643,199898,,0.0,689,7384,-7373,,3307,8897.0,,2013年01月01日至2013年12月31日,710794,720625,9831,-249547,,492954,504050,0.0,-224565.0,,-223395,-249547,24673,-6330.0,-117093,527493,410400,15103,3528.0,,-1440,1994.0,,,0.0,,753597,928.0,720625,-15927.0,-847.0,,,-3387,
2014-05-07,1,2014,53579.0,,-14527,-13196,,8455,-3712.0,,,,-593,850,-7771,-19452,0.0,-406725.0,-3196.0,,0,38.0,,-49.0,-435,12013,,-21432,155,-51651,4635,-2155,641.0,-49927,49073,,,1087,3112,-1537,,593,0.0,,2014年01月01日至2014年03月31日,720625,663436,-57189,-11672,,-30601,-26409,0.0,31121.0,,31110,-11672,4449,0.0,-26708,-41608,-68316,931,1627.0,377323.0,185,-3541.0,,,,,-14737,0.0,663436,-3248.0,-1043.0,,,12458,
2014-08-08,2,2014,99739.0,,-12202,1932,,5995,5536.0,,,,-1408,2534,-817,-56175,0.0,,-3526.0,-1106270.0,0,38.0,,3.0,-405,122877,,-8168,-230,-82356,6938,-560,1274.0,-305238,95759,,,1442,6354,-2534,,1408,0.0,,2014年01月01日至2014年06月30日,720625,614353,-106272,-67627,,80259,85552,0.0,119483.0,,119524,-67627,5708,0.0,-12568,66008,53440,2886,1627.0,,-1749,-6691.0,,,,856625.0,153179,763.0,614353,-4167.0,-2210.0,,,11641,
2014-11-10,3,2014,146463.0,,-12100,8606,,-1207,,6130.0,,0.0,-2845,4463,10569,-107610,0.0,,-6024.0,-1651434.0,1593,68.0,22.0,,-513,102070,,-1734,-230,-12043,4643,-490,1851.0,-338638,144890,,,2098,9681,-4463,,2845,7772.0,,2014年01月01日至2014年09月30日,720625,600686,-119939,-88644,,176563,172767,0.0,31477.0,,31567,-88644,8588,-7772.0,-6787,121735,114948,6519,1627.0,,-1367,-10746.0,,,,1421797.0,261411,-1245.0,600686,-2358.0,-2120.0,,-3000.0,12819,7878.0
2015-03-23,4,2014,172071.0,,7020,1067,,1065,,13091.0,,0.0,-2582,6020,43646,-134911,-2998.0,,-8916.0,-2395407.0,-26761,68.0,4.0,,-43,145723,,-40235,-7,-21960,1299,-687,4193.0,59213,194176,,,1504,13034,-5662,,2582,7772.0,,2014年度,720625,1057348,336723,-62220,,217811,229320,0.0,15981.0,,16053,-62220,10604,-7772.0,-27882,147351,119469,1879,1627.0,,890,-17042.0,,,,2597982.0,291540,82.0,1057348,-16201.0,0.0,,0.0,8818,0.0
2015-05-13,1,2015,,,-39322,-8450,,385,400.0,1068.0,,0.0,-771,1004,-3918,-26804,0.0,,0.0,-742659.0,0,15.0,473.0,,-9,-11003,,-21957,-45,63479,-211,413,,-385143,45077,,,318,3776,-1414,,771,0.0,50949.0,2015年01月01日至2015年03月31日,1057348,611134,-446214,-52385,666.0,-27124,-21526,0.0,-30517.0,,-30029,-52385,1861,0.0,-60085,39995,-20090,263,13358.0,,-219,3102.0,,,,370708.0,30859,188.0,611134,-4955.0,-3199.0,,0.0,-5701,
2015-08-10,2,2015,,,-37056,124,,2831,400.0,2784.0,,0.0,-1416,1832,-9752,-83060,0.0,,-654.0,-1132848.0,-2653,15.0,507.0,,5,13773,,-3676,-39,53218,5794,-696,,-520149,88142,,,231,6744,-2555,,1416,1540.0,91843.0,2015年01月01日至2015年06月30日,1057348,514042,-543306,-101951,1262.0,16653,30345,0.0,-30580.0,,-30058,-101951,3769,0.0,-36627,77080,40453,260,13358.0,,-219,-1081.0,,,,682790.0,132296,51.0,514042,-14093.0,-3506.0,,0.0,1683,
