date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融負債增加（減少）,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存出保證金增加,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,生物資產（增加）減少,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分無形資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,避險之衍生金融負債增加（減少）,避險之衍生金融資產（增加）減少,預付款項（增加）減少,預付費用（增加）減少
2014-10-24,4,2013,64324,,-148861,45060,,-44137,,,-1,4797,-6789,,,,,-864,,-13869,-3613,10680,27947,-164064,,-872,,2021,,-1809,-91178,,52125,-16100,,-1639,,31575,,362,,-180571,55023,564,2055,-10680,,3613,,,2013年01月01日至2013年12月31日,248844,343500,94656,238230,,197732,270364,72180,,-29950,1034425,-1056192,49548,238230,,84243,-116433,-32190,178810,44,502,,,32134,343500,-65565,-2908,,,,-6266
2015-02-24,4,2014,75560,0,-106284,-10530,,43594,0,0,-1678,15600,1887,0,,0,0,-456,-20166,,-3887,15635,1957,-147506,-16503,-5193,,-1403,343500,0,-92725,,6813,-1484,0,1590,0,-149824,0,-145,0,152462,63777,-473,2535,-14456,0,3887,0,,2014年度,0,422709,422709,376972,,160855,240943,0,0,0,1229699,-1212197,107435,376972,,11989,-223578,-211589,196673,8,91,0,,-136029,422709,,-715,0,0,-26365,
2015-05-14,1,2015,,,-89125,-48964,-9018,3764,,,,,,-4,0,,,-291,-2419,,,3141,-3422,31,0,-5958,,872,,,-72795,,1987,157,,-2393,,87450,,70,,-30799,17731,-117,679,-2978,-1825,660,,20000,2015年01月01日至2015年03月31日,422709,481532,58823,6559,,-10216,-6073,,,,336379,-237906,103260,6559,-660,-58231,25599,-32632,94203,-22453,359,,,-12632,481532,,-2005,,,7114,
2015-08-11,2,2015,,,-138488,-35994,,-12929,,,,-13458,1288,-20847,0,,,-580,-9867,,-1074,6816,-5328,-66624,0,0,,887,,,-34870,,-4518,-1669,,-2768,,8557,,-210,,-75141,35231,-563,1336,-6777,,1074,,40354,2015年01月01日至2015年06月30日,299009,358978,59969,91769,,-14421,22881,,,,799676,-598959,154859,91769,,-58407,-50835,-109242,93210,35,360,,1315,-68888,358978,-31599,-2639,,,8176,
2015-11-07,3,2015,,,-201416,-18632,,-16895,,,,-10145,1290,-21426,,,,-431,-40305,,-1611,10572,-13113,-120942,-7290,0,,828,,,-12467,,,-2545,,-4004,-19543,158571,,-711,,-167797,54027,-69,2054,-10448,,1611,,67391,2015年01月01日至2015年09月30日,299009,488767,189758,166304,,249614,314229,,,-80064,1306415,-1170660,121054,166304,,-54869,135403,80534,267210,35,487,,705,147925,488767,-55778,1103,,,27041,
2016-03-05,4,2015,,,-319057,1833,,-28821,,,0,-11095,780,-5258,,,,-682,-46130,,-3788,14256,-39526,-180898,-19440,0,,1224,0,,98691,,-48393,-8549,,-458,,85672,,-280,,-245727,73947,99,2796,-14861,,3788,,93789,2015年度,299009,569535,270526,231099,,368359,434886,493960,,-83160,1747372,-1917352,187420,231099,,-66662,176660,109998,266339,247,1217,,494,203787,569535,-55454,4038,,,25876,
2016-05-10,1,2016,,,-16363,-45396,,1750,,,,-1680,-662,-6839,,,,-220,-2536,,,1754,-17579,-29671,-8217,-113,,1324,,,-82599,-89259,2194,3625,,-1286,,22887,,423,,-40537,20268,722,754,-1727,2237,438,,23528,2016年01月01日至2016年03月31日,569535,349718,-219817,1011,-102783,-102783,-103731,,,,176540,-129616,-58918,1011,-438,-42543,-85727,-128270,0,0,16,,,-104742,349718,,-872,,,-20687,
2016-07-29,2,2016,,,-29261,-27514,,5777,,,,-4690,-319,,0,,,-457,-18027,,-1035,4275,-49144,-76609,-21330,-286,-6856,6157,,,-47717,-176698,3863,6515,,-3437,,48884,,417,,-123072,40202,1694,1476,-4398,,1035,,53751,2016年01月01日至2016年06月30日,569535,455288,-114247,39730,,44755,60427,,,,745246,-525616,13214,39730,,-25263,-7791,-33054,0,36,186,,0,20697,455288,-12309,796,,,-14833,
2016-11-05,3,2016,,,-45119,-50088,,3130,,,,-2028,513,,,,,-836,7444,,-1781,6920,-64952,-146837,-31230,-575,-2985,4557,,,11853,-176634,-11774,2556,,-5038,,-7737,,244,,-174146,60910,2204,2204,-6779,,1781,,74228,2016年01月01日至2016年09月30日,569535,249712,-319823,79192,,48972,81241,,,-104720,1317956,-1120344,-129697,79192,,-66372,-5807,-72179,0,37,274,,0,2049,249712,-27271,-1060,,,-13810,
