date,season,year,不影響現金流量之收益費損項目合計,償還公司債,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,取得不動產、廠房及設備,取得採用權益法之投資,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,應付帳款增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,28371.0,,-19024,0.0,397,,18707,5570.0,,-685,,,-3052.0,25816,,,,-555,-34266,,-871744,,-131159,,1167.0,,,40933,0,-350036,578,,28650,,-31308,840,-70000,4108,807,-19381,,3052.0,,2013年01月01日至2013年03月31日,983760,1993015,,1009255,4903095,2111118,2133619,,,-1070000,-1070555,4903095,-1697297,-1100550,-2797847,3643.0,,-2769476,1993015,-6172,-148,,142898,-1594784
2013-08-13,2,2013,14126.0,,-5381,,4364,-5966.0,11630,,,-766,,250.0,,138,,-28570.0,,-556,-20893,,-2745537,,-167724,,1074.0,,,33115,0,708817,584,0.0,25036,,-50229,1673,-154905,3421,1654,-38849,,,,2013年01月01日至2013年06月30日,983760,1045325,,61565,4903532,982350,1271291,,,-870000,-870556,4903532,-1642081,-2004286,-3646367,,,-3632241,1045325,-250092,6990,,145725,-1497199
2013-11-14,3,2013,33872.0,,16019,,2777,5590.0,-283752,,,-1042,,,,7904,0.0,-28570.0,,-2058,-21660,,-5894237,,-201409,,5062.0,,,39276,0,712474,581,,4450,,-51272,2506,-159905,13192,2510,-66137,,,,2013年01月01日至2013年09月30日,983760,514861,630.0,-468899,5090798,-2273571,-1865007,-2481503.0,4819505.0,-480000,1855944,5090798,-1498933,-5490744,-6989677,,,-6955805,514861,-342427,7130,,126868,-1363471
2014-03-24,4,2013,41488.0,,3467,,-1479,-5925.0,-161453,,-154763.0,-1266,,,-8766.0,25864,0.0,-28570.0,,-2441,-320158,,-7114034,921.0,-227758,,6206.0,399564.0,,126315,0,664731,578,,41160,,-349994,3337,-161838,14387,3364,-116094,-2481503.0,8766.0,,2013年01月01日至2013年12月31日,983760,499803,,-483957,5320844,-5866591,-2934737,,6805505.0,-1470000,5732628,5320844,-1540886,-6756183,-8297069,,,-8255581,499803,-343023,2381,,130915,-1443191
2014-05-12,1,2014,14585.0,,36748,0.0,5362,,-23997,1593.0,145456.0,-648,,617.0,-75.0,13641,,,,-272,-112847,,-1411210,,-4850,-2412.0,,6.0,,27443,0,47627,-118,,-13450,,-108458,641,-5000,3525,793,-56602,,75.0,,2014年01月01日至2014年03月31日,499803,495046,,-4757,-28504,-928033,-856281,,2125000.0,-1093000,1031734,-28504,441770,-1284132,-842362,5037.0,,-827777,495046,-15225,-4557,,-28802,383248
2014-08-11,2,2014,21624.0,,710,,8257,11446.0,-69894,,141800.0,-685,,1049.0,-451.0,16104,,0.0,,-256,-314884,,-2124987,,74074,-473.0,,336.0,,389379,0,49411,-269,0.0,-50316,,-315569,901,63848,8856,1589,-115684,,451.0,,2014年01月01日至2014年06月30日,499803,556879,,57076,225285,-659435,-374750,,2375000.0,-1343000,1032080,225285,1359081,-1980740,-621659,,,-600035,556879,-169452,-6424,,1410,883945
2014-11-12,3,2014,36894.0,,70635,,8519,18866.0,-90176,,137570.0,-1587,,,-482.0,25199,0.0,0.0,2361.0,0,-180144,,-2522514,,206480,-264.0,,350.0,,251548,0,24121,-275,-4551.0,-32490,,-181731,1351,111601,14337,2375,-176918,,482.0,,2014年01月01日至2014年09月30日,499803,654855,1443.0,155052,714009,-64162,322728,0.0,2905000.0,-2506766,400945,714009,1922308,-2350483,-428175,,,-391281,654855,-210454,-7329,,17712,1375043
2015-03-26,4,2014,59746.0,,124046,,6875,9568.0,-68251,,134721.0,-1786,,,-982.0,47046,,0.0,,3825,-163499,,-1618027,,149516,-985.0,,378.0,,146200,0,49140,-280,-19694.0,-142479,-10450.0,-165285,1410,109991,13856,3151,-239396,-1617293.0,982.0,,2014年度,499803,1225146,2338.0,725343,1979861,-301364,1784416,,4492294.0,-3304505,1191992,1979861,1321467,-1576658,-255191,,,-195445,1225146,-230073,-7073,,-18204,893122
2015-05-13,1,2015,,,-41318,0.0,406,-1623.0,-5204,,-2820.0,-5180,,,-18.0,9609,,,23750.0,0,0,870.0,-550783,,126661,10118.0,,0.0,-199971.0,-43168,0,-69,-26,2953.0,-43357,10450.0,-4310,237,20568,3653,625,-59594,,18.0,13948.0,2015年01月01日至2015年03月31日,1225146,641514,301.0,-583632,30667,-348101,-286365,,439000.0,-494000,-231221,30667,238431,-569411,-330980,0.0,,-317032,641514,-2160,-459,,-1529,187761
2015-08-06,2,2015,,,-52312,,1492,261.0,-16308,,-7697.0,-4580,,,-419.0,27712,,-28570.0,25615.0,-716,-3925,870.0,-777132,,116486,119249.0,,-199967.0,,-42827,0,-322,-62715,19694.0,31164,-69010.0,-36205,476,20936,6379,1258,-120104,,419.0,36307.0,2015年01月01日至2015年06月30日,1225146,757859,1301.0,-467287,69112,-228583,-80463,,569000.0,-596431,-202499,69112,662789,-848671,-185882,,,-149575,757859,-28435,-400,,11227,521932
