date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得子公司股權,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,按攤銷後成本衡量之金融資產到期還本,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分無形資產損失（利益）,處分無活絡市場之債券投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加
2013-04-23,1,2013,10405.0,-1822,32558,-8713,10166,9790,,,-632.0,-2693,842,4020,-380014,,,-683,0.0,,-73,,,-87,1152,-80625,,61431,666,-2956,417,-380553,8755,,105,-633,2505,,2013年01月01日至2013年03月31日,563910,495663,-68247,109245,,136412,135341,,,173696,,171874,109245,108586,-92895,15691,,,185,,,,567.0,26096,3765,495663,-801,,,,,3916,0.0,,-10808,-1488
2013-08-08,2,2013,19666.0,-3640,58742,-9220,-3537,8093,,,-1234.0,-5566,2003,3100,-398330,0.0,,-1383,38039.0,,506,,,-118,1237,-106685,,128550,329,-84965,491,-364528,18437,,526,-1880,5488,,2013年01月01日至2013年06月30日,563910,532641,-31269,261816,,230030,276867,,,282000,-178231.0,100129,261816,199207,-203822,-4615,0.0,0.0,183,0.0,,,,15051,15123,532641,-50445,,,,,4811,0.0,-2981.0,-11536,-992
2013-10-29,3,2013,33648.0,-5455,35104,-8745,-15301,10147,,,-1863.0,-8262,3190,-1576,-19095,-22981.0,,-1383,36561.0,,750,,-743.0,-251,1314,-172735,,65100,510,-108997,349,-406296,28547,,1089,-2957,8926,,2013年01月01日至2013年09月30日,563910,358830,-205080,421626,,201322,289160,-314107.0,,653775,-332000.0,1470,421626,128323,-294437,-166114,0.0,2.0,1244,0.0,,,,-132466,42910,358830,-93807,,,,,8953,0.0,,-14456,-400463
2014-03-04,4,2013,86809.0,-31959,91538,-4124,-1898,5505,,,-2473.0,-10834,4428,-1454,-43670,-26341.0,,-2532,,,445,,39.0,-391,964,-175480,0.0,58908,103,-90713,500,-447995,39185,41569.0,1794,-4337,10997,,2013年01月01日至2013年12月31日,563910,423435,-140475,612763,,507543,594420,-314107.0,,715240,-567782.0,-198569,612763,165038,-270190,-105152,0.0,604.0,1227,,0.0,,,-18343,16387,423435,-93537,,,17550.0,,35483,4.0,,-5878,-418198
2014-05-06,1,2014,10009.0,-139,-26251,-17466,14216,5270,,,-647.0,-2665,1048,2221,-25252,,,-1905,3410.0,,842,,,-34,413,-55220,3185.0,30698,293,-73252,7,-10315,11179,,751,-1156,2910,,2014年01月01日至2014年03月31日,423435,381224,-42211,190627,,78362,78501,,,308931,-421271.0,-112479,190627,22832,-144967,-122135,,13962.0,-1141,,,,,-112126,3876,381224,-1893,,,,,1221,-579.0,,-4306,-4094
2014-07-31,2,2014,21101.0,-280,-11416,-8582,7084,5130,,,-1189.0,-4768,1784,139,-42860,,,-2885,4586.0,,949,,,-485,473,-44402,3185.0,-18934,-182,-23016,-52,-32888,22828,,1435,-1915,5205,,2014年01月01日至2014年06月30日,423435,427319,3884,377944,,225639,291051,,,315000,-503726.0,-189006,377944,-34939,-73055,-107994,,14757.0,-1600,,,,,-86893,-11491,427319,-68702,,,,,1662,,0.0,-2133,-9659
2014-11-04,3,2014,30229.0,-422,-65753,-5953,5630,4472,,,-1706.0,-7519,5542,2081,-106659,-4500.0,,-3154,-442070.0,,1012,,0.0,-2515,2495,-58209,3185.0,-33928,-1487,-33862,-124,-558016,34801,,2111,-2724,7347,,2014年01月01日至2014年09月30日,423435,648705,225270,543043,,233577,355931,-442136.0,844708.0,665633,-522355.0,547628,543043,-119428,-97913,-217341,,14761.0,-1607,,,,,-187112,-23890,648705,-126977,340.0,,,2200.0,-2745,,,-4237,-19559
2015-03-10,4,2014,62086.0,-561,-40142,-4492,959,-1503,,,-2226.0,-10610,10141,7876,-191818,-4500.0,,-3286,-443304.0,,-648,,0.0,-2802,2464,-36109,3185.0,-19059,-1265,-18969,-59,-656883,48177,,2788,-4063,10020,,2014年度,423435,491040,67605,701425,,463862,587105,-442136.0,844708.0,679812,-831273.0,252750,701425,-110793,-65613,-176406,,14761.0,-1587,,,,,-114320,-51286,491040,-129200,595.0,,8950.0,2200.0,6510,-4.0,,-4481,-31583
2015-05-05,1,2015,,-88,-20785,-5596,7235,-1914,,,-603.0,-2542,3764,-1059,-93905,,,-1282,,206731.0,352,,-9457.0,-436,312,-17971,0.0,19528,822,-58669,-80,103440,12794,,724,-521,2471,17696.0,2015年01月01日至2015年03月31日,491040,644240,153200,127657,,63061,62801,,,0,-2697.0,-12242,127657,6696,-89248,-82552,,1171.0,357,,,,,-64856,-104,644240,-1690,-85.0,,,,2935,0.0,,-5018,-9151
2015-08-04,2,2015,,-158,19371,-2803,18106,2364,,,,-4823,7112,-5475,-141286,,,-1282,,170453.0,744,,-9457.0,-665,459,-42683,0.0,-9263,721,-51230,63,16625,25043,,1529,-1278,5472,33386.0,2015年01月01日至2015年06月30日,491040,727441,236401,302616,-1169.0,230728,270181,,,4620,-2638.0,-5477,302616,32329,-98150,-65821,2156.0,1171.0,360,,,,,-32435,4563,727441,-43647,,,,,3421,,,-3861,-12225
