date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票處分,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,預付投資款增加,預付投資款減少,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-04-25,1,2013,27221.0,,-11986,5947.0,,5793,10150,3,21.0,,,,,,,,-1,3425,-53,0.0,-15760,6128.0,,,-485,,-436.0,5535,1262,,-19594,-781,5419,,-248,6567,,-10454,,-128.0,-4533,1174,,11432,0.0,-3175,,1,,,2013年01月01日至2013年03月31日,15140,25304,1196,10164,-32289,,,-35181,-32007,38565,,49931,-32289,,-29495,2556,-26939,,,,,,,7815,282,25304,0.0,2665,,,,,-10783,,3239
2013-08-06,2,2013,39043.0,,-11864,1179.0,,4117,10150,20,21.0,,0.0,,0.0,,,0.0,-98,7284,-64,-518.0,-30787,2418.0,-27.0,,-2550,,-839.0,6005,6562,,-14900,-733,54815,,-248,-28946,8450.0,2665,-819.0,-255.0,-23748,2303,,16634,0.0,-7489,,98,,,2013年01月01日至2013年06月30日,15140,26526,1462,11386,-46858,,,-48134,-39078,27338,,83332,-46858,,-36695,5432,-31263,,,,,,,10379,7780,26526,-1665.0,3629,,,,,3232,,-8715
2013-11-06,3,2013,30417.0,,-9373,469.0,,5802,10150,4096,-922.0,,,,,,0.0,0.0,-113,11063,-35,-518.0,-68180,-25.0,-66.0,,78,,-1072.0,6123,22061,,-15389,-101,70622,,142,-32868,8450.0,-823,,-382.0,-63724,3366,,15620,0.0,-10974,-1680.0,113,5662.0,,2013年01月01日至2013年09月30日,15140,18771,723,3631,-36303,,,-37127,-30248,33426,0.0,104517,-36303,-14888.0,-33940,9578,-24362,,14.0,,-1.0,,,12585,6055,18771,,1984,,,,0.0,-2272,,-12933
2014-03-24,4,2013,36657.0,,-9875,0.0,-2198.0,5740,10150,-14,21.0,7748.0,,-7598.0,-4000.0,,,265.0,-597,13446,-52,-518.0,-137568,,-335.0,,891,,,4737,23643,,-18314,-1301,114790,,2494,-24283,8450.0,6991,,-501.0,-74578,4374,,18458,0.0,-14392,,597,,,2013年01月01日至2013年12月31日,15140,10342,1030,-4798,-43348,,,10408,8578,0,-45570.0,59424,-43348,-17305.0,-27937,43206,15269,,40.0,64212.0,30.0,0.0,0.0,12703,51926,10342,-1680.0,3362,,,-3780.0,0.0,4746,,-426
2014-04-30,1,2014,-26888.0,,4404,0.0,-1085.0,-280,0,5,-8.0,,,,-2000.0,,,,-102,3653,-44,,-35934,,,,-2404,,,859,-4771,,1983,-1333,0,-67084.0,-2742,-12025,,5163,,-120.0,-82487,1001,-14848.0,-21773,,-3750,,102,-4312.0,,2014年01月01日至2014年03月31日,10342,9453,177,-889,27664,,-22511.0,-22511,-18863,172322,,104153,27664,,2649,-22288,-19639,,,7620.0,,,,-2387,-46527,9453,,-5053,,,-48720.0,,4481,,452
2014-08-05,2,2014,-64976.0,-3019.0,3193,323.0,,-16026,-4312,6,-11.0,,,,-2000.0,,,,-120,7456,-3,0.0,-116032,,0.0,,-5704,,,465,-31371,,22403,134,0,-117424.0,-2098,-6272,0.0,30789,0.0,-240.0,-101056,1981,-30857.0,-41888,,-7266,,120,,,2014年01月01日至2014年06月30日,10342,11270,-695,928,63548,,,-38886,-31738,260993,,140873,63548,,23288,-53598,-30310,,,39731.0,,,,-18321,-95286,11270,-2.0,-7685,,,-23220.0,,4462,0.0,-110
2014-11-07,3,2014,-142582.0,-4247.0,133,1367.0,,77,-4312,2,4.0,,,,-2000.0,,,,-522,11502,-41,0.0,-187113,,0.0,,5600,,-285.0,0,-28358,15472.0,2268,463,0,-131963.0,-2560,49132,0.0,22327,,-360.0,-172402,2970,-70846.0,-111669,,-10898,,522,22723.0,,2014年01月01日至2014年09月30日,10342,12359,224,2017,137332,,,-20170,-32494,314001,,194630,137332,-22723.0,222,-27466,-27244,,0.0,50216.0,0.0,,,-19734,-169826,12359,-23.0,-8230,,,-33220.0,,4510,0.0,276
2015-03-19,4,2014,-63381.0,-5898.0,5245,,-1066.0,65,-4312,16,4.0,,,0.0,-2000.0,,,5356.0,-539,18534,-141,0.0,-346007,,0.0,,20292,,-2349.0,0,-37824,15472.0,-3821,-42,0,-176367.0,-2179,68278,0.0,26422,,-481.0,-340334,3843,-70179.0,-72484,,-15347,,539,,,2014年度,10342,9455,684,-887,50459,,,-17262,-26196,524709,0.0,356850,50459,-23765.0,-87,-13187,-13274,,0.0,60908.0,1392.0,,,-20290,-76655,9455,-23.0,3596,0.0,,-55995.0,,4359,0.0,1175
2015-05-11,1,2015,,-833.0,-522,7994.0,0.0,379,500,-10,-289.0,,,,0.0,,,-500.0,-12,5604,-10,,-17906,,-20.0,,-1009,,,1853,1686,,3041,-943,268923,0.0,-501,-7883,,9532,,,-12813,565,-17256.0,-3182,,-5653,,12,0.0,-4956.0,2015年01月01日至2015年03月31日,9455,8718,-862,-737,-48,-9.0,,-22367,-16726,0,-241631.0,34453,-48,,818,-12540,-11722,,,3260.0,,,,-119,-16678,8718,,-5441,,,0.0,,791,,-238
2015-08-10,2,2015,,-2089.0,-1213,31042.0,,426,0,10,-299.0,,,,0.0,400.0,,-500.0,-1064,10212,-23,,-100611,,-820.0,,3176,60.0,,2549,3722,,4230,138,274922,0.0,-94,-14034,,10719,,,-94794,1060,-20052.0,11213,,-9853,,1064,,25818.0,2015年01月01日至2015年06月30日,9455,10479,-841,1024,-32155,-16.0,,-31526,-22456,0,-176568.0,127367,-32155,,2427,-18546,-16119,,,3688.0,,,,-148,9699,10479,-281.0,2710,,,0.0,,972,,-628
