date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,支付之股利,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少
2013-05-09,1,2013,1447.0,2815,-474.0,,-2255,252,216,,,,,-1621,0.0,754,-119430,,,-2350,1,,,32.0,0.0,-35173,1983,-1116,-1800,30,-121748,1687,,,1879,0.0,-24.0,1601,,2013年01月01日至2013年03月31日,837643,674793,-162850,-6580,-41856,-43433,,,0.0,0,-6580,,3934,-42234,-38300,,,,,-36853,,674793,,-499.0,-2778
2013-08-02,2,2013,6086.0,4793,-51.0,-133.0,-388,382,219,,,,,-3247,8.0,1707,-121247,,,-4313,3,,,-92.0,,-19950,-39298,-2358,-14735,444,-125785,3388,,,5934,-8.0,-24.0,3245,,2013年01月01日至2013年06月30日,837643,634317,-203326,-12166,-79248,-82461,,0.0,0.0,0,-12166,,-36481,-39900,-76381,,,,,-70295,,634317,,0.0,-5439
2013-11-08,3,2013,8431.0,-3523,,-133.0,-635,3878,219,,-1067.0,,,-4710,8.0,1750,-124898,,,-5281,-13,,,-183.0,,-10355,-24006,-48,-9181,-145,-130483,4958,,,8185,-8.0,,4868,,2013年01月01日至2013年09月30日,837643,458209,-379434,-9404,-43308,-48144,-207393.0,0.0,0.0,-207393,-9404,,-23699,-23472,-47171,12.0,3.0,,,-38740,,458209,-24.0,0.0,-2308
2014-03-18,4,2013,-1315.0,-878,,-130.0,-1840,2369,218,,621.0,,3.0,-5653,8.0,2659,-124025,,,-5382,23,,-36.0,-268.0,,-28179,9098,-1804,-23793,386,-101605,6097,,-69.0,9330,-8.0,,5743,,2013年01月01日至2013年12月31日,837643,487711,-349932,3195,-43557,-43225,-207393.0,,0.0,-207429,3195,,10844,-55949,-45105,28200.0,-11123.0,0.0,0.0,-46420,2059.0,487711,-6067.0,,-3293
2014-05-08,1,2014,2137.0,6637,10.0,,653,-150,0,,,,,-850,,724,-1306,,-170551.0,-4595,-29,,910.0,3.0,,-30963,3064,1475,6862,-968,-176449,1109,,-236.0,1907,,,637,,2014年01月01日至2014年03月31日,487711,305757,-181954,4853,-7139,-7013,,,,910,4853,,13182,-27185,-14003,,,,,-11866,2156.0,305757,-763.0,,-2543
2014-08-08,2,2014,4288.0,1086,-440.0,0.0,-1493,-568,543,,,-26862.0,,-1440,0.0,-368,-1372,,-170551.0,-4651,-4,,910.0,373.0,,-38323,-5389,-278,4022,260,-203063,2094,,78.0,3638,0.0,-16146.0,1489,,2014年01月01日至2014年06月30日,487711,223498,-264213,5728,-61692,-47035,,,,910,5728,,-2254,-54797,-57051,,,,,-52763,2895.0,223498,,,-19444
2014-11-11,3,2014,6717.0,2226,-261.0,0.0,-3427,395,0,,,-10534.0,,-1785,45.0,-397,-1885,-50000.0,-170551.0,-20979,16,,910.0,0.0,656.0,-40896,-33134,1650,21960,38,-253293,2821,,69.0,5620,-26.0,,1908,,2014年01月01日至2014年09月30日,487711,160195,-327516,-9620,-95341,-81546,-49972.0,70577.0,,21515,-9620,,-27669,-50974,-78643,0.0,0.0,,,-71926,1194.0,160195,-15677.0,,-28457
2015-03-17,4,2014,12007.0,-9213,-1488.0,0.0,1711,-1155,531,,,,0.0,-2198,386.0,-384,-3841,-50000.0,-170551.0,-32989,-31,,910.0,386.0,,-24994,-21882,-1577,23555,251,-256995,3557,,-244.0,8992,-357.0,,2309,,2014年度,487711,171885,-315826,1442,-49385,-35080,-49972.0,40000.0,,-9062,1442,1280.0,-35259,-13270,-48529,0.0,21.0,,,-36522,-1432.0,171885,-16257.0,,-12592
2015-05-06,1,2015,,-1854,1108.0,,-2440,1000,188,,,,,-111,277.0,-23183,-2030,,0.0,-14,1,0.0,,1353.0,,-14566,192,876,-10333,41,-691,874,,313.0,3478,-234.0,,337,6304.0,2015年01月01日至2015年03月31日,171885,120364,-51521,-24273,-36934,-36814,,9287.0,,9287,-24273,1785.0,2598,-21443,-18845,,,,,-12541,2384.0,120364,-223.0,,4246
2015-08-11,2,2015,,-255,1249.0,0.0,-2348,-309,188,,,0.0,,-175,614.0,-20153,-2083,-30700.0,0.0,-1095,15,,0.0,,1232.0,-123545,-4940,1389,-10953,-291,-32576,1818,,207.0,6356,-563.0,,463,12196.0,2015年01月01日至2015年06月30日,171885,40890,-130995,-37706,-155266,-155120,,77000.0,,77000,-37706,3570.0,925,-130535,-129610,70.0,-2.0,,,-117414,5040.0,40890,-46.0,,4958
