date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得待出售非流動資產,取得採用權益法之投資,取得避險之衍生金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票處分,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付款項增加,應付款項減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分避險之衍生金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,除列避險之衍生金融負債,非控制權益變動,非金融資產減損迴轉利益,預付投資款增加,預付投資款減少,預付款項（增加）減少,預收款項增加－處分資產,預收款項減少－處分資產
2013-05-13,1,2013,0.0,15122.0,0.0,-4500,86855,,,-3814,896,-36607.0,42027,11629,,,,,,,,-520,,0.0,-160,12861,,-625,,,,,,11357,,-824.0,,9223.0,-54823,,,-65898,-30619,,-4132.0,,-2100.0,,-599.0,60144,46542,-13041,7275.0,24992,-37267,-12.0,-4156.0,,2561,13138,0,,,-4078,-12962,160,,,2013年01月01日至2013年03月31日,177158,141182,-646,-35976,-57955,,-31967,-19165,,,,1623.0,,-6570,-57955,,130763,-107095,23668,,25749.0,,5341.0,1468.0,-19047,,,,,,,,38790,,141182,0.0,229,,,,-170.0,,,,-42930,,
2013-08-13,2,2013,0.0,44173.0,5382.0,-9000,138587,,,-15000,690,-3598.0,29274,10169,0.0,,,,,,,-1448,,,-419,25892,0.0,-5165,,-9302.0,,,,11357,,-2072.0,,6309.0,-30626,,2994.0,-68571,-71900,,-106739.0,,-4179.0,,-1098.0,108887,32477,-22616,-1173.0,27149,-10266,,-8633.0,,55597,26316,5,,,-1493,-26040,419,,,2013年01月01日至2013年06月30日,177059,120677,-1580,-56382,-66423,,-81720,-51839,,-10206.0,,,-4256.0,-30259,-66423,,53382,-82971,-29589,,25749.0,,29402.0,3050.0,-19047,,,,,8268.0,,,14584,,120677,-4260.0,97,,,,-2442.0,,,,-41303,,
2013-11-13,3,2013,0.0,66490.0,,-13500,179685,0.0,,-4021,781,68378.0,24114,3784,0.0,,,,,0.0,,-295,,,-503,38978,0.0,-8386,,-8645.0,,,,14072,,-2072.0,-22409.0,0.0,-114394,,677.0,-32954,-103180,,-121242.0,,-892.0,,-1599.0,-88466,70284,58966,3156.0,2692,10666,0.0,-20858.0,,97477,38934,-2943,,,-565,-39093,503,8768.0,,2013年01月01日至2013年09月30日,177059,104748,1421,-72311,-136828,,-277922,-242420,127413.0,-10206.0,,,8313.0,108134,-136828,-8768.0,-92617,-79465,-172082,,25782.0,5382.0,29402.0,1769.0,-19053,,,,,8268.0,,,-105592,,104748,-5680.0,205,0.0,,,0.0,,,,-38152,,
2014-03-31,4,2013,0.0,92806.0,,-18000,28623,0.0,101227.0,-9943,996,50512.0,40959,13548,0.0,0.0,,,,,,-164,,,-707,52481,0.0,-12030,,-8645.0,,,,18963,,-2293.0,-25317.0,,-63290,,677.0,-66673,8091,,-132769.0,,-8281.0,,17902.0,-107839,44360,-5532,6798.0,-88689,-12221,0.0,-38082.0,,72490,51594,-1299,,,-1615,-52369,707,10065.0,,2013年01月01日至2013年12月31日,177059,52760,132,-124299,-158539,,-415322,-368401,127413.0,-10206.0,,,111321.0,218533,-158539,-10065.0,-122103,-180565,-302668,,25980.0,4484.0,29402.0,,-19235,,,,1769.0,8268.0,,,-209862,,52760,-5324.0,-511,0.0,,,0.0,,,,-20933,,
2014-03-31,1,2014,,26357.0,,-4500,3459,,-18293.0,13819,0,-13088.0,29639,-16281,,,,,,,,0,317.0,,-62,13705,,-2166,,,,,,0,63.0,0.0,0.0,-2593.0,54581,,,-21981,-38387,2218.0,,,,19500.0,0.0,-12250,-8116,63289,-8033.0,52278,-19359,0.0,-8101.0,,-13453,12027,4573,,,988,-13729,62,,,2014年01月01日至2014年03月31日,52760,95446,-377,42686,-104669,,-10860,2807,41100.0,,,10836.0,,66999,-104669,,-71812,152931,81119,,0.0,3365.0,712.0,,0,,,,0.0,,,,107476,,95446,,76,,,,0.0,,,,8064,,
2014-06-30,2,2014,,5049.0,,-9000,5481,,-43128.0,10393,-3659,-14654.0,17261,-13078,,-4024.0,,,,,,-1299,,,-365,27777,-3.0,-23107,,,,-75000.0,,4777,,-409.0,-1257.0,0.0,102868,,,-7687,-12785,4588.0,,,,19001.0,0.0,-38230,20996,44029,-8926.0,508,24841,,-50935.0,,-35044,13953,5349,,,2573,-27912,365,,,2014年01月01日至2014年06月30日,52760,106123,1140,53363,-128660,,-45902,-18327,80034.0,,,48778.0,0.0,134312,-128660,-8746.0,-104439,209723,105284,,75206.0,4355.0,712.0,,-36434,,,,0.0,0.0,,,110333,,106123,-28.0,374,,,,-68.0,,,,47398,,
2014-09-30,3,2014,,11980.0,488.0,-19108,15017,,43893.0,10556,-3830,-13423.0,-7498,-20125,,-6206.0,,,4579.0,,,-3193,,,-374,42189,-2.0,-16903,,,,-75000.0,,10189,,-1432.0,-23665.0,,49424,,0.0,30227,-5180,-28504.0,,,,18402.0,0.0,92635,45817,8103,-2544.0,-49443,14506,,-61434.0,,-35890,19745,4900,,,-3086,-42430,374,8746.0,,2014年01月01日至2014年09月30日,52760,167813,-2295,115053,-186784,,12295,46102,80034.0,0.0,,0.0,-32972.0,138650,-186784,-8746.0,124973,95933,220906,100000.0,95806.0,,0.0,,-46190,0.0,,,0.0,0.0,,,232886,,167813,-497.0,548,,,,-68.0,,,,79807,,
2014-12-31,4,2014,,-305463.0,,-37489,3302,,24628.0,-1206,-3882,5522.0,43985,-1957,,,-6000.0,,,2786.0,,-3692,,,-808,56847,,-20042,,0.0,,-75000.0,,22904,1276.0,0.0,-13217.0,,29534,,0.0,99683,-7303,-26922.0,,4456.0,0.0,17903.0,,75964,52656,428,-1507.0,-4806,9631,,-80424.0,-285028.0,-5686,24659,5155,,,-7839,-56908,808,8748.0,,2014年度,52760,143612,-6609,90852,25525,,-34282,13685,80034.0,0.0,,0.0,-38078.0,130820,25525,-8748.0,185569,108054,293623,100000.0,101713.0,4355.0,675.0,,-51605,,,,815.0,0.0,,,-11840,,143612,-615.0,541,,,,-68.0,-50592.0,,,76664,,
2015-03-31,1,2015,,,,-1443237,-3655,,-16378.0,1423,638,,8840,-1010,,,,8372.0,-1518.0,0.0,-185.0,-246,0.0,,-162,14876,,-312,,,,,,4071,,,0.0,10609.0,-51920,,,-62417,-33246,1778.0,,,-3156.0,0.0,-20599.0,-42172,35053,45153,1747.0,17843,29372,,,,18423,4150,0,,,104,-14682,162,,18721.0,2015年01月01日至2015年03月31日,143612,91720,-1841,-51892,-68506,-6784.0,-127289,-112769,0.0,,,70068.0,,56974,-68506,,-118981,55997,-62984,1454083.0,,0.0,0.0,,-2606,,,,,,,,-44263,,91720,,129,,,,,,,,14269,,
2015-06-30,2,2015,,,,-1465689,4787,,33223.0,8112,946,,43346,-8428,,0.0,0.0,6520.0,,624.0,,-4136,,,-690,38064,241.0,-933,,,,0.0,,7033,,0.0,0.0,11650.0,54135,,,-81532,-91221,7341.0,,,-1202.0,0.0,-599.0,-38296,49240,-23903,1149.0,-7260,15168,,,,19170,7974,100,,,-2213,-39090,690,,27511.0,2015年01月01日至2015年06月30日,143612,102617,-2032,-40995,-193295,-25404.0,-257285,-218828,0.0,,,194398.0,,196879,-193295,-12337.0,-98516,45472,-53044,1469347.0,5433.0,636.0,0.0,,-8818,,,,,,,,-25533,,102617,-57.0,530,,,,0.0,,,,5453,,
