date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損迴轉利益,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預收款項增加－處分資產
2013-05-02,1,2013,,72621.0,,,-29922,,-7106,-1294,6815,2141,-40,,,,0.0,,,-9547,3267,20692,-36737,,0.0,-44456.0,-6663,436,,,,-6,-2722,0.0,44133,,,12140,-12449,1677,42192,-44864,33640,-60244.0,259.0,-135329,40672,0.0,863,3594,-1594,9139,,2013年01月01日至2013年03月31日,1929593,1822063,-107530,-40840,,-3877,-11907,,,865014.0,-854024.0,10984,-40840,10289,-21520,-22168,-43688,4377,-91,25340.0,,28933,,1822063,485,-2202,,,,,,-30766,-49128,
2013-08-09,2,2013,,92301.0,,-24693.0,42605,,-8430,-444,10901,2347,-60,,,,0.0,,,-16831,6447,34119,-158613,0.0,0.0,-80126.0,-11969,-9785,,99042.0,,-2,-3275,0.0,79960,,,133534,-15805,-102216,-99954,-6262,-2027,-1789.0,550.0,-240679,89435,0.0,6352,7879,-2333,16526,,2013年01月01日至2013年06月30日,1929593,1756119,-173474,-16455,,82015,79826,,,,-31560.0,-48929,-16455,-10321,69509,-65529,3980,9592,-388,17472.0,,96281,,1756119,-12004,2041,,7326.0,,,,-28930,-95330,
2013-11-12,3,2013,,171750.0,-244776.0,-36208.0,47343,,-18454,-16,-5238,3909,-30,,,,-286.0,0.0,,-24765,9614,25227,-250195,0.0,0.0,-80126.0,-14170,-15444,0.0,99042.0,,13,-2887,,-41876,,,199379,-10411,-197255,53961,-31009,21895,,845.0,-466571,153489,0.0,6151,14301,-4509,23834,,2013年01月01日至2013年09月30日,1929593,1482335,-447258,3282,,154472,148102,-95000.0,,208436.0,,-160386,3282,-3444,34633,-61563,-26930,19285,9099,17472.0,,144820,,1482335,-12955,13922,-8645.0,7149.0,,,0.0,-49687,-237520,
2014-03-11,4,2013,208.0,430231.0,-244776.0,-50747.0,34358,,13122,-1713,-2853,6245,-53,-1317.0,,,,,,-32389,13975,42543,-410237,0.0,0.0,-80126.0,-15378,-6828,0.0,99042.0,13.0,0,-3167,0.0,51720,,0.0,-78653,-12592,-205700,143377,-4764,33312,,986.0,-606621,212224,0.0,6417,20665,-6176,29839,,2013年01月01日至2013年12月31日,1929593,1861646,-67947,-231182,,161441,165603,-95000.0,995000.0,0.0,-276949.0,334690,-231182,-2413,-264507,231061,-33446,26410,32830,17472.0,,396785,,1861646,-27825,8929,,7149.0,159390.0,-249.0,,-8921,-223165,
2014-05-06,1,2014,,53382.0,,-4421.0,-34545,366.0,-19847,1455,6746,-5368,0,531.0,,,,,,-7900,5523,3238,-78830,,,0.0,-8822,1,,,658.0,-72,-5390,2997.0,68463,,,-9620,-2353,-4911,-10476,-4198,-1875,0.0,128.0,-120774,53273,,299,8186,-567,12576,,2014年01月01日至2014年03月31日,1861646,1932982,71336,6391,,67502,57208,,,244620.0,-119415.0,121370,6391,3778,-44189,41624,-2565,0,544,0.0,,50817,,1932982,-1715,-10322,,,,,,12939,-30729,
2014-08-05,2,2014,,120926.0,,-6921.0,-36702,,-5339,538,7734,-3779,43,632.0,,,,,,-16994,9080,-9996,-215377,,,0.0,-10517,2462,,0.0,718.0,-147,-6767,4203.0,-26774,,,237457,323,-9468,-152868,-2007,-235,0.0,322.0,-334170,109779,,590,16433,-991,21701,,2014年01月01日至2014年06月30日,1861646,1730312,-131334,-5198,,128973,119137,,,477975.0,-388215.0,83859,-5198,6127,199709,-196300,3409,727,115,0.0,,124335,,1730312,-10874,-6666,,449.0,,,,-6468,-106439,
2014-11-04,3,2014,,204683.0,-168880.0,-10254.0,-12393,,-16825,1660,12711,-5650,22,712.0,-357715.0,,,,,-24575,12355,7272,-397606,-120008.0,,0.0,-10527,6906,,0.0,724.0,-162,-7842,6144.0,-2090,,,242613,1329,-11153,-224501,918,-4158,,521.0,-942127,169193,,1552,24868,-2051,28810,,2014年01月01日至2014年09月30日,1861646,1335554,-526092,1211,,167615,167542,-55000.0,,1075080.0,-665325.0,241148,1211,8775,233650,-272002,-38352,9358,-1405,-899.0,,166331,,1335554,-26686,7913,,64965.0,,0.0,,-22068,-63931,
2015-03-10,4,2014,0.0,344081.0,-168880.0,-10254.0,-32262,,-28321,1605,28576,-2719,-44,810.0,-369170.0,,,,,-32110,15976,57109,-518139,-120008.0,,0.0,-10801,33310,,0.0,736.0,-195,-13658,7988.0,135551,-2937.0,-50166.0,-26027,-3383,-12400,-192391,19900,-3975,,783.0,-1048040,232140,,2954,32589,-3912,36698,,2014年度,1861646,1283774,-577872,-62333,,176441,172204,-55000.0,0.0,1536100.0,-1083625.0,236618,-62333,11016,-44757,-64787,-109544,25919,-3943,-733.0,,234537,,1283774,-28549,9103,,67902.0,43779.0,0.0,,4753,-47234,
2015-04-28,1,2015,,,-1200.0,0.0,12095,9.0,1359,-428,11573,1195,36,322.0,3480.0,,,,,-8354,3771,-12515,-105648,,,,-47,-11733,,,12.0,-3,-1377,2610.0,-59395,,,197072,-115,-3,-218097,17715,7065,,,-111358,58493,,1261,5432,-1763,8575,48465.0,2015年01月01日至2015年03月31日,1283774,1204004,-79770,8198,115.0,61309,50900,,,390770.0,-406785.0,-17206,8198,1548,220782,-226545,-5763,11482,-32,,,42702,34.0,1204004,3597,-1955,,,,,,23719,-21858,
2015-08-10,2,2015,,,-1200.0,0.0,41545,,-3048,-300,64231,497,62,-9035.0,,369170.0,,,,-16032,7390,-14839,-197033,,,,-442,-16612,,,21.0,-598,-3398,3904.0,-23103,,,280345,-381,1995,-298354,22571,-1574,,,143922,116559,,2680,10596,-3577,16463,112783.0,2015年01月01日至2015年06月30日,1283774,1663783,380009,108,287.0,186777,174797,,,1061984.0,-1030584.0,64149,108,9815,388084,-326178,61906,22408,335,,,174689,34.0,1663783,-906,1275,,34526.0,,-3257.0,,-13832,-50687,
