date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,非金融資產減損損失,預付設備款增加
2013-08-09,2,2013,100892.0,-8117,-4980.0,-24242,1011.0,556,0.0,-2888,8941,,3539,,,-8720.0,-14720,-370,12081,559,-12705,-1606,2948,,0.0,37214,,-8584,3764,,-2752,95649,-2200,3051,3.0,-609.0,-71970,76752,0.0,8668,-12424,362,,2013年01月01日至2013年06月30日,90955,259973,,169018,27719,,213841,237525,,,,31568.0,26588,35836,,-34300,143214,108914,,719,-484,0.0,0.0,209806,256434,-11622,,1297,-34938
2013-11-22,3,2013,147469.0,-8474,-11223.0,-34458,391.0,-316,,4023,-2018,,2571,,,-18279.0,-15785,-582,18406,2807,-14813,-1606,3782,,0.0,26721,,18758,2161,,-2633,59987,-4270,9544,3.0,-2280.0,-101167,113279,0.0,13195,-18554,561,,2013年01月01日至2013年09月30日,90955,262869,-995.0,171914,60194,,252267,283276,,-45816.0,118982.0,-43936.0,18007,68668,,-14038,89651,75613,,1811,-484,0.0,0.0,223082,260298,-13016,,868,-52495
2014-03-11,4,2013,188477.0,-9239,-16180.0,2747,-257.0,-5122,,-6342,-3237,,2348,,,3268.0,-21943,-895,22644,1966,-57597,-1606,4199,,0.0,-62,,29835,-1125,,-5620,16505,-634,9953,-260.0,-3015.0,-107113,149025,0.0,17871,-23293,886,,2013年01月01日至2013年12月31日,90955,215733,-5097.0,124778,104587,,291149,326430,,-45816.0,119220.0,-118448.0,-61224,113826,,16223,17143,33366,0.0,1812,-567,0.0,0.0,221843,213385,-12874,,1297,-31047
2014-05-07,1,2014,57228.0,-48,0.0,-21151,-193.0,3662,,4851,-3308,,2077,,,-5325.0,-6852,-384,5724,2303,-16248,-3277,1733,,,-54560,,51623,-3343,,2717,30624,291,-7898,263.0,-785.0,-48456,37123,,3968,-5323,372,,2014年01月01日至2014年03月31日,215733,317894,674.0,102161,48309,,102909,108330,,,45405.0,0.0,45405,48357,,33719,-30926,2793,,154,-28,,,60021,315817,-470,,8418,-16908
2014-08-08,2,2014,131672.0,-5551,-269836.0,-6334,-480.0,1542,,4363,-6302,-2603.0,1774,-3072.0,,-8761.0,-20566,-940,10986,1592,-10161,-3857,4027,,,-96917,,78469,-8211,,-224,-28716,649,-5156,143.0,-1589.0,-113487,74221,,8515,-11189,896,,2014年01月01日至2014年06月30日,215733,240115,4390.0,24382,60313,,109355,120619,258883.0,,40947.0,,26922,65864,4210.0,63391,-134757,-71366,,156,-28,,,60306,238341,-971,,26291,-70298
2014-11-07,3,2014,190924.0,-6805,-269836.0,-498,-129.0,4716,,6086,-15152,,2909,-3072.0,-5197.0,,-14191,-1177,14825,6002,-35772,-3857,2117,,,-130397,,67680,1984,,-454,-75350,-223,8420,-105.0,-2401.0,-232693,111076,,13693,-16134,1096,,2014年01月01日至2014年09月30日,215733,99408,1839.0,-116325,94274,,132833,149375,258883.0,-51543.0,43101.0,,-22467,101079,4210.0,72268,-208091,-135823,,1003,1196,,,55101,96499,-1504,,43145,-174679
2015-03-24,4,2014,246907.0,-7418,-320450.0,34838,125.0,7143,,11641,-5023,,2766,-3072.0,,4731.0,-45987,-1435,19151,11870,-250346,-4297,1574,-1.0,,-152413,,108506,5216,,792,-146815,173,8780,263.0,-3232.0,-341362,149755,,19269,-21271,1457,,2014年度,215733,169051,-3379.0,-46682,140177,,232772,257078,258883.0,-51543.0,142692.0,,50038,147595,4210.0,157886,-287892,-130006,,1356,1444,,,116901,166285,-4492,23528.0,56318,-46818
2015-05-08,1,2015,,-10,,-25400,-627.0,1322,,3699,-832,,2729,,-4540.0,,-8538,-163,4366,-2780,-9280,-600,2019,-1700.0,,-71047,,-43085,9045,,-1505,77659,111,-17044,0.0,,-24579,41334,,5911,-4608,133,71379.0,2015年01月01日至2015年03月31日,169051,236063,5976.0,67012,19749,-863.0,18121,22561,,,76250.0,,76250,19759,,-58736,-9831,-68567,,79,206,,,2812,233334,35,,11730,0
2015-08-07,2,2015,,-323,-92377.0,-15892,,2027,,-11263,-187,0.0,2967,0.0,219.0,0.0,-15650,-427,9385,-5672,-37851,-1154,-1735,-1700.0,,-27329,,-94166,1186,10000.0,-1922,12501,99,-24257,,,-56057,82441,,12048,-10233,368,124613.0,2015年01月01日至2015年06月30日,169051,123043,-586.0,-46008,65202,-1754.0,-5892,28858,0.0,,0.0,-107010.0,21613,65525,0.0,-123811,-37146,-160957,211000.0,79,308,,,-36344,120076,-24885,,23179,0
2015-11-06,3,2015,,-329,-95906.0,-6153,,1180,,4728,2598,,3082,0.0,,3964.0,-24048,-617,13610,11336,-77497,-1154,2017,-1700.0,,-55778,,-63583,9048,,-1987,39958,468,-33920,0.0,,-99893,122917,,18648,-14262,523,176447.0,2015年01月01日至2015年09月30日,169051,173693,-12901.0,4642,130331,-2703.0,150915,200634,0.0,-51543.0,-121267.0,,-57716,130660,0.0,-60650,-45494,-106144,211000.0,542,177,,,70303,170611,-35980,,32596,0
2016-03-18,4,2015,,-340,-740430.0,16451,,862,,-888,-2036,,0,0.0,,16727.0,-25320,-946,19052,5356,-88322,-1155,-3931,,,-55197,,-56820,7345,,-3073,9024,234,-28915,0.0,,-97485,162829,,25440,-18014,939,253463.0,2015年度,169051,233021,-491.0,63970,192403,-3645.0,275562,329208,0.0,-51543.0,-161029.0,,-119463,192743,0.0,-40630,-76028,-116658,833539.0,585,1366,,,136805,233021,-36571,0.0,50144,0
2016-05-06,1,2016,,0,-44250.0,-28147,,-281,,10554,-3874,,2994,,0.0,,-3906,-626,3491,-6665,-39133,0,1561,,,-45770,,1229,6729,,1078,-23399,100,3124,,,-45054,38268,,7061,-3157,636,62370.0,2016年01月01日至2016年03月31日,233021,264553,4870.0,31532,61670,-930.0,39798,44453,,,10457.0,,43453,61670,,-9487,-70100,-79587,77246.0,454,-298,,,-17217,261559,-2134,,8043,-2469
2016-08-08,2,2016,,-59,-46833.0,-12827,,-40,,12366,-4157,,2944,,-4670.0,,-12287,-1130,6685,-5652,-91070,0,2150,,,-50321,,18141,4337,0.0,308,-17906,11,868,,,-115901,73577,,13783,-7254,1140,113943.0,2016年01月01日至2016年06月30日,233021,299324,1520.0,66303,119466,-1857.0,146772,182332,,,10457.0,0.0,41084,119525,,20468,-71545,-51077,77460.0,454,-281,,,62866,296380,-29446,,17639,-8328
2016-11-07,3,2016,,-61,-49415.0,15883,,-557,,14030,-8435,,0,,,-207.0,-22269,-1682,10099,-15718,-140431,-1443,1144,,,-65292,-147339.0,67712,15567,,975,-136752,17,21601,,,-330687,107789,,20608,-10970,1692,164549.0,2016年01月01日至2016年09月30日,233021,243748,3647.0,10727,168635,-2826.0,205401,255107,,-103086.0,101260.0,,151731,168696,,111341,-189418,-78077,204064.0,1122,367,,,86472,243748,-40428,-1092.0,22577,-20120
