date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產減少,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,存入保證金增加,存入保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加－處分資產
2013-05-13,1,2013,23797.0,19562,-7086,12976,-1347,,,,,-1307.0,,3310,,-33175,,-1529,-56,-130400.0,-473.0,,-46124,-23822,-146500.0,,39057,-4971,4996,-4160.0,-12459,21205,78,-3308.0,,,,,2013年01月01日至2013年03月31日,63417,38601,-24816,-44727,,-33976,-33976,171900.0,,21619,-44727,,43151,-56197,-13046,,,555,,,,,154050.0,10751,-462,38601,,-44.0,,,,-1665,-1349,,
2013-08-13,2,2013,47366.0,40871,-3075,6729,-2661,,0.0,-75.0,,,-29.0,6756,,-60975,,-3873,-56,-213400.0,,-499.0,-76969,-12312,0.0,-291500.0,25309,843,324,-8372.0,-22520,39887,161,-6749.0,,29.0,333.0,,2013年01月01日至2013年06月30日,63417,36740,-26677,-52371,,-33409,-33823,328000.0,,29252,-52371,-333.0,51416,-80234,-28818,,890.0,1038,,,,-56.0,259468.0,18548,-809,36740,52.0,-58.0,,,,1304,-4499,,
2013-11-08,3,2013,45713.0,63204,-6007,12960,-3409,,,-91.0,,,-29.0,10272,,-77095,,-4269,-1758,-293400.0,-1281.0,,-93374,-29336,-41500.0,,-877,28158,15,-12551.0,-37059,58022,244,-10476.0,,29.0,24484.0,,2013年01月01日至2013年09月30日,63417,21184,-42233,-89399,,-58797,-83363,106880.0,,53623,-89399,-24484.0,32751,-72428,-39677,0.0,1471.0,1851,,,,-93.0,339480.0,6036,-649,21184,53.0,-70.0,,,,2189,-1397,,
2014-03-19,4,2013,69599.0,-3867,-4850,19449,-3652,,,-91.0,,,-55.0,14205,,-95034,,-7594,-2486,-343800.0,-1367.0,,-21973,-76565,-21500.0,,-2982,29583,15,-20192.0,-64033,76906,390,-14252.0,,55.0,24484.0,,2013年01月01日至2013年12月31日,63417,62921,-496,-171289,,-207474,-232062,308130.0,,271011,-171289,-24484.0,-85038,-45334,-130372,0.0,4681.0,3020,,,,-303.0,389890.0,-60773,-881,62921,49.0,-80.0,,,,-44457,-9599,,
2014-05-06,1,2014,25301.0,89781,-3975,7602,-628,,,-18.0,,,,4280,,-18770,,-10379,-86,0.0,1405.0,,-106747,13764,80000.0,,2252,953,2571,-4035.0,-35893,20426,158,-4186.0,,,,,2014年01月01日至2014年03月31日,62921,52950,-9971,-119569,,-82947,-82947,31650.0,,108869,-119569,,109276,-97955,11321,,,437,,,,,0.0,36622,-88,52950,,0.0,,,,9871,-6640,,
2014-08-12,2,2014,50599.0,43620,2951,14699,-962,,,-18.0,,,-34.0,9072,,-33053,,-10429,-86,0.0,1419.0,,-69480,15273,91500.0,,1287,-2909,57,-8296.0,-63367,41366,318,-8977.0,,34.0,569.0,,2014年01月01日至2014年06月30日,62921,58505,-4416,-147430,,-92561,-93190,67570.0,,151512,-147430,-569.0,65925,-62284,3641,,0.0,446,,,,0.0,0.0,54240,-658,58505,26.0,0.0,,,,8059,-19781,,
2014-11-07,3,2014,48755.0,138628,2012,29271,-1306,,,-20.0,,,-40.0,13728,,-91837,,-10694,-86,0.0,1487.0,,-77909,-1208,85000.0,,9016,-2864,10000,-20624.0,-86373,62278,479,-13656.0,,40.0,24703.0,,2014年01月01日至2014年09月30日,62921,71791,8870,-212254,,-26658,-51427,49070.0,,121901,-212254,-24703.0,154178,-42106,112072,,7644.0,880,,,,-3867.0,0.0,160827,-905,71791,26.0,0.0,,,,27961,8620,,
2015-03-09,4,2014,250382.0,-4258,7657,-26367,-750,,,7992.0,,,-76.0,18710,,-104236,,-10565,-104,0.0,1465.0,,47177,-82427,209000.0,,-5776,23470,10000,-49337.0,-88892,83101,638,-18621.0,,76.0,24703.0,,2014年度,62921,20879,-42042,-445333,,-223564,-248386,78570.0,,270414,-445333,-24703.0,-173619,120184,-53435,500.0,7928.0,3187,,,111.0,-3887.0,0.0,196947,-5454,20879,43.0,0.0,,173301.0,,32630,9593,,
2015-05-12,1,2015,,11800,1136,47173,2130,,,-62.0,,,,5385,,-4576,-3478.0,-81,0,,68.0,,19657,-13162,-27000.0,,277,4963,0,,-7941,6200,160,-5320.0,,,,7014.0,2015年01月01日至2015年03月31日,20879,26900,6021,-46874,-1687.0,46214,46213,0.0,,-32252,-46874,,43762,42311,86073,,,241,250.0,456.0,,,,93087,-639,26900,1.0,,,,-5428.0,14425,6,,
2015-08-10,2,2015,,41607,722,-5356,2279,,,-66.0,,,-30.0,10794,,-6487,-4649.0,-664,0,,61.0,,63221,-14094,-117000.0,,423,10425,-1195,,113880,12421,320,-10571.0,,30.0,333.0,19151.0,2015年01月01日至2015年06月30日,20879,22593,1714,-113421,-3239.0,15344,14985,0.0,,-127510,-113421,-333.0,18281,90974,109255,,564.0,241,1251.0,1247.0,,-41.0,,128406,-1060,22593,-4.0,,,,-5468.0,15522,6,,123925.0
2015-11-11,3,2015,,58988,625,-7948,2203,,,-88.0,,,-30.0,16013,0.0,-8734,-4649.0,-2433,0,,416.0,,97235,-15937,-202000.0,,1117,18262,-566,,112116,18602,480,,0.0,30.0,61069.0,-29538.0,2015年01月01日至2015年09月30日,20879,23994,3115,-117016,-4667.0,78304,17204,30000.0,,-187305,-117016,-61089.0,30094,133664,163758,660.0,2294.0,875,1251.0,1247.0,,-168.0,,134220,-1459,23994,1.0,,0.0,,-5468.0,15905,6,,123809.0
2016-03-18,4,2015,,-6197,387,-9928,2541,,,-87.0,,,-46.0,21190,,-10724,-4649.0,-3651,0,,1556.0,,100200,-13828,,-50000.0,988,17345,-281,,103527,24775,612,-21113.0,,46.0,61089.0,-16738.0,2015年度,20879,20279,-600,-158781,-11969.0,-22570,-83708,,-12000.0,-81557,-158781,-61089.0,-42503,134314,91811,1210.0,2294.0,5462,125060.0,-2005.0,0.0,-169.0,,75073,-1569,20279,3.0,,,-5468.0,,14122,-5926,,
2016-04-27,1,2016,,28163,-172,-399,362,,,91.0,,,,5554,0.0,-656,0.0,-1241,-72,,69.0,,3479,-2772,26000.0,,-44,-399,-123,,-10,6314,88,-5455.0,,,,16622.0,2016年01月01日至2016年03月31日,20279,18724,-1555,-56459,-8568.0,-22159,-22160,,,20614,-56459,,16320,1357,17677,386.0,1000.0,-386,0.0,0.0,,-76.0,,34299,-60,18724,1.0,,,,5128.0,-1790,-1968,0.0,2450.0
2016-08-10,2,2016,,57464,-334,-1617,534,,,111.0,,,-9.0,11042,,-5456,0.0,-1285,-72,,34.0,,12865,-4767,114000.0,,-43,-18,-592,,-4662,12148,171,-10964.0,,9.0,390.0,33223.0,2016年01月01日至2016年06月30日,20279,12280,-7999,-126724,-9103.0,-39407,-39808,3337000.0,-3404000.0,36070,-126724,-390.0,41858,11835,53693,6196.0,1000.0,10337,0.0,0.0,,-76.0,,86916,-76,12280,2.0,,,,0.0,-620,-5156,,0.0
2016-11-10,3,2016,,86184,-597,-2989,497,0.0,,0.0,95.0,,-9.0,16225,0.0,-17878,0.0,-1598,-72,,243.0,,16689,-2806,104000.0,0.0,-238,95,-105,,-7016,17748,254,,0.0,9.0,37232.0,8121.0,2016年01月01日至2016年09月30日,20279,11118,-9161,-138195,-9375.0,-3891,-41134,4978000.0,-5064000.0,1746,-138195,-37232.0,70712,18228,88940,6365.0,1140.0,11222,0.0,0.0,,-87.0,,97061,-64,11118,2.0,,0.0,,0.0,1649,0,4932.0,0.0
