date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產（增加）減少,利息收入,利息費用,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付票據增加（減少）,應收帳款（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-08,1,2013,6809.0,,0,-16810,303,-93,18,-26,397,-258344,,-223994.0,0.0,1039.0,,-90,,-265632,6831,,0.0,-259,6145,-16.0,90,-57.0,-478828,6345,93,-392,26,,,2013年01月01日至2013年03月31日,621545,750087,128542,125546,,-162654,-162647,,592530,-8506,770024,125546,,-22935,-272067,-295002,185353,,,,,,-288193,750087,-7,,-12579,3574.0,,-12943
2013-08-13,2,2013,15492.0,,-29357,4946,1754,-2543,-2057,-565,2221,-646629,0.0,-291505.0,-325.0,6317.0,,839,,-535436,91103,,7178.0,-25770,-4055,0.0,180,-114.0,-934109,16503,187,570,565,2679.0,,2013年01月01日至2013年06月30日,621545,624549,3004,195286,,-202093,-149059,,606930,-136754,1139206,195286,-2679.0,152029,-511866,-359837,691500,267.0,0.0,-175.0,,0.0,-344345,624549,-53034,,32045,,0.0,72932
2013-11-13,3,2013,18615.0,,-1514079,20793,8735,2415,4204,-589,7866,-833287,0.0,-291505.0,-358.0,1266.0,,-305,,-50988,-20292,,10755.0,-26727,992,,180,-170.0,-1097709,29818,299,-7392,589,2712.0,,2013年01月01日至2013年09月30日,621545,636659,15114,741712,,781983,858559,-113492.0,808370,-722333,330840,741712,-2712.0,96723,1509,98232,1878500,24445.0,0.0,-16067.0,,0.0,116847,636659,-76576,,44706,,,103629
2014-03-05,4,2013,35915.0,248.0,-1522582,15740,13301,5687,853,-1113,11469,-987842,-5009.0,-291504.0,-605.0,66.0,,-426,,45637,50255,,15408.0,-31392,-2247,,180,303.0,-1253294,43929,409,-10032,1113,2712.0,,2013年01月01日至2013年12月31日,621545,625764,4219,844840,,829542,906178,-113492.0,826370,-719859,427971,844840,-2712.0,155212,-129789,25423,1967500,24445.0,0.0,-16067.0,,0.0,61338,625764,-76636,0.0,-179899,,3574.0,91597
2014-05-07,1,2014,20634.0,,-7303,-8530,-374,-1223,4173,-27,3941,-85212,,0.0,,0.0,-99.0,0,989.0,-190258,-19469,-14186.0,,361,4293,0.0,0,-66.0,-84196,16610,110,-3456,27,,,2014年01月01日至2014年03月31日,625764,881441,255677,175481,,108492,108495,,344200,-285561,231381,175481,,-73466,-14154,-87620,183600,,,,,,-66986,881441,-3,,168861,,0.0,-31202
2014-08-13,2,2014,45428.0,,-166943,8441,6797,-1550,-3956,-617,15712,-501287,-5015.0,0.0,-211.0,-80.0,,104,,233942,-52573,-10256.0,,5225,-4203,,0,-123.0,-497588,33315,213,-16339,617,3105.0,,2014年01月01日至2014年06月30日,625764,1034254,408490,683523,,1025472,1097306,,593600,-812266,-119394,683523,-3105.0,-81606,449961,368355,282634,0.0,5099.0,0.0,,-90.0,413783,1034254,-71834,,225728,,,-39117
2014-11-12,3,2014,71660.0,,-181424,17738,6482,-669,-3761,-627,24119,-783505,-5015.0,0.0,-567.0,-20.0,,492,,666062,-62507,-13060.0,,15491,-5120,,-912,-184.0,-779764,50701,662,-23538,627,3105.0,,2014年01月01日至2014年09月30日,625764,509231,-116533,958701,,462346,592928,-121585.0,1724100,-1722282,200885,958701,-3105.0,57836,-495269,-437433,525634,0.0,5099.0,0.0,,-90.0,-365773,509231,-130582,,-1150869,,,93876
2015-03-11,4,2014,106253.0,99.0,-541592,26321,25458,-8472,-16276,-1254,41004,-548055,-27829.0,-82850.0,-240.0,1550.0,,315,,-2757980,-26200,-15408.0,,8685,2224,,-7376,346.0,-627172,71440,392,-35814,1254,3226.0,,2014年度,625764,550227,-75537,1087878,,-1311622,-1178901,-121585.0,3856500,-2204835,1863257,1087878,-3226.0,262490,-2635522,-2373032,909033,1232.0,25676.0,-1232.0,,-871.0,-2266779,550227,-132721,,152358,,0.0,243288
2015-05-13,1,2015,,,-53262,-18804,-5305,6798,-18965,-22,17637,-66285,-10033.0,,-27.0,,-1570.0,-199,0.0,250661,10691,0.0,,-15436,467,,236,,-71352,21755,68,-17945,22,,39301.0,2015年01月01日至2015年03月31日,550227,750978,200751,487771,48.0,528440,547839,,3500,-276060,-256337,487771,,-285078,305845,20767,89000,,5170.0,,,-137.0,60068,750978,-19399,,66648,,,-256272
2015-08-12,2,2015,,,-86618,-11929,-1838,5915,-680,-581,32568,-183454,-22033.0,,-26.0,,-1760.0,-549,,108318,9873,0.0,,4284,2185,,7376,,-194181,42721,136,-32666,581,2994.0,71577.0,2015年01月01日至2015年06月30日,550227,827797,277570,581062,96.0,568621,648989,,581500,-719126,-96870,581062,-2994.0,-187844,184194,-3650,161800,,8306.0,,,-273.0,67927,827797,-80368,,61080,,,-188330
