date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應收款（增加）減少,其他應收款－關係人增加,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得子公司股權,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,子公司發行特別股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-14,1,2013,,173016.0,-444513,36775,,7138,,4298,-36363.0,,-85209,819,-394,9799,22928,-79242,,-744,,10343,,,,,592,-49361,,-112036,,-23.0,-63367,-1938,-87.0,-164028,142391,0.0,-2145,13003,-8584.0,394,252.0,,2013年01月01日至2013年03月31日,849813,594004,-7338,-255809,88877,,-169,17362,,12224.0,-114540,88877,,-252.0,-70963,-173568,-244531,317772.0,323,,-237,0.0,,-71515,,594004,-9341,0.0,,,7027,0.0,-29590
2013-08-01,2,2013,,327473.0,-457283,17055,,17301,,-1004,4839.0,,-176834,1620,-678,17230,26039,-103215,,-1862,,13721,,,-10.0,,371,-3682,0.0,-5275,0.0,-44.0,-29243,11838,0.0,-272816,284823,-50000.0,-9635,27131,-16458.0,678,400.0,,2013年01月01日至2013年06月30日,849813,857549,-3528,7736,249363,,631480,694348,,10370.0,-376967,249363,,-400.0,192231,-74719,117512,70000.0,8324,,-3271,,,444985,,857549,-47088,-6.0,181455.0,0.0,5524,-5058.0,-25772
2013-11-13,3,2013,,484970.0,-485980,92136,0.0,-4491,0.0,1407,-35242.0,,-212304,2448,-846,23026,22207,-151230,,-3870,,-4867,,,115.0,,545,-8147,0.0,91649,0.0,-64.0,-206059,12156,0.0,-356327,433715,56.0,-14315,40102,-23355.0,846,636.0,,2013年01月01日至2013年09月30日,849813,999754,-617,149941,476321,,1027645,1115574,-153284.0,-2091.0,-543584,476321,,-636.0,420849,-266566,154283,70000.0,9896,0.0,-653,,9278.0,639253,,999754,-65420,-56.0,235657.0,27720.0,5081,-6690.0,-24839
2014-03-27,4,2013,0.0,659269.0,-650714,143349,0.0,1043,0.0,-2322,-43477.0,,-195951,3134,-1422,27876,22249,-214195,,-9294,,-6386,,,143.0,,309,-25583,0.0,171884,0.0,-86.0,-129961,7237,0.0,-380073,574632,-249944.0,-17106,51240,-65533.0,-28313,759.0,,2013年01月01日至2013年12月31日,849813,1087880,-8001,238067,678592,,1303145,1395573,-153284.0,-501.0,-707254,678592,34428.0,-759.0,526328,-468616,57712,70000.0,21384,16915.0,-12704,,17806.0,716981,,1087880,1418,-114.0,213417.0,27188.0,819,-4174.0,-27931
2014-05-14,1,2014,,146068.0,-459221,13317,,-5946,,121,-33472.0,,-52944,623,-218,3841,7133,-9709,,-7547,,-661,,,,,42,-25712,,-9968,,-23.0,-107550,320,0.0,-69952,145738,150217.0,-2290,10267,-4478.0,251,192.0,,2014年01月01日至2014年03月31日,1087880,993790,-1798,-94090,258191,,395692,399919,,19968.0,-426963,258191,,-192.0,-9604,5264,-4340,12313.0,14,,138,,,141728,,993790,0,-308.0,-13074.0,,-9072,,27407
2014-08-13,2,2014,,306841.0,-447660,65005,,20911,,16208,2288.0,,-206041,1294,-1825,6114,-2570,-48952,,-7547,,1651,,,0.0,,42,-75663,,169319,,-37.0,-253700,1507,,-260161,289722,220379.0,-6267,20849,-6813.0,1921,192.0,,2014年01月01日至2014年06月30日,1087880,1407767,-2717,319887,573019,,959571,1032811,,33749.0,-376953,573019,,-192.0,224384,-71433,152951,36995.0,2145,,2965,,,459792,,1407767,-68348,-406.0,-26148.0,,-4347,0.0,12845
2014-11-11,3,2014,,461691.0,-458767,72483,,-12352,,12951,-4370.0,,-380151,1975,-3201,8692,2948,-109476,,-8003,,1321,,,0.0,,191,-51564,,2976,,-37.0,-162250,1446,-84.0,-494283,418718,250473.0,-11907,31734,-9327.0,3490,192.0,,2014年01月01日至2014年09月30日,1087880,1293553,-13322,205673,915010,,1366557,1480742,-344890.0,15626.0,-669549,915010,23676.0,-192.0,49188,54853,104041,118375.0,2964,,6690,,0.0,565732,,1293553,-108348,-415.0,-39222.0,144.0,-3416,1338.0,33554
2015-03-17,4,2014,,563865.0,-853314,117811,,-14827,,12049,884.0,,-388763,-49687,-4128,11394,20913,-309627,,-8098,,3758,,,1347.0,,-76,-80442,,-8991,,-37.0,-40721,-238,-8.0,-699992,541881,250473.0,-14179,48375,-115100.0,-12096,192.0,,2014年度,1087880,1180601,-13206,92721,1192251,,1917919,2040696,-344890.0,-8590.0,-1146119,1192251,23548.0,-192.0,120869,163711,284580,49505.0,6380,0.0,21133,,0.0,848445,,1180601,4419,-415.0,0.0,9860.0,-4417,0.0,48590
2015-05-12,1,2015,,,-32055,-27491,,5636,,807,14951.0,,-108967,-14811,-211,290,-7733,-43757,,-76,,1577,,,,-450.0,0,36513,,-37772,,0.0,-74511,800,-186.0,-153250,122487,0.0,-1557,15772,-513.0,197,0.0,136779.0,2015年01月01日至2015年03月31日,1180601,1391379,-12,210778,319090,,403816,420038,,0.0,-32055,319090,,0.0,-22960,-12871,-35831,0.0,0,,19,,,100948,,1391379,-15906,0.0,41496.0,,13225,,3926
2015-08-13,2,2015,,,-36769,20149,,3511,,4590,7159.0,,-209922,-29627,-1092,517,-23857,-51243,,-943,,-447,,,0.0,,-726,-7266,,139763,,0.0,-181315,1132,8.0,-262834,239201,0.0,-3747,30236,-737.0,1044,0.0,239915.0,2015年01月01日至2015年06月30日,1180601,1737612,-8836,557011,722507,,849998,988517,,0.0,-6296,722507,254.0,0.0,206047,-179952,26095,0.0,0,,8884,,,266010,,1737612,-138826,0.0,41545.0,30473.0,4572,,-3181
2015-11-09,3,2015,,,-40059,105154,,-148532,,66837,-307.0,-3944.0,-349923,-45508,-1923,721,14810,-54361,,-943,-97197.0,1558,,,,,-750,23449,,-43354,,0.0,-173346,1457,8.0,-502745,354800,0.0,-5904,44152,-944.0,1680,4373.0,364718.0,2015年01月01日至2015年09月30日,1180601,1584709,-2406,404108,1229692,634.0,1246519,1459656,-344890.0,0.0,-354476,1229692,254.0,0.0,171902,-306656,-134754,0.0,0,,9506,,,229964,1135.0,1584709,-213873,0.0,41496.0,30473.0,9468,0.0,-9385
2016-03-16,4,2015,,,-45461,162026,,-167714,,24113,,11488.0,-214466,-62203,-3361,924,-7695,-415209,-53682.0,-3650,-198581.0,1396,,,0.0,,-1153,-100213,,200105,,0.0,-409903,1512,-5507.0,-817195,462713,0.0,-4382,53330,-1168.0,2696,4376.0,467585.0,2015年度,1180601,1785240,-1913,604639,1793481,853.0,1843089,2082716,-344890.0,0.0,-413560,1793481,254.0,0.0,523311,-701661,-178350,0.0,0,,9950,,,289235,1564.0,1785240,-241155,0.0,134650.0,30473.0,10877,,-19836
2016-05-04,1,2016,,,-29435,17972,,-146326,,4853,,34684.0,-59973,-19749,-1393,80,-50886,-75367,-4303.0,-2594,-97393.0,0,,,-93.0,0.0,15,-16377,,44488,,,31221,1813,5515.0,-200527,112163,,-1479,1719,-101.0,1305,,166511.0,2016年01月01日至2016年03月31日,1785240,2080618,66272,295378,494830,167.0,580622,600125,,,-33831,494830,,,64538,-125754,-61216,,101,,-101,,,105295,-2942.0,2080618,-20707,,0.0,,8999,,-1600
2016-08-11,2,2016,,,-31628,90837,,-106688,,-15918,,34269.0,-152176,-39502,-4281,80,-32317,-70868,-4303.0,-3249,-104007.0,-116,602304.0,-92.0,,,0,98208,,-28035,,,93640,3162,-12124.0,-294635,215401,,-1327,2997,-101.0,3805,1295.0,204263.0,2016年01月01日至2016年06月30日,1785240,3111543,-22670,1326303,1014610,333.0,1086974,1328666,,,566281,1014610,772.0,,50889,58904,109793,,101,,-101,,,314056,3672.0,3111543,-245396,,0.0,0.0,14010,39000.0,-17294
2016-11-09,3,2016,,,-31628,141556,,-232049,,-20384,,33659.0,-302703,-59276,-5910,283,-125043,-124989,-4303.0,-3926,-104245.0,3722,602304.0,,-135.0,,49,136629,,-83290,,,-5917,1520,-6971.0,-500785,324413,,-6644,4273,,5660,1272.0,315551.0,2016年01月01日至2016年09月30日,1785240,2183640,37918,398400,1409721,501.0,1233998,1611484,-597809.0,,-209770,1409721,772.0,,36248,-150036,-113788,,98,,-98,,,201763,-2135.0,2183640,-382842,,0.0,0.0,6598,9500.0,-43248
