date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損迴轉利益,非控制權益變動,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-09,1,2013,15849.0,,0.0,-42444,0,4840,448.0,-18047,374,-12.0,0.0,,0,-126.0,-167491,,-10731,-256,2332,3199,-19943,-4654,0.0,,,166004,-67876.0,38885,-4516,48.0,0,-11355,-129752,3170,6105,-1208,-2158.0,101007,48813,-6327.0,-12000.0,2872,-2346,256,,,2013年01月01日至2013年03月31日,654308,823175,168867,250705,,255457,257191,,0.0,-188372,-190796,250705,,-45974,36611,-9363,532,,-491,360183.0,-25697.0,,,6486,823175,-1734,-993,,,0.0,-1370
2013-08-07,2,2013,78876.0,0.0,0.0,-20662,0,-1142,823.0,-12760,102,,0.0,,1466,,-6910,,-10731,-1189,4869,-1152,-217891,-4654,,,,93510,-67876.0,25002,4896,,-92,27821,-396070,1589,4694,1062,-4515.0,64832,99758,-6327.0,-13978.0,5844,-5122,1189,,,2013年01月01日至2013年06月30日,654308,840244,185936,542916,,305962,325691,,0.0,-176608,-183706,542916,,13455,-309556,-296101,791,,-795,360183.0,-25719.0,0.0,,-217225,840244,-19729,6839,0.0,-3350.0,,-146
2013-11-07,3,2013,129349.0,0.0,0.0,18271,0,-2628,823.0,-29709,195,,,-5.0,2194,,-7481,,-10731,-1523,7524,-9651,-270580,-4654,,,,20768,-67876.0,81260,-3321,15.0,0,-47313,-429714,260,130,-4302,-6841.0,13034,150195,,-14000.0,8675,-7570,1523,,,2013年01月01日至2013年09月30日,654308,600549,-53759,844442,,489932,558091,-439914.0,0.0,-98444,-547074,844442,,12347,-428047,-415700,1919,,-1614,360183.0,-25697.0,0.0,,-286351,600549,-68159,2520,0.0,-3350.0,,421
2014-03-20,4,2013,190342.0,0.0,0.0,110387,2538,-6614,655.0,-24443,340,,,314.0,4275,,0,235652.0,-10731,-2845,10217,-8607,-587262,-4654,-1195.0,,,-77897,-67876.0,19239,-2536,46.0,0,-42358,-366472,6842,4268,3333,-16084.0,-60388,199850,,-10000.0,11285,-10142,2845,,,2013年01月01日至2013年12月31日,654308,902921,248613,1121751,,840520,910588,-439914.0,0.0,-74141,-522912,1121751,,46743,-448248,-401505,1919,,-1600,360183.0,-25697.0,0.0,,-211163,902921,-70068,9863,0.0,-3350.0,,-2703
2014-05-07,1,2014,46184.0,,,-97691,-2538,-4465,168.0,6292,381,0.0,0.0,,1437,0.0,-10306,,3000,-678,2769,4392,-91379,-2297,-26.0,,,26717,0.0,91137,-749,0.0,-60063,32539,-85101,948,-2397,-5540,-5923.0,-103037,49671,0.0,0.0,2684,-2702,678,,,2014年01月01日至2014年03月31日,902921,979613,76692,346945,,348336,348343,,,-106298,-172999,346945,,23067,-67853,-44786,293,,-268,0.0,0.0,,,1398,979613,-7,-10994,,-5373.0,0.0,1436
2014-08-13,2,2014,80987.0,2951.0,,-59807,-2538,-5221,168.0,5018,524,,0.0,,1182,,-39563,,1628,-2190,4825,4011,-187907,-2942,-23.0,,,-20245,0.0,33838,111,,-60032,54010,-29155,9265,-2380,-10879,-5634.0,-224297,98936,0.0,10000.0,5660,-4963,2190,,,2014年01月01日至2014年06月30日,902921,1059402,156481,680022,,615579,738680,,,-166376,-238812,680022,,24998,-47327,-22329,997,,-857,0.0,0.0,,,58658,1059402,-123101,-27015,,-8623.0,,596
2014-10-29,3,2014,135210.0,2951.0,,-28175,-2367,511,-78.0,10571,486,,,0.0,2501,,-50233,,1628,-3344,6334,3573,-308511,-3585,-55858.0,,,-62193,0.0,8633,-1072,0.0,-59992,49513,2283,269,-5484,-6237,-7753.0,-410892,148069,,10000.0,8783,-6453,3344,,,2014年01月01日至2014年09月30日,902921,681041,-221880,982462,,882720,1084804,-466309.0,0.0,-158405,-697281,982462,,29350,-62218,-32868,1000,,-853,0.0,0.0,,,102342,681041,-202084,-25407,,-8623.0,,-1775
2015-02-25,4,2014,206028.0,2951.0,,56803,-2538,2503,168.0,-536,647,,,186.0,4507,,-79560,,1628,-4930,7490,-2104,-482754,-4591,-54467.0,,,-40386,0.0,7733,-1005,0.0,-135004,76972,-66591,-1075,-4509,-6685,-10949.0,-612228,197202,,10000.0,11971,-7654,4930,,,2014年度,902921,797390,-105531,1266858,,1278448,1491713,-466309.0,,-156750,-769647,1266858,,126480,-107653,18827,1263,,-1096,0.0,0.0,,,224855,797390,-213265,-6237,,-8623.0,,-1725
2015-04-21,1,2015,,,,-154165,90,943,-44.0,2104,-808,,0.0,-1.0,1053,,-34128,,0,-794,395,-14600,-122400,-938,,0.0,,-12916,,23012,3112,5016.0,0,-82034,-13502,-20785,4270,-262,,-137458,49137,,,3188,-1462,794,,10457.0,2015年01月01日至2015年03月31日,797390,643558,-153832,279677,-2714.0,36825,37824,,,-37871,-38599,279677,,-210595,-41715,-252310,1998,,-739,,,,17216.0,-241853,643558,-999,-40730,,-5334.0,,1389
2015-07-28,2,2015,,1135.0,,-110381,3398,-4587,0.0,164,-158,,0.0,-1.0,3676,,-108050,,-1135,-1641,614,-21537,-234520,-668,,0.0,,5692,0.0,17913,2313,4964.0,0,-17307,68087,5879,469,1580,,-318768,99899,,0.0,5385,-258,1641,770.0,97372.0,2015年01月01日至2015年06月30日,797390,905378,107988,535688,-2820.0,476965,601499,,,-28019,-28672,535688,-770.0,-106720,75159,-31561,2578,26.0,-1190,0.0,-26.0,,18320.0,65811,905378,-124534,-3764,,-9034.0,,-1803
