date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,預付投資款增加,預收款項增加（減少）
2013-05-09,1,2013,54491.0,,-67882,44712,,-1192,-3609,,2380,-19310,,-750000.0,-6222,,4836.0,0.0,268.0,,36196,-205822,128966,351324,26528,-249.0,-19381,18355,38445,,3125,,2013年01月01日至2013年03月31日,2384588,2762184,1321,377596,108539,,389761,391044,,4836,108539,-229554,457568,228014,1569.0,751189,1168.0,-1189,282505,,2762184,-1283,,,-84567
2013-08-08,2,2013,105195.0,,-54859,43901,,-493,-7369,15.0,3065,-20420,,,-55893,,21957.0,,-1326.0,1399.0,17215,-206840,288553,318347,26528,-508.0,-65190,36068,75142,-15.0,7212,,2013年01月01日至2013年06月30日,2384588,2892771,2435,508183,132320,,548366,629585,0.0,21942,132320,-13428,405498,392070,1569.0,1752269,1173.0,-2269,497265,,2892771,-81219,-1750000.0,,-39774
2013-11-07,3,2013,162438.0,,-105111,-26493,-20000.0,21,-11056,159.0,1102,-43035,,-2750000.0,-123388,4794.0,25212.0,-10093.0,-3066.0,1466.0,-186034,-259368,613841,-135467,26528,-763.0,-172975,53663,116216,-159.0,10559,,2013年01月01日至2013年09月30日,2384588,2015978,406,-368610,176235,,190339,273440,-402036.0,-387076,176235,256212,-321445,-65233,1569.0,2752920,1176.0,-2920,97205,,2015978,-83101,,,7613
2014-02-13,4,2013,212443.0,,-71489,28045,,-1696,-14446,281.0,1842,-47385,,-3170000.0,-132668,1977.0,27628.0,-13273.0,-3266.0,1609.0,-132838,-265653,-98764,248233,26528,-1018.0,-162412,71144,153937,-281.0,14450,,2013年01月01日至2013年12月31日,2384588,2136080,1647,-248508,348382,,300024,384376,-402036.0,-387962,348382,-344721,168272,-176449,1569.0,3173279,1182.0,-3279,35994,,2136080,-84352,,,92203
2014-05-09,1,2014,43793.0,,-42568,3000,,997,-3474,18.0,3360,-27407,,-900000.0,-39087,-10922.0,0.0,,,2061.0,65511,-16263,403692,-157976,0,31.0,-60526,17789,38583,-18.0,2957,,2014年01月01日至2014年03月31日,2136080,2557176,2749,421096,167301,,478280,479264,,-18,167301,356638,-88468,268170,0.0,900950,0.0,-950,311963,,2557176,-984,,,11746
2014-08-08,2,2014,93176.0,,1972,-6071,,-5731,-6900,62.0,524,-32197,,-2175000.0,-70651,-11303.0,0.0,,-179.0,2148.0,35097,9229,85608,197910,-43000,76.0,-92053,35419,77937,-62.0,6807,,2014年01月01日至2014年06月30日,2136080,2795010,-22,658930,305323,,750521,817769,,-62,305323,241065,178205,419270,25.0,2176994,-23.0,-1994,512446,,2795010,-67248,,,144180
2014-11-07,3,2014,142505.0,,-27304,-26118,0.0,-12268,-10685,72.0,1956,-36546,,-3665000.0,-105587,-13422.0,0.0,0.0,-5622.0,2260.0,54803,16893,356031,296374,-32,140.0,-132024,52192,116347,-72.0,10041,,2014年01月01日至2014年09月30日,2136080,2908279,1429,772199,417675,,1304375,1425036,-402036.0,-402108,417675,552097,312759,864856,168.0,3668262,-166.0,-3262,1007361,,2908279,-120661,,,206337
2015-02-12,4,2014,192123.0,,27119,69057,,1714,-14423,72.0,6852,-80152,,-4765000.0,-151597,-21382.0,0.0,0.0,-5929.0,2475.0,-19635,117478,600,270726,-3304,173.0,-216156,70275,154939,-72.0,14280,,2014年度,2136080,2852856,7407,716776,513597,,1328188,1451028,-402036.0,-402108,513597,426750,318558,745308,168.0,4769599,-166.0,-4599,937431,97476.0,2852856,-122840,,,183904
2015-05-08,1,2015,,,21952,-19458,,-486,-3810,9.0,-2024,-9315,,-1270000.0,-35535,0.0,,,-561.0,180.0,-133253,19684,403330,-18223,-30149,,-40329,17890,37199,-5.0,3347,46467.0,2015年01月01日至2015年03月31日,2852856,3207987,-3266,355131,131595,-156.0,397489,399716,,-5,131595,423223,-201569,221654,,1271555,,-1555,268121,,3207987,-2227,,,-21587
2015-08-07,2,2015,,23756.0,58745,-28949,,-148,-7607,16.0,-4008,-27845,,-2490000.0,-71698,0.0,-15146.0,,-641.0,1097.0,-253372,3618,490740,-178283,-11801,,-88554,35887,74844,-16.0,7475,95359.0,2015年01月01日至2015年06月30日,2852856,3001389,-4893,148533,239832,-348.0,256257,260648,,-15162,239832,398010,-472553,-74543,0.0,2493058,170.0,-3058,20816,-97476.0,3001389,-4391,,,-81025
