date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-07,1,2013,1217189.0,,-10300000,-617406,-86646,248059,28948.0,117384.0,-64968.0,,,,,-2578,54380.0,-11408,-465874,,-685470.0,-2107,-286531,246018,-82933,49818.0,,56202,92091,-223989,22745,67428,4565,-1140372,1148707,-2172.0,2173,-2226,,-48422,2578,,,2013年01月01日至2013年03月31日,2714756,2727679,12923,627969,1127455,1198932,,294889.0,,37248,627969,,57243,-703469,-646226,10004021,10972,,320.0,,,570963,2727679,-25633,11272,,-11480.0,9421.0,-167194
2013-08-09,2,2013,2334985.0,,-5184893,-259439,-159422,79337,105137.0,147322.0,,,-357008.0,,,-8473,109706.0,3163,-1025329,,-1605444.0,801,320589,133951,-486436,49860.0,,53351,150468,-439939,167798,16051,-14883,-2903002,2331877,-2172.0,2173,-82079,,-113016,8473,,,2013年01月01日至2013年06月30日,2714756,2765767,51011,1466037,3221853,3544529,,496308.0,,-271003,1466037,,-183618,-72875,-256493,4510000,84779,,-31580.0,,,2078492,2765767,-218133,14733,,-142278.0,,-70379
2013-11-08,3,2013,3185037.0,,-9458190,-212410,-51905,27003,116847.0,146385.0,,,-243304.0,,,-8806,163975.0,-294454,-1258353,,-2049111.0,2629,318698,-61261,-391666,49992.0,,-15472,-275427,-122061,315998,141654,8878,-3431408,3296818,-2172.0,2173,-266891,,-163634,8806,,,2013年01月01日至2013年09月30日,2714756,2560236,-154520,2000845,4762384,5143046,-1684665.0,243316.0,,-1191042,2000845,,-785020,742184,-42836,9810000,119360,,-14995.0,,,3142201,2560236,-225834,12307,,-151495.0,,11902
2014-03-21,4,2013,3764184.0,,-12451758,-325068,-47511,-46893,-162157.0,,,57595.0,,138619.0,,-16661,215881.0,53886,-1579873,,-3528714.0,5020,-248822,-211680,-56534,849922.0,,14925,-300850,272426,309439,155547,7661,-4187180,3981235,-3674.0,3675,-279161,,-216579,16661,,,2013年01月01日至2013年12月31日,2714756,3064945,350189,2659932,5485533,5943585,-1684665.0,868351.0,,-1002050,2659932,32898.0,-929774,449243,-480531,11510000,127236,655552.0,-93687.0,,-93104.0,3283653,3064945,-258134,11763,,-151495.0,,158985
2014-05-12,1,2014,962585.0,,-1594748,-340419,49145,62933,,,-14273.0,128438.0,,,-216381.0,-4750,56254.0,65874,-270166,,0.0,3630,-360435,149261,-62083,,-199980.0,50406,102569,-567792,-204475,-2833,2454,-481851,912223,-240.0,-399760,1310,,-67745,4750,,,2014年01月01日至2014年03月31日,3064945,2604958,-459987,730808,-105954,-42793,,229288.0,,61944,730808,,-37573,-1698613,-1736186,1500000,4696,,-2453.0,,-3655.0,-773601,2604958,-166,26,,-1054.0,,-200644
2014-08-08,2,2014,1790700.0,,-3552490,56735,-12984,142017,323521.0,,,87298.0,,,-291976.0,-9096,109172.0,8497,-632494,-32039.0,0.0,3367,103560,465053,-157150,,-200032.0,54906,69201,-1130649,-296539,31424,-2973,-944543,1773556,-943.0,-379034,-69009,,-119127,9096,3600.0,,2014年01月01日至2014年06月30日,3064945,3687653,622708,1579597,1831940,2261008,,,-61507.0,-273186,1579597,-3600.0,629819,-1739108,-1109289,3500000,11966,,,-9168.0,-3655.0,681411,3687653,-322637,-867,,-46455.0,,-375434
2014-11-07,3,2014,1575965.0,,-6451439,95778,15767,302477,110055.0,174886.0,,,-274831.0,,,-15621,161655.0,20733,-1205079,-256744.0,-41603.0,5256,-33232,292860,-163611,1049372.0,,17733,-14792,-654361,-226521,32011,4269,-1759660,2589884,-239.0,-429537,-152190,,-167329,15621,967716.0,,2014年01月01日至2014年09月30日,3064945,3958988,894043,3313168,4497341,4005932,-1684664.0,-216937.0,,-1864371,3313168,-967716.0,705092,-1588293,-883201,5500000,18597,,-12772.0,,-36476.0,692764,3958988,-324599,3945,,-60703.0,,-406744
2015-03-20,4,2014,2415704.0,,-8107115,668553,-88463,102561,275982.0,,,79216.0,-422244.0,,,-20777,211869.0,261905,-1893163,-390435.0,-119154.0,5724,-587458,137477,-305679,1099662.0,,33498,69510,-399850,-285515,7900,4220,-2775839,3367232,-240.0,-649537,-184152,,-216324,20777,967716.0,,2014年度,3064945,3796868,731923,4171939,5820795,5374458,-1684664.0,-1101334.0,,-2574938,4171939,-967716.0,705680,-1918865,-1213185,7200000,49157,0.0,38231.0,,-36476.0,1202519,3796868,-325832,1769,,-60703.0,,-196144
2015-05-05,1,2015,,,0,-793008,55635,171969,-108057.0,,,196696.0,154069.0,,,-4960,46914.0,-22361,-657695,-4402.0,,-126,255061,241739,-154744,-49852.0,,27896,-114399,-284165,-141501,-12283,-592,-497605,751097,0.0,0,-2044,,-47293,4960,2906.0,805568.0,2015年01月01日至2015年03月31日,3796868,4451062,654194,780680,277203,366980,,597764.0,,896957,780680,-2906.0,-620547,-598721,-1219268,152349,10423,,23688.0,,0.0,-413700,4451062,-50350,-6095,,0.0,,-362819
2015-08-07,2,2015,,,-2020476,-525422,-37295,160826,78361.0,,,42969.0,182985.0,,,-11506,,16956,-1034109,-4402.0,0.0,-2748,500121,259684,-287059,-549991.0,,-4522,-130664,-195365,-333245,-25568,-1674,-795608,1475182,0.0,0,-111296,94130.0,-96530,11506,3225.0,1663862.0,2015年01月01日至2015年06月30日,3796868,5451106,1654238,1777062,2087646,2330121,0.0,740921.0,,345244,1777062,-3225.0,-527157,-583646,-1110803,2148796,59918,,227990.0,,0.0,553059,5451106,-160676,-4665,,-16975.0,,-568981
2015-11-06,3,2015,,13380.0,-2262137,-467207,-23744,307554,-20220.0,-84165.0,,,96360.0,,,-19643,,-35815,-1792145,-81011.0,0.0,-19042,271903,446956,-198858,-649775.0,,-12311,-85301,-150784,-15593,-55538,-2265,-1702396,2180631,0.0,0,-206140,142958.0,-156251,19643,386084.0,1920017.0,2015年01月01日至2015年09月30日,3796868,5098903,1302035,3005016,4237480,4202266,-2587328.0,733876.0,,-1197234,3005016,-386084.0,-93332,-629435,-722767,3568130,61020,,227605.0,,0.0,1197250,5098903,-214262,-268,,,,-633194
2016-03-16,4,2015,,13380.0,-4962052,-173062,-5746,-121920,-123266.0,53263.0,,,134374.0,,,-27750,190352.0,-268667,-2776031,-95802.0,0.0,-22373,122569,432143,-204291,-649999.0,,-5439,-147778,410350,44598,23038,-2493,-2604543,2857619,0.0,0,-261187,,-202574,27750,386084.0,2543352.0,2015年度,3796868,5640597,1843729,3761297,6002146,6009273,-2358530.0,746270.0,,-1285207,3761297,-386084.0,-167084,-128292,-295376,6167902,119536,,199113.0,,0.0,2247976,5640597,-218387,-6338,,-228798.0,,-597342
2016-05-06,1,2016,,,-3000000,-498250,-14502,-91557,169024.0,79727.0,,,45553.0,,,-5084,,23805,-506443,-582462.0,0.0,0,-19803,-69231,-99027,20.0,,32431,-56618,-350718,-130291,-19493,3747,-1026392,697778,0.0,0,-27664,47111.0,-46992,5084,0.0,696741.0,2016年01月01日至2016年03月31日,5640597,5695181,54584,950123,912464,959051,0.0,43841.0,,144707,950123,0.0,-702525,14712,-687813,3100846,16960,,-14541.0,,,8928,5695181,-4679,-859,,,,376748
2016-08-05,2,2016,,10704.0,-4544495,-379856,-14645,139413,7057.0,18272.0,,,100140.0,,,-11513,92195.0,30205,-1238354,-582462.0,,0,430344,-33837,-49440,-399793.0,,7191,-61075,-208891,-21350,-6530,-2698,-1702063,1376329,,30371,-134172,,-98436,11513,3645.0,1522322.0,2016年01月01日至2016年06月30日,5640597,6267826,627229,1645652,2733402,3201588,0.0,79715.0,,-434315,1645652,-3645.0,-359332,392946,33614,4430258,7909,,-2165.0,,,1555936,6267826,-384908,-1773,207066.0,0.0,,179288
2016-11-04,3,2016,,10704.0,-4772155,-264451,9154,-38793,164885.0,-33537.0,,,-5231.0,,,-17079,135300.0,30994,-1811176,-582462.0,0.0,0,454334,19507,105403,-699677.0,,-21998,-94410,27393,78093,6122,3287,-2375159,2019279,0.0,30371,-62973,,-142370,17079,1637777.0,634247.0,2016年01月01日至2016年09月30日,5640597,5489540,-151057,3898947,6064366,5156342,-2333339.0,-583533.0,,-3871258,3898947,-1637777.0,-328279,951427,623148,4517446,13006,,-7060.0,,,1257395,5489540,-604462,-2509,207066.0,,,177788
