date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-14,1,2013,4468.0,-103983.0,,-4674,3168,5567,-369,-28598.0,0.0,,-9.0,-3859.0,-285,1179,2439,-106433,-229848,,-172.0,-1027,0.0,78966,-32243,-101490,145000.0,,-64880,-42222,70525,21487,21600,3393.0,1380.0,-227533,30664,-149956,2302,-1158,269,,,2013年01月01日至2013年03月31日,253472,298781,45309,186259,,40178,39913,-3,78000,230225,186259,,-238562,196199,-42363,1398,136129.0,,-1756,,,,14801,-146346,298781,-4,,8386,0.0,-514.0,-2571
2013-08-14,2,2013,4654.0,-259277.0,,24020,-116613,4864,-23411,-18677.0,0.0,,-9.0,-3859.0,-749,2938,4181,-127840,-500224,,-104.0,-1102,10856.0,29950,-18082,-98946,5000.0,,-4790,-34900,76586,25979,-981,13525.0,258.0,-382301,62358,-337272,5142,-2934,715,0.0,,2013年01月01日至2013年06月30日,253472,304381,50909,541368,,137003,149937,-3,288000,292026,541368,,-127576,-4578,-132154,2065,174502.0,2073.0,-2625,1288.0,86698.0,-826.0,12670,-391431,304381,-13649,,-8893,0.0,-2679.0,-9613
2013-11-12,3,2013,5337.0,-431909.0,,6585,-12145,1718,-23105,,51106.0,,10097.0,-3859.0,-1513,4888,4058,-214039,-500224,,-185.0,-161,224.0,-8168,-1543,-84668,,-5000.0,3137,-38713,20957,44156,81460,-7878.0,1588.0,-365949,95019,-543345,8322,-4876,1840,151108.0,,2013年01月01日至2013年09月30日,253472,356502,103030,779028,,469388,319785,-452922,482000,-4467,779028,,-111896,84562,-27334,3194,196116.0,2073.0,-4623,1288.0,86698.0,-826.0,12335,-459243,356502,-3345,,-23893,-5556.0,,-10715
2014-03-19,4,2013,8652.0,-828630.0,,28093,-3057,3545,-13777,,50673.0,,8734.0,,-2178,6823,2112,-272478,-500287,,-297.0,536,569.0,-6240,39768,-34074,194875.0,,30072,-25543,-89795,34862,2099,-12019.0,1940.0,-417900,124615,-843929,11587,-6811,2505,289491.0,,2013年01月01日至2013年12月31日,253472,429215,175743,1148493,,548411,261688,-452922,306000,43120,1148493,-136672.0,43801,-101976,-58175,11590,196179.0,2073.0,-12893,1291.0,86695.0,-826.0,13582,-886805,429215,-5273,0.0,1409,0.0,,-14049
2014-05-06,1,2014,140.0,-157009.0,,-17299,-453,8009,-3395,-12242.0,,0.0,93.0,,-676,2320,188,-49152,-145325,,0.0,474,-9.0,34758,-63329,-32968,0.0,-199879.0,-50667,-12063,34357,21186,57106,7627.0,-3632.0,-204507,32471,-193276,1563,-2320,676,,,2014年01月01日至2014年03月31日,429215,401545,-27670,251967,,73895,73268,-38,305000,102754,251967,,-171949,150259,-21690,350,1769.0,,-350,,,,325,-178699,401545,-49,,0,,,-927
2014-08-13,2,2014,305.0,-438882.0,7271.0,-3064,-99639,13208,8528,-72703.0,,,91.0,,-1616,4676,16,-67353,-145325,,-67.0,853,1041.0,-16461,-19007,-13155,0.0,-199875.0,-39253,3164,-48728,84842,-53341,44173.0,-2491.0,-271424,65244,-506426,4675,-4618,1592,1710.0,,2014年01月01日至2014年06月30日,429215,325334,-103881,744679,,133017,155131,-38,238000,34510,744679,,-60598,-90068,-150666,507,6155.0,0.0,-507,0.0,0.0,0.0,-6086,-589548,325334,-25416,,0,,,-9442
2014-11-13,3,2014,4637.0,-830964.0,7271.0,-7624,-5318,14829,-7186,-53096.0,0.0,,91.0,,-2550,7308,173,-93108,-176838,,-67.0,836,1768.0,26958,-39757,-35591,359811.0,0.0,-50460,-1076,49263,76892,-91195,44173.0,-1321.0,-309005,98031,-816960,7741,-7278,2607,328351.0,,2014年01月01日至2014年09月30日,429215,373266,-55949,1114236,,549124,245737,-543541,-98000,-296241,1114236,-123484.0,-121000,83465,-37535,587,6155.0,0.0,-437,0.0,0.0,0.0,-6086,-868499,373266,-27571,,-9001,,,-10122
2015-03-24,4,2014,4637.0,-1095858.0,7271.0,15002,12075,2782,6343,,-70559.0,,95.0,,-3662,10142,352,-226200,-189925,,-67.0,890,1798.0,14531,-24164,1396,99945.0,,-27161,5034,31036,47094,-136296,44173.0,5831.0,-470658,130795,-1120584,11674,-9942,3670,328768.0,,2014年度,429215,396132,-33083,1468035,,660215,358541,-543543,238000,-222992,1468035,-123901.0,-21280,7644,-13636,587,8140.0,0.0,-437,0.0,0.0,0.0,-5412,-1109494,396132,-30764,,-9250,,,-11312
2015-05-13,1,2015,0.0,,,-36937,-4864,7362,-2944,-13436.0,,-74.0,0.0,,-557,3267,-40,-343834,-12978,,,431,0.0,-4144,-26424,-34915,400096.0,0.0,-34426,-14554,47330,22357,129333,-1997.0,,-370157,33314,-239156,2077,-3693,556,,-198952.0,2015年01月01日至2015年03月31日,396132,295188,-100944,269734,819.0,119876,119329,0,-247000,149377,269734,,-139075,187622,48547,0,165.0,,0,,,,1672,-150405,295188,-9,,-26,,,2551
2015-08-12,2,2015,0.0,,165.0,-40871,-14566,5067,3611,-8616.0,,,-60.0,,-1200,6679,-89,-460122,-12977,,-92.0,639,-30.0,8921,-35959,-49171,,-100006.0,-74749,4768,100567,13337,129776,0.0,,-481659,66721,-446383,3179,-6794,1181,34946.0,-532262.0,2015年01月01日至2015年06月30日,396132,269261,-126871,671506,-8577.0,173749,177462,0,297000,181128,671506,-163526.0,-199492,237710,38218,43,0.0,,-43,,,,1672,-494044,269261,-39840,,-9042,,,-3936
2015-11-10,3,2015,0.0,,165.0,-31074,-4213,7945,-1916,3538.0,,,-158.0,,-1859,10458,137,-502501,-12977,,-92.0,2017,-20.0,39908,-94346,-48057,,500022.0,-97545,13745,114296,29907,150670,0.0,,-511562,100673,-690388,5197,-11185,1849,436384.0,-736222.0,2015年01月01日至2015年09月30日,396132,360821,-35311,983038,-10238.0,705013,307121,-615970,-109000,-228899,983038,-163529.0,-259570,319875,60305,463,0.0,,-463,,,,1672,-675917,360821,-40341,,7254,,,-8777
2016-03-29,4,2015,0.0,,165.0,-4702,-2215,259,-5860,,478.0,,52.0,227.0,-2850,14594,-127,-600661,-13204,,-303.0,2612,-20.0,-12076,24834,-9244,330000.0,,-78582,28717,11382,23881,127026,0.0,,-613010,134733,-1100028,6895,-14787,2840,436326.0,-1106076.0,2015年度,396132,395027,-1105,1471598,-7456.0,847608,450878,-615970,58000,-235576,1471598,-163469.0,-46174,131530,85356,463,0.0,,-463,,,,1673,-1020720,395027,-42436,,7201,,,-10608
2016-05-12,1,2016,,,,-29679,-8129,8943,-3848,-3948.0,,87.0,,,-663,4186,0,-83315,0,-38250.0,-39.0,756,,42090,-156602,-38945,320000.0,,-53786,-26351,123432,-25643,84713,0.0,,-125015,33336,-307871,170,-4283,662,,-270536.0,2016年01月01日至2016年03月31日,395027,435873,40846,342879,-126299.0,-134848,-135542,-8,-15000,300709,342879,,-422719,214834,-207885,450,0.0,,-450,,,,0,-478421,435873,32,,0,,,2219
2016-08-12,2,2016,,,0.0,-24860,-5810,8548,-4320,-32792.0,,,84.0,,-1411,8543,0,-247330,0,-38250.0,-570.0,5499,134.0,37476,-124996,-63205,,-130063.0,4137,-23571,105224,-25964,71856,,,-318408,64015,-613027,804,-8450,1368,34410.0,-713528.0,2016年01月01日至2016年06月30日,395027,348082,-46945,908016,-125130.0,10850,24784,-8,399000,260613,908016,-177517.0,-349077,179373,-169704,450,,,-434,,,,0,-883232,348082,-49712,,0,,,911
2016-11-09,3,2016,,,0.0,830,-8454,11693,-225,-29516.0,,,-71.0,,-1916,12643,0,-384130,0,-38250.0,-708.0,8045,134.0,24040,-114484,-120148,,310055.0,-9011,-48529,180452,-28024,137900,,,-451643,93148,-902124,1287,-13197,1933,477771.0,-967355.0,2016年01月01日至2016年09月30日,395027,230916,-164111,1278736,-123956.0,638069,208607,-628321,-5000,-350537,1278736,-177518.0,-403605,300831,-102774,1032,,,-920,,,,0,-1070129,230916,-50242,,-14208,,,-4858
