date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,避險之衍生金融資產（增加）減少,非控制權益變動,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-09,1,2013,17292.0,,,-19304,-669,0.0,-41679,125,-18535,-241,,-28335,-1688,180,-62981,0.0,-7470,-1025.0,,,615,4458,0.0,,-9513,-40389,,,-120,-33830,11927,-5500.0,186641,52290,-158,-11451,2541,-180,1688,,,2013年01月01日至2013年03月31日,1210082,1435896,225814,97546,,34715,33333,,,0.0,,4458,97546,,-44850,-36655,-81505,,268871,3140,,,-64213,46,1435896,-126,,80631.0,,,-4296,-10754,
2013-08-08,2,2013,-20561.0,664.0,,-10883,486,,-38818,-3,-16324,-321,,-25368,-4108,368,-148807,0.0,-38458,-1117.0,0.0,,-1404,10005,-2775.0,,-23738,-155326,,0.0,-41,135016,18610,-8425.0,111465,105852,-159937,-29980,4956,-368,4108,5531.0,,2013年01月01日至2013年06月30日,1210082,1482099,272017,304576,,146020,174388,,-473.0,5000.0,,14532,304576,-75265.0,-76353,-33274,-109627,,301437,1585,2803.0,,-130188,92,1482099,-32108,,153372.0,,,-3387,-5010,
2013-11-14,3,2013,-150676.0,17579.0,,2938,499,,-20218,-435,-13183,-407,,-73201,-5523,808,-278957,0.0,-385016,-1117.0,0.0,-141.0,-1995,16132,-3491.0,,16417,-165875,,0.0,-162,199038,18744,-13894.0,-62277,160556,-104144,-46123,7373,-808,5523,258285.0,,2013年01月01日至2013年09月30日,1210082,1218149,8067,595868,,506959,572597,,-510023.0,75000.0,,-436615,595868,-197342.0,-1415,128820,127405,,336306,1968,2803.0,,-23271,138,1218149,-70353,,208841.0,,-17724.0,-892,-5725,
2014-03-27,4,2013,-136034.0,17579.0,,19834,242,,34866,208,-13043,395,,4079,-7548,1246,-382756,0.0,-390070,-1116.0,,-141.0,-167,22905,-4148.0,,21647,18497,20000.0,0.0,-282,-14319,1724,-21710.0,288403,217715,52911,-66206,5721,-1246,7548,253071.0,,2013年01月01日至2013年12月31日,1210082,1900349,690267,720670,,886706,950712,,-510023.0,,0.0,-484842,720670,-198312.0,302079,63997,366076,,803308,2281,2802.0,-101910.0,230042,-44,1900349,-70308,4265.0,263961.0,,-17724.0,1189,-7324,
2014-05-15,1,2014,11789.0,,,-45467,-1151,,-20112,-155,1968,-154,,999,-2071,222,-82646,,-76,0.0,,,1039,8982,861.0,,9460,-27533,,,-120,-56856,1169,-3329.0,-53517,55916,-183052,-22620,1427,-222,2071,,,2014年01月01日至2014年03月31日,1900349,1704544,-195805,107722,,-151270,-153047,,,,,8982,107722,,-33319,-239239,-272558,231.0,28125,125,,-5028.0,-260769,43,1704544,-72,-18220.0,61231.0,,,-8500,-12,
2014-08-14,2,2014,-96701.0,0.0,,-14702,4,,36022,-659,2323,-447,,1999,-4167,430,-168224,,-4162,0.0,,-370.0,-947,13675,0.0,2962.0,-4087,-142108,,-20000.0,1433,130982,16801,-15910.0,-68100,112691,-385542,-47314,2885,-430,4167,6277.0,,2014年01月01日至2014年06月30日,1900349,1829984,-70365,411164,,4217,43022,,-157.0,0.0,,-6482,411164,-100779.0,-15793,-255648,-271441,231.0,95535,584,0.0,-42438.0,-368142,86,1829984,-42542,-19645.0,,,,-12700,-349,117063.0
2014-11-13,3,2014,-150651.0,29395.0,,-17902,700,,69697,-656,176177,-616,,2998,-6400,780,-258016,-9000.0,-125088,0.0,,-370.0,-1801,17919,17947.0,,963,-189317,,10000.0,821,201029,9805,-18846.0,2811,171010,-640554,-65719,4359,-780,6400,258342.0,,2014年01月01日至2014年09月30日,1900349,1512524,-387825,664168,,9503,78630,-18035.0,-510023.0,100000.0,,-400139,664168,-200485.0,20760,-455647,-434887,490.0,95535,862,0.0,-42438.0,-585538,130,1512524,-74747,-13817.0,,0.0,,-26318,-6424,
2015-03-19,4,2014,-107174.0,30040.0,,3185,667,,-237,-202,227821,189,-130000.0,3997,-8664,1197,-344720,-9000.0,-248198,-460.0,,-1013.0,-909,17681,18523.0,,7035,-43492,10000.0,,-211,62972,7332,-19761.0,-145104,229296,-739266,-81096,5851,-1197,8664,260167.0,,2014年度,1900349,1335651,-564698,772095,,80783,148473,,-510023.0,,,-500377,772095,-202310.0,279442,-795890,-516448,489.0,157776,1175,386.0,-44511.0,-623622,-49,1335651,-75157,-11586.0,,,-18035.0,-4617,-8708,112186.0
2015-05-14,1,2015,,,,-50439,-10505,,-320,78,58387,6,-50000.0,999,-1770,229,-78985,,-9744,,,-692.0,-442,1661,741.0,,-3234,-96576,,-30000.0,-50,87732,1801,,119978,60400,270844,-25950,1561,-229,1770,,7127.0,2015年01月01日至2015年03月31日,1335651,1810816,475165,145861,-1178.0,383526,381915,,,,,-28339,145861,,-66685,295612,228927,0.0,211282,925,,-19606.0,236054,40,1810816,70,-9219.0,,,,-1110,-2624,23451.0
2015-08-13,2,2015,,,,-45627,14806,,-408,-456,97133,-88,-370000.0,3588,-5118,462,-172397,,-9744,-900.0,,-692.0,-2259,5913,,730.0,-190,-220860,,-30000.0,249,294904,-2080,,44137,120532,297572,-50568,3123,-462,5118,19083.0,7169.0,2015年01月01日至2015年06月30日,1335651,1745520,409869,347804,-3741.0,389819,430341,0.0,,,,-24087,347804,-37221.0,-160047,235415,75368,458.0,211282,855,,-19606.0,82537,81,1745520,-45178,-6619.0,,,0.0,947,-3683,13126.0
2015-11-12,3,2015,,0.0,1780.0,-45669,201,,936,-470,130747,-142,-370000.0,4618,-7215,826,-232881,0.0,-30026,-900.0,,-692.0,-2888,8329,-882.0,0.0,-11154,-228960,,-30000.0,162,322632,9867,,287530,181298,186861,-76811,4684,-826,7215,308502.0,-94183.0,2015年01月01日至2015年09月30日,1335651,1555342,219691,646899,-6221.0,481579,556679,,-510022.0,0.0,,-549418,646899,-248453.0,-139785,143748,3963,457.0,249604,1164,,-16980.0,-90220,-2270,1555342,-81489,65574.0,,,-17725.0,5953,-7432,11490.0
2016-03-24,4,2015,,0.0,11227.0,-15014,-10608,,420,-46,161399,262,-540000.0,3997,-11003,1043,-334858,0.0,-31317,-995.0,,-692.0,-2388,13762,198.0,,-11865,-162581,0.0,-30000.0,74,277045,-3871,,226124,243073,188126,-97348,6246,-1043,11003,309122.0,-53106.0,2015年度,1335651,1604295,268644,757928,-3591.0,536505,608545,,-510022.0,50000.0,,-493985,757928,-249074.0,-5691,-90586,-96277,457.0,276118,1577,0.0,-19926.0,-149383,562,1604295,-82000,70697.0,,,-17725.0,10371,-3136,13040.0
2016-05-05,1,2016,,,10068.0,-43716,840,,-622,-8,59310,-104,0.0,999,-2946,268,-72832,,-4233,-110.0,,0.0,261,41,701.0,,8489,-21404,,0.0,-87,-26116,8623,,-66967,62477,137837,-25384,1562,-268,2946,,57857.0,2016年01月01日至2016年03月31日,1604295,1751296,147001,116648,-944.0,263927,261302,,,,-50000.0,-49959,116648,,-37251,124048,86797,0.0,0,434,,0.0,144654,47,1751296,-53,20186.0,,,,-5513,-561,-29835.0
