date,season,year,不動產及設備轉列費用數,不影響現金流量之收益費損項目合計,交割結算基金增加,交割結算基金減少,以成本衡量之金融負債增加,以成本衡量之金融負債減少,以成本衡量之金融資產減資退回股款,保證責任準備淨變動,停業單位稅前淨利（淨損）,備供出售金融資產減資退回股款,備供出售金融資產（增加）減少,償還公司債,償還特別股負債,償還金融債券,償還長期借款,其他借款增加,其他借款減少,其他各項負債準備淨變動,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款增加,其他應收款減少,其他應收款－關係人增加,其他應收款－關係人減少,其他投資活動,其他現金流入（出）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他負債增加,其他負債增加（減少）,其他負債減少,其他資產增加,其他資產減少,其他資產（增加）減少,其他金融負債增加,其他金融負債增加（減少）,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,再保險合約資產（增加）減少,出售不良債權回饋金,出售及攤銷不良債權之損失,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債增加,原始認列時指定為透過損益按公允價值衡量之金融負債減少,取得不動產及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得待出售資產,取得投資性不動產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得避險之衍生金融資產,各項保險負債淨變動,合併發行新股追溯調整,呆帳費用提列（轉列收入）數,員工執行認股權,員工福利負債準備增加（減少）,員工購買庫藏股,因合併產生之現金流入,央行及同業融資增加,央行及同業融資減少,央行及銀行同業存款增加（減少）,子公司發行特別股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存放央行及拆借金融同業（增加）減少,存款及匯款增加（減少）,對保費與理賠、年金及其他保單利益之付現,對員工及代員工之付現,對商品及勞務供應商之付現,對子公司之收購（扣除所取得之現金）,對持有供經紀或交易目的之合約之付現,對營業活動之其他付現,已收現之出售不良債權,庫藏股票處分,庫藏股票買回成本,應付公司債匯率影響數,應付商業本票增加,應付商業本票增加（減少）,應付商業本票減少,應付款項增加,應付款項增加（減少）,應付款項減少,應付租賃款增加,應付租賃款減少,應收款項增加,應收款項減少,應收款項（增加）減少,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產到期還本,持有至到期日金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,概括承受他公司之淨現金收取數,概括承受他公司之賠付款,無活絡市場之債務商品投資到期還本,無活絡市場之債務工具投資到期還本,營業保證金增加,營業保證金減少,營業活動之付現類別合計,營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,發放現金股利,發行公司債,發行特別股負債,發行金融債券,短期借款增加,短期借款減少,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,自保費與理賠、年金及其他保單利益之收現,自持有供經紀或交易目的之合約之收現,自權利金、各項收費、佣金及其他收入之收現,自營業活動之其他收現,自租金及後續出售該等資產之收現,自銷售商品及提供勞務之收現,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分待出售資產,處分待出售資產損失（利益）,處分承受擔保品,處分承受擔保品提存損失（利益）,處分承受擔保品損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,處分避險之衍生金融資產,調整項目合計,負債準備增加（減少）,買回已出售之不良債權,買回應付公司債損失（利益）,貼現及放款（增加）減少,資產證券化損失（利益）,資產負債表帳列之現金及約當現金,購買承受擔保品,退還（支付）之所得稅,退還（支付）所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,逾期未領股利及董監酬勞轉列其他收入,避險之衍生金融負債增加（減少）,避險之衍生金融資產（增加）減少,金融資產減損損失,金融資產減損迴轉利益,金融資產證券化款項,金融資產重分類淨損失（利益）,長期應收租賃款增加,長期應收租賃款減少,附買回票券及債券負債增加,附買回票券及債券負債增加（減少）,附買回票券及債券負債減少,附賣回票券及債券投資增加,附賣回票券及債券投資減少,附賣回票券及債券投資（增加）減少,除列避險之衍生金融負債,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付投資款減少,預收款項增加－處分資產,預收款項減少－處分資產
2013-04-30,1,2013,,58482389.0,,,,,,,,,-81080794,,,0.0,,,,,,,,,,,,,,,0.0,-1007393,-64638.0,-47147,9851.0,656434,0.0,930879,-3105966.0,,,-56655869,-5137004.0,0,,,-32051153,3360950,588753,,,-384442,,,,,,-1213053,,-29010,,,,,71221757,,89058,,0,,,36950.0,0.0,16736056,,,,,,33042040,7404098,,,,,,,,,,185641.0,,0.0,,,-18562316,,,,,,3204226,,-1663619,1028215,,0,,-23295,81588,-3070170.0,0.0,30219890.0,492106.0,,2013年01月01日至2013年03月31日,309450218,269517585,,-39932633,7832759,,,,,,,,,-50047004,-77078082,,,,,,164278.0,,,,,11189237,7832759,,-484040,,,,,,,-8822674,-134570556,-143393230,,182,,,,,435,,,,,,,,,,,,0.0,,,,,,,-84910841,0,,,-26266403,,269517585,,-610748.0,,-14323998,-16911107,20210237,,0.0,0,,,,,,,14158613.0,0,0.0,,,9440917.0,,,,,,,,
2013-08-23,2,2013,,91775846.0,7615.0,0.0,,,,,,0.0,4442023,,,,,,,3724547.0,,,,,,,,,0.0,,,-4460262,-212251.0,-2319543,,112026,,3152180,,,,-18918510,,4714589,,,-63726279,6745829,827139,,,-964626,,-395893037.0,-3234.0,,,-3441359,-153.0,-129010,-58475.0,-292791202.0,,,130748331,,538421,,-133266,,,3108480.0,0.0,-11229143,,,,,,-5076290,52955510,,,,,,,,,,247346.0,0.0,0.0,-910000.0,,-16552452,,,,,,-22636723,,-96071289,2041568,,-28252276,13067.0,-16211,162623,-6529907.0,0.0,61632386.0,,,2013年01月01日至2013年06月30日,395943639,362651574,-30501.0,-33292065,16927259,,,200000.0,,,,,,49830215,-6763607,,,,,,10130640.0,25000.0,0.0,54354737.0,14389293.0,12121870,16927259,,-2484344,,,,,,,25360175,-140826887,-115466712,,1277,,353460189.0,,248638.0,7238,,,,,0.0,,0.0,0.0,0.0,-17342064.0,335934.0,,,,,245253252.0,,,-23690866,9770,,,-58593925,,293907544,,-1045308.0,,-34335090,-16794688,31159342,,0.0,176887,,,,,,,0.0,35952928,-19999.0,,,0.0,,,,,,,,
2013-10-29,3,2013,0.0,94084208.0,7715.0,0.0,,,,,,,-1134579,,,,,,,4274031.0,,,,,,,,,0.0,0.0,0.0,-5272441,-265890.0,-735704,,-1976584,,11083264,,,,22132674,,5649473,,,-96342474,10414234,407870,,,-1380508,,-668484368.0,0.0,0.0,,-5678948,-57714.0,-472953,-120357.0,-430266217.0,,,187548924,0.0,1288582,203408.0,-94612,,,3085980.0,0.0,-6189879,,,,,,-4692355,99424291,,,,-338612.0,,,,,,133787.0,2240000.0,,0.0,,-6219725,,,,,,-25480559,,-172297505,3040382,,-27577657,13067.0,-54988,245187,,,95087731.0,,,2013年01月01日至2013年09月30日,395954121,405117916,-10098.0,9163795,28691471,,,200000.0,,0.0,,,,160645763,63419493,12708000.0,,-7487212.0,0.0,,9901957.0,25000.0,0.0,89667652.0,12547032.0,20407667,28691471,,-13423150,,,,,,,106117403,-165473589,-59356186,,2952,,639639891.0,,310769.0,12695,,0.0,,,0.0,,0.0,0.0,0.0,-23933917.0,650296.0,,,,,294354250.0,,,34728022,8994,,,-65306781,,302903232,,,,-22772588,-67250843,20891013,,,163622,0.0,,,0.0,,,,36150099,-3576.0,,,,,0.0,,,,,,
2014-03-14,4,2013,0.0,181114883.0,-2121.0,9615.0,,,,,,,-726378,-1299728.0,,,,,,6211326.0,,,,,,,,,0.0,0.0,0.0,-3502203,-201355.0,-2649307,,-631254,,18718967,,,,131525498,,8959387,,,-128608655,14073643,595059,,,-2036594,,-869608189.0,-225000.0,0.0,,-11646282,-1959653.0,-472953,-162297.0,-577531969.0,,,295470955,0.0,1487407,203408.0,-9343,,0.0,3099980.0,0.0,-177381,,,,-15905.0,9.0,-4890404,125951868,,,,-338612.0,,,,,,0.0,121360000.0,,-116850000.0,,-25450568,,,,,,-56245768,,-250742935,4111027,200000.0,-29691246,13067.0,-157038,372264,,,126248334.0,,,2013年01月01日至2013年12月31日,397388554,453686200,14746.0,56297646,31971051,,,208750.0,,-50000.0,25000.0,,,285311115,160988528,12708000.0,,-7487212.0,0.0,,9898582.0,0.0,0.0,109059305.0,12960817.0,21134407,31971051,,-14644454,,,,,,,128366672,-180464078,-52097406,,28596,,832967391.0,,475769.0,5384,-465975.0,0.0,,,0.0,,0.0,261.0,144560.0,-30814956.0,848650.0,217537.0,-131174.0,,,381368341.0,,,129017477,-59443,,203372.0,-146695438,,331666078,,,,-26292724,-82415269,33184214,,5148.0,346794,206620.0,,,0.0,,,0.0,39182351,-297268.0,,,,,0.0,25825.0,-40183.0,,,,
2014-04-29,1,2014,0.0,40467121.0,0.0,-509.0,,,,,,,3817361,,,,,,,799075.0,,,,,,,,,,,14850.0,16445903,0.0,-1270267,0.0,-2920638,,8529650,,,,4882364,-41740.0,-381239,,,-34420748,3886466,357254,,,-301981,,-247559564.0,-55000.0,,,-7541035,-4510059.0,-10060,-44686.0,-97408677.0,,,67215024,,-7675,0.0,142667,,,28000.0,,11846076,,,,,13500.0,-215577,23221600,,,,,,,,,,0.0,22110000.0,,-21170000.0,,12123127,,,,,,14741807,,-21290207,554568,,-52346,,29826,70982,-2861586.0,,33288793.0,,,2014年01月01日至2014年03月31日,453686200,533224161,24061.0,79537961,12659541,,,0.0,,0.0,,,,99377182,69271828,0.0,,0.0,0.0,,96162.0,,,93641896.0,19654926.0,1093732,12659541,,-624706,,,,,,,48217771,-32072605,16145166,,51760,,265583286.0,,30000.0,-32492,,,65981.0,,,,,1430000.0,-1263272.0,-12360638.0,159402.0,39706.0,,,,70037996.0,,,56612287,-140760,,,-62521541,,419927339,,-946905.0,,-27935662,10593272,16631267,,-5148.0,-16068,,,,,,,14720.0,3990318,0.0,,,,,,7123.0,,,,,
2014-08-27,2,2014,0.0,7941269.0,0.0,-1241.0,,,,0.0,0.0,,14247370,,,,,,,420894.0,,,,,,0.0,,,,,0.0,3702400,-23292.0,-902729,,-4741478,,28925289,,,0.0,-51409910,0.0,-937689,,,-69364228,7876937,-216060,,,-608128,,-372241.0,-108000.0,,0.0,-10074575,,-358040,-119263.0,0.0,,,105805186,,442641,,16036,,,0.0,-1750.0,10455328,,,,-4000.0,8.0,-2635479,41264906,,,,,,,,,,0.0,2040000.0,0.0,0.0,,8451865,,,,,,38171601,-16521555.0,-10631558,1096898,,-7804604,3742.0,-67325,144235,-6724590.0,0.0,66880893.0,,,2014年01月01日至2014年06月30日,453686200,569543805,-5488.0,115857605,33345217,,,,,0.0,,,,109725880,47088376,,,,,,14797577.0,,,92018296.0,38211047.0,16979343,33345217,,-3365058,,,,,,,61487922,-55686032,5801890,,55608,,101935.0,0.0,120009.0,-31040,,,65981.0,0.0,,,,1528483.0,-1293645.0,-17479550.0,,39706.0,0.0,,0.0,0.0,,,13743159,-140760,,,-110647901,,439314462,,-969381.0,,-35362897,69867500,275244,,-5148.0,204558,0.0,0.0,,0.0,,,166808.0,4180903,0.0,,,0.0,,,7123.0,0.0,,,,
2014-11-13,3,2014,0.0,64090899.0,-2051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69565179,0.0,0.0,0.0,0.0,0.0,0.0,2690877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2788072,-13810.0,-4391282,0.0,-5971688,0.0,36695463,0.0,0.0,0.0,-146808049,0.0,-514628,0.0,0.0,-104538716,12001834,331169,0.0,0.0,-919940,0.0,-617334.0,-143000.0,0.0,0.0,-27493476,0.0,-397005,-168556.0,0.0,,,197320482,0.0,1189768,0.0,63714,0.0,0.0,24300.0,0.0,14664569,0.0,0.0,0.0,-3970.0,8.0,-3076451,82402727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13350000.0,0.0,0.0,0.0,18162560,0.0,0.0,0.0,0.0,0.0,46084591,-16460839.0,-31280188,1640865,0.0,-20394648,9942.0,-119238,223423,,,,,,2014年01月01日至2014年09月30日,453686200,659253261,-1674.0,205567061,50339409,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,226022161,120350934,0.0,0.0,-17947446.0,0.0,0.0,14871677.0,0.0,0.0,101203185.0,49522901.0,10493919,50339409,0.0,-14967596,0.0,0.0,0.0,0.0,0.0,0.0,117898692,-111978066,5920626,0.0,57589,0.0,750056.0,0.0,180009.0,-30564,0.0,0.0,65981.0,0.0,0.0,0.0,0.0,1682842.0,-1346197.0,-27526978.0,0.0,39706.0,0.0,0.0,0.0,2500.0,,,70011525,-140760,0.0,0.0,-125750266,0.0,508527175,0.0,,0.0,-38241864,74708716,14008329,0.0,8249.0,179178,0.0,0.0,0.0,0.0,0.0,0.0,209198.0,1495962,0.0,0.0,0.0,0.0,,0.0,7123.0,0.0,0.0,0.0,0.0,0.0
2015-03-19,4,2014,0.0,186922400.0,0.0,866.0,,,,,,,4599536,0.0,,,,,,6364225.0,,,,,,,,,0.0,,572913.0,1237745,0.0,-9477543,,-2547715,,43697193,,,,-313018342,0.0,-610827,,,-141353891,16271075,1826420,,,-1375506,,-876690.0,-1483000.0,,0.0,-29496226,0.0,-1380025,-236460.0,0.0,,,317641171,,2982412,0.0,106383,,0.0,88400.0,0.0,1368524,,,,-19470.0,8.0,-2977965,116000041,,,,0.0,,,,,,0.0,16740000.0,,0.0,,10694822,,,,,,40428188,-16731241.0,-29820274,2201638,0.0,-26576197,22625.0,-167505,325090,-14631379.0,,137045682.0,,,2014年度,453686200,597008819,49327.0,143322619,56242720,,,85420.0,,0.0,0.0,,,154566435,20216488,966820.0,,-17947445.0,0.0,,15196735.0,900000.0,0.0,105487043.0,56515170.0,16750038,56242720,,-16154452,,,,,,,142773828,-365722460,-222948632,,58740,,1136624.0,,215009.0,-29699,0.0,,65981.0,,0.0,,0.0,12830422.0,-2080366.0,-35320897.0,0.0,39854.0,0.0,,,0.0,,,-36026232,-140760,,0.0,-147551421,,435006606,,-4422173.0,,-31042678,82138671,52807475,,-5148.0,393612,89573.0,,,,,,232615.0,857706,0.0,,,,,,28465.0,0.0,,,,
2015-04-30,1,2015,0.0,,-244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20685963,0.0,0.0,-214071.0,0.0,0.0,0.0,-4411418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3027104,0.0,-2794250,0.0,1986698,0.0,-1543252,1470754.0,0.0,0.0,-87956792,0.0,369589,0.0,0.0,-37117958,4238597,-315328,0.0,0.0,-232580,0.0,-321455.0,-438506.0,0.0,0.0,-1720771,0.0,-1455000,-36764.0,,0.0,,61276375,0.0,112293,0.0,33657,0.0,0.0,0.0,-957880.0,8263029,0.0,0.0,0.0,-17857.0,0.0,-248679,31832596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-360000.0,0.0,652156,0.0,0.0,0.0,0.0,0.0,-24176677,11458.0,-4951588,528494,0.0,-7449185,0.0,-51696,83945,,,,,-4476295.0,2015年01月01日至2015年03月31日,597008819,536829666,-44927.0,-60179153,19905547,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-54408866,-86295299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-400000.0,121235625.0,43093107.0,-503371,19905547,0.0,-1339748,0.0,0.0,0.0,0.0,0.0,0.0,5849674,-107574225,-101724551,0.0,2315,0.0,189806.0,0.0,1682991.0,283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190727.0,-37277.0,-24963173.0,0.0,0.0,0.0,0.0,0.0,,0.0,,-106200846,-244,0.0,0.0,-17932167,0.0,372500934,0.0,,0.0,-36151803,7240002,-2761543,0.0,0.0,7023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-263569,-42174.0,0.0,0.0,-100000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-20,2,2015,0.0,,-144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15598220,0.0,0.0,-418824.0,0.0,0.0,0.0,-5210987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,701945.0,-2358841,0.0,-3060689,32338.0,-4044933,0.0,-6263207,0.0,0.0,0.0,-262240365,0.0,-165982,0.0,0.0,-74842908,8532581,-1254425,0.0,0.0,-509060,0.0,-857252.0,-532187.0,0.0,0.0,-31853177,0.0,-19651951,-135623.0,,-3000.0,,143962339,0.0,166808,0.0,-65674,0.0,0.0,0.0,-1585900.0,-655516,0.0,0.0,0.0,-5279.0,0.0,-3141601,52122166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997344.0,0.0,0.0,0.0,10110658,0.0,0.0,0.0,0.0,0.0,-37154441,-11269589.0,-54115693,1054249,0.0,1165413,0.0,-284488,167786,,,,,5440805.0,2015年01月01日至2015年06月30日,597008819,471144834,-62825.0,-125863985,49077567,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-69662935,-139633519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-590000.0,63345786.0,35679580.0,-830932,49077567,0.0,-6008955,0.0,0.0,0.0,0.0,0.0,0.0,11991429,-206143320,-194151891,0.0,3563,0.0,484236.0,0.0,1772124.0,1648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193927.0,-37571.0,-43284401.0,0.0,0.0,0.0,0.0,35492.0,,0.0,,-188711086,0,0.0,0.0,26602807,0.0,372119468,0.0,,0.0,-57267755,57008403,-7478374,0.0,0.0,229159,0.0,0.0,0.0,0.0,0.0,0.0,64503.0,16369598,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
